Tree,Station,Timestamp,LW_minutes_H,Solar,Precipitation,Wind_direction,Wind_speed,Gust_speed,Temp,RH,Atmos_pressure,Precip_max,ECRN-100_Precipitation,ECRN-100_Precip_max,Wetness
ETP2,S0,2023-06-12T09:15:00Z,0,586.1,0,85,1.38,3.78,23.1,0.894,88.24,0,NA,NA,20.82142316306839
ETP2,S0,2023-06-12T09:30:00Z,0,570.2,0,61,1.3,2.95,23.5,0.901,88.23,0,NA,NA,20.942538311819625
ETP2,S0,2023-06-12T09:45:00Z,0,880.6,0,90,1.66,3.5,23.8,0.866,88.22,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T10:00:00Z,0,895.5,0,92,1.31,2.59,24.2,0.858,88.22,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T10:15:00Z,0,929.4,0,67,1.41,3.62,24.9,0.844,88.2,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T10:30:00Z,0,709.8,0,51,1.31,3.51,24.8,0.869,88.2,0,NA,NA,20.581290118719853
ETP2,S0,2023-06-12T10:45:00Z,0,456.1,0,58,1.18,2.88,23.9,0.889,88.19,0,NA,NA,20.82142316306839
ETP2,S0,2023-06-12T11:00:00Z,0,505.1,0,65,1.29,2.76,23.7,0.898,88.19,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T11:15:00Z,0,574.5,0,60,1.38,3.23,23.5,0.9,88.18,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T11:30:00Z,0,665.8,0,76,1.08,2.25,24,0.89,88.14,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T11:45:00Z,0,735.5,0,29,1.14,2.51,23.8,0.906,88.11,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T12:00:00Z,0,807.9,0,21,1.34,2.38,24.1,0.899,88.07,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T12:15:00Z,0,559.7,0,20,1.23,3.49,23.6,0.895,88.07,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T12:30:00Z,0,547.3,0,34,1,2.21,23.8,0.892,88.03,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T12:45:00Z,0,612.7,0,50,0.92,1.96,24.1,0.885,88,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T13:00:00Z,0,553.5,0,58,1.08,3.11,24.2,0.864,87.98,0,NA,NA,20.82142316306839
ETP2,S0,2023-06-12T13:15:00Z,0,417.3,0,45,1.03,2.87,24.2,0.879,87.98,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T13:30:00Z,0,786.8,0,30,1.19,2.26,24.5,0.861,87.96,0,NA,NA,20.581290118719853
ETP2,S0,2023-06-12T13:45:00Z,0,910.1,0,28,1.33,3.93,24.9,0.854,87.95,0,NA,NA,20.581290118719853
ETP2,S0,2023-06-12T14:00:00Z,0,822.1,0,32,1.3,3.68,25,0.843,87.95,0,NA,NA,20.34392652382424
ETP2,S0,2023-06-12T14:15:00Z,0,745.7,0,34,1.37,3.25,24.9,0.837,87.96,0,NA,NA,20.46226414502428
ETP2,S0,2023-06-12T14:30:00Z,0,635.5,0,36,1.6,2.9,24.6,0.849,87.95,0,NA,NA,20.46226414502428
ETP2,S0,2023-06-12T14:45:00Z,0,369.1,0,30,1.46,4.87,24.3,0.859,87.95,0,NA,NA,20.82142316306839
ETP2,S0,2023-06-12T15:00:00Z,0,518.5,0,25,1.51,3.65,24.1,0.861,87.93,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T15:15:00Z,0,549.3,0,29,1.51,3.13,24,0.869,87.93,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T15:30:00Z,0,524,0,13,1.49,3.14,24,0.876,87.9,0,NA,NA,20.701008448955914
ETP2,S0,2023-06-12T15:45:00Z,0,402.3,0,30,1.61,4.04,23.8,0.886,87.91,0,NA,NA,20.82142316306839
ETP2,S0,2023-06-12T16:00:00Z,6,217.6,0.374,20,1.28,2.44,23.5,0.904,87.91,9.2,NA,NA,293.17872805999076
ETP2,S0,2023-06-12T16:15:00Z,15,89.6,0.187,30,1,3.18,22.6,0.94,87.91,4.1,NA,NA,67.58475341588434
ETP2,S0,2023-06-12T16:30:00Z,15,57.9,0,53,0.9,3.43,22.1,0.943,87.92,0,NA,NA,53.28113968169352
ETP2,S0,2023-06-12T16:45:00Z,15,62.9,0,23,1.09,2.85,21.9,0.94,87.96,0,NA,NA,54.84891561000017
ETP2,S0,2023-06-12T17:00:00Z,15,95,0,49,0.93,2.98,21.8,0.944,87.95,0,NA,NA,49.41146174571062
ETP2,S0,2023-06-12T17:15:00Z,15,66.5,0,73,1.28,2.72,21.6,0.936,87.94,0,NA,NA,42.004737789172985
ETP2,S0,2023-06-12T17:30:00Z,15,55.3,0.613,75,1.18,3.75,21.1,0.937,87.96,27.5,NA,NA,903.2346867886089
ETP2,S0,2023-06-12T17:45:00Z,15,34.4,2.685,88,1.67,3.9,20.4,0.982,87.97,22.4,NA,NA,445.13714087320295
