Tree,Station,Timestamp,MC3_Port4_Wm2SolarRadiation,MC3_Port5_degreeCAirTemperature,MC3_Port5_RHRelativeHumidity,MC3_Port5_kPaAtmosphericPressure,MC3_Port5_kPaVPD,MC3_Port6_minLeafWetness,MC3_Port6_minLeafWetnesshigh,MC3_Port6_WetnessLevel
ET4,S3,2022-06-28T12:30:00Z,44.7,21.6,0.848,88.07,0.39,0,0,445
ET4,S3,2022-06-28T12:45:00Z,27.8,21.1,0.876,88.05,0.31,0,0,446
ET4,S3,2022-06-28T13:00:00Z,34.1,21.1,0.872,88.04,0.32,0,0,446
ET4,S3,2022-06-28T13:15:00Z,26.2,20.9,0.889,88.02,0.28,0,0,446
ET4,S3,2022-06-28T13:30:00Z,9,19.8,0.959,88,0.09,0,0,448
ET4,S3,2022-06-28T13:45:00Z,10.3,19.4,0.973,87.99,0.06,12,11,718
ET4,S3,2022-06-28T14:00:00Z,6.2,18.7,0.995,87.99,0.01,15,15,735
ET4,S3,2022-06-28T14:15:00Z,0.7,18.5,1,87.98,0,15,15,727
ET4,S3,2022-06-28T14:30:00Z,1.6,18.3,1,87.98,0,15,15,690
ET4,S3,2022-06-28T14:45:00Z,0,18.1,1,87.98,0,15,15,688
ET4,S3,2022-06-28T15:00:00Z,0,18.1,1,87.98,0,15,15,707
ET4,S3,2022-06-28T15:15:00Z,0,18.2,1,87.98,0,15,15,723
ET4,S3,2022-06-28T15:30:00Z,0,18.1,1,87.99,0,15,15,695
ET4,S3,2022-06-28T15:45:00Z,0,18,0.999,87.99,0,15,15,758
ET4,S3,2022-06-28T16:00:00Z,0,17.8,1,87.97,0,15,15,759
ET4,S3,2022-06-28T16:15:00Z,0,17.8,1,87.95,0,15,15,657
ET4,S3,2022-06-28T16:30:00Z,0,17.8,0.999,87.97,0,15,15,662
ET4,S3,2022-06-28T16:45:00Z,0,17.7,1,87.97,0,15,15,710
ET4,S3,2022-06-28T17:00:00Z,0,17.8,1.001,88,0,15,15,663
ET4,S3,2022-06-28T17:15:00Z,0,17.8,1,88,0,15,15,666
ET4,S3,2022-06-28T17:30:00Z,0,17.7,1.001,88.02,0,15,15,678
ET4,S3,2022-06-28T17:45:00Z,0,17.7,1,88.02,0,15,15,691
ET4,S3,2022-06-28T18:00:00Z,0,17.5,1.001,88.01,0,15,15,768
ET4,S3,2022-06-28T18:15:00Z,0,17.6,1,88.01,0,15,15,726
ET4,S3,2022-06-28T18:30:00Z,0,17.5,1.001,88.01,0,15,15,761
ET4,S3,2022-06-28T18:45:00Z,0,17.5,0.999,88.03,0,15,15,740
ET4,S3,2022-06-28T19:00:00Z,0,17.5,1,88.05,0,15,15,693
ET4,S3,2022-06-28T19:15:00Z,0,17.5,1,88.06,0,15,15,721
ET4,S3,2022-06-28T19:30:00Z,0,17.6,1,88.09,0,15,15,741
ET4,S3,2022-06-28T19:45:00Z,0,17.5,1.001,88.09,0,15,15,735
ET4,S3,2022-06-28T20:00:00Z,0,17.5,1,88.11,0,15,15,739
ET4,S3,2022-06-28T20:15:00Z,0,17.6,1,88.13,0,15,15,761
ET4,S3,2022-06-28T20:30:00Z,0,17.7,1,88.13,0,15,15,791
ET4,S3,2022-06-28T20:45:00Z,0,17.6,0.999,88.13,0,15,15,760
ET4,S3,2022-06-28T21:00:00Z,0,17.6,0.999,88.16,0,15,15,741
ET4,S3,2022-06-28T21:15:00Z,0,17.7,1.001,88.18,0,15,15,746
ET4,S3,2022-06-28T21:30:00Z,0,17.8,1.001,88.17,0,15,15,711
ET4,S3,2022-06-28T21:45:00Z,0,17.9,1,88.18,0,15,15,715
ET4,S3,2022-06-28T22:00:00Z,0,17.9,1.001,88.19,0,15,15,724
ET4,S3,2022-06-28T22:15:00Z,0,18,1,88.2,0,15,15,727
ET4,S3,2022-06-28T22:30:00Z,0,18,1,88.2,0,15,15,720
ET4,S3,2022-06-28T22:45:00Z,0,18.1,1,88.2,0,15,15,760
ET4,S3,2022-06-28T23:00:00Z,0,18.1,1,88.21,0,15,15,798
ET4,S3,2022-06-28T23:15:00Z,0,17.9,1.001,88.2,0,15,15,836
ET4,S3,2022-06-28T23:30:00Z,0,17.8,1,88.18,0,15,15,857
ET4,S3,2022-06-28T23:45:00Z,0,17.7,1,88.15,0,15,15,780
ET4,S3,2022-06-29T00:00:00Z,0,17.7,1,88.12,0,15,15,782
ET4,S3,2022-06-29T00:15:00Z,0,17.7,1,88.09,0,15,15,763
ET4,S3,2022-06-29T00:30:00Z,0,17.7,0.999,88.06,0,15,15,761
ET4,S3,2022-06-29T00:45:00Z,0,17.7,0.997,88.03,0.01,15,15,755
ET4,S3,2022-06-29T01:00:00Z,0,17.6,0.997,88.01,0.01,15,15,751
ET4,S3,2022-06-29T01:15:00Z,0,17.6,0.993,87.99,0.02,15,15,744
ET4,S3,2022-06-29T01:30:00Z,0,17.6,0.983,87.98,0.03,15,15,730
ET4,S3,2022-06-29T01:45:00Z,0,17.6,0.973,87.97,0.05,15,15,710
ET4,S3,2022-06-29T02:00:00Z,0,17.7,0.962,87.97,0.08,15,15,686
ET4,S3,2022-06-29T02:15:00Z,0,17.8,0.954,87.96,0.09,15,15,664
ET4,S3,2022-06-29T02:30:00Z,0,17.7,0.948,87.96,0.11,15,15,647
ET4,S3,2022-06-29T02:45:00Z,0,17.7,0.948,87.96,0.11,15,15,631
ET4,S3,2022-06-29T03:00:00Z,0,17.7,0.948,87.95,0.11,15,15,618
ET4,S3,2022-06-29T03:15:00Z,0,17.6,0.952,87.95,0.1,15,15,605
ET4,S3,2022-06-29T03:30:00Z,0,17.4,0.971,87.95,0.06,15,15,596
ET4,S3,2022-06-29T03:45:00Z,0,17.5,0.964,87.94,0.07,15,15,583
ET4,S3,2022-06-29T04:00:00Z,0,17.6,0.959,87.95,0.08,15,15,572
ET4,S3,2022-06-29T04:15:00Z,0,17.6,0.952,87.96,0.1,15,15,562
ET4,S3,2022-06-29T04:30:00Z,0,17.4,0.954,87.95,0.09,15,15,555
ET4,S3,2022-06-29T04:45:00Z,0,17.5,0.935,87.96,0.13,15,15,545
ET4,S3,2022-06-29T05:00:00Z,0,17.3,0.936,87.95,0.13,15,15,539
ET4,S3,2022-06-29T05:15:00Z,0,17.1,0.944,87.94,0.11,15,15,535
ET4,S3,2022-06-29T05:30:00Z,0,17.2,0.946,87.94,0.1,15,15,529
ET4,S3,2022-06-29T05:45:00Z,0,17.4,0.94,87.95,0.12,15,15,522
ET4,S3,2022-06-29T06:00:00Z,0.5,17.6,0.934,87.97,0.13,15,15,516
ET4,S3,2022-06-29T06:15:00Z,11,17.7,0.939,87.99,0.12,15,15,511
ET4,S3,2022-06-29T06:30:00Z,12.6,17.9,0.938,88.01,0.13,15,15,506
ET4,S3,2022-06-29T06:45:00Z,5.9,17.7,0.952,88.03,0.1,15,15,502
ET4,S3,2022-06-29T07:00:00Z,10.1,17.6,0.961,88.04,0.08,15,15,498
ET4,S3,2022-06-29T07:15:00Z,15.7,17.9,0.955,88.04,0.09,15,15,492
ET4,S3,2022-06-29T07:30:00Z,24.5,18.2,0.944,88.05,0.12,15,15,485
ET4,S3,2022-06-29T07:45:00Z,18.5,18.2,0.945,88.08,0.11,15,15,479
ET4,S3,2022-06-29T08:00:00Z,22.3,18.2,0.957,88.09,0.09,15,15,475
ET4,S3,2022-06-29T08:15:00Z,21.8,18.1,0.966,88.11,0.07,15,15,471
ET4,S3,2022-06-29T08:30:00Z,24.7,18.2,0.984,88.11,0.03,15,15,468
ET4,S3,2022-06-29T08:45:00Z,25.6,18.4,0.983,88.11,0.04,15,15,465
ET4,S3,2022-06-29T09:00:00Z,12.8,18.2,0.995,88.12,0.01,15,15,465
ET4,S3,2022-06-29T09:15:00Z,14.1,17.9,0.999,88.11,0,15,15,467
ET4,S3,2022-06-29T09:30:00Z,11.9,18,1,88.11,0,15,15,464
ET4,S3,2022-06-29T09:45:00Z,10.3,17.9,1.001,88.12,0,15,15,462
ET4,S3,2022-06-29T10:00:00Z,15.9,17.9,1,88.11,0,15,15,460
ET4,S3,2022-06-29T10:15:00Z,18.9,18.2,1,88.1,0,15,2,459
ET4,S3,2022-06-29T10:30:00Z,18.7,18.3,1,88.09,0,15,0,456
ET4,S3,2022-06-29T10:45:00Z,23.8,18.5,0.997,88.09,0.01,15,0,453
ET4,S3,2022-06-29T11:00:00Z,26.7,18.6,0.994,88.08,0.01,15,0,452
ET4,S3,2022-06-29T11:15:00Z,23.4,18.4,0.999,88.06,0,15,0,452
ET4,S3,2022-06-29T11:30:00Z,34.2,18.5,1,88.06,0,13,0,451
ET4,S3,2022-06-29T11:45:00Z,35,18.6,1,88.06,0,15,0,452
ET4,S3,2022-06-29T12:00:00Z,24,18.5,1,88.06,0,15,0,454
ET4,S3,2022-06-29T12:15:00Z,23.3,18.8,1,88.04,0,12,0,450
ET4,S3,2022-06-29T12:30:00Z,40.5,19.2,0.991,88.03,0.02,0,0,448
ET4,S3,2022-06-29T12:45:00Z,36.4,19.8,0.963,88.02,0.08,0,0,448
ET4,S3,2022-06-29T13:00:00Z,33.5,20,0.963,88,0.09,0,0,448
