Tree,Station,Timestamp,MC3_Port1_Wm2SolarRadiation,MC3_Port2_degreeCAirTemperature,MC3_Port2_RHRelativeHumidity,MC3_Port2_kPaAtmosphericPressure,MC3_Port2_kPaVPD,MC3_Port3_minLeafWetness,MC3_Port3_minLeafWetnesshigh,MC3_Port3_WetnessLevel,MC2_Port5_degreesWindDirection,MC2_Port5_msWindSpeed,MC2_Port5_msGustSpeed,MC2_Port5_degreeCAnemometerTemp,MC2_Port5_degreesXaxisLevel,MC2_Port5_degreesYaxisLevel
ET4,S4,2022-06-28T12:30:00Z,118.8,21.7,0.826,88.1,0.45,0,0,443,73,1.29,2.39,21.8,6.4,-6.1
ET4,S4,2022-06-28T12:45:00Z,67,21.1,0.858,88.08,0.36,0,0,444,65,1.25,4.13,21.3,6.4,-6.1
ET4,S4,2022-06-28T13:00:00Z,79.5,21.1,0.855,88.07,0.36,0,0,444,104,0.84,2.2,21.4,6.4,-6.1
ET4,S4,2022-06-28T13:15:00Z,63.2,21,0.871,88.05,0.32,0,0,444,54,1.87,5.65,21,6.5,-6.2
ET4,S4,2022-06-28T13:30:00Z,21.6,19.8,0.944,88.03,0.13,0,0,444,50,1.75,3.65,20,6.4,-6.2
ET4,S4,2022-06-28T13:45:00Z,26.4,19.4,0.957,88.02,0.1,12,12,654,69,1.89,4.83,19.4,6.5,-6.1
ET4,S4,2022-06-28T14:00:00Z,15.9,18.7,0.98,88.02,0.04,15,15,687,66,1.62,5.06,18.8,6.7,-6.1
ET4,S4,2022-06-28T14:15:00Z,8.8,18.5,0.988,88.01,0.03,15,15,662,53,1.52,4.95,18.7,6.7,-6.1
ET4,S4,2022-06-28T14:30:00Z,10.1,18.2,0.988,88.01,0.02,15,15,739,42,2.26,5.76,18.4,6.7,-6.1
ET4,S4,2022-06-28T14:45:00Z,0.4,18.1,0.995,88.02,0.01,15,15,658,46,1.62,4.69,18.2,6.6,-6.1
ET4,S4,2022-06-28T15:00:00Z,0,18.1,0.999,88.01,0,15,15,724,59,1.2,3.25,18.2,6.8,-6.2
ET4,S4,2022-06-28T15:15:00Z,0,18.1,1,88.02,0,15,15,721,41,1.71,5.27,18.3,6.8,-6.1
ET4,S4,2022-06-28T15:30:00Z,0,18.1,0.998,88.02,0,15,15,668,74,1.59,5.29,18.2,6.7,-6.1
ET4,S4,2022-06-28T15:45:00Z,0,18,1,88.02,0,15,15,674,88,0.93,2.27,18.2,6.7,-6.2
ET4,S4,2022-06-28T16:00:00Z,0,17.8,0.998,88,0,15,15,722,122,0.88,2.92,18,6.7,-6.1
ET4,S4,2022-06-28T16:15:00Z,0,17.7,1,87.99,0,15,15,611,125,0.64,1.15,17.9,6.7,-6.1
ET4,S4,2022-06-28T16:30:00Z,0,17.7,1,88,0,15,15,623,134,0.75,1.43,17.9,6.7,-6.1
ET4,S4,2022-06-28T16:45:00Z,0,17.7,1,88.01,0,15,15,681,122,0.8,2.28,17.9,6.7,-6.1
ET4,S4,2022-06-28T17:00:00Z,0,17.8,0.999,88.04,0,15,15,693,129,1.01,2.09,18,6.7,-6.1
ET4,S4,2022-06-28T17:15:00Z,0,17.7,1.001,88.04,0,15,15,687,140,0.8,1.39,17.9,6.6,-6.2
ET4,S4,2022-06-28T17:30:00Z,0,17.7,1,88.05,0,15,15,699,131,1.03,2.74,17.9,6.7,-6.1
ET4,S4,2022-06-28T17:45:00Z,0,17.6,0.998,88.05,0,15,15,714,135,0.94,1.77,17.8,6.7,-6.1
ET4,S4,2022-06-28T18:00:00Z,0,17.5,0.996,88.05,0.01,15,15,615,126,0.87,1.62,17.7,6.7,-6
ET4,S4,2022-06-28T18:15:00Z,0,17.5,0.998,88.05,0,15,15,776,128,0.92,2.07,17.7,6.8,-6.1
ET4,S4,2022-06-28T18:30:00Z,0,17.4,0.998,88.05,0,15,15,600,133,0.91,1.46,17.6,6.8,-6.1
ET4,S4,2022-06-28T18:45:00Z,0,17.4,0.998,88.07,0,15,15,655,124,1.02,2.1,17.6,6.8,-6.1
ET4,S4,2022-06-28T19:00:00Z,0,17.5,0.989,88.08,0.02,15,15,704,115,0.98,1.78,17.7,6.7,-6.1
ET4,S4,2022-06-28T19:15:00Z,0,17.5,0.993,88.1,0.01,15,15,659,124,1.19,2.1,17.7,6.7,-6.1
ET4,S4,2022-06-28T19:30:00Z,0,17.5,0.994,88.12,0.01,15,15,645,120,1.13,1.91,17.7,6.7,-6.2
ET4,S4,2022-06-28T19:45:00Z,0,17.5,1,88.13,0,15,15,653,128,0.88,1.49,17.6,6.7,-6.2
ET4,S4,2022-06-28T20:00:00Z,0,17.5,1,88.14,0,15,15,667,141,0.96,1.66,17.7,6.7,-6.1
ET4,S4,2022-06-28T20:15:00Z,0,17.6,1,88.17,0,15,15,691,116,1.17,2.55,17.8,6.8,-6.2
ET4,S4,2022-06-28T20:30:00Z,0,17.6,1,88.17,0,15,15,658,110,1.11,2.17,17.8,6.8,-6.1
ET4,S4,2022-06-28T20:45:00Z,0,17.6,1.001,88.17,0,15,15,660,113,1.43,3.01,17.7,6.7,-6.1
ET4,S4,2022-06-28T21:00:00Z,0,17.6,1,88.2,0,15,15,676,133,1.2,2.23,17.7,6.8,-6.1
ET4,S4,2022-06-28T21:15:00Z,0,17.7,1.001,88.22,0,15,15,689,127,1.29,2.61,17.9,6.8,-6.1
ET4,S4,2022-06-28T21:30:00Z,0,17.7,1.001,88.21,0,15,15,696,134,1.3,2.18,17.9,6.8,-6.1
ET4,S4,2022-06-28T21:45:00Z,0,17.9,0.994,88.21,0.01,15,15,692,120,1.43,3.09,18.1,6.7,-6.1
ET4,S4,2022-06-28T22:00:00Z,0,17.9,0.994,88.22,0.01,15,15,743,127,1.22,2.6,18,6.7,-6.1
