Timestamp,minLeafWetness,minLeafWetnesshigh,WetnessLevel,Wm2SolarRadiation,mmPrecipitation,LightningActivity,kmLightningDistance,degreesWindDirection,msWindSpeed,msGustSpeed,degreeCAirTemperature,RHRelativeHumidity,kPaAtmosphericPressure,degreesXaxisLevel,degreesYaxisLevel,mmhMaxPrecipRate,degreeCRHSensorTemp,kPaVPD,BatteryPercent,mVBatteryVoltage,kPaReferencePressure,degreeCLoggerTemperature,PastureID
2022-07-22T14:45:00Z,15,15,477,249.7,0,0,0,61,0.55,1.53,19.8,0.949,87.95,1.2,-1.3,0,21.8,0.12,55,7429,87.9,23,ETP2
2022-07-22T15:00:00Z,15,15,468,269.3,0,0,0,157,0.55,1.77,19.9,0.938,87.94,1.2,-1.4,0,21.8,0.14,56,7434,87.9,22.8,ETP2
2022-07-22T15:15:00Z,15,15,539,218.4,0,0,0,133,0.49,1.22,20.1,0.935,87.95,1.2,-1.3,0,21.8,0.15,56,7438,87.91,22.7,ETP2
2022-07-22T15:30:00Z,15,15,534,178.5,0,0,0,105,0.45,1.24,20.2,0.93,87.96,1.2,-1.3,0,21.7,0.16,56,7432,87.92,22.4,ETP2
2022-07-22T15:45:00Z,15,15,784,134.9,0.153,0,0,42,0.42,1.24,20,0.94,87.96,1.2,-1.3,2,21.3,0.14,56,7432,87.92,22.1,ETP2
2022-07-22T16:00:00Z,15,15,865,122.6,0.17,0,0,18,0.49,2.43,19.5,0.965,87.95,1.2,-1.3,3.1,21,0.08,56,7434,87.91,21.5,ETP2
2022-07-22T16:15:00Z,15,15,823,121.1,0,0,0,171,0.55,1.82,19.1,0.967,87.96,1.1,-1.3,0,20.5,0.07,56,7434,87.92,20.8,ETP2
2022-07-22T16:30:00Z,15,15,812,80,0,0,0,119,0.42,1.09,18.9,0.949,87.99,1.1,-1.3,0,19.9,0.11,56,7432,87.94,20.4,ETP2
2022-07-22T16:45:00Z,15,15,805,56.7,0,0,0,96,0.37,1.05,18.8,0.947,87.99,1.1,-1.3,0,19.5,0.11,55,7430,87.95,20,ETP2
2022-07-22T17:00:00Z,15,15,796,32.4,0,0,0,139,0.73,1.58,18.8,0.941,88,1.1,-1.3,0,19.1,0.13,55,7428,87.96,19.6,ETP2
2022-07-22T17:15:00Z,15,15,784,36.7,0,0,0,98,0.65,1.44,18.8,0.94,88.01,1.1,-1.3,0,18.9,0.13,55,7429,87.97,19.3,ETP2
2022-07-22T17:30:00Z,15,15,773,32.6,0,0,0,113,0.42,1.17,18.8,0.937,88.02,1.1,-1.3,0,18.9,0.14,55,7428,87.98,19.2,ETP2
2022-07-22T17:45:00Z,15,15,766,15.3,0,0,0,66,0.27,0.78,18.7,0.95,88.03,1.1,-1.3,0,18.8,0.11,55,7427,87.99,19.1,ETP2
2022-07-22T18:00:00Z,15,15,733,2.1,0,0,0,143,0.61,1.29,18.9,0.94,88.06,1.1,-1.2,0,18.7,0.13,55,7425,88.02,19,ETP2
2022-07-22T18:15:00Z,15,15,767,0,0,0,0,88,0.62,1.96,18.8,0.951,88.07,1.1,-1.3,0,18.7,0.11,55,7425,88.03,18.9,ETP2
2022-07-22T18:30:00Z,15,15,840,0,0.017,0,0,67,0.56,1.47,18.8,0.96,88.09,1.1,-1.2,1,18.6,0.09,55,7425,88.05,18.8,ETP2
2022-07-22T18:45:00Z,15,15,798,0,0,0,0,75,0.53,1.82,18.8,0.955,88.11,1.1,-1.3,0,18.6,0.1,55,7422,88.06,18.8,ETP2
2022-07-22T19:00:00Z,15,15,794,0,0,0,0,112,0.31,1.21,18.8,0.958,88.12,1.1,-1.3,0,18.6,0.09,54,7421,88.08,18.7,ETP2
2022-07-22T19:15:00Z,15,15,791,0,0,0,0,153,0.5,1.38,18.7,0.958,88.13,1.1,-1.3,0,18.5,0.09,55,7423,88.09,18.7,ETP2
2022-07-22T19:30:00Z,15,15,778,0,0,0,0,49,0.35,0.94,18.8,0.954,88.12,1,-1.3,0,18.5,0.1,55,7423,88.08,18.6,ETP2
2022-07-22T19:45:00Z,15,15,692,0,0,0,0,166,0.5,2.96,18.8,0.946,88.12,1,-1.3,0,18.5,0.12,55,7422,88.08,18.6,ETP2
2022-07-22T20:00:00Z,15,15,679,0,0,0,0,264,0.35,1.69,18.7,0.957,88.13,1.1,-1.3,0,18.5,0.09,54,7420,88.09,18.6,ETP2
2022-07-22T20:15:00Z,15,15,678,0,0,0,0,207,0.33,1.48,18.8,0.953,88.13,1,-1.3,0,18.5,0.1,54,7418,88.09,18.5,ETP2
2022-07-22T20:30:00Z,15,15,673,0,0,0,0,238,0.38,1.61,18.8,0.941,88.13,1.1,-1.3,0,18.4,0.13,54,7418,88.09,18.5,ETP2
