Tree,Station,Timestamp,MC1_Port1_Wm2SolarRadiation,MC1_Port3_degreeCAirTemperature,MC1_Port3_RHRelativeHumidity,MC1_Port3_kPaAtmosphericPressure,MC1_Port3_kPaVPD,MC1_Port4_minLeafWetness,MC1_Port4_minLeafWetnesshigh,MC1_Port4_WetnessLevel
FB2,S1,2022-05-31T12:30:00Z,33.1,21.2,0.926,85.95,0.19,15,15,599
FB2,S1,2022-05-31T12:45:00Z,18.7,20.6,0.951,85.94,0.12,15,15,566
FB2,S1,2022-05-31T13:00:00Z,7.7,20.2,0.962,85.93,0.09,15,15,830
FB2,S1,2022-05-31T13:15:00Z,0.4,18.3,0.956,85.94,0.09,15,15,734
FB2,S1,2022-05-31T13:30:00Z,8.4,17.8,0.987,85.91,0.03,15,15,653
FB2,S1,2022-05-31T13:45:00Z,10.6,17.9,0.993,85.91,0.01,15,15,755
FB2,S1,2022-05-31T14:00:00Z,13.9,17.9,0.998,85.88,0,15,15,786
FB2,S1,2022-05-31T14:15:00Z,25.6,18,0.997,85.86,0.01,15,15,746
FB2,S1,2022-05-31T14:30:00Z,51.8,18.1,0.997,85.83,0.01,15,15,582
FB2,S1,2022-05-31T14:45:00Z,41.4,18.4,0.997,85.85,0.01,15,15,648
FB2,S1,2022-05-31T15:00:00Z,25.3,18.5,0.999,85.85,0,15,15,625
FB2,S1,2022-05-31T15:15:00Z,23.3,18.5,1,85.83,0,15,15,630
FB2,S1,2022-05-31T15:30:00Z,5.1,18.2,1,85.85,0,15,15,600
FB2,S1,2022-05-31T15:45:00Z,1.8,18,0.999,85.87,0,15,15,603
FB2,S1,2022-05-31T16:00:00Z,4.4,17.8,0.999,85.85,0,15,15,650
FB2,S1,2022-05-31T16:15:00Z,0.9,17.8,1,85.86,0,15,15,743
FB2,S1,2022-05-31T16:30:00Z,5.3,17.4,1.001,85.87,0,15,15,669
FB2,S1,2022-05-31T16:45:00Z,6.2,17.1,0.999,85.85,0,15,15,751
FB2,S1,2022-05-31T17:00:00Z,0,17.2,1,85.9,0,15,15,699
FB2,S1,2022-05-31T17:15:00Z,0,17.1,1,85.92,0,15,15,615
FB2,S1,2022-05-31T17:30:00Z,0,17,1,85.94,0,15,15,760
FB2,S1,2022-05-31T17:45:00Z,0,16.9,1,85.96,0,15,15,667
FB2,S1,2022-05-31T18:00:00Z,0,16.8,0.999,85.97,0,15,15,740
FB2,S1,2022-05-31T18:15:00Z,0,16.6,0.993,85.98,0.01,15,15,755
FB2,S1,2022-05-31T18:30:00Z,0,16.5,0.996,85.98,0.01,15,15,641
FB2,S1,2022-05-31T18:45:00Z,0,16.5,0.994,86.01,0.01,15,15,672
FB2,S1,2022-05-31T19:00:00Z,0,16.5,0.996,86.02,0.01,15,15,735
FB2,S1,2022-05-31T19:15:00Z,0,16.4,0.999,86.04,0,15,15,671
FB2,S1,2022-05-31T19:30:00Z,0,16.4,0.999,86.07,0,15,15,755
FB2,S1,2022-05-31T19:45:00Z,0,16.4,0.994,86.08,0.01,15,15,647
FB2,S1,2022-05-31T20:00:00Z,0,16.6,0.996,86.08,0.01,15,15,676
FB2,S1,2022-05-31T20:15:00Z,0,16.8,1,86.09,0,15,15,656
FB2,S1,2022-05-31T20:30:00Z,0,16.8,1,86.11,0,15,15,641
FB2,S1,2022-05-31T20:45:00Z,0,16.8,1,86.12,0,15,15,686
FB2,S1,2022-05-31T21:00:00Z,0,16.8,1,86.12,0,15,15,624
FB2,S1,2022-05-31T21:15:00Z,0,16.9,0.999,86.12,0,15,15,585
FB2,S1,2022-05-31T21:30:00Z,0,17,1.001,86.13,0,15,15,582
FB2,S1,2022-05-31T21:45:00Z,0,17,1.001,86.14,0,15,15,640
FB2,S1,2022-05-31T22:00:00Z,0,17,1,86.15,0,15,15,722
FB2,S1,2022-05-31T22:15:00Z,0,17,1,86.15,0,15,15,579
FB2,S1,2022-05-31T22:30:00Z,0,16.9,1,86.14,0,15,15,700
FB2,S1,2022-05-31T22:45:00Z,0,16.9,0.999,86.12,0,15,15,726
FB2,S1,2022-05-31T23:00:00Z,0,16.9,1.001,86.12,0,15,15,690
FB2,S1,2022-05-31T23:15:00Z,0,16.8,1,86.1,0,15,15,657
FB2,S1,2022-05-31T23:30:00Z,0,16.9,1,86.09,0,15,15,653
FB2,S1,2022-05-31T23:45:00Z,0,17,0.999,86.08,0,15,15,639
FB2,S1,2022-06-01T00:00:00Z,0,17,1.001,86.06,0,15,15,688
FB2,S1,2022-06-01T00:15:00Z,0,17,1,86.04,0,15,15,610
FB2,S1,2022-06-01T00:30:00Z,0,17,0.999,86.04,0,15,15,640
FB2,S1,2022-06-01T00:45:00Z,0,17,0.999,86.02,0,15,15,600
FB2,S1,2022-06-01T01:00:00Z,0,17,1,86.01,0,15,15,637
FB2,S1,2022-06-01T01:15:00Z,0,17.1,1,86,0,15,15,586
FB2,S1,2022-06-01T01:30:00Z,0,17.1,1,85.98,0,15,15,588
FB2,S1,2022-06-01T01:45:00Z,0,17.1,1,85.97,0,15,15,575
FB2,S1,2022-06-01T02:00:00Z,0,17.2,1,85.97,0,15,15,574
FB2,S1,2022-06-01T02:15:00Z,0,17.3,1,85.97,0,15,15,566
FB2,S1,2022-06-01T02:30:00Z,0,17.4,1,85.97,0,15,15,631
FB2,S1,2022-06-01T02:45:00Z,0,17.3,1,85.97,0,15,15,602
FB2,S1,2022-06-01T03:00:00Z,0,17.2,0.999,85.95,0,15,15,592
FB2,S1,2022-06-01T03:15:00Z,0,17.3,0.999,85.93,0,15,15,614
FB2,S1,2022-06-01T03:30:00Z,0,17.2,1,85.91,0,15,15,590
FB2,S1,2022-06-01T03:45:00Z,0,17.2,1,85.91,0,15,15,557
FB2,S1,2022-06-01T04:00:00Z,0,17.2,1,85.91,0,15,15,548
FB2,S1,2022-06-01T04:15:00Z,0,17.1,0.993,85.9,0.01,15,15,548
FB2,S1,2022-06-01T04:30:00Z,0,17,0.984,85.89,0.03,15,15,535
FB2,S1,2022-06-01T04:45:00Z,0,17.1,0.979,85.89,0.04,15,15,522
FB2,S1,2022-06-01T05:00:00Z,0,16.9,0.981,85.89,0.04,15,15,515
FB2,S1,2022-06-01T05:15:00Z,0,16.9,0.975,85.9,0.05,15,15,506
FB2,S1,2022-06-01T05:30:00Z,0,16.6,0.99,85.92,0.02,15,15,500
FB2,S1,2022-06-01T05:45:00Z,7.1,16.9,0.988,85.94,0.02,15,15,498
FB2,S1,2022-06-01T06:00:00Z,12.5,17,0.99,85.96,0.02,15,15,491
FB2,S1,2022-06-01T06:15:00Z,18.7,17.2,0.982,85.98,0.04,15,15,484
FB2,S1,2022-06-01T06:30:00Z,24.9,17.3,0.984,86,0.03,15,15,477
FB2,S1,2022-06-01T06:45:00Z,32,17.4,0.977,86.02,0.05,15,15,471
FB2,S1,2022-06-01T07:00:00Z,72.7,17.4,0.954,86.04,0.09,15,15,463
FB2,S1,2022-06-01T07:15:00Z,65.9,17.6,0.92,86.05,0.16,15,8,458
FB2,S1,2022-06-01T07:30:00Z,191.5,17.9,0.912,86.05,0.18,15,0,451
FB2,S1,2022-06-01T07:45:00Z,134.2,18.2,0.917,86.06,0.17,2,0,448
FB2,S1,2022-06-01T08:00:00Z,81.1,18,0.914,86.08,0.18,0,0,447
FB2,S1,2022-06-01T08:15:00Z,124.5,18.4,0.901,86.09,0.21,0,0,446
FB2,S1,2022-06-01T08:30:00Z,105.3,18.7,0.899,86.09,0.22,0,0,446
FB2,S1,2022-06-01T08:45:00Z,122.5,19,0.864,86.09,0.3,0,0,446
FB2,S1,2022-06-01T09:00:00Z,154.9,19.5,0.835,86.09,0.37,0,0,445
FB2,S1,2022-06-01T09:15:00Z,96.7,20,0.824,86.08,0.41,0,0,444
FB2,S1,2022-06-01T09:30:00Z,84,20.4,0.85,86.07,0.36,0,0,444
FB2,S1,2022-06-01T09:45:00Z,150.3,20.8,0.876,86.07,0.3,0,0,445
FB2,S1,2022-06-01T10:00:00Z,168.3,21.2,0.875,86.06,0.31,0,0,444
FB2,S1,2022-06-01T10:15:00Z,120.1,21.1,0.87,86.06,0.32,0,0,445
FB2,S1,2022-06-01T10:30:00Z,90.6,20.5,0.893,86.06,0.26,0,0,445
FB2,S1,2022-06-01T10:45:00Z,171.8,20.4,0.907,86.06,0.22,0,0,444
FB2,S1,2022-06-01T11:00:00Z,88.6,21,0.898,86.05,0.25,0,0,445
FB2,S1,2022-06-01T11:15:00Z,140.4,20.8,0.899,86.04,0.25,0,0,445
FB2,S1,2022-06-01T11:30:00Z,77.6,20.6,0.895,86.01,0.25,0,0,445
FB2,S1,2022-06-01T11:45:00Z,85.7,20.2,0.913,86,0.21,0,0,445
FB2,S1,2022-06-01T12:00:00Z,53.1,19.9,0.927,85.99,0.17,0,0,445
FB2,S1,2022-06-01T12:15:00Z,48.9,19.7,0.928,85.98,0.16,0,0,449
