Tree,Station,Timestamp,MC3_Port1_Wm2SolarRadiation,MC3_Port3_degreeCAirTemperature,MC3_Port3_RHRelativeHumidity,MC3_Port3_kPaAtmosphericPressure,MC3_Port3_kPaVPD,MC3_Port4_minLeafWetness,MC3_Port4_minLeafWetnesshigh,MC3_Port4_WetnessLevel,MC3_Port2_degreesWindDirection,MC3_Port2_msWindSpeed,MC3_Port2_msGustSpeed,MC3_Port2_degreeCAnemometerTemp,MC3_Port2_degreesXaxisLevel,MC3_Port2_degreesYaxisLevel
FB4,S4,2022-06-15T12:30:00Z,72.3,20.2,0.866,85.79,0.32,0,0,439,113,0.42,1.2,20.3,4.4,2.3
FB4,S4,2022-06-15T12:45:00Z,72.1,20.4,0.852,85.77,0.36,0,0,439,142,0.55,1.45,20.2,4.3,2.6
FB4,S4,2022-06-15T13:00:00Z,49.4,20.3,0.838,85.76,0.39,0,0,439,137,0.51,1.64,20.1,4.4,2.5
FB4,S4,2022-06-15T13:15:00Z,58,20.2,0.849,85.75,0.36,0,0,440,137,0.5,1.36,20.1,4.3,2.6
FB4,S4,2022-06-15T13:30:00Z,66.3,20.3,0.836,85.73,0.39,0,0,439,130,0.6,1.8,20.1,4.4,2.6
FB4,S4,2022-06-15T13:45:00Z,40.6,20,0.846,85.73,0.36,0,0,439,137,0.65,1.89,19.6,4.3,2.5
FB4,S4,2022-06-15T14:00:00Z,42.8,19.7,0.858,85.73,0.33,0,0,439,112,0.41,1.32,19.5,4.3,2.6
FB4,S4,2022-06-15T14:15:00Z,37,19.6,0.86,85.73,0.32,0,0,439,121,0.46,1.01,19.3,4.3,2.5
FB4,S4,2022-06-15T14:30:00Z,14.3,19.3,0.867,85.73,0.3,0,0,445,118,0.51,1.5,18.9,4.3,2.6
FB4,S4,2022-06-15T14:45:00Z,15.2,18.7,0.894,85.72,0.23,11,10,575,120,0.53,2.07,18.4,4.3,2.6
FB4,S4,2022-06-15T15:00:00Z,26.9,18.3,0.919,85.7,0.17,15,15,543,112,0.45,1.23,18.2,4.3,2.7
FB4,S4,2022-06-15T15:15:00Z,20,18.1,0.929,85.69,0.15,15,15,602,136,0.42,1.24,18,4.2,2.6
FB4,S4,2022-06-15T15:30:00Z,19.2,18,0.935,85.69,0.13,15,15,594,128,0.41,1.73,17.9,4.2,2.6
FB4,S4,2022-06-15T15:45:00Z,12.3,17.9,0.936,85.71,0.13,15,15,739,128,0.28,1.44,17.8,4.2,2.6
FB4,S4,2022-06-15T16:00:00Z,11.5,17.8,0.945,85.7,0.11,15,15,700,138,0.6,1.82,17.6,4.1,2.6
FB4,S4,2022-06-15T16:15:00Z,12.8,17.5,0.95,85.69,0.1,15,15,618,133,0.74,1.87,17.3,4.2,2.6
FB4,S4,2022-06-15T16:30:00Z,11.7,17.3,0.96,85.71,0.08,15,15,651,112,0.37,1.21,17.3,4.2,2.6
FB4,S4,2022-06-15T16:45:00Z,9.3,17.4,0.963,85.73,0.07,15,15,690,109,0.36,0.95,17.3,4.2,2.6
FB4,S4,2022-06-15T17:00:00Z,3.5,17.3,0.967,85.75,0.06,15,15,782,110,0.4,1.21,17.2,4.2,2.6
FB4,S4,2022-06-15T17:15:00Z,0,17.2,0.969,85.74,0.06,15,15,816,104,0.39,1.12,17.2,4.1,2.6
FB4,S4,2022-06-15T17:30:00Z,0,17,0.97,85.74,0.06,15,15,657,86,0.36,0.97,17.1,4.2,2.6
FB4,S4,2022-06-15T17:45:00Z,0,17,0.974,85.76,0.05,15,15,653,49,0.31,0.86,17.1,4.2,2.6
FB4,S4,2022-06-15T18:00:00Z,0,17.1,0.971,85.78,0.06,15,15,644,42,0.35,1.14,17.1,4.1,2.6
FB4,S4,2022-06-15T18:15:00Z,0,17.3,0.96,85.78,0.08,15,15,642,42,0.23,0.31,17.1,4.2,2.5
FB4,S4,2022-06-15T18:30:00Z,0,17.1,0.965,85.79,0.07,15,15,641,104,0.26,0.65,17.1,4.1,2.6
FB4,S4,2022-06-15T18:45:00Z,0,17.1,0.968,85.81,0.06,15,15,641,82,0.26,0.65,17.1,4.1,2.5
FB4,S4,2022-06-15T19:00:00Z,0,17,0.971,85.84,0.06,15,15,640,122,0.47,0.86,17,4.2,2.6
FB4,S4,2022-06-15T19:15:00Z,0,17,0.974,85.87,0.05,15,15,639,120,0.36,0.59,17,4.1,2.6
FB4,S4,2022-06-15T19:30:00Z,0,16.9,0.974,85.87,0.05,15,15,639,127,0.58,1.08,17,4.2,2.6
FB4,S4,2022-06-15T19:45:00Z,0,16.9,0.974,85.88,0.05,15,15,704,117,0.39,0.84,16.9,4.2,2.6
FB4,S4,2022-06-15T20:00:00Z,0,16.8,0.977,85.9,0.04,15,15,640,129,0.61,1.28,16.9,4.2,2.6
FB4,S4,2022-06-15T20:15:00Z,0,16.8,0.977,85.91,0.04,15,15,713,134,0.87,1.83,16.9,4.2,2.6
FB4,S4,2022-06-15T20:30:00Z,0,16.8,0.978,85.91,0.04,15,15,616,129,0.66,1.48,16.8,4.2,2.6
FB4,S4,2022-06-15T20:45:00Z,0,16.8,0.98,85.92,0.04,15,15,641,131,0.66,1.25,16.8,4.1,2.6
FB4,S4,2022-06-15T21:00:00Z,0,16.7,0.981,85.94,0.04,15,15,668,125,0.5,1.06,16.8,4.1,2.6
FB4,S4,2022-06-15T21:15:00Z,0,16.7,0.984,85.95,0.03,15,15,766,130,0.77,1.36,16.8,4.1,2.7
FB4,S4,2022-06-15T21:30:00Z,0,16.7,0.983,85.96,0.03,15,15,660,133,1.1,1.99,16.8,4.1,2.7
FB4,S4,2022-06-15T21:45:00Z,0,16.7,0.984,85.97,0.03,15,15,695,132,0.98,1.76,16.7,4,2.7
FB4,S4,2022-06-15T22:00:00Z,0,16.6,0.985,85.98,0.03,15,15,787,133,0.93,2.06,16.6,4,2.7
FB4,S4,2022-06-15T22:15:00Z,0,16.6,0.986,85.98,0.03,15,15,674,134,0.76,1.74,16.6,4,2.7
FB4,S4,2022-06-15T22:30:00Z,0,16.6,0.986,85.98,0.03,15,15,750,141,1.1,2.05,16.6,4,2.7
FB4,S4,2022-06-15T22:45:00Z,0,16.4,0.986,85.98,0.03,15,15,595,137,0.92,1.95,16.3,4,2.7
FB4,S4,2022-06-15T23:00:00Z,0,16.2,0.985,85.97,0.03,15,15,698,133,0.86,1.76,16.2,4,2.7
FB4,S4,2022-06-15T23:15:00Z,0,16.2,0.986,85.95,0.03,15,15,555,135,1.11,2.02,16.2,4,2.7
FB4,S4,2022-06-15T23:30:00Z,0,16.2,0.986,85.94,0.03,15,15,620,138,1.28,2.33,16.2,4,2.8
FB4,S4,2022-06-15T23:45:00Z,0,16.2,0.986,85.93,0.03,15,15,685,136,1.12,2.17,16.1,4,2.8
FB4,S4,2022-06-16T00:00:00Z,0,16.2,0.985,85.93,0.03,15,15,644,136,1.08,1.8,16.2,4,2.7
