Tree,Station,Timestamp,MC2_Port6_degreeCAirTemperature,MC2_Port6_RHRelativeHumidity,MC2_Port6_kPaAtmosphericPressure,MC2_Port6_kPaVPD,MC2_Port5_minLeafWetness,MC2_Port5_minLeafWetnesshigh,MC2_Port5_WetnessLevel
FB6,S5,2022-06-16T13:15:00Z,21,0.84,85.84,0.4,0,0,441
FB6,S5,2022-06-16T13:30:00Z,20.2,0.852,85.84,0.35,0,0,449
FB6,S5,2022-06-16T13:45:00Z,19.8,0.87,85.84,0.3,0,0,444
FB6,S5,2022-06-16T14:00:00Z,19.4,0.889,85.82,0.25,0,0,444
FB6,S5,2022-06-16T14:15:00Z,19.4,0.875,85.8,0.28,0,0,442
FB6,S5,2022-06-16T14:30:00Z,19.8,0.862,85.79,0.32,0,0,443
FB6,S5,2022-06-16T14:45:00Z,20.1,0.861,85.8,0.33,0,0,444
FB6,S5,2022-06-16T15:00:00Z,19.7,0.879,85.78,0.28,5,3,547
FB6,S5,2022-06-16T15:15:00Z,18.6,0.928,85.76,0.15,15,15,676
FB6,S5,2022-06-16T15:30:00Z,18,0.959,85.77,0.08,15,15,711
FB6,S5,2022-06-16T15:45:00Z,17.5,0.968,85.76,0.06,15,15,699
FB6,S5,2022-06-16T16:00:00Z,17.2,0.982,85.77,0.03,15,15,848
FB6,S5,2022-06-16T16:15:00Z,17.2,0.991,85.76,0.02,15,15,900
FB6,S5,2022-06-16T16:30:00Z,17.2,0.999,85.76,0,15,15,945
FB6,S5,2022-06-16T16:45:00Z,17,1,85.76,0,15,15,905
FB6,S5,2022-06-16T17:00:00Z,16.7,1.001,85.77,0,15,15,905
FB6,S5,2022-06-16T17:15:00Z,16.5,1,85.77,0,15,15,904
FB6,S5,2022-06-16T17:30:00Z,16.6,1.001,85.8,0,15,15,904
FB6,S5,2022-06-16T17:45:00Z,16.7,1.001,85.81,0,15,15,909
FB6,S5,2022-06-16T18:00:00Z,16.6,1.001,85.84,0,15,15,792
FB6,S5,2022-06-16T18:15:00Z,16.7,0.999,85.86,0,15,15,796
FB6,S5,2022-06-16T18:30:00Z,16.8,0.999,85.89,0,15,15,780
FB6,S5,2022-06-16T18:45:00Z,16.8,1,85.9,0,15,15,854
FB6,S5,2022-06-16T19:00:00Z,16.7,1,85.91,0,15,15,814
FB6,S5,2022-06-16T19:15:00Z,16.7,1,85.92,0,15,15,761
FB6,S5,2022-06-16T19:30:00Z,16.7,1,85.93,0,15,15,774
FB6,S5,2022-06-16T19:45:00Z,16.8,1,85.94,0,15,15,782
FB6,S5,2022-06-16T20:00:00Z,16.8,1.001,85.96,0,15,15,790
FB6,S5,2022-06-16T20:15:00Z,16.8,1,85.97,0,15,15,792
FB6,S5,2022-06-16T20:30:00Z,16.8,1,85.97,0,15,15,802
FB6,S5,2022-06-16T20:45:00Z,16.7,1,85.98,0,15,15,814
FB6,S5,2022-06-16T21:00:00Z,16.8,1,85.97,0,15,15,827
FB6,S5,2022-06-16T21:15:00Z,16.8,1.001,85.97,0,15,15,838
FB6,S5,2022-06-16T21:30:00Z,16.8,1.001,85.98,0,15,15,843
FB6,S5,2022-06-16T21:45:00Z,16.8,1,85.98,0,15,15,899
FB6,S5,2022-06-16T22:00:00Z,16.9,1,85.99,0,15,15,947
FB6,S5,2022-06-16T22:15:00Z,16.9,1,85.98,0,15,15,1022
FB6,S5,2022-06-16T22:30:00Z,16.9,1.001,85.97,0,15,15,981
FB6,S5,2022-06-16T22:45:00Z,16.9,1.001,85.97,0,15,15,983
FB6,S5,2022-06-16T23:00:00Z,16.9,1,85.97,0,15,15,983
FB6,S5,2022-06-16T23:15:00Z,16.8,1,85.97,0,15,15,984
FB6,S5,2022-06-16T23:30:00Z,16.8,1,85.97,0,15,15,985
FB6,S5,2022-06-16T23:45:00Z,16.8,1,85.95,0,15,15,976
FB6,S5,2022-06-17T00:00:00Z,16.7,1,85.95,0,15,15,977
FB6,S5,2022-06-17T00:15:00Z,16.6,1.001,85.94,0,15,15,979
FB6,S5,2022-06-17T00:30:00Z,16.6,0.999,85.93,0,15,15,980
FB6,S5,2022-06-17T00:45:00Z,16.5,1,85.92,0,15,15,907
FB6,S5,2022-06-17T01:00:00Z,16.5,1.001,85.9,0,15,15,901
FB6,S5,2022-06-17T01:15:00Z,16.6,1,85.88,0,15,15,898
FB6,S5,2022-06-17T01:30:00Z,16.6,0.985,85.87,0.03,15,15,896
FB6,S5,2022-06-17T01:45:00Z,16.5,0.986,85.86,0.03,15,15,893
FB6,S5,2022-06-17T02:00:00Z,16.4,0.991,85.84,0.02,15,15,893
FB6,S5,2022-06-17T02:15:00Z,16.4,0.994,85.83,0.01,15,15,895
FB6,S5,2022-06-17T02:30:00Z,16.4,0.997,85.82,0.01,15,15,897
FB6,S5,2022-06-17T02:45:00Z,16.3,0.992,85.8,0.01,15,15,903
FB6,S5,2022-06-17T03:00:00Z,16,1,85.8,0,15,15,912
FB6,S5,2022-06-17T03:15:00Z,16,1,85.79,0,15,15,913
FB6,S5,2022-06-17T03:30:00Z,16.1,1,85.78,0,15,15,872
FB6,S5,2022-06-17T03:45:00Z,16.3,0.994,85.78,0.01,15,15,873
FB6,S5,2022-06-17T04:00:00Z,16.1,0.993,85.78,0.01,15,15,880
FB6,S5,2022-06-17T04:15:00Z,16,0.998,85.78,0,15,15,869
FB6,S5,2022-06-17T04:30:00Z,16.1,0.992,85.77,0.01,15,15,869
FB6,S5,2022-06-17T04:45:00Z,16,0.99,85.77,0.02,15,15,873
FB6,S5,2022-06-17T05:00:00Z,16,0.974,85.76,0.05,15,15,873
FB6,S5,2022-06-17T05:15:00Z,16.1,0.975,85.77,0.05,15,15,862
FB6,S5,2022-06-17T05:30:00Z,15.9,0.985,85.78,0.03,15,15,862
FB6,S5,2022-06-17T05:45:00Z,16.4,0.952,85.8,0.09,15,15,846
FB6,S5,2022-06-17T06:00:00Z,17.1,0.897,85.81,0.2,15,15,808
FB6,S5,2022-06-17T06:15:00Z,17.5,0.879,85.83,0.24,15,15,771
FB6,S5,2022-06-17T06:30:00Z,17.8,0.869,85.85,0.27,15,15,701
FB6,S5,2022-06-17T06:45:00Z,18.1,0.855,85.86,0.3,15,15,628
FB6,S5,2022-06-17T07:00:00Z,18.3,0.859,85.88,0.3,15,15,587
FB6,S5,2022-06-17T07:15:00Z,18.3,0.865,85.89,0.28,15,15,557
FB6,S5,2022-06-17T07:30:00Z,19.8,0.861,85.89,0.32,15,15,540
FB6,S5,2022-06-17T07:45:00Z,21.2,0.807,85.89,0.48,15,15,523
FB6,S5,2022-06-17T08:00:00Z,21.2,0.805,85.9,0.49,15,15,506
FB6,S5,2022-06-17T08:15:00Z,20.7,0.82,85.92,0.44,15,15,494
FB6,S5,2022-06-17T08:30:00Z,20,0.849,85.93,0.35,15,15,478
FB6,S5,2022-06-17T08:45:00Z,20.7,0.833,85.92,0.41,15,15,463
FB6,S5,2022-06-17T09:00:00Z,20.7,0.845,85.92,0.38,13,2,448
FB6,S5,2022-06-17T09:15:00Z,21.2,0.847,85.92,0.38,0,0,442
FB6,S5,2022-06-17T09:30:00Z,21.8,0.817,85.94,0.48,0,0,443
FB6,S5,2022-06-17T09:45:00Z,21.2,0.849,85.94,0.38,0,0,442
FB6,S5,2022-06-17T10:00:00Z,21.1,0.847,85.95,0.38,0,0,442
FB6,S5,2022-06-17T10:15:00Z,21.3,0.851,85.94,0.38,0,0,443
FB6,S5,2022-06-17T10:30:00Z,21.6,0.847,85.93,0.4,0,0,440
FB6,S5,2022-06-17T10:45:00Z,22,0.843,85.92,0.41,0,0,439
FB6,S5,2022-06-17T11:00:00Z,22,0.839,85.91,0.43,0,0,442
FB6,S5,2022-06-17T11:15:00Z,21.4,0.862,85.91,0.35,0,0,441
FB6,S5,2022-06-17T11:30:00Z,21.6,0.869,85.9,0.34,0,0,440
FB6,S5,2022-06-17T11:45:00Z,22.2,0.847,85.89,0.41,0,0,441
FB6,S5,2022-06-17T12:00:00Z,21.9,0.864,85.89,0.36,0,0,441
FB6,S5,2022-06-17T12:15:00Z,21.6,0.865,85.89,0.35,0,0,442
FB6,S5,2022-06-17T12:30:00Z,20.8,0.887,85.89,0.28,0,0,443
FB6,S5,2022-06-17T12:45:00Z,19.8,0.922,85.88,0.18,0,0,445
FB6,S5,2022-06-17T13:00:00Z,19.6,0.943,85.86,0.13,5,5,568
FB6,S5,2022-06-17T13:15:00Z,19.3,0.955,85.85,0.1,15,15,809
FB6,S5,2022-06-17T13:30:00Z,18.5,0.988,85.82,0.03,15,15,753
FB6,S5,2022-06-17T13:45:00Z,18.5,0.997,85.81,0.01,15,15,576
FB6,S5,2022-06-17T14:00:00Z,18,1,85.8,0,15,15,785
FB6,S5,2022-06-17T14:15:00Z,18,0.999,85.78,0,15,15,895
FB6,S5,2022-06-17T14:30:00Z,18,1,85.78,0,15,15,793
FB6,S5,2022-06-17T14:45:00Z,18.2,1,85.78,0,15,15,766
FB6,S5,2022-06-17T15:00:00Z,17.4,1,85.77,0,15,15,672
FB6,S5,2022-06-17T15:15:00Z,17.2,1,85.76,0,15,15,711
FB6,S5,2022-06-17T15:30:00Z,17.3,0.999,85.77,0,15,15,900
FB6,S5,2022-06-17T15:45:00Z,17.2,1,85.75,0,15,15,869
FB6,S5,2022-06-17T16:00:00Z,17.2,1,85.78,0,15,15,884
FB6,S5,2022-06-17T16:15:00Z,17.3,1,85.78,0,15,15,789
FB6,S5,2022-06-17T16:30:00Z,17.2,0.999,85.78,0,15,15,880
FB6,S5,2022-06-17T16:45:00Z,17.3,0.999,85.77,0,15,15,699
FB6,S5,2022-06-17T17:00:00Z,17.3,0.999,85.78,0,15,15,816
FB6,S5,2022-06-17T17:15:00Z,17.3,0.998,85.79,0,15,15,859
FB6,S5,2022-06-17T17:30:00Z,17.4,0.988,85.79,0.02,15,15,799
FB6,S5,2022-06-17T17:45:00Z,17.3,0.988,85.79,0.02,15,15,730
FB6,S5,2022-06-17T18:00:00Z,17.1,0.995,85.83,0.01,15,15,861
