Tree,Station,Timestamp,MC3_Port1_Wm2SolarRadiation,MC3_Port3_degreeCAirTemperature,MC3_Port3_RHRelativeHumidity,MC3_Port3_kPaAtmosphericPressure,MC3_Port3_kPaVPD,MC3_Port4_minLeafWetness,MC3_Port4_minLeafWetnesshigh,MC3_Port4_WetnessLevel,MC3_Port2_degreesWindDirection,MC3_Port2_msWindSpeed,MC3_Port2_msGustSpeed,MC3_Port2_degreeCAnemometerTemp,MC3_Port2_degreesXaxisLevel,MC3_Port2_degreesYaxisLevel
TV1,S3,2022-06-09T12:45:00Z,240.6,20.4,0.859,85.51,0.34,0,0,442,12,1.06,2.93,20.7,-3.9,1.8
TV1,S3,2022-06-09T13:00:00Z,295.3,20.7,0.846,85.49,0.38,0,0,442,32,1.51,5.65,20.8,-4,1.8
TV1,S3,2022-06-09T13:15:00Z,240.1,20.6,0.846,85.5,0.37,0,0,442,42,1.9,4.82,20.8,-3.9,1.8
TV1,S3,2022-06-09T13:30:00Z,145.6,19.9,0.877,85.49,0.28,0,0,443,42,1.5,4.86,20.2,-4,1.8
TV1,S3,2022-06-09T13:45:00Z,232.5,20.2,0.861,85.46,0.33,0,0,442,38,1.38,3.87,20.5,-3.9,1.8
TV1,S3,2022-06-09T14:00:00Z,376.6,20.4,0.856,85.45,0.35,0,0,442,32,1.05,3.59,20.6,-4,1.8
TV1,S3,2022-06-09T14:15:00Z,372.3,20.4,0.834,85.43,0.4,0,0,442,11,1.54,4.45,20.4,-4,1.8
TV1,S3,2022-06-09T14:30:00Z,193.2,19.9,0.852,85.44,0.34,0,0,442,28,2.37,6.58,20.2,-4,1.8
TV1,S3,2022-06-09T14:45:00Z,184.9,19.8,0.866,85.43,0.31,0,0,442,21,1.59,4.63,20.2,-4,1.8
TV1,S3,2022-06-09T15:00:00Z,136.6,19.7,0.858,85.44,0.33,0,0,442,13,1.54,5.72,20,-4.1,1.8
TV1,S3,2022-06-09T15:15:00Z,68.3,19.2,0.87,85.44,0.29,0,0,443,37,1.4,3.37,19.5,-4.1,1.9
TV1,S3,2022-06-09T15:30:00Z,38.8,18.8,0.892,85.43,0.23,0,0,443,43,1.76,4.43,19,-4.1,1.8
TV1,S3,2022-06-09T15:45:00Z,23.8,18.4,0.913,85.42,0.18,0,0,443,36,1.64,4.2,18.6,-4.1,1.8
TV1,S3,2022-06-09T16:00:00Z,25.6,18.3,0.93,85.43,0.15,0,0,443,48,1.02,2.7,18.5,-4,1.8
TV1,S3,2022-06-09T16:15:00Z,28.9,18.2,0.94,85.43,0.12,0,0,443,44,0.82,2.08,18.4,-4,1.8
TV1,S3,2022-06-09T16:30:00Z,11.5,18.1,0.947,85.46,0.11,12,12,627,38,1.06,2.66,18.1,-4,1.8
TV1,S3,2022-06-09T16:45:00Z,7.5,17.5,0.957,85.45,0.09,15,15,695,28,1.47,4.28,17.3,-3.9,2
TV1,S3,2022-06-09T17:00:00Z,0,17.2,0.958,85.45,0.08,15,15,658,48,1.72,4.15,17,-4,2.1
TV1,S3,2022-06-09T17:15:00Z,0,17,0.974,85.46,0.05,15,15,667,34,1.07,3.3,16.9,-3.8,2.1
TV1,S3,2022-06-09T17:30:00Z,0,17,0.977,85.47,0.04,15,15,623,42,1.77,5.78,17,-3.9,2.1
TV1,S3,2022-06-09T17:45:00Z,0,17,0.979,85.48,0.04,15,15,676,37,1.24,3.15,16.8,-3.9,2.1
TV1,S3,2022-06-09T18:00:00Z,0,17,0.981,85.49,0.04,15,15,767,50,1.54,3.79,16.8,-3.9,2.1
TV1,S3,2022-06-09T18:15:00Z,0,16.8,0.981,85.55,0.04,15,15,700,25,0.76,2.8,16.8,-3.9,2.2
TV1,S3,2022-06-09T18:30:00Z,0,16.6,0.979,85.57,0.04,15,15,712,30,0.82,3.46,16.6,-3.8,2.1
TV1,S3,2022-06-09T18:45:00Z,0,16.5,0.98,85.59,0.04,15,15,720,35,0.75,2.08,16.5,-3.9,2.1
TV1,S3,2022-06-09T19:00:00Z,0,16.3,0.975,85.59,0.05,15,15,674,23,0.84,2.12,16.3,-3.9,2.1
TV1,S3,2022-06-09T19:15:00Z,0,16.4,0.975,85.58,0.05,15,15,670,22,1.24,2.75,16.4,-3.9,2.1
TV1,S3,2022-06-09T19:30:00Z,0,16.6,0.968,85.57,0.06,15,15,665,17,1.36,3.04,16.7,-3.9,2.1
TV1,S3,2022-06-09T19:45:00Z,0,16.6,0.961,85.56,0.07,15,15,660,42,1.14,2.9,16.6,-3.9,2
TV1,S3,2022-06-09T20:00:00Z,0,16.7,0.943,85.56,0.11,15,15,651,51,1.23,2.57,16.8,-3.9,2
TV1,S3,2022-06-09T20:15:00Z,0,16.8,0.941,85.55,0.11,15,15,624,44,1.6,4.97,16.8,-3.9,2
TV1,S3,2022-06-09T20:30:00Z,0,16.6,0.958,85.56,0.08,15,15,618,43,0.88,1.94,16.7,-3.9,2
TV1,S3,2022-06-09T20:45:00Z,0,16.8,0.939,85.55,0.12,15,15,608,42,1.05,1.97,16.9,-3.9,2
TV1,S3,2022-06-09T21:00:00Z,0,16.8,0.928,85.55,0.14,15,15,600,30,0.74,1.77,16.7,-3.9,2
TV1,S3,2022-06-09T21:15:00Z,0,16.2,0.959,85.55,0.07,15,15,599,120,0.33,0.66,16.1,-3.9,1.9
TV1,S3,2022-06-09T21:30:00Z,0,15.9,0.97,85.56,0.05,15,15,596,134,0.34,0.68,16,-3.9,2
TV1,S3,2022-06-09T21:45:00Z,0,15.9,0.977,85.57,0.04,15,15,594,145,0.4,0.84,16,-3.9,2
TV1,S3,2022-06-09T22:00:00Z,0,15.9,0.982,85.57,0.03,15,15,593,150,0.47,1.07,15.9,-3.9,2
TV1,S3,2022-06-09T22:15:00Z,0,15.8,0.989,85.58,0.02,15,15,592,151,0.37,0.94,15.8,-3.9,2
TV1,S3,2022-06-09T22:30:00Z,0,15.7,0.991,85.59,0.02,15,15,592,136,0.26,0.75,15.8,-3.9,2
TV1,S3,2022-06-09T22:45:00Z,0,15.7,0.995,85.59,0.01,15,15,592,154,0.21,0.37,15.7,-3.9,2
TV1,S3,2022-06-09T23:00:00Z,0,15.6,0.997,85.59,0,15,15,593,140,0.18,0.47,15.6,-3.9,2
TV1,S3,2022-06-09T23:15:00Z,0,15.5,0.998,85.59,0,15,15,594,147,0.24,0.61,15.6,-3.9,2
TV1,S3,2022-06-09T23:30:00Z,0,15.5,1,85.58,0,15,15,595,69,0.28,0.74,15.5,-3.9,2
TV1,S3,2022-06-09T23:45:00Z,0,15.4,1.001,85.56,0,15,15,595,56,0.36,0.98,15.6,-3.9,2
TV1,S3,2022-06-10T00:00:00Z,0,15.5,1,85.55,0,15,15,596,98,0.18,0.48,15.5,-3.9,2
TV1,S3,2022-06-10T00:15:00Z,0,15.4,1.001,85.54,0,15,15,597,151,0.22,0.34,15.4,-3.9,2
TV1,S3,2022-06-10T00:30:00Z,0,15.3,0.999,85.52,0,15,15,595,175,0.22,0.49,15.4,-3.9,2
TV1,S3,2022-06-10T00:45:00Z,0,15.3,0.999,85.51,0,15,15,598,169,0.16,0.51,15.4,-3.9,2
TV1,S3,2022-06-10T01:00:00Z,0,15.3,1,85.5,0,15,15,600,139,0.18,0.46,15.4,-3.9,2
TV1,S3,2022-06-10T01:15:00Z,0,15.2,1,85.49,0,15,15,601,161,0.18,0.46,15.3,-4,2
TV1,S3,2022-06-10T01:30:00Z,0,15.2,1,85.48,0,15,15,602,163,0.14,0.35,15.3,-4,2
TV1,S3,2022-06-10T01:45:00Z,0,15.2,1,85.46,0,15,15,605,161,0.19,0.35,15.3,-3.9,2
TV1,S3,2022-06-10T02:00:00Z,0,15.2,1.001,85.44,0,15,15,605,58,0.37,1.29,15.3,-3.9,2
TV1,S3,2022-06-10T02:15:00Z,0,15.8,1,85.44,0,15,15,601,46,0.96,1.88,16,-3.9,2
TV1,S3,2022-06-10T02:30:00Z,0,16.1,0.999,85.41,0,15,15,597,45,1.11,2.23,16.1,-3.9,2
TV1,S3,2022-06-10T02:45:00Z,0,16,1,85.39,0,15,15,591,42,1.17,2.41,16.1,-4,2
TV1,S3,2022-06-10T03:00:00Z,0,15.9,0.998,85.37,0,15,15,587,48,1.22,2.36,16,-4,2
