Tree,Station,Timestamp,MC2_Port5_degreeCAirTemperature,MC2_Port5_RHRelativeHumidity,MC2_Port5_kPaAtmosphericPressure,MC2_Port5_kPaVPD,MC2_Port6_minLeafWetness,MC2_Port6_minLeafWetnesshigh,MC2_Port6_WetnessLevel
TV2,S5,2022-08-12T11:00:00Z,19.2,0.907,85.73,0.21,0,0,448
TV2,S5,2022-08-12T11:15:00Z,19.4,0.895,85.72,0.24,0,0,448
TV2,S5,2022-08-12T11:30:00Z,19.6,0.892,85.72,0.25,0,0,448
TV2,S5,2022-08-12T11:45:00Z,19.6,0.897,85.71,0.24,0,0,448
TV2,S5,2022-08-12T12:00:00Z,20.2,0.886,85.7,0.27,0,0,446
TV2,S5,2022-08-12T12:15:00Z,20.1,0.882,85.69,0.28,0,0,447
TV2,S5,2022-08-12T12:30:00Z,19.7,0.903,85.67,0.22,3,0,447
TV2,S5,2022-08-12T12:45:00Z,19.8,0.892,85.66,0.25,0,0,447
TV2,S5,2022-08-12T13:00:00Z,19.6,0.885,85.64,0.26,0,0,448
TV2,S5,2022-08-12T13:15:00Z,19.2,0.897,85.62,0.23,0,0,448
TV2,S5,2022-08-12T13:30:00Z,19.2,0.901,85.6,0.22,0,0,448
TV2,S5,2022-08-12T13:45:00Z,19.7,0.883,85.6,0.27,0,0,448
TV2,S5,2022-08-12T14:00:00Z,20.1,0.885,85.61,0.27,0,0,448
TV2,S5,2022-08-12T14:15:00Z,19.4,0.893,85.6,0.24,0,0,448
TV2,S5,2022-08-12T14:30:00Z,18.9,0.926,85.59,0.16,0,0,449
TV2,S5,2022-08-12T14:45:00Z,18.7,0.952,85.6,0.1,14,0,450
TV2,S5,2022-08-12T15:00:00Z,18.8,0.953,85.59,0.1,9,0,450
TV2,S5,2022-08-12T15:15:00Z,19.3,0.927,85.58,0.16,0,0,448
TV2,S5,2022-08-12T15:30:00Z,18.9,0.925,85.57,0.16,0,0,449
TV2,S5,2022-08-12T15:45:00Z,18.4,0.949,85.56,0.11,0,0,450
