Tree,Station,Timestamp,MC2_Port4_Wm2SolarRadiation,MC2_Port5_degreeCAirTemperature,MC2_Port5_RHRelativeHumidity,MC2_Port5_kPaAtmosphericPressure,MC2_Port5_kPaVPD,MC2_Port6_minLeafWetness,MC2_Port6_minLeafWetnesshigh,MC2_Port6_WetnessLevel
TV4,S2,2022-08-16T11:15:00Z,90.8,19.1,0.975,85.18,0.05,6,0,449
TV4,S2,2022-08-16T11:30:00Z,65.7,19.8,0.93,85.16,0.16,0,0,449
TV4,S2,2022-08-16T11:45:00Z,43.8,18.5,0.966,85.16,0.07,0,0,450
TV4,S2,2022-08-16T12:00:00Z,27.6,17.5,0.996,85.15,0.01,11,2,924
TV4,S2,2022-08-16T12:15:00Z,13,17.1,1.001,85.14,0,15,15,609
TV4,S2,2022-08-16T12:30:00Z,10.4,16.9,1,85.14,0,15,15,924
TV4,S2,2022-08-16T12:45:00Z,17.9,16.8,1.001,85.13,0,15,15,898
TV4,S2,2022-08-16T13:00:00Z,15.6,16.9,1.001,85.11,0,15,15,808
TV4,S2,2022-08-16T13:15:00Z,9.9,17,1.001,85.11,0,15,15,608
TV4,S2,2022-08-16T13:30:00Z,13.5,17,1.001,85.09,0,15,15,604
TV4,S2,2022-08-16T13:45:00Z,9.9,17,1,85.08,0,15,15,696
TV4,S2,2022-08-16T14:00:00Z,12.5,17,1,85.06,0,15,15,581
TV4,S2,2022-08-16T14:15:00Z,10.1,17.2,1,85.04,0,15,15,627
TV4,S2,2022-08-16T14:30:00Z,9.2,17.3,1,85.02,0,15,15,664
TV4,S2,2022-08-16T14:45:00Z,7.3,17.2,1,85.01,0,15,15,608
TV4,S2,2022-08-16T15:00:00Z,10.6,17.4,1,85.01,0,15,15,612
TV4,S2,2022-08-16T15:15:00Z,11.9,17.4,1,85.01,0,15,15,561
TV4,S2,2022-08-16T15:30:00Z,27.6,17.4,1,85.01,0,15,15,542
TV4,S2,2022-08-16T15:45:00Z,26.4,17.5,0.999,85.02,0,15,15,522
TV4,S2,2022-08-16T16:00:00Z,13.7,17.3,1,85.02,0,15,15,513
TV4,S2,2022-08-16T16:15:00Z,15.2,17.2,1,85.02,0,15,15,504
TV4,S2,2022-08-16T16:30:00Z,8.1,17.1,1.002,85.02,0,15,15,499
TV4,S2,2022-08-16T16:45:00Z,6.8,17.1,1.001,85.02,0,15,15,491
TV4,S2,2022-08-16T17:00:00Z,6.4,17.1,1.001,85.02,0,15,15,482
TV4,S2,2022-08-16T17:15:00Z,0,17,1.001,85.02,0,15,15,523
TV4,S2,2022-08-16T17:30:00Z,0,16.8,1,85.01,0,15,15,544
TV4,S2,2022-08-16T17:45:00Z,0,16.7,1.001,85.02,0,15,15,543
TV4,S2,2022-08-16T18:00:00Z,0,16.6,1,85.01,0,15,15,532
TV4,S2,2022-08-16T18:15:00Z,0,16.6,1.001,85.02,0,15,15,527
TV4,S2,2022-08-16T18:30:00Z,0,16.7,1.001,85.03,0,15,15,540
TV4,S2,2022-08-16T18:45:00Z,0,16.7,1,85.03,0,15,15,544
TV4,S2,2022-08-16T19:00:00Z,0,16.8,1,85.04,0,15,15,557
TV4,S2,2022-08-16T19:15:00Z,0,16.8,1.001,85.05,0,15,15,545
TV4,S2,2022-08-16T19:30:00Z,0,16.8,0.999,85.07,0,15,15,559
TV4,S2,2022-08-16T19:45:00Z,0,16.8,1,85.08,0,15,15,572
TV4,S2,2022-08-16T20:00:00Z,0,16.8,1,85.1,0,15,15,556
TV4,S2,2022-08-16T20:15:00Z,0,16.7,1.002,85.11,0,15,15,549
TV4,S2,2022-08-16T20:30:00Z,0,16.6,0.999,85.12,0,15,15,529
TV4,S2,2022-08-16T20:45:00Z,0,16.4,1,85.14,0,15,15,521
TV4,S2,2022-08-16T21:00:00Z,0,16.4,1,85.16,0,15,15,522
TV4,S2,2022-08-16T21:15:00Z,0,16.4,0.999,85.17,0,15,15,515
TV4,S2,2022-08-16T21:30:00Z,0,16.3,1,85.16,0,15,15,512
TV4,S2,2022-08-16T21:45:00Z,0,16.1,1,85.16,0,15,15,503
