Timestamp,Wm2SolarRadiation,mmPrecipitation,LightningActivity,kmLightningDistance,degreesWindDirection,msWindSpeed,msGustSpeed,degreeCAirTemperature,RHRelativeHumidity,kPaAtmosphericPressure,degreesXaxisLevel,degreesYaxisLevel,mmhMaxPrecipRate,degreeCRHSensorTemp,kPaVPD,minLeafWetness,minLeafWetnesshigh,WetnessLevel,BatteryPercent,mVBatteryVoltage,kPaReferencePressure,degreeCLoggerTemperature,mmPrecipitation_ExtraSensor,mmhMaxPrecipRate_ExtraSensor,PastureID
2022-08-25T10:30:00Z,1043.3,0,0,0,1,1.53,3.66,21.9,0.856,85.57,3.8,-1.4,0,25.2,0.38,0,0,443,73,7574,85.49,25,NA,NA,TVP
2022-08-25T10:45:00Z,1074.1,0,0,0,3,1.88,4.26,21.8,0.865,85.57,3.8,-1.4,0,25.4,0.35,0,0,443,73,7581,85.49,25.4,NA,NA,TVP
2022-08-25T11:00:00Z,1073.4,0,0,0,355,2.15,4.05,21.6,0.869,85.57,3.8,-1.3,0,25.1,0.34,0,0,444,75,7592,85.48,25.2,NA,NA,TVP
2022-08-25T11:15:00Z,1129.5,0,0,0,358,2.3,5.03,21.9,0.867,85.55,3.7,-1.4,0,25.1,0.35,0,0,443,75,7593,85.47,25.3,NA,NA,TVP
2022-08-25T11:30:00Z,1111.3,0,0,0,352,2.61,4.53,21.5,0.87,85.55,3.7,-1.4,0,24.7,0.33,0,0,443,76,7602,85.46,25.1,NA,NA,TVP
2022-08-25T11:45:00Z,917.9,0,0,0,2,2.72,4.52,21.6,0.882,85.55,3.8,-1.6,0,24.4,0.3,0,0,443,76,7604,85.46,25.1,NA,NA,TVP
2022-08-25T12:00:00Z,441.3,0,0,0,7,2.38,5.37,20.5,0.907,85.56,3.7,-1.5,0,23.5,0.22,0,0,444,77,7615,85.46,24.6,NA,NA,TVP
2022-08-25T12:15:00Z,305.6,0.034,0,0,5,2.29,4.17,20,0.921,85.56,3.6,-1.4,2,22.5,0.18,9,3,493,77,7615,85.45,23.8,NA,NA,TVP
2022-08-25T12:30:00Z,681.6,0.085,0,0,8,2.42,6.46,19.5,0.942,85.54,3.5,-1.3,2,21.5,0.13,15,15,472,79,7625,85.45,22.6,NA,NA,TVP
2022-08-25T12:45:00Z,504.7,0,0,0,8,2.33,5.55,19.8,0.926,85.53,3.6,-1.4,0,21.4,0.17,9,5,445,80,7637,85.43,22.5,NA,NA,TVP
