Tree,Station,Timestamp,Solar,Temp,RH,Atmos_pressure,LW_minutes,LW_minutes_H,LWS_Count,Wind_direction,Wind_speed,Gust_speed,Precip_max,Precipitation
ETP2,S0,2022-07-22T14:45:00Z,249.7,19.8,0.949,87.95,15,15,477,61,0.55,1.53,0,0
ETP2,S0,2022-07-22T15:00:00Z,269.3,19.9,0.938,87.94,15,15,468,157,0.55,1.77,0,0
ETP2,S0,2022-07-22T15:15:00Z,218.4,20.1,0.935,87.95,15,15,539,133,0.49,1.22,0,0
ETP2,S0,2022-07-22T15:30:00Z,178.5,20.2,0.93,87.96,15,15,534,105,0.45,1.24,0,0
ETP2,S0,2022-07-22T15:45:00Z,134.9,20,0.94,87.96,15,15,784,42,0.42,1.24,2,0.153
ETP2,S0,2022-07-22T16:00:00Z,122.6,19.5,0.965,87.95,15,15,865,18,0.49,2.43,3.1,0.17
ETP2,S0,2022-07-22T16:15:00Z,121.1,19.1,0.967,87.96,15,15,823,171,0.55,1.82,0,0
ETP2,S0,2022-07-22T16:30:00Z,80,18.9,0.949,87.99,15,15,812,119,0.42,1.09,0,0
ETP2,S0,2022-07-22T16:45:00Z,56.7,18.8,0.947,87.99,15,15,805,96,0.37,1.05,0,0
ETP2,S0,2022-07-22T17:00:00Z,32.4,18.8,0.941,88,15,15,796,139,0.73,1.58,0,0
ETP2,S0,2022-07-22T17:15:00Z,36.7,18.8,0.94,88.01,15,15,784,98,0.65,1.44,0,0
ETP2,S0,2022-07-22T17:30:00Z,32.6,18.8,0.937,88.02,15,15,773,113,0.42,1.17,0,0
ETP2,S0,2022-07-22T17:45:00Z,15.3,18.7,0.95,88.03,15,15,766,66,0.27,0.78,0,0
ETP2,S0,2022-07-22T18:00:00Z,2.1,18.9,0.94,88.06,15,15,733,143,0.61,1.29,0,0
ETP2,S0,2022-07-22T18:15:00Z,0,18.8,0.951,88.07,15,15,767,88,0.62,1.96,0,0
ETP2,S0,2022-07-22T18:30:00Z,0,18.8,0.96,88.09,15,15,840,67,0.56,1.47,1,0.017
ETP2,S0,2022-07-22T18:45:00Z,0,18.8,0.955,88.11,15,15,798,75,0.53,1.82,0,0
ETP2,S0,2022-07-22T19:00:00Z,0,18.8,0.958,88.12,15,15,794,112,0.31,1.21,0,0
ETP2,S0,2022-07-22T19:15:00Z,0,18.7,0.958,88.13,15,15,791,153,0.5,1.38,0,0
ETP2,S0,2022-07-22T19:30:00Z,0,18.8,0.954,88.12,15,15,778,49,0.35,0.94,0,0
ETP2,S0,2022-07-22T19:45:00Z,0,18.8,0.946,88.12,15,15,692,166,0.5,2.96,0,0
ETP2,S0,2022-07-22T20:00:00Z,0,18.7,0.957,88.13,15,15,679,264,0.35,1.69,0,0
ETP2,S0,2022-07-22T20:15:00Z,0,18.8,0.953,88.13,15,15,678,207,0.33,1.48,0,0
