Tree,MC,Timestamp,Port1_Solar,Port2_Solar,Port3_Temp,Port3_RH,Port3_Atmos_pressure,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port5_Temp,Port5_RH,Port5_Atmos_pressure,Port6_LW_minutes,Port6_LW_minutes_H,Port6_LWS_Count,Port7_Drop1,Port7_Drop2,Port8_Drop3,Port8_Drop4
ET1,MC2,2023-04-11T08:45:00Z,436,473.7,18.5,0.896,88.23,15,0,451,18.6,0.88,88.12,15,0,451,100,8465,88.04,20.5
ET1,MC2,2023-04-11T09:00:00Z,584.5,623.1,18.9,0.881,88.23,15,0,450,19.1,0.863,88.12,15,0,450,100,8492,88.04,20.7
ET1,MC2,2023-04-11T09:15:00Z,547.7,593.6,19.1,0.856,88.23,15,0,450,19.1,0.843,88.12,14,0,450,100,8509,88.04,21
ET1,MC2,2023-04-11T09:30:00Z,624.6,698.7,19.2,0.852,88.22,15,0,450,19.4,0.838,88.1,14,0,450,100,8537,88.02,21.2
ET1,MC2,2023-04-11T09:45:00Z,458.3,700.7,19.5,0.841,88.22,15,0,450,19.7,0.827,88.1,2,0,450,100,8540,88.02,21.6
ET1,MC2,2023-04-11T10:00:00Z,510.9,918.6,19.8,0.821,88.21,11,0,450,19.9,0.812,88.09,0,0,448,100,8570,88.02,21.9
ET1,MC2,2023-04-11T10:15:00Z,596.7,894.5,20.1,0.792,88.2,1,0,450,20.3,0.784,88.09,0,0,448,100,8588,88.01,22.3
ET1,MC2,2023-04-11T10:30:00Z,944.3,988.4,20.7,0.751,88.19,0,0,449,20.8,0.75,88.07,0,0,448,100,8595,88,22.6
ET1,MC2,2023-04-11T10:45:00Z,777.6,796.5,20.7,0.744,88.17,0,0,449,20.9,0.744,88.05,0,0,448,100,8598,87.98,22.8
ET1,MC2,2023-04-11T11:00:00Z,1043.9,1028.7,21.2,0.756,88.15,0,0,448,21.3,0.758,88.04,0,0,447,100,8611,87.96,23
ET1,MC2,2023-04-11T11:15:00Z,790.5,447.3,21,0.761,88.15,0,0,448,21.3,0.756,88.03,0,0,448,100,8611,87.96,23.1
ET1,MC2,2023-04-11T11:30:00Z,524.8,373.2,21,0.75,88.13,0,0,449,21.1,0.749,88.01,0,0,448,100,8608,87.93,22.9
ET1,MC2,2023-04-11T11:45:00Z,502.1,350.8,21.2,0.782,88.1,0,0,449,21.2,0.778,87.99,0,0,449,100,8599,87.91,22.6
ET1,MC2,2023-04-11T12:00:00Z,508.9,360.5,21.3,0.795,88.09,0,0,449,21.4,0.793,87.98,0,0,449,100,8593,87.9,22.6
ET1,MC2,2023-04-11T12:15:00Z,613.6,493.5,21.3,0.798,88.07,0,0,449,21.3,0.793,87.96,0,0,449,100,8586,87.89,22.4
ET1,MC2,2023-04-11T12:30:00Z,450.4,699.8,21.4,0.798,88.06,0,0,448,21.4,0.794,87.95,0,0,449,100,8581,87.88,22.3
ET1,MC2,2023-04-11T12:45:00Z,654.1,347.5,21.6,0.779,88.05,0,0,448,21.3,0.787,87.94,0,0,449,100,8575,87.87,22.2
ET1,MC2,2023-04-11T13:00:00Z,482.7,275.4,21.3,0.787,88.02,0,0,449,20.9,0.799,87.91,0,0,450,100,8567,87.86,22
ET1,MC2,2023-04-11T13:15:00Z,517.8,184.6,21.1,0.811,88.01,0,0,449,20.8,0.817,87.9,4,0,450,100,8567,87.83,21.8
ET1,MC2,2023-04-11T13:30:00Z,162,144.3,21.2,0.815,87.99,1,0,450,21.2,0.813,87.88,10,0,450,100,8561,87.8,21.8
ET1,MC2,2023-04-11T13:45:00Z,251.4,291.7,21.3,0.825,87.97,2,0,450,21.4,0.818,87.86,5,0,449,100,8553,87.78,21.8
ET1,MC2,2023-04-11T14:00:00Z,154.7,286,21.4,0.818,87.96,5,0,450,21.6,0.805,87.84,5,0,450,100,8552,87.77,21.9
ET1,MC2,2023-04-11T14:15:00Z,158.6,244.3,21.7,0.814,87.94,6,0,450,21.6,0.809,87.83,3,0,450,100,8547,87.75,22.1
ET1,MC2,2023-04-11T14:30:00Z,152.7,270.6,21.5,0.831,87.92,15,0,450,21.5,0.825,87.81,10,0,450,100,8543,87.74,22.2
ET1,MC2,2023-04-11T14:45:00Z,134,296.6,21.7,0.819,87.9,15,0,450,22,0.803,87.79,1,0,449,100,8539,87.72,22.4
ET1,MC2,2023-04-11T15:00:00Z,196.5,318.1,21.7,0.83,87.9,10,0,450,21.8,0.818,87.79,3,0,449,100,8532,87.71,22.6
ET1,MC2,2023-04-11T15:15:00Z,115.9,434.5,21.3,0.842,87.89,15,0,450,21.6,0.823,87.78,3,0,450,100,8530,87.7,22.4
