Tree,MC,Timestamp,Port5_Temp,Port5_Atmos_pressure,Port5_RH,Port5_VPD,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count
ET2,MC1,2023-05-31T18:45:00Z,19.2,88.16,0.91,0.2,88.16,0.867,0.3,19.2,0,0,450,0,15,0,15,452
ET2,MC1,2023-05-31T19:00:00Z,19.4,88.2,0.903,0.22,88.19,0.86,0.31,19.4,0,0,450,0,15,0,15,452
ET2,MC1,2023-05-31T19:15:00Z,19.4,88.22,0.898,0.23,88.21,0.854,0.33,19.4,0,0,450,0,15,0,15,452
ET2,MC1,2023-05-31T19:30:00Z,19.4,88.24,0.906,0.21,88.23,0.861,0.31,19.4,0,0,450,0,15,0,15,452
ET2,MC1,2023-05-31T19:45:00Z,19.5,88.26,0.897,0.23,88.25,0.853,0.33,19.5,0,0,450,0,13,0,15,452
ET2,MC1,2023-05-31T20:00:00Z,19.7,88.28,0.874,0.29,88.27,0.831,0.39,19.8,0,0,450,0,3,0,15,451
ET2,MC1,2023-05-31T20:15:00Z,19.8,88.29,0.858,0.33,88.28,0.818,0.42,19.8,0,0,450,0,5,0,15,453
ET2,MC1,2023-05-31T20:30:00Z,19.9,88.3,0.85,0.35,88.29,0.813,0.43,19.8,0,0,450,0,8,0,15,452
ET2,MC1,2023-05-31T20:45:00Z,19.8,88.31,0.861,0.32,88.3,0.824,0.41,19.8,0,0,452,0,13,1,15,453
ET2,MC1,2023-05-31T21:00:00Z,19.7,88.31,0.881,0.27,88.3,0.841,0.36,19.6,0,0,450,0,4,0,15,452
ET2,MC1,2023-05-31T21:15:00Z,19.5,88.31,0.901,0.23,88.3,0.857,0.33,19.6,0,0,450,0,14,0,15,454
ET2,MC1,2023-05-31T21:30:00Z,19.6,88.32,0.908,0.21,88.31,0.864,0.31,19.5,0,0,450,0,15,0,15,452
ET2,MC1,2023-05-31T21:45:00Z,19.6,88.33,0.913,0.2,88.32,0.87,0.29,19.5,0,0,450,0,15,0,15,456
ET2,MC1,2023-05-31T22:00:00Z,19.6,88.33,0.918,0.19,88.32,0.874,0.29,19.6,0,0,452,5,15,10,15,456
ET2,MC1,2023-05-31T22:15:00Z,19.3,88.33,0.931,0.15,88.32,0.886,0.26,19.4,0,0,566,15,15,15,15,650
ET2,MC1,2023-05-31T22:30:00Z,19,88.33,0.955,0.1,88.32,0.906,0.21,19,0,0,529,15,15,15,15,577
ET2,MC1,2023-05-31T22:45:00Z,18.9,88.34,0.967,0.07,88.33,0.916,0.18,19,0,0,663,15,15,15,15,1002
ET2,MC1,2023-05-31T23:00:00Z,18.7,88.33,0.981,0.04,88.31,0.93,0.15,18.8,0,0,582,15,15,15,15,910
ET2,MC1,2023-05-31T23:15:00Z,18.6,88.33,0.991,0.02,88.32,0.938,0.13,18.7,0,0,564,15,15,15,15,790
ET2,MC1,2023-05-31T23:30:00Z,18.6,88.31,0.998,0,88.3,0.943,0.12,18.6,0,0,606,15,15,15,15,949
ET2,MC1,2023-05-31T23:45:00Z,18.6,88.3,1,0,88.29,0.952,0.1,18.7,0,0,600,15,15,15,15,766
ET2,MC1,2023-06-01T00:00:00Z,18.7,88.29,1,0,88.29,0.953,0.1,18.7,0,0,534,15,15,15,15,625
ET2,MC1,2023-06-01T00:15:00Z,18.8,88.28,1,0,88.27,0.954,0.1,18.7,0,0,503,15,15,15,15,567
ET2,MC1,2023-06-01T00:30:00Z,18.8,88.25,0.999,0,88.24,0.953,0.1,18.8,0,0,510,15,15,15,15,598
ET2,MC1,2023-06-01T00:45:00Z,18.8,88.23,1,0,88.22,0.951,0.11,18.8,0,0,506,15,15,15,15,617
ET2,MC1,2023-06-01T01:00:00Z,18.9,88.22,0.996,0.01,88.21,0.944,0.12,18.9,0,0,507,15,15,15,15,636
ET2,MC1,2023-06-01T01:15:00Z,18.9,88.19,0.999,0,88.18,0.948,0.11,18.9,0,0,522,15,15,15,15,621
ET2,MC1,2023-06-01T01:30:00Z,18.8,88.15,1,0,88.15,0.952,0.1,18.8,0,0,501,15,15,15,15,559
ET2,MC1,2023-06-01T01:45:00Z,18.8,88.12,0.999,0,88.11,0.949,0.11,18.8,0,0,486,15,15,15,15,540
ET2,MC1,2023-06-01T02:00:00Z,18.7,88.11,0.994,0.01,88.1,0.946,0.12,18.6,0,0,475,15,15,15,15,517
ET2,MC1,2023-06-01T02:15:00Z,18.7,88.1,0.991,0.02,88.09,0.942,0.12,18.6,0,0,470,15,15,15,15,500
ET2,MC1,2023-06-01T02:30:00Z,18.7,88.08,0.988,0.03,88.08,0.939,0.13,18.7,0,0,536,15,15,15,15,790
ET2,MC1,2023-06-01T02:45:00Z,18.6,88.08,0.986,0.03,88.07,0.935,0.14,18.6,0,0,548,15,15,15,15,785
ET2,MC1,2023-06-01T03:00:00Z,18.5,88.06,0.989,0.02,88.05,0.937,0.13,18.4,0,0,517,15,15,15,15,655
ET2,MC1,2023-06-01T03:15:00Z,18.4,88.05,0.992,0.02,88.04,0.942,0.12,18.3,0,0,485,15,15,15,15,574
ET2,MC1,2023-06-01T03:30:00Z,18.4,88.05,0.99,0.02,88.04,0.94,0.13,18.4,0,0,497,15,15,15,15,599
ET2,MC1,2023-06-01T03:45:00Z,18.5,88.05,0.987,0.03,88.04,0.939,0.13,18.4,0,0,483,15,15,15,15,546
ET2,MC1,2023-06-01T04:00:00Z,18.6,88.05,0.986,0.03,88.04,0.937,0.13,18.5,0,0,471,15,15,15,15,508
ET2,MC1,2023-06-01T04:15:00Z,18.6,88.06,0.985,0.03,88.05,0.936,0.14,18.6,0,0,468,15,15,15,15,502
ET2,MC1,2023-06-01T04:30:00Z,18.8,88.06,0.98,0.04,88.06,0.932,0.15,18.7,0,0,460,15,15,15,15,495
ET2,MC1,2023-06-01T04:45:00Z,18.9,88.06,0.972,0.06,88.06,0.926,0.16,18.8,0,0,454,1,15,15,15,485
ET2,MC1,2023-06-01T05:00:00Z,19.3,88.08,0.94,0.13,88.07,0.904,0.21,19,0,0,452,0,15,13,15,455
ET2,MC1,2023-06-01T05:15:00Z,19.5,88.09,0.909,0.21,88.09,0.872,0.29,19.3,0,0,451,0,15,0,15,452
ET2,MC1,2023-06-01T05:30:00Z,19.8,88.11,0.876,0.29,88.1,0.84,0.36,19.6,0,0.5,450,0,15,0,15,451
ET2,MC1,2023-06-01T05:45:00Z,20.1,88.12,0.848,0.36,88.11,0.815,0.43,19.9,4.8,8.4,450,0,15,0,15,451
ET2,MC1,2023-06-01T06:00:00Z,20.1,88.15,0.845,0.36,88.14,0.811,0.44,19.9,12.1,18.3,450,0,11,0,15,451
ET2,MC1,2023-06-01T06:15:00Z,20.1,88.17,0.844,0.37,88.16,0.813,0.44,20,19.6,30,450,0,4,0,15,451
ET2,MC1,2023-06-01T06:30:00Z,20.1,88.19,0.854,0.34,88.18,0.821,0.42,20,22,32.4,450,0,4,0,15,451
ET2,MC1,2023-06-01T06:45:00Z,20,88.2,0.865,0.32,88.19,0.83,0.39,19.8,27.8,40.3,450,0,10,0,15,451
ET2,MC1,2023-06-01T07:00:00Z,20.1,88.23,0.874,0.3,88.22,0.837,0.38,19.9,36.6,52.7,450,0,15,0,15,452
ET2,MC1,2023-06-01T07:15:00Z,20.2,88.25,0.88,0.28,88.24,0.849,0.35,20,65.4,90.5,450,0,15,0,15,451
ET2,MC1,2023-06-01T07:30:00Z,20.8,88.26,0.92,0.2,88.25,0.883,0.28,20.6,128.5,155.8,450,0,15,0,15,450
ET2,MC1,2023-06-01T07:45:00Z,20.8,88.28,0.905,0.23,88.27,0.87,0.32,20.8,247.6,174.3,450,0,9,0,13,456
ET2,MC1,2023-06-01T08:00:00Z,21.1,88.29,0.906,0.23,88.27,0.858,0.36,21.3,219,204.2,450,0,2,5,14,450
ET2,MC1,2023-06-01T08:15:00Z,21.2,88.3,0.887,0.28,88.28,0.837,0.42,21.4,165.9,183.8,450,0,0,0,13,450
ET2,MC1,2023-06-01T08:30:00Z,21.2,88.32,0.878,0.31,88.31,0.834,0.42,21.2,203.8,231.3,449,0,0,0,9,449
ET2,MC1,2023-06-01T08:45:00Z,21.7,88.33,0.87,0.34,88.31,0.832,0.43,21.7,207.6,236.4,449,0,0,0,1,449
ET2,MC1,2023-06-01T09:00:00Z,21.9,88.33,0.854,0.38,88.32,0.818,0.48,21.9,230.9,266.8,449,0,0,0,0,449
ET2,MC1,2023-06-01T09:15:00Z,21.6,88.34,0.876,0.32,88.32,0.834,0.43,21.6,203.8,263.1,449,0,0,0,0,450
ET2,MC1,2023-06-01T09:30:00Z,21.8,88.32,0.874,0.33,88.31,0.83,0.44,21.8,243.2,318.8,449,0,0,0,0,449
ET2,MC1,2023-06-01T09:45:00Z,22,88.32,0.854,0.38,88.3,0.815,0.49,22,158.9,232.2,449,0,0,0,0,449
ET2,MC1,2023-06-01T10:00:00Z,22,88.3,0.848,0.4,88.29,0.809,0.51,22.1,196.7,483.6,448,0,0,0,0,446
ET2,MC1,2023-06-01T10:15:00Z,22.4,88.3,0.842,0.43,88.29,0.801,0.54,22.5,182,258.5,448,0,0,0,0,448
ET2,MC1,2023-06-01T10:30:00Z,22.5,88.29,0.826,0.48,88.27,0.79,0.57,22.5,191.2,283.6,448,0,0,0,0,448
ET2,MC1,2023-06-01T10:45:00Z,23.1,88.27,0.826,0.49,88.26,0.793,0.58,23,206.2,289.7,448,0,0,0,0,448
ET2,MC1,2023-06-01T11:00:00Z,23.5,88.26,0.8,0.58,88.25,0.762,0.69,23.6,207.5,333.8,448,0,0,0,0,447
ET2,MC1,2023-06-01T11:15:00Z,23.9,88.25,0.801,0.59,88.23,0.773,0.66,23.6,213.9,342.4,448,0,0,0,0,447
ET2,MC1,2023-06-01T11:30:00Z,23,88.24,0.849,0.42,88.22,0.811,0.53,22.9,193.2,308.7,449,0,0,0,0,448
ET2,MC1,2023-06-01T11:45:00Z,22.7,88.23,0.876,0.34,88.22,0.834,0.46,22.7,103.3,152.7,449,0,0,0,1,450
ET2,MC1,2023-06-01T12:00:00Z,22.7,88.22,0.883,0.32,88.2,0.843,0.43,22.6,164.8,227.4,449,0,0,0,0,449
ET2,MC1,2023-06-01T12:15:00Z,22.6,88.19,0.881,0.32,88.18,0.839,0.44,22.6,177.8,273.9,449,0,0,0,0,449
ET2,MC1,2023-06-01T12:30:00Z,22.7,88.17,0.889,0.3,88.16,0.845,0.43,22.7,161.7,252.3,449,0,0,0,1,449
ET2,MC1,2023-06-01T12:45:00Z,22.9,88.16,0.873,0.36,88.14,0.83,0.48,23,132.6,187.3,449,0,0,0,0,449
ET2,MC1,2023-06-01T13:00:00Z,22.8,88.14,0.887,0.31,88.13,0.842,0.44,22.9,130.4,191.3,449,0,0,0,7,450
ET2,MC1,2023-06-01T13:15:00Z,22.6,88.13,0.896,0.28,88.12,0.85,0.41,22.6,131.3,195.2,449,0,0,0,6,450
ET2,MC1,2023-06-01T13:30:00Z,22.3,88.14,0.918,0.22,88.12,0.869,0.35,22.3,110.6,166.4,450,0,0,0,15,451
ET2,MC1,2023-06-01T13:45:00Z,22.1,88.11,0.933,0.18,88.1,0.884,0.31,22.2,187.9,322.3,450,0,0,0,15,450
ET2,MC1,2023-06-01T14:00:00Z,22.5,88.1,0.928,0.2,88.09,0.88,0.33,22.4,63.2,93.4,534,6,6,7,15,897
ET2,MC1,2023-06-01T14:15:00Z,22.2,88.11,0.918,0.22,88.1,0.874,0.33,22,26.9,42.3,723,15,15,15,15,984
ET2,MC1,2023-06-01T14:30:00Z,21.1,88.11,0.962,0.1,88.1,0.914,0.21,21.1,46,64.8,646,15,15,15,15,983
ET2,MC1,2023-06-01T14:45:00Z,20.6,88.07,0.985,0.04,88.05,0.93,0.17,20.7,111.1,158.2,532,15,15,15,15,742
ET2,MC1,2023-06-01T15:00:00Z,21,88.03,0.987,0.03,88.02,0.934,0.16,21,150.1,216.6,485,15,15,15,15,601
ET2,MC1,2023-06-01T15:15:00Z,21.4,88.06,0.974,0.07,88.05,0.925,0.19,21.3,133.9,199,482,15,15,15,15,529
ET2,MC1,2023-06-01T15:30:00Z,21.7,88.05,0.969,0.08,88.04,0.921,0.21,21.6,136.4,164.4,478,15,15,15,15,471
ET2,MC1,2023-06-01T15:45:00Z,22.1,88.05,0.943,0.15,88.04,0.901,0.26,21.8,186.2,130,474,15,15,15,15,474
ET2,MC1,2023-06-01T16:00:00Z,22,88.06,0.919,0.21,88.05,0.883,0.3,21.7,108.9,130.9,473,15,15,15,15,479
ET2,MC1,2023-06-01T16:15:00Z,22,88.05,0.921,0.21,88.04,0.885,0.3,21.7,66.5,87,549,15,15,15,15,808
ET2,MC1,2023-06-01T16:30:00Z,21,88.06,0.948,0.13,88.05,0.903,0.24,20.9,20.7,31.7,539,15,15,15,15,655
ET2,MC1,2023-06-01T16:45:00Z,20.4,88.05,0.964,0.09,88.04,0.917,0.2,20.4,27.6,43,508,15,15,15,15,607
ET2,MC1,2023-06-01T17:00:00Z,20.2,88.04,0.971,0.07,88.03,0.921,0.19,20.2,34.8,50.9,486,15,15,15,15,521
ET2,MC1,2023-06-01T17:15:00Z,20.2,88.03,0.976,0.06,88.02,0.927,0.17,20.2,20.9,31.7,484,15,15,15,15,511
ET2,MC1,2023-06-01T17:30:00Z,20.2,88.04,0.977,0.05,88.03,0.929,0.17,20.1,12.8,18.7,481,15,15,15,15,499
ET2,MC1,2023-06-01T17:45:00Z,20.3,88.08,0.974,0.06,88.07,0.928,0.17,20.2,5.9,10.1,478,15,15,15,15,498
ET2,MC1,2023-06-01T18:00:00Z,20.2,88.1,0.977,0.05,88.1,0.928,0.17,20.2,0,1.5,475,15,15,15,15,504
ET2,MC1,2023-06-01T18:15:00Z,20.2,88.11,0.976,0.06,88.1,0.928,0.17,20.1,0,0,471,15,15,15,15,486
ET2,MC1,2023-06-01T18:30:00Z,20.1,88.11,0.97,0.07,88.1,0.921,0.18,20,0,0,468,15,15,15,15,460
ET2,MC1,2023-06-01T18:45:00Z,20,88.12,0.978,0.05,88.12,0.929,0.16,19.9,0,0,466,15,15,0,15,457
ET2,MC1,2023-06-01T19:00:00Z,20,88.14,0.983,0.04,88.14,0.934,0.15,19.9,0,0,464,15,15,0,15,457
ET2,MC1,2023-06-01T19:15:00Z,19.9,88.18,0.982,0.04,88.17,0.934,0.15,19.8,0,0,461,15,15,0,15,457
ET2,MC1,2023-06-01T19:30:00Z,19.9,88.18,0.981,0.04,88.18,0.932,0.16,19.9,0,0,459,6,15,0,15,458
ET2,MC1,2023-06-01T19:45:00Z,19.9,88.19,0.984,0.04,88.18,0.935,0.15,19.9,0,0,490,14,15,15,15,552
ET2,MC1,2023-06-01T20:00:00Z,20,88.2,0.99,0.02,88.2,0.94,0.14,19.9,0,0,483,15,15,15,15,585
ET2,MC1,2023-06-01T20:15:00Z,19.9,88.21,0.993,0.02,88.2,0.942,0.13,19.9,0,0,490,15,15,15,15,673
ET2,MC1,2023-06-01T20:30:00Z,19.9,88.23,0.992,0.02,88.22,0.94,0.14,19.9,0,0,501,15,15,15,15,716
ET2,MC1,2023-06-01T20:45:00Z,19.8,88.26,0.995,0.01,88.25,0.944,0.13,19.8,0,0,521,15,15,15,15,838
ET2,MC1,2023-06-01T21:00:00Z,19.9,88.26,0.998,0,88.25,0.948,0.12,19.8,0,0,625,15,15,15,15,843
ET2,MC1,2023-06-01T21:15:00Z,19.8,88.26,0.999,0,88.25,0.946,0.13,19.8,0,0,615,15,15,15,15,668
ET2,MC1,2023-06-01T21:30:00Z,19.9,88.27,0.999,0,88.26,0.947,0.12,19.8,0,0,574,15,15,15,15,886
ET2,MC1,2023-06-01T21:45:00Z,19.8,88.29,0.999,0,88.28,0.95,0.12,19.8,0,0,656,15,15,15,15,945
ET2,MC1,2023-06-01T22:00:00Z,19.6,88.29,1.001,0,88.28,0.951,0.11,19.6,0,0,558,15,15,15,15,654
ET2,MC1,2023-06-01T22:15:00Z,19.4,88.31,1,0,88.3,0.952,0.11,19.4,0,0,499,15,15,15,15,588
ET2,MC1,2023-06-01T22:30:00Z,19.4,88.3,1,0,88.29,0.953,0.11,19.4,0,0,479,15,15,15,15,572
ET2,MC1,2023-06-01T22:45:00Z,19.4,88.28,1,0,88.28,0.953,0.1,19.4,0,0,484,15,15,15,15,605
ET2,MC1,2023-06-01T23:00:00Z,19.4,88.27,1.001,0,88.26,0.953,0.11,19.5,0,0,480,15,15,15,15,603
ET2,MC1,2023-06-01T23:15:00Z,19.6,88.26,1.001,0,88.25,0.952,0.11,19.6,0,0,488,15,15,15,15,611
ET2,MC1,2023-06-01T23:30:00Z,19.5,88.23,1.001,0,88.23,0.948,0.12,19.5,0,0,477,15,15,15,15,576
ET2,MC1,2023-06-01T23:45:00Z,19.3,88.23,1.001,0,88.23,0.949,0.12,19.3,0,0,476,15,15,15,15,566
ET2,MC1,2023-06-02T00:00:00Z,19.1,88.23,0.999,0,88.22,0.948,0.11,19.1,0,0,462,15,15,15,15,527
ET2,MC1,2023-06-02T00:15:00Z,19.2,88.23,1.001,0,88.22,0.949,0.11,19.2,0,0,459,9,15,15,15,525
ET2,MC1,2023-06-02T00:30:00Z,19.3,88.2,1.001,0,88.2,0.949,0.12,19.3,0,0,456,0,15,15,15,517
ET2,MC1,2023-06-02T00:45:00Z,19.5,88.19,0.999,0,88.18,0.947,0.12,19.4,0,0,454,0,15,15,15,512
ET2,MC1,2023-06-02T01:00:00Z,19.5,88.16,0.997,0.01,88.16,0.945,0.13,19.5,0,0,453,0,15,15,15,497
ET2,MC1,2023-06-02T01:15:00Z,19.4,88.12,0.997,0.01,88.12,0.944,0.13,19.4,0,0,453,0,15,15,15,475
ET2,MC1,2023-06-02T01:30:00Z,19.4,88.1,0.996,0.01,88.09,0.945,0.12,19.3,0,0,455,0,15,11,15,466
ET2,MC1,2023-06-02T01:45:00Z,19.4,88.09,0.998,0,88.08,0.947,0.12,19.4,0,0,454,0,15,15,15,460
ET2,MC1,2023-06-02T02:00:00Z,19.4,88.07,1,0,88.06,0.949,0.12,19.4,0,0,454,0,15,0,15,459
ET2,MC1,2023-06-02T02:15:00Z,19.5,88.05,0.994,0.01,88.04,0.944,0.13,19.4,0,0,453,0,15,0,15,457
ET2,MC1,2023-06-02T02:30:00Z,19.6,88.04,0.984,0.04,88.04,0.937,0.14,19.5,0,0,453,0,15,0,15,457
ET2,MC1,2023-06-02T02:45:00Z,19.6,88.04,0.985,0.03,88.04,0.936,0.14,19.5,0,0,453,0,15,0,15,457
ET2,MC1,2023-06-02T03:00:00Z,19.5,88.04,0.983,0.04,88.03,0.933,0.15,19.4,0,0,453,0,15,0,15,457
ET2,MC1,2023-06-02T03:15:00Z,19.5,88.03,0.976,0.05,88.03,0.927,0.16,19.5,0,0,452,0,15,0,15,456
ET2,MC1,2023-06-02T03:30:00Z,19.6,88.03,0.972,0.06,88.02,0.925,0.17,19.5,0,0,452,0,15,0,15,456
