Tree,MC,Timestamp,Port3_Temp,Port3_RH,Port3_VPD,Port3_Atmos_pressure,Port1_Solar,Port4_LW_minutes_H,Port4_LW_minutes,Port4_LWS_Count,Port5_EpiMoisture,Port6_EpiTemp
ET2,MC3,2023-05-31T18:45:00Z,19.2,0.911,0.2,88.08,0,0,15,452,NA,17.1
ET2,MC3,2023-05-31T19:00:00Z,19.3,0.906,0.21,88.11,0,0,15,452,NA,16.9
ET2,MC3,2023-05-31T19:15:00Z,19.4,0.9,0.22,88.13,0,0,15,452,NA,16.7
ET2,MC3,2023-05-31T19:30:00Z,19.4,0.906,0.21,88.15,0,0,15,452,NA,16.6
ET2,MC3,2023-05-31T19:45:00Z,19.5,0.897,0.23,88.17,0,0,15,451,NA,16.5
ET2,MC3,2023-05-31T20:00:00Z,19.7,0.874,0.29,88.19,0,0,15,451,NA,16.4
ET2,MC3,2023-05-31T20:15:00Z,19.8,0.858,0.33,88.2,0,0,15,452,NA,16.3
ET2,MC3,2023-05-31T20:30:00Z,19.8,0.852,0.34,88.21,0,0,15,451,NA,16.3
ET2,MC3,2023-05-31T20:45:00Z,19.8,0.861,0.32,88.22,0,0,15,452,NA,16.2
ET2,MC3,2023-05-31T21:00:00Z,19.6,0.881,0.27,88.22,0,0,15,451,NA,16.2
ET2,MC3,2023-05-31T21:15:00Z,19.5,0.9,0.23,88.22,0,0,15,455,NA,16.2
ET2,MC3,2023-05-31T21:30:00Z,19.5,0.908,0.21,88.23,0,0,15,452,NA,16.1
ET2,MC3,2023-05-31T21:45:00Z,19.5,0.915,0.19,88.25,0,0,15,452,NA,16.1
ET2,MC3,2023-05-31T22:00:00Z,19.6,0.919,0.19,88.24,0,0,15,454,NA,16.2
ET2,MC3,2023-05-31T22:15:00Z,19.4,0.929,0.16,88.24,0,14,15,601,NA,16.1
ET2,MC3,2023-05-31T22:30:00Z,19,0.951,0.11,88.24,0,15,15,568,NA,16
ET2,MC3,2023-05-31T22:45:00Z,18.9,0.964,0.08,88.25,0,15,15,836,NA,16
ET2,MC3,2023-05-31T23:00:00Z,18.8,0.976,0.05,88.24,0,15,15,613,NA,15.9
ET2,MC3,2023-05-31T23:15:00Z,18.6,0.988,0.03,88.24,0,15,15,566,NA,15.9
ET2,MC3,2023-05-31T23:30:00Z,18.6,0.992,0.02,88.22,0,15,15,688,NA,15.9
ET2,MC3,2023-05-31T23:45:00Z,18.6,1,0,88.21,0,15,15,717,NA,15.9
ET2,MC3,2023-06-01T00:00:00Z,18.7,1,0,88.21,0,15,15,640,NA,15.9
ET2,MC3,2023-06-01T00:15:00Z,18.7,1.001,0,88.19,0,15,15,572,NA,15.9
ET2,MC3,2023-06-01T00:30:00Z,18.7,1.001,0,88.16,0,15,15,561,NA,16
ET2,MC3,2023-06-01T00:45:00Z,18.8,1,0,88.14,0,15,15,573,NA,16
ET2,MC3,2023-06-01T01:00:00Z,18.9,0.996,0.01,88.13,0,15,15,649,NA,15.9
ET2,MC3,2023-06-01T01:15:00Z,18.8,1,0,88.1,0,15,15,649,NA,16
ET2,MC3,2023-06-01T01:30:00Z,18.8,1.001,0,88.07,0,15,15,587,NA,16
ET2,MC3,2023-06-01T01:45:00Z,18.8,1,0,88.03,0,15,15,556,NA,16
ET2,MC3,2023-06-01T02:00:00Z,18.6,0.997,0.01,88.02,0,15,15,524,NA,15.9
ET2,MC3,2023-06-01T02:15:00Z,18.6,0.994,0.01,88.01,0,15,15,504,NA,15.9
ET2,MC3,2023-06-01T02:30:00Z,18.6,0.989,0.02,88,0,15,15,588,NA,15.9
ET2,MC3,2023-06-01T02:45:00Z,18.6,0.984,0.03,87.99,0,15,15,695,NA,15.8
ET2,MC3,2023-06-01T03:00:00Z,18.5,0.986,0.03,87.97,0,15,15,688,NA,15.8
ET2,MC3,2023-06-01T03:15:00Z,18.3,0.991,0.02,87.96,0,15,15,581,NA,15.8
ET2,MC3,2023-06-01T03:30:00Z,18.4,0.989,0.02,87.96,0,15,15,580,NA,15.7
