Tree,MC,Timestamp,Port3_Temp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port2_ATM22_Xaxis,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_temp,Port2_ATM22_Yaxis,Port2_Gust_speed,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes
ET3,MC1,2023-05-31T18:45:00Z,19,0.886,87.79,0.25,-1.4,2.56,123,19.2,0,6.05,0,447,0,0
ET3,MC1,2023-05-31T19:00:00Z,19.1,0.883,87.82,0.26,-1.5,2.47,119,19.3,0.1,6.48,0,447,0,0
ET3,MC1,2023-05-31T19:15:00Z,19.2,0.878,87.84,0.27,-1.4,2.13,141,19.4,0,4.98,0,447,0,0
ET3,MC1,2023-05-31T19:30:00Z,19.2,0.882,87.86,0.26,-1.5,2.32,125,19.3,0.2,6.09,0,447,0,0
ET3,MC1,2023-05-31T19:45:00Z,19.3,0.876,87.88,0.28,-1.4,1.57,132,19.4,-0.1,6.03,0,447,0,0
ET3,MC1,2023-05-31T20:00:00Z,19.5,0.852,87.9,0.33,-1.6,1.37,129,19.7,-0.1,3.05,0,447,0,0
ET3,MC1,2023-05-31T20:15:00Z,19.7,0.823,87.91,0.41,-1.5,1.73,155,19.9,-0.1,4.41,0,446,0,0
ET3,MC1,2023-05-31T20:30:00Z,19.8,0.82,87.92,0.41,-1.5,1.76,139,19.9,0,3.69,0,446,0,0
ET3,MC1,2023-05-31T20:45:00Z,19.7,0.837,87.93,0.37,-1.4,1.58,148,19.8,-0.1,3.09,0,447,0,0
ET3,MC1,2023-05-31T21:00:00Z,19.5,0.855,87.93,0.33,-1.5,1.53,128,19.6,-0.1,4.33,0,447,0,0
ET3,MC1,2023-05-31T21:15:00Z,19.4,0.873,87.93,0.29,-1.4,1.05,135,19.5,-0.1,2.77,0,447,0,0
ET3,MC1,2023-05-31T21:30:00Z,19.4,0.881,87.94,0.27,-1.5,1.13,135,19.5,-0.1,3.29,0,447,0,0
ET3,MC1,2023-05-31T21:45:00Z,19.4,0.888,87.95,0.25,-1.5,1.75,128,19.5,-0.1,3.81,0,447,0,0
ET3,MC1,2023-05-31T22:00:00Z,19.4,0.889,87.95,0.25,-1.5,1.18,138,19.6,-0.1,2.88,0,453,1,13
ET3,MC1,2023-05-31T22:15:00Z,19.3,0.898,87.95,0.23,-1.5,1.15,133,19.4,-0.1,2.83,0,492,14,15
ET3,MC1,2023-05-31T22:30:00Z,19.1,0.916,87.95,0.19,-1.5,1.06,163,19.3,-0.2,2.81,0,455,11,15
ET3,MC1,2023-05-31T22:45:00Z,19.2,0.914,87.95,0.19,-1.4,1.02,174,19.3,-0.2,2.42,0,835,9,15
ET3,MC1,2023-05-31T23:00:00Z,18.7,0.939,87.94,0.13,-1.2,0.98,142,18.9,0.1,3.31,0,769,15,15
ET3,MC1,2023-05-31T23:15:00Z,18.6,0.952,87.94,0.1,-1.2,0.74,150,18.7,0.1,2.01,0,783,15,15
ET3,MC1,2023-05-31T23:30:00Z,18.6,0.961,87.93,0.08,-1.2,0.47,107,18.7,0.1,1.1,0,729,15,15
ET3,MC1,2023-05-31T23:45:00Z,18.6,0.966,87.92,0.07,-1.2,0.91,128,18.7,0.1,2.26,0,790,15,15
ET3,MC1,2023-06-01T00:00:00Z,18.6,0.969,87.92,0.07,-1.1,0.9,163,18.8,0,2.66,0,627,15,15
ET3,MC1,2023-06-01T00:15:00Z,18.6,0.969,87.9,0.07,-1.2,0.62,211,18.7,0,2.04,0,720,15,15
ET3,MC1,2023-06-01T00:30:00Z,18.6,0.97,87.87,0.06,-1.2,1.54,245,18.8,-0.3,5.51,0,651,15,15
ET3,MC1,2023-06-01T00:45:00Z,18.7,0.965,87.85,0.08,-1.1,2.04,238,18.9,-0.3,4.34,0,618,15,15
ET3,MC1,2023-06-01T01:00:00Z,18.8,0.957,87.84,0.09,-1.3,1.48,240,19,-0.2,6.1,0,615,15,15
ET3,MC1,2023-06-01T01:15:00Z,18.8,0.963,87.81,0.08,-1.2,0.97,225,18.8,-0.1,2.5,0,629,15,15
ET3,MC1,2023-06-01T01:30:00Z,18.7,0.966,87.77,0.07,-1.3,1.01,184,18.9,-0.1,3.73,0,591,15,15
ET3,MC1,2023-06-01T01:45:00Z,18.6,0.964,87.74,0.08,-1.3,0.62,212,18.7,-0.2,2.3,0,574,15,15
ET3,MC1,2023-06-01T02:00:00Z,18.5,0.96,87.73,0.08,-1.3,0.87,146,18.7,-0.2,2.98,0,562,15,15
ET3,MC1,2023-06-01T02:15:00Z,18.4,0.959,87.72,0.09,-1.3,1.1,135,18.6,-0.1,4.59,0,552,15,15
