Tree,MC,Timestamp,Port5_Temp,Port5_Atmos_pressure,Port5_VPD,Port5_RH,Port3_Temp,Port3_RH,Port3_VPD,Port3_Atmos_pressure,Port2_ATM22_temp,Port2_ATM22_Xaxis,Port2_Wind_direction,Port2_Gust_speed,Port2_Wind_speed,Port2_ATM22_Yaxis,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes,Port4_LW_minutes_H,Port6_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H
ET3,MC3,2023-05-31T18:45:00Z,19,87.74,0.22,0.898,19,0.912,0.19,87.78,19.2,2.1,91,6.33,1.79,1.7,0,452,15,0,453,15,0
ET3,MC3,2023-05-31T19:00:00Z,19.1,87.77,0.23,0.896,19.1,0.909,0.2,87.81,19.2,2.1,84,4.93,1.75,1.6,0,452,15,0,453,15,0
ET3,MC3,2023-05-31T19:15:00Z,19.1,87.8,0.24,0.892,19.2,0.906,0.21,87.84,19.3,2.1,109,6.56,1.3,1.6,0,452,15,0,453,15,0
ET3,MC3,2023-05-31T19:30:00Z,19.1,87.81,0.23,0.895,19.2,0.908,0.2,87.85,19.3,2,93,4.72,1.48,1.7,0,452,15,0,453,15,0
ET3,MC3,2023-05-31T19:45:00Z,19.2,87.84,0.24,0.891,19.2,0.901,0.22,87.88,19.4,2,99,3.05,0.93,1.6,0,451,15,0,453,15,0
ET3,MC3,2023-05-31T20:00:00Z,19.4,87.85,0.3,0.865,19.5,0.874,0.29,87.89,19.6,2,111,2.4,0.91,1.5,0,451,15,0,452,15,0
ET3,MC3,2023-05-31T20:15:00Z,19.6,87.86,0.37,0.837,19.7,0.842,0.36,87.9,19.8,2,115,2.62,0.77,1.5,0,450,15,0,456,15,0
ET3,MC3,2023-05-31T20:30:00Z,19.6,87.87,0.37,0.836,19.8,0.842,0.36,87.91,19.8,2,108,3.16,0.94,1.6,0,451,15,0,453,15,1
ET3,MC3,2023-05-31T20:45:00Z,19.5,87.88,0.33,0.853,19.6,0.86,0.32,87.92,19.7,2,113,2.57,0.83,1.6,0,451,15,0,474,15,13
ET3,MC3,2023-05-31T21:00:00Z,19.4,87.88,0.29,0.871,19.5,0.879,0.28,87.93,19.6,2,106,3.04,1.1,1.6,0,451,15,0,453,15,4
ET3,MC3,2023-05-31T21:15:00Z,19.3,87.88,0.25,0.888,19.4,0.898,0.23,87.93,19.5,2,107,2.95,0.77,1.5,0,452,15,0,463,15,5
ET3,MC3,2023-05-31T21:30:00Z,19.3,87.89,0.23,0.896,19.4,0.905,0.21,87.94,19.5,2,124,3.06,0.94,1.5,0,452,15,0,453,15,2
ET3,MC3,2023-05-31T21:45:00Z,19.3,87.91,0.22,0.901,19.4,0.915,0.19,87.95,19.5,2,108,2.7,0.87,1.5,0,452,15,0,454,15,0
ET3,MC3,2023-05-31T22:00:00Z,19.3,87.9,0.21,0.908,19.4,0.916,0.19,87.94,19.5,2,131,4.14,0.77,1.5,0,452,15,0,540,15,14
ET3,MC3,2023-05-31T22:15:00Z,19.1,87.9,0.17,0.921,19.2,0.925,0.17,87.94,19.3,2,109,2.13,0.74,1.5,0,552,15,15,839,15,15
ET3,MC3,2023-05-31T22:30:00Z,18.8,87.9,0.12,0.946,19.1,0.944,0.12,87.95,19.2,2,160,3.39,1.01,1.4,0,473,15,15,720,15,15
ET3,MC3,2023-05-31T22:45:00Z,19.2,87.91,0.15,0.931,19.2,0.941,0.13,87.95,19.3,2,171,3.37,0.91,1.5,0,1005,15,14,918,15,15
ET3,MC3,2023-05-31T23:00:00Z,18.5,87.9,0.08,0.96,18.8,0.964,0.08,87.94,18.6,2.1,142,2.2,0.67,1.3,0,883,15,15,865,15,15
