Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_RH,Port5_Temp,Port5_VPD,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes_H,Port4_LW_minutes,Port4_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H,Port6_LWS_Count
ET4,MC1,2023-05-31T18:45:00Z,87.96,0.912,18.8,0.19,87.92,0.925,0.16,18.8,0,0,15,451,15,0,455
ET4,MC1,2023-05-31T19:00:00Z,87.99,0.905,19,0.21,87.95,0.919,0.18,19,0,0,15,450,15,0,455
ET4,MC1,2023-05-31T19:15:00Z,88.01,0.899,19,0.22,87.97,0.911,0.2,19,0,0,15,450,15,0,455
ET4,MC1,2023-05-31T19:30:00Z,88.03,0.905,19,0.21,87.99,0.916,0.19,19,0,0,15,451,15,0,455
ET4,MC1,2023-05-31T19:45:00Z,88.05,0.904,19,0.21,88.01,0.915,0.19,19,0,0,15,450,15,0,455
ET4,MC1,2023-05-31T20:00:00Z,88.07,0.876,19.2,0.28,88.03,0.887,0.25,19.3,0,0,15,450,15,0,455
ET4,MC1,2023-05-31T20:15:00Z,88.08,0.857,19.2,0.32,88.04,0.867,0.3,19.4,0,0,15,450,15,0,457
ET4,MC1,2023-05-31T20:30:00Z,88.09,0.854,19.3,0.33,88.05,0.863,0.31,19.4,0,0,15,450,15,0,455
ET4,MC1,2023-05-31T20:45:00Z,88.1,0.869,19.2,0.29,88.06,0.878,0.27,19.3,0,0,15,451,15,13,464
ET4,MC1,2023-05-31T21:00:00Z,88.1,0.885,19.2,0.25,88.06,0.891,0.24,19.3,0,0,15,450,15,2,455
ET4,MC1,2023-05-31T21:15:00Z,88.1,0.903,19,0.21,88.06,0.91,0.2,19.1,0,0,15,451,15,3,460
ET4,MC1,2023-05-31T21:30:00Z,88.11,0.909,19.1,0.2,88.07,0.918,0.18,19.1,0,0,15,451,15,1,456
ET4,MC1,2023-05-31T21:45:00Z,88.12,0.915,19.1,0.19,88.08,0.927,0.16,19.1,0,0,15,451,15,0,456
ET4,MC1,2023-05-31T22:00:00Z,88.12,0.922,19,0.17,88.08,0.931,0.15,19.2,0,0,15,451,15,14,477
ET4,MC1,2023-05-31T22:15:00Z,88.12,0.934,18.9,0.14,88.08,0.938,0.14,19.1,0,14,15,476,15,15,647
ET4,MC1,2023-05-31T22:30:00Z,88.12,0.951,18.6,0.11,88.08,0.953,0.1,18.9,0,15,15,468,15,15,602
ET4,MC1,2023-05-31T22:45:00Z,88.12,0.959,18.7,0.09,88.09,0.966,0.07,18.8,0,15,15,675,15,15,895
ET4,MC1,2023-05-31T23:00:00Z,88.11,0.975,18.4,0.05,88.07,0.982,0.04,18.6,0,15,15,637,15,15,879
ET4,MC1,2023-05-31T23:15:00Z,88.11,0.986,18.3,0.03,88.08,0.993,0.02,18.5,0,15,15,662,15,15,825
ET4,MC1,2023-05-31T23:30:00Z,88.1,0.99,18.4,0.02,88.06,0.999,0,18.5,0,15,15,636,15,15,764
ET4,MC1,2023-05-31T23:45:00Z,88.09,0.994,18.4,0.01,88.05,1,0,18.5,0,15,15,685,15,15,828
ET4,MC1,2023-06-01T00:00:00Z,88.08,0.997,18.4,0.01,88.05,0.998,0,18.6,0,15,15,563,15,15,685
ET4,MC1,2023-06-01T00:15:00Z,88.07,0.996,18.4,0.01,88.03,1,0,18.5,0,15,15,537,15,15,555
ET4,MC1,2023-06-01T00:30:00Z,88.04,0.995,18.5,0.01,88,1,0,18.5,0,15,15,532,15,15,615
ET4,MC1,2023-06-01T00:45:00Z,88.02,0.995,18.4,0.01,87.98,0.999,0,18.5,0,15,15,536,15,15,693
ET4,MC1,2023-06-01T01:00:00Z,88.01,0.996,18.4,0.01,87.97,0.999,0,18.4,0,15,15,531,15,15,648
ET4,MC1,2023-06-01T01:15:00Z,87.98,0.997,18.4,0.01,87.94,1.001,0,18.5,0,15,15,535,15,15,679
ET4,MC1,2023-06-01T01:30:00Z,87.95,0.999,18.5,0,87.91,1.001,0,18.5,0,15,15,522,15,15,626
ET4,MC1,2023-06-01T01:45:00Z,87.91,0.998,18.4,0.01,87.87,1,0,18.4,0,15,15,512,15,15,596
ET4,MC1,2023-06-01T02:00:00Z,87.9,0.99,18.4,0.02,87.86,1,0,18.2,0,15,15,505,15,15,554
ET4,MC1,2023-06-01T02:15:00Z,87.89,0.988,18.2,0.02,87.85,1,0,18.2,0,15,15,503,15,15,552
ET4,MC1,2023-06-01T02:30:00Z,87.87,0.991,18.1,0.02,87.83,1,0,18.2,0,15,15,538,15,15,655
ET4,MC1,2023-06-01T02:45:00Z,87.87,0.991,18.1,0.02,87.83,0.999,0,18.1,0,15,15,607,15,15,800
ET4,MC1,2023-06-01T03:00:00Z,87.85,0.992,18,0.02,87.81,0.999,0,18,0,15,15,538,15,15,628
ET4,MC1,2023-06-01T03:15:00Z,87.84,0.995,17.8,0.01,87.79,0.999,0,17.9,0,15,15,524,15,15,599
ET4,MC1,2023-06-01T03:30:00Z,87.83,0.999,17.8,0,87.79,1.001,0,17.8,0,15,15,522,15,15,646
ET4,MC1,2023-06-01T03:45:00Z,87.84,0.999,17.9,0,87.79,1,0,17.9,0,15,15,518,15,15,614
ET4,MC1,2023-06-01T04:00:00Z,87.83,0.999,18,0,87.79,0.999,0,18,0,15,15,516,15,15,602
ET4,MC1,2023-06-01T04:15:00Z,87.84,1,18,0,87.8,1,0,18.1,0,15,15,512,15,15,602
ET4,MC1,2023-06-01T04:30:00Z,87.85,1.001,18.1,0,87.8,1,0,18.1,0,15,15,507,15,15,600
