Tree,MC,Timestamp,Port2_Atmos_pressure,Port2_VPD,Port2_Temp,Port2_RH,Port5_Temp,Port5_RH,Port5_VPD,Port5_Atmos_pressure,Port1_Solar,Port3_LW_minutes,Port3_LW_minutes_H,Port3_LWS_Count,Port4_Solar,Port6_LWS_Count,Port6_LW_minutes_H,Port6_LW_minutes
ET4,MC3,2023-05-31T18:45:00Z,87.87,0.17,18.9,0.922,18.9,0.888,0.24,87.85,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T19:00:00Z,87.9,0.18,19,0.917,19,0.883,0.26,87.88,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T19:15:00Z,87.93,0.2,19.1,0.909,19.1,0.875,0.28,87.91,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T19:30:00Z,87.94,0.19,19,0.914,19.1,0.88,0.27,87.92,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T19:45:00Z,87.96,0.19,19.1,0.912,19.1,0.878,0.27,87.95,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T20:00:00Z,87.98,0.26,19.3,0.884,19.4,0.851,0.33,87.96,0,15,0,450,0,453,0,15
ET4,MC3,2023-05-31T20:15:00Z,87.99,0.31,19.4,0.863,19.4,0.831,0.38,87.97,0,15,0,450,0,453,0,15
ET4,MC3,2023-05-31T20:30:00Z,88,0.32,19.5,0.859,19.5,0.828,0.39,87.98,0,15,0,450,0,453,0,15
ET4,MC3,2023-05-31T20:45:00Z,88.01,0.29,19.5,0.872,19.4,0.841,0.36,88,0,15,0,450,0,453,0,15
ET4,MC3,2023-05-31T21:00:00Z,88.01,0.25,19.4,0.889,19.4,0.856,0.32,88,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T21:15:00Z,88.02,0.2,19.2,0.909,19.2,0.875,0.28,88,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T21:30:00Z,88.02,0.18,19.2,0.917,19.1,0.883,0.26,88.01,0,15,0,451,0,453,0,15
ET4,MC3,2023-05-31T21:45:00Z,88.04,0.17,19.2,0.926,19.2,0.89,0.24,88.02,0,15,0,451,0,454,0,15
ET4,MC3,2023-05-31T22:00:00Z,88.03,0.16,19.2,0.929,19.2,0.893,0.24,88.02,0,15,0,451,0,454,0,15
ET4,MC3,2023-05-31T22:15:00Z,88.03,0.14,19.1,0.936,19.1,0.901,0.22,88.01,0,15,0,457,0,454,0,15
