Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_VPD,Port5_Temp,Port5_RH,Port3_VPD,Port3_Atmos_pressure,Port3_RH,Port3_Temp,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H
ET7,MC1,2023-05-31T18:45:00Z,87.81,0.21,19,0.905,0.23,87.81,0.895,18.9,0,0,452,0,15,450,15,0
ET7,MC1,2023-05-31T19:00:00Z,87.84,0.21,19,0.906,0.23,87.84,0.896,19,0,0,452,0,15,450,15,0
ET7,MC1,2023-05-31T19:15:00Z,87.87,0.23,19.2,0.898,0.25,87.86,0.888,19.1,0,0,452,0,15,450,15,0
ET7,MC1,2023-05-31T19:30:00Z,87.88,0.22,19.2,0.9,0.24,87.88,0.892,19,0,0,452,0,15,450,15,0
ET7,MC1,2023-05-31T19:45:00Z,87.91,0.23,19.2,0.897,0.25,87.9,0.885,19.2,0,0,452,0,15,450,15,0
ET7,MC1,2023-05-31T20:00:00Z,87.93,0.28,19.4,0.874,0.3,87.92,0.866,19.4,0,0,451,0,15,450,15,0
ET7,MC1,2023-05-31T20:15:00Z,87.93,0.35,19.6,0.846,0.36,87.93,0.841,19.6,0,0,452,0,15,452,15,0
ET7,MC1,2023-05-31T20:30:00Z,87.94,0.34,19.5,0.849,0.35,87.94,0.845,19.5,0,0,451,0,15,451,15,0
ET7,MC1,2023-05-31T20:45:00Z,87.96,0.31,19.5,0.862,0.32,87.95,0.857,19.4,0,0,455,0,15,451,15,0
ET7,MC1,2023-05-31T21:00:00Z,87.96,0.28,19.4,0.877,0.29,87.95,0.87,19.3,0,0,452,0,15,450,15,0
ET7,MC1,2023-05-31T21:15:00Z,87.96,0.24,19.3,0.893,0.26,87.95,0.883,19.3,0,0,452,0,15,451,15,0
ET7,MC1,2023-05-31T21:30:00Z,87.97,0.24,19.4,0.896,0.26,87.97,0.885,19.3,0,0,452,0,15,450,15,0
ET7,MC1,2023-05-31T21:45:00Z,87.98,0.22,19.4,0.904,0.24,87.98,0.894,19.3,0,0,452,0,15,451,15,0
ET7,MC1,2023-05-31T22:00:00Z,87.98,0.2,19.3,0.912,0.22,87.97,0.9,19.2,0,0,452,0,15,455,15,0
ET7,MC1,2023-05-31T22:15:00Z,87.98,0.18,19.2,0.92,0.21,87.97,0.905,19.2,0,0,553,14,15,561,15,15
ET7,MC1,2023-05-31T22:30:00Z,87.98,0.15,19.1,0.933,0.17,87.98,0.92,19,0,0,520,15,15,543,15,15
ET7,MC1,2023-05-31T22:45:00Z,87.98,0.13,19,0.943,0.16,87.98,0.929,18.9,0,0,1004,15,15,652,15,15
ET7,MC1,2023-05-31T23:00:00Z,87.97,0.08,18.7,0.962,0.12,87.97,0.945,18.6,0,0,746,15,15,598,15,15
ET7,MC1,2023-05-31T23:15:00Z,87.97,0.05,18.5,0.975,0.1,87.97,0.955,18.5,0,0,755,15,15,606,15,15
ET7,MC1,2023-05-31T23:30:00Z,87.96,0.04,18.5,0.981,0.08,87.95,0.964,18.4,0,0,660,15,15,574,15,15
