Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_Temp,Port5_VPD,Port5_RH,Port3_VPD,Port3_RH,Port3_Atmos_pressure,Port3_Temp,Port1_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H
ET7,MC2,2023-05-31T18:45:00Z,87.72,18.8,0.17,0.919,0.22,0.898,87.81,18.9,0,0,0,449,15,460,2
ET7,MC2,2023-05-31T19:00:00Z,87.76,18.9,0.17,0.92,0.22,0.899,87.84,18.9,0,0,0,449,15,459,1
ET7,MC2,2023-05-31T19:15:00Z,87.78,19,0.19,0.914,0.24,0.892,87.86,19.1,0,0,0,449,15,458,0
ET7,MC2,2023-05-31T19:30:00Z,87.79,19,0.18,0.917,0.23,0.895,87.88,19,0,0,0,450,15,458,0
ET7,MC2,2023-05-31T19:45:00Z,87.82,19.1,0.2,0.909,0.24,0.89,87.9,19.2,0,0,0,449,15,463,12
ET7,MC2,2023-05-31T20:00:00Z,87.84,19.4,0.27,0.881,0.3,0.868,87.92,19.4,0,0,0,449,15,463,15
ET7,MC2,2023-05-31T20:15:00Z,87.84,19.5,0.32,0.856,0.35,0.846,87.93,19.6,0,0,0,449,15,464,15
ET7,MC2,2023-05-31T20:30:00Z,87.85,19.3,0.3,0.866,0.33,0.852,87.94,19.4,0,0,0,450,15,463,15
ET7,MC2,2023-05-31T20:45:00Z,87.87,19.2,0.26,0.882,0.31,0.863,87.95,19.4,0,5,0,449,15,470,15
ET7,MC2,2023-05-31T21:00:00Z,87.87,19.1,0.22,0.898,0.28,0.877,87.95,19.3,0,0,0,449,15,463,15
ET7,MC2,2023-05-31T21:15:00Z,87.87,19.1,0.2,0.911,0.25,0.889,87.95,19.2,0,5,0,450,15,466,15
ET7,MC2,2023-05-31T21:30:00Z,87.88,19.2,0.19,0.914,0.24,0.892,87.96,19.3,0,2,0,449,15,463,15
ET7,MC2,2023-05-31T21:45:00Z,87.89,19.1,0.17,0.923,0.22,0.901,87.97,19.2,0,1,0,451,15,484,15
ET7,MC2,2023-05-31T22:00:00Z,87.89,19.2,0.17,0.925,0.21,0.904,87.97,19.2,0,13,1,464,15,577,15
ET7,MC2,2023-05-31T22:15:00Z,87.88,19,0.14,0.938,0.2,0.911,87.97,19.1,0,15,15,514,15,673,15
ET7,MC2,2023-05-31T22:30:00Z,87.89,18.8,0.1,0.955,0.16,0.926,87.97,18.9,0,15,15,486,15,632,15
ET7,MC2,2023-05-31T22:45:00Z,87.89,18.9,0.09,0.959,0.14,0.934,87.98,18.9,0,15,15,722,15,766,15
ET7,MC2,2023-05-31T23:00:00Z,87.88,18.5,0.04,0.979,0.1,0.952,87.96,18.6,0,15,15,637,15,572,15
ET7,MC2,2023-05-31T23:15:00Z,87.88,18.4,0.02,0.991,0.08,0.961,87.96,18.5,0,15,15,640,15,670,15
ET7,MC2,2023-05-31T23:30:00Z,87.86,18.3,0,0.999,0.06,0.97,87.95,18.4,0,15,15,673,15,624,15
ET7,MC2,2023-05-31T23:45:00Z,87.85,18.4,0,1,0.05,0.975,87.93,18.5,0,15,15,645,15,611,15
ET7,MC2,2023-06-01T00:00:00Z,87.85,18.6,0,1,0.05,0.975,87.93,18.6,0,15,15,573,15,529,15
ET7,MC2,2023-06-01T00:15:00Z,87.83,18.6,0,0.999,0.06,0.974,87.91,18.6,0,15,15,544,15,552,15
ET7,MC2,2023-06-01T00:30:00Z,87.8,18.6,0.01,0.994,0.07,0.968,87.89,18.7,0,15,15,531,15,510,15
ET7,MC2,2023-06-01T00:45:00Z,87.78,18.8,0.04,0.984,0.09,0.96,87.86,18.8,0,15,15,548,15,525,15
ET7,MC2,2023-06-01T01:00:00Z,87.77,18.8,0.04,0.981,0.1,0.955,87.86,18.9,0,15,15,573,15,623,15
ET7,MC2,2023-06-01T01:15:00Z,87.73,18.7,0.02,0.993,0.08,0.964,87.82,18.8,0,15,15,555,15,532,15
ET7,MC2,2023-06-01T01:30:00Z,87.7,18.7,0.01,0.994,0.08,0.964,87.79,18.8,0,15,15,512,15,496,15
ET7,MC2,2023-06-01T01:45:00Z,87.67,18.7,0.05,0.978,0.1,0.956,87.75,18.7,0,15,15,490,15,467,15
ET7,MC2,2023-06-01T02:00:00Z,87.65,18.7,0.07,0.966,0.12,0.944,87.74,18.7,0,15,15,479,15,466,15
ET7,MC2,2023-06-01T02:15:00Z,87.65,18.5,0.06,0.971,0.12,0.945,87.73,18.6,0,15,15,474,15,467,15
ET7,MC2,2023-06-01T02:30:00Z,87.63,18.4,0.04,0.98,0.1,0.953,87.72,18.5,0,15,15,581,15,686,15
ET7,MC2,2023-06-01T02:45:00Z,87.63,18.5,0.06,0.973,0.11,0.948,87.71,18.5,0,15,15,599,15,575,15
ET7,MC2,2023-06-01T03:00:00Z,87.61,18.3,0.05,0.976,0.12,0.942,87.69,18.5,0,15,15,569,15,525,15
ET7,MC2,2023-06-01T03:15:00Z,87.6,18.3,0.06,0.973,0.12,0.942,87.68,18.5,0,15,15,525,15,480,15
ET7,MC2,2023-06-01T03:30:00Z,87.6,18.6,0.07,0.965,0.14,0.936,87.68,18.6,0,15,15,505,15,539,15
ET7,MC2,2023-06-01T03:45:00Z,87.6,18.6,0.07,0.965,0.14,0.936,87.68,18.7,0,15,15,483,15,509,15
ET7,MC2,2023-06-01T04:00:00Z,87.6,18.7,0.08,0.961,0.14,0.934,87.68,18.8,0,15,15,469,15,471,15
ET7,MC2,2023-06-01T04:15:00Z,87.61,18.8,0.09,0.961,0.14,0.935,87.69,18.9,0,15,15,465,15,465,15
ET7,MC2,2023-06-01T04:30:00Z,87.61,18.9,0.09,0.96,0.13,0.94,87.7,18.8,0,15,15,461,15,466,15
ET7,MC2,2023-06-01T04:45:00Z,87.62,19.3,0.16,0.928,0.15,0.932,87.7,18.9,0,15,3,454,15,463,15
ET7,MC2,2023-06-01T05:00:00Z,87.63,20,0.3,0.872,0.24,0.894,87.72,19.4,0,15,0,451,15,462,15
ET7,MC2,2023-06-01T05:15:00Z,87.64,20.5,0.43,0.822,0.39,0.836,87.73,20.2,0,10,0,450,15,465,15
