Tree,MC,Timestamp,Port5_VPD,Port5_Atmos_pressure,Port5_RH,Port5_Temp,Port3_Temp,Port3_VPD,Port3_RH,Port3_Atmos_pressure,Port2_ATM22_Yaxis,Port2_ATM22_Xaxis,Port2_Wind_speed,Port2_Gust_speed,Port2_ATM22_temp,Port2_Wind_direction,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes,Port4_LW_minutes_H,Port6_LW_minutes,Port6_LW_minutes_H,Port6_LWS_Count
ET8,MC1,2023-05-31T18:45:00Z,0.16,87.77,0.924,18.9,18.9,0.19,0.911,87.88,2.8,0.9,0.84,3.19,19,28,0,453,15,0,15,0,453
ET8,MC1,2023-05-31T19:00:00Z,0.17,87.81,0.921,19,19,0.2,0.908,87.91,2.8,0.6,1.36,3.47,19,26,0,453,15,0,15,0,453
ET8,MC1,2023-05-31T19:15:00Z,0.19,87.83,0.914,19.1,19.2,0.22,0.9,87.94,2.9,0.5,1.82,4.41,19.2,38,0,453,15,0,15,0,453
ET8,MC1,2023-05-31T19:30:00Z,0.18,87.85,0.918,19.1,19.2,0.21,0.905,87.95,2.8,0.6,1.5,3.24,19.1,27,0,453,15,0,15,0,453
ET8,MC1,2023-05-31T19:45:00Z,0.19,87.87,0.912,19.2,19.2,0.23,0.898,87.98,2.8,0.7,1.13,2.68,19.3,33,0,453,15,0,15,0,452
ET8,MC1,2023-05-31T20:00:00Z,0.25,87.89,0.888,19.4,19.4,0.28,0.877,88,2.8,0.9,0.76,2.59,19.4,62,0,452,15,0,15,0,452
ET8,MC1,2023-05-31T20:15:00Z,0.33,87.9,0.857,19.6,19.6,0.35,0.848,88,2.8,0.8,1.08,3.17,19.6,38,0,453,15,0,15,0,452
ET8,MC1,2023-05-31T20:30:00Z,0.32,87.91,0.86,19.6,19.6,0.34,0.849,88.01,2.8,0.8,1.07,3.04,19.6,28,0,452,15,0,15,0,452
ET8,MC1,2023-05-31T20:45:00Z,0.28,87.92,0.875,19.5,19.5,0.31,0.863,88.03,2.8,0.8,0.8,2.68,19.4,24,0,453,15,0,15,0,452
ET8,MC1,2023-05-31T21:00:00Z,0.24,87.92,0.894,19.3,19.3,0.27,0.882,88.03,2.8,0.9,0.27,0.86,19.3,333,0,453,15,0,15,0,452
ET8,MC1,2023-05-31T21:15:00Z,0.2,87.92,0.912,19.2,19.2,0.22,0.901,88.03,2.7,0.9,0.29,1.58,19.2,303,0,456,15,0,15,0,453
ET8,MC1,2023-05-31T21:30:00Z,0.18,87.93,0.92,19.2,19.2,0.2,0.911,88.04,2.7,0.9,0.33,1.32,19.2,345,0,453,15,0,15,0,453
ET8,MC1,2023-05-31T21:45:00Z,0.16,87.94,0.927,19.2,19.2,0.19,0.916,88.05,2.8,0.9,0.52,1.66,19.2,22,0,454,15,0,15,0,453
ET8,MC1,2023-05-31T22:00:00Z,0.15,87.94,0.931,19.2,19.2,0.18,0.92,88.05,2.7,0.9,0.3,1.21,19.2,319,0,454,15,1,15,9,458
ET8,MC1,2023-05-31T22:15:00Z,0.13,87.94,0.94,19.1,19.1,0.15,0.93,88.05,2.8,0.9,0.35,1.56,19,17,0,568,15,14,15,14,554
ET8,MC1,2023-05-31T22:30:00Z,0.09,87.94,0.958,18.9,18.8,0.11,0.95,88.05,2.8,1,0.26,1.56,18.8,249,0,540,15,15,15,15,520
ET8,MC1,2023-05-31T22:45:00Z,0.08,87.95,0.963,18.9,18.8,0.09,0.958,88.05,2.9,1,0.38,1.35,18.8,54,0,918,15,15,15,15,687
ET8,MC1,2023-05-31T23:00:00Z,0.05,87.93,0.977,18.6,18.6,0.06,0.973,88.04,3.4,1,0.31,0.99,18.5,45,0,782,15,15,15,15,590
ET8,MC1,2023-05-31T23:15:00Z,0.02,87.93,0.989,18.5,18.4,0.03,0.985,88.04,3.5,1,0.18,1.01,18.3,220,0,766,15,15,15,15,623
ET8,MC1,2023-05-31T23:30:00Z,0.01,87.92,0.996,18.5,18.4,0.01,0.993,88.03,3.6,1.1,0.2,1.19,18.3,247,0,799,15,15,15,15,627
ET8,MC1,2023-05-31T23:45:00Z,0,87.91,1,18.5,18.4,0,0.999,88.02,3.7,1.1,0.29,1.29,18.4,303,0,738,15,15,15,15,587
ET8,MC1,2023-06-01T00:00:00Z,0,87.91,1,18.6,18.5,0,1,88.01,3.7,1.1,0.3,1.09,18.4,255,0,602,15,15,15,15,514
ET8,MC1,2023-06-01T00:15:00Z,0,87.89,0.999,18.6,18.5,0,1,87.99,3.6,1.1,0.34,1.07,18.4,239,0,585,15,15,15,15,477
ET8,MC1,2023-06-01T00:30:00Z,0,87.86,1,18.6,18.5,0,1,87.97,3.6,1.2,0.37,1.09,18.4,235,0,579,15,15,15,15,516
ET8,MC1,2023-06-01T00:45:00Z,0,87.84,1,18.6,18.5,0,0.999,87.94,3.5,1.3,0.49,1.56,18.4,237,0,580,15,15,15,15,518
ET8,MC1,2023-06-01T01:00:00Z,0.01,87.83,0.995,18.7,18.6,0.01,0.995,87.94,3.5,1.2,0.39,1.49,18.5,238,0,613,15,15,15,15,542
ET8,MC1,2023-06-01T01:15:00Z,0,87.8,0.999,18.7,18.6,0,0.998,87.9,3.6,1.3,0.4,1.53,18.5,242,0,594,15,15,15,15,537
ET8,MC1,2023-06-01T01:30:00Z,0,87.76,1,18.7,18.6,0,0.999,87.87,3.5,1.2,0.41,1.49,18.5,246,0,563,15,15,15,15,488
ET8,MC1,2023-06-01T01:45:00Z,0,87.73,1,18.5,18.5,0.01,0.997,87.84,3.5,1.2,0.37,1.29,18.3,227,0,541,15,15,15,15,470
ET8,MC1,2023-06-01T02:00:00Z,0.01,87.71,0.993,18.5,18.4,0.01,0.993,87.82,3.5,1.2,0.3,1.09,18.3,249,0,527,15,15,15,14,460
ET8,MC1,2023-06-01T02:15:00Z,0.02,87.7,0.992,18.4,18.3,0.01,0.994,87.82,3.5,1.2,0.31,1.43,18.2,300,0,534,15,15,15,0,457
ET8,MC1,2023-06-01T02:30:00Z,0.01,87.69,0.994,18.4,18.3,0.01,0.997,87.8,3.5,1.1,0.29,1.17,18.2,10,0,666,15,15,15,9,551
ET8,MC1,2023-06-01T02:45:00Z,0.03,87.69,0.988,18.4,18.2,0.02,0.992,87.79,3.5,1.2,0.42,1.49,18.2,235,0,696,15,15,15,15,562
ET8,MC1,2023-06-01T03:00:00Z,0.03,87.67,0.986,18.3,18.2,0.02,0.989,87.78,3.6,1.2,0.37,1.19,18.1,247,0,605,15,15,15,15,514
ET8,MC1,2023-06-01T03:15:00Z,0.03,87.66,0.984,18.3,18.1,0.02,0.989,87.76,3.6,1.2,0.3,0.93,18,240,0,563,15,15,15,15,467
ET8,MC1,2023-06-01T03:30:00Z,0.04,87.65,0.981,18.4,18.2,0.03,0.988,87.76,3.5,1.2,0.34,1.05,18.1,234,0,565,15,15,15,15,478
ET8,MC1,2023-06-01T03:45:00Z,0.05,87.66,0.978,18.5,18.2,0.03,0.986,87.77,3.5,1.3,0.39,1.13,18.2,234,0,549,15,15,15,15,463
ET8,MC1,2023-06-01T04:00:00Z,0.05,87.66,0.976,18.6,18.4,0.04,0.983,87.76,3.4,1.3,0.39,1.34,18.2,241,0,532,15,15,15,2,458
ET8,MC1,2023-06-01T04:15:00Z,0.05,87.66,0.976,18.7,18.4,0.03,0.985,87.77,3.4,1.1,0.39,1.63,18.4,114,0,530,15,15,15,0,457
ET8,MC1,2023-06-01T04:30:00Z,0.07,87.67,0.969,18.9,18.5,0.04,0.983,87.78,3.4,1.1,0.53,1.42,18.6,74,0,516,15,15,15,0,456
ET8,MC1,2023-06-01T04:45:00Z,0.1,87.67,0.955,19.1,18.7,0.06,0.973,87.78,3.5,1.1,0.66,1.72,18.9,63,0,509,15,15,15,0,455
ET8,MC1,2023-06-01T05:00:00Z,0.24,87.69,0.898,19.8,19,0.14,0.937,87.8,3.4,1.2,0.59,1.87,19.3,64,0,499,15,15,15,0,454
ET8,MC1,2023-06-01T05:15:00Z,0.35,87.7,0.851,20.2,19.6,0.26,0.887,87.81,3.3,1.3,0.54,1.63,19.5,92,0,488,15,15,15,0,453
ET8,MC1,2023-06-01T05:30:00Z,0.49,87.72,0.8,20.8,20.4,0.44,0.818,87.82,3.4,1.4,0.42,1.51,19.8,112,0,452,15,10,15,0,452
ET8,MC1,2023-06-01T05:45:00Z,0.56,87.73,0.774,21.1,20.9,0.54,0.782,87.84,3.2,1.4,0.38,1.96,19.9,134,7.5,451,15,0,15,0,452
ET8,MC1,2023-06-01T06:00:00Z,0.57,87.76,0.771,21.1,20.9,0.55,0.779,87.86,3.2,1.3,0.37,1.4,20,137,16.5,451,15,0,15,0,451
ET8,MC1,2023-06-01T06:15:00Z,0.58,87.78,0.768,21.2,21.1,0.57,0.77,87.88,3,1.4,0.23,0.69,19.8,227,24.7,451,15,0,15,0,451
ET8,MC1,2023-06-01T06:30:00Z,0.53,87.8,0.785,21,20.9,0.53,0.786,87.91,3,1.3,0.28,1.05,19.8,234,27.3,451,15,0,15,0,451
ET8,MC1,2023-06-01T06:45:00Z,0.5,87.81,0.796,20.8,20.7,0.5,0.794,87.92,3,1.2,0.31,1.04,19.9,246,34.2,451,15,0,15,0,451
ET8,MC1,2023-06-01T07:00:00Z,0.47,87.84,0.807,20.7,20.5,0.43,0.82,87.94,3,1.2,0.21,0.64,19.7,236,46.3,452,15,0,15,0,451
ET8,MC1,2023-06-01T07:15:00Z,0.36,87.86,0.851,20.3,20.1,0.32,0.865,87.96,3,1.1,0.2,0.8,19.6,229,85.9,451,15,0,15,0,451
ET8,MC1,2023-06-01T07:30:00Z,0.3,87.87,0.878,20.8,20.4,0.25,0.896,87.98,2.9,1.1,0.18,0.66,19.9,39,165,451,15,0,15,0,451
ET8,MC1,2023-06-01T07:45:00Z,0.23,87.89,0.906,21,21.1,0.23,0.909,87.99,2.9,1.2,0.26,0.76,20.4,36,348.1,447,7,0,15,0,450
