Tree,MC,Timestamp,Port3_VPD,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port2_ATM22_Yaxis,Port2_Gust_speed,Port2_Wind_speed,Port2_ATM22_temp,Port2_Wind_direction,Port2_ATM22_Xaxis,Port1_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port5_EpiMoisture,Port6_EpiTemp
ET8,MC2,2023-05-31T18:45:00Z,0.18,0.918,18.9,87.8,1.1,2.76,1.01,19.1,84,-1.3,0,15,0,453,-0.035,19.2
ET8,MC2,2023-05-31T19:00:00Z,0.19,0.915,19,87.83,1.1,2.98,1.48,19.2,83,-1.3,0,15,0,453,-0.035,19.1
ET8,MC2,2023-05-31T19:15:00Z,0.2,0.908,19.2,87.85,1.3,4.83,1.95,19.3,106,-1.3,0,15,0,453,-0.035,18.9
ET8,MC2,2023-05-31T19:30:00Z,0.19,0.912,19.1,87.87,1.2,3.76,1.75,19.2,93,-1.3,0,15,0,453,-0.035,18.7
ET8,MC2,2023-05-31T19:45:00Z,0.21,0.907,19.2,87.89,1.2,3.15,1.49,19.4,104,-1.3,0,15,0,453,-0.035,18.5
ET8,MC2,2023-05-31T20:00:00Z,0.26,0.886,19.4,87.91,1,2.57,1.15,19.6,117,-1.3,0,15,0,453,-0.035,18.5
ET8,MC2,2023-05-31T20:15:00Z,0.32,0.858,19.6,87.92,1.2,2.66,1.35,19.7,106,-1.2,0,15,0,453,-0.035,18.4
ET8,MC2,2023-05-31T20:30:00Z,0.32,0.86,19.5,87.93,1.1,2.59,1.13,19.7,93,-1.3,0,15,0,453,-0.035,18.4
ET8,MC2,2023-05-31T20:45:00Z,0.29,0.872,19.5,87.94,1,2.64,0.87,19.6,88,-1.2,0,15,0,453,-0.035,18.4
ET8,MC2,2023-05-31T21:00:00Z,0.25,0.889,19.3,87.94,1.1,1.85,0.46,19.4,57,-1.2,0,15,0,453,-0.035,18.3
ET8,MC2,2023-05-31T21:15:00Z,0.21,0.907,19.2,87.94,1.1,2,0.43,19.3,34,-1.3,0,15,0,455,-0.035,18.3
ET8,MC2,2023-05-31T21:30:00Z,0.19,0.914,19.2,87.96,1.1,2.15,0.51,19.3,55,-1.3,0,15,0,453,-0.035,18.3
ET8,MC2,2023-05-31T21:45:00Z,0.18,0.921,19.2,87.97,1,2.67,0.68,19.3,83,-1.2,0,15,0,454,-0.035,18.3
ET8,MC2,2023-05-31T22:00:00Z,0.17,0.926,19.2,87.96,1,1.14,0.43,19.3,52,-1.2,0,15,14,473,-0.035,18.3
ET8,MC2,2023-05-31T22:15:00Z,0.15,0.934,19.1,87.96,1.1,1.45,0.48,19.1,65,-1.2,0,15,15,628,-0.035,18.3
ET8,MC2,2023-05-31T22:30:00Z,0.11,0.952,18.8,87.97,1,2.34,0.31,19,65,-1.3,0,15,15,588,-0.035,18.3
ET8,MC2,2023-05-31T22:45:00Z,0.1,0.956,18.9,87.97,1.1,1.79,0.42,19,109,-1.3,0,15,15,952,-0.033,18.3
ET8,MC2,2023-05-31T23:00:00Z,0.07,0.969,18.7,87.96,1.2,1.3,0.53,18.6,94,-1.8,0,15,15,805,-0.015,18.2
ET8,MC2,2023-05-31T23:15:00Z,0.04,0.982,18.5,87.96,1.2,0.94,0.28,18.4,41,-2,0,15,15,867,-0.006,18.2
ET8,MC2,2023-05-31T23:30:00Z,0.02,0.989,18.5,87.94,1.2,1.35,0.28,18.4,0,-2,0,15,15,768,-0.004,18.2
ET8,MC2,2023-05-31T23:45:00Z,0.01,0.996,18.5,87.93,1.3,1.8,0.47,18.4,356,-2.1,0,15,15,824,-0.004,18.2
ET8,MC2,2023-06-01T00:00:00Z,0,0.999,18.6,87.93,1.3,1.02,0.36,18.6,8,-2.1,0,15,15,627,-0.004,18.2
ET8,MC2,2023-06-01T00:15:00Z,0,0.999,18.6,87.91,1.2,0.98,0.37,18.6,15,-2.1,0,15,15,589,-0.004,18.2
ET8,MC2,2023-06-01T00:30:00Z,0,0.998,18.6,87.89,1.2,1.9,0.38,18.6,335,-2.1,0,15,15,587,-0.004,18.2
ET8,MC2,2023-06-01T00:45:00Z,0,0.999,18.6,87.86,1.2,1.13,0.35,18.6,302,-2,0,15,15,697,-0.005,18.2
ET8,MC2,2023-06-01T01:00:00Z,0.01,0.997,18.7,87.86,1.2,1.92,0.4,18.6,326,-2.1,0,15,15,623,-0.005,18.2
ET8,MC2,2023-06-01T01:15:00Z,0.01,0.997,18.7,87.82,1.2,1.5,0.38,18.6,323,-2,0,15,15,601,-0.005,18.2
ET8,MC2,2023-06-01T01:30:00Z,0,1,18.6,87.79,1.3,2.18,0.45,18.6,338,-2,0,15,15,558,-0.005,18.2
ET8,MC2,2023-06-01T01:45:00Z,0,0.999,18.5,87.75,1.2,1.53,0.34,18.5,0,-2,0,15,15,514,-0.005,18.2
ET8,MC2,2023-06-01T02:00:00Z,0.01,0.995,18.4,87.74,1.2,1.7,0.51,18.5,350,-2,0,15,15,492,-0.005,18.2
ET8,MC2,2023-06-01T02:15:00Z,0.02,0.99,18.4,87.73,1.3,1.35,0.46,18.4,57,-2,0,15,15,488,-0.006,18.2
ET8,MC2,2023-06-01T02:30:00Z,0.02,0.99,18.4,87.72,1.3,1.68,0.59,18.4,71,-2,0,15,15,637,-0.006,18.2
ET8,MC2,2023-06-01T02:45:00Z,0.03,0.986,18.3,87.71,1.2,1.39,0.3,18.3,312,-2,0,15,15,838,-0.006,18.2
ET8,MC2,2023-06-01T03:00:00Z,0.03,0.983,18.3,87.69,1.3,1.54,0.43,18.3,16,-2,0,15,15,627,-0.006,18.1
ET8,MC2,2023-06-01T03:15:00Z,0.04,0.982,18.3,87.68,1.3,1.23,0.33,18.3,354,-2,0,15,15,560,-0.006,18.1
ET8,MC2,2023-06-01T03:30:00Z,0.05,0.978,18.4,87.68,1.2,1.3,0.33,18.3,343,-2,0,15,15,561,-0.006,18.1
ET8,MC2,2023-06-01T03:45:00Z,0.05,0.975,18.5,87.68,1.3,1.06,0.35,18.4,333,-2,0,15,15,530,-0.006,18
ET8,MC2,2023-06-01T04:00:00Z,0.05,0.977,18.4,87.68,1.2,1.15,0.34,18.4,333,-2,0,15,15,502,-0.006,18
ET8,MC2,2023-06-01T04:15:00Z,0.05,0.979,18.6,87.69,1.2,1.77,0.54,18.6,98,-2,0,15,15,499,-0.006,18
ET8,MC2,2023-06-01T04:30:00Z,0.06,0.971,18.8,87.69,1.3,2.02,0.66,18.8,118,-1.9,0,15,15,490,-0.006,18
ET8,MC2,2023-06-01T04:45:00Z,0.09,0.959,18.9,87.7,1.3,1.81,0.71,19,120,-1.9,0,15,15,476,-0.007,18
ET8,MC2,2023-06-01T05:00:00Z,0.19,0.917,19.4,87.71,1.2,1.74,0.56,19.5,120,-1.8,0,15,15,472,-0.007,18
ET8,MC2,2023-06-01T05:15:00Z,0.29,0.873,19.8,87.72,1.3,1.81,0.47,19.4,134,-1.8,0,15,15,470,-0.008,18
ET8,MC2,2023-06-01T05:30:00Z,0.43,0.82,20.4,87.74,1.2,1.05,0.38,19.4,149,-1.6,0,15,15,465,-0.009,18
ET8,MC2,2023-06-01T05:45:00Z,0.51,0.792,20.8,87.75,1.3,2.47,0.35,19.6,140,-1.6,5.1,15,15,463,-0.01,18
ET8,MC2,2023-06-01T06:00:00Z,0.53,0.785,20.9,87.78,1.2,2.16,0.33,19.8,135,-1.5,13.7,15,7,457,-0.011,17.9
ET8,MC2,2023-06-01T06:15:00Z,0.55,0.778,21,87.8,1.1,0.87,0.21,19.9,119,-1.6,20,15,0,452,-0.012,17.9
ET8,MC2,2023-06-01T06:30:00Z,0.49,0.799,20.8,87.82,1.2,1.08,0.22,19.9,55,-1.5,22.3,15,0,452,-0.013,17.8
ET8,MC2,2023-06-01T06:45:00Z,0.44,0.816,20.4,87.84,1.2,0.81,0.23,20.1,348,-1.5,28.4,15,0,452,-0.013,17.9
ET8,MC2,2023-06-01T07:00:00Z,0.41,0.828,20.4,87.86,1.2,0.44,0.16,19.8,48,-1.5,35.3,15,0,452,-0.014,17.9
ET8,MC2,2023-06-01T07:15:00Z,0.32,0.866,20.1,87.88,1.2,0.55,0.18,19.9,38,-1.5,62.8,15,0,453,-0.014,17.9
ET8,MC2,2023-06-01T07:30:00Z,0.25,0.897,20.4,87.9,1.2,0.61,0.27,20.2,81,-1.5,125.8,15,0,453,-0.014,18.1
ET8,MC2,2023-06-01T07:45:00Z,0.19,0.92,20.7,87.91,1.1,0.67,0.34,20.6,78,-1.5,279.6,15,2,465,-0.013,18.3
ET8,MC2,2023-06-01T08:00:00Z,0.24,0.906,21.2,87.92,1.2,1.07,0.53,21.1,19,-1.5,347.9,15,12,456,-0.013,18.6
ET8,MC2,2023-06-01T08:15:00Z,0.3,0.883,21.6,87.93,1.2,1.35,0.46,21.6,10,-1.4,245.2,15,0,453,-0.013,19
ET8,MC2,2023-06-01T08:30:00Z,0.31,0.878,21.5,87.95,1.2,1.16,0.52,21.5,36,-1.5,217.5,15,0,453,-0.013,19.2
ET8,MC2,2023-06-01T08:45:00Z,0.33,0.873,21.7,87.96,1.2,0.99,0.4,21.7,58,-1.4,200,15,0,452,-0.013,19.4
ET8,MC2,2023-06-01T09:00:00Z,0.35,0.861,21.5,87.97,1.2,1.45,0.61,21.7,81,-1.4,224.5,15,0,452,-0.014,19.6
ET8,MC2,2023-06-01T09:15:00Z,0.31,0.881,21.8,87.97,1.2,1.48,0.47,22,29,-1.5,171,15,0,452,-0.014,19.7
ET8,MC2,2023-06-01T09:30:00Z,0.32,0.876,21.8,87.96,1.2,1.84,0.53,22.1,16,-1.4,226.5,15,0,452,-0.014,19.9
ET8,MC2,2023-06-01T09:45:00Z,0.38,0.856,22.1,87.95,1.2,1.22,0.37,22.3,14,-1.4,147,15,0,452,-0.014,20
ET8,MC2,2023-06-01T10:00:00Z,0.35,0.87,22.4,87.94,1.2,0.77,0.32,22.7,60,-1.4,192.4,15,0,451,-0.014,20.2
ET8,MC2,2023-06-01T10:15:00Z,0.42,0.842,22.2,87.94,1.2,0.94,0.3,22.7,26,-1.3,169.9,15,0,452,-0.014,20.3
ET8,MC2,2023-06-01T10:30:00Z,0.44,0.838,22.6,87.92,1.2,1.12,0.42,23,24,-1.4,184.2,15,0,451,-0.014,20.4
ET8,MC2,2023-06-01T10:45:00Z,0.46,0.836,23.1,87.91,1.2,1.16,0.29,23.5,71,-1.3,503.5,12,0,449,-0.014,20.6
ET8,MC2,2023-06-01T11:00:00Z,0.63,0.792,24.2,87.9,1.2,1.88,0.51,23.9,9,-1.3,542.4,3,0,450,-0.014,20.8
ET8,MC2,2023-06-01T11:15:00Z,0.57,0.806,23.8,87.88,1.2,1.15,0.33,23.9,335,-1.3,251.4,15,0,450,-0.015,20.9
ET8,MC2,2023-06-01T11:30:00Z,0.5,0.831,23.9,87.87,1.1,2.67,0.36,23.8,332,-1.2,223.9,15,0,451,-0.015,21
ET8,MC2,2023-06-01T11:45:00Z,0.43,0.851,23.6,87.87,1.2,2,0.37,23.6,345,-1.3,96.3,15,0,452,-0.015,21.1
ET8,MC2,2023-06-01T12:00:00Z,0.37,0.869,23,87.85,1.1,0.9,0.31,23.2,355,-1.3,139.9,15,0,451,-0.016,21.1
ET8,MC2,2023-06-01T12:15:00Z,0.33,0.882,23.2,87.83,1.1,0.94,0.34,23.5,60,-1.3,180.5,15,0,451,-0.015,21.2
