Tree,MC,Timestamp,Port3_VPD,Port3_Temp,Port3_RH,Port3_Atmos_pressure,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes,Port4_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H
FB1,MC2,2023-05-31T18:45:00Z,0.08,17.4,0.961,86.02,0,453,15,0,15,453,0
FB1,MC2,2023-05-31T19:00:00Z,0.08,17.4,0.959,86.05,0,453,15,0,15,453,0
FB1,MC2,2023-05-31T19:15:00Z,0.09,17.5,0.955,86.07,0,453,15,0,15,453,0
FB1,MC2,2023-05-31T19:30:00Z,0.09,17.6,0.954,86.09,0,453,15,0,15,453,0
FB1,MC2,2023-05-31T19:45:00Z,0.13,17.7,0.938,86.1,0,453,15,0,15,452,0
FB1,MC2,2023-05-31T20:00:00Z,0.2,18,0.904,86.12,0,452,15,0,15,452,0
FB1,MC2,2023-05-31T20:15:00Z,0.27,18.3,0.874,86.13,0,452,15,0,15,452,0
FB1,MC2,2023-05-31T20:30:00Z,0.22,18.2,0.893,86.14,0,452,15,0,15,452,0
FB1,MC2,2023-05-31T20:45:00Z,0.19,18.1,0.909,86.15,0,459,15,0,15,454,0
FB1,MC2,2023-05-31T21:00:00Z,0.13,17.8,0.934,86.15,0,458,15,0,15,459,0
FB1,MC2,2023-05-31T21:15:00Z,0.13,17.9,0.938,86.15,0,453,15,6,15,452,3
FB1,MC2,2023-05-31T21:30:00Z,0.1,17.8,0.953,86.17,0,456,15,0,15,454,0
FB1,MC2,2023-05-31T21:45:00Z,0.09,17.8,0.957,86.18,0,492,15,5,15,480,3
FB1,MC2,2023-05-31T22:00:00Z,0.1,17.9,0.951,86.18,0,1004,15,15,15,878,13
FB1,MC2,2023-05-31T22:15:00Z,0.06,17.6,0.971,86.17,0,900,15,15,15,801,15
FB1,MC2,2023-05-31T22:30:00Z,0.06,17.9,0.97,86.18,0,903,15,15,15,782,15
FB1,MC2,2023-05-31T22:45:00Z,0.05,17.7,0.976,86.17,0,1008,15,15,15,860,15
