Tree,MC,Timestamp,Port3_VPD,Port3_RH,Port3_Atmos_pressure,Port3_Temp,Port6_RH,Port6_VPD,Port6_Temp,Port6_Atmos_pressure,Port2_Gust_speed,Port2_Wind_direction,Port2_Wind_speed,Port2_ATM22_Xaxis,Port2_ATM22_Yaxis,Port2_ATM22_temp,Port1_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port5_Solar
FB1,MC3,2023-05-31T18:45:00Z,0.09,0.955,86.03,17.4,0.976,0.05,17.5,85.95,9.56,183,5.11,0.8,-1,17.6,0,15,0,455,0
FB1,MC3,2023-05-31T19:00:00Z,0.09,0.953,86.07,17.5,0.973,0.05,17.5,85.98,8.85,181,4.12,0.8,-0.8,17.6,0,15,0,455,0
FB1,MC3,2023-05-31T19:15:00Z,0.1,0.95,86.09,17.5,0.968,0.06,17.6,86,7.08,182,3.66,0.7,-0.8,17.6,0,15,0,455,0
FB1,MC3,2023-05-31T19:30:00Z,0.1,0.949,86.1,17.6,0.969,0.06,17.7,86.02,9.46,180,5.08,0.7,-0.8,17.7,0,15,0,455,0
FB1,MC3,2023-05-31T19:45:00Z,0.15,0.928,86.12,17.8,0.951,0.1,17.9,86.04,8.63,179,4.17,0.8,-0.8,17.9,0,15,0,454,0
FB1,MC3,2023-05-31T20:00:00Z,0.22,0.893,86.14,18.1,0.915,0.18,18.1,86.06,6.11,178,3.48,0.7,-0.9,18.2,0,15,0,453,0
FB1,MC3,2023-05-31T20:15:00Z,0.29,0.862,86.15,18.4,0.879,0.26,18.4,86.07,6.9,178,3.71,0.7,-0.8,18.4,0,15,0,453,0
FB1,MC3,2023-05-31T20:30:00Z,0.25,0.883,86.16,18.2,0.901,0.21,18.3,86.08,6.81,179,3.54,0.8,-0.9,18.4,0,15,0,453,0
FB1,MC3,2023-05-31T20:45:00Z,0.21,0.899,86.18,18.1,0.918,0.17,18.2,86.09,5.45,182,3.24,0.8,-0.9,18.2,0,15,0,454,0
FB1,MC3,2023-05-31T21:00:00Z,0.15,0.927,86.17,17.9,0.946,0.11,18,86.09,7.5,183,4,0.8,-0.9,18,0,15,0,454,0
FB1,MC3,2023-05-31T21:15:00Z,0.14,0.931,86.17,17.9,0.95,0.1,18,86.09,6.95,180,4.01,0.8,-0.9,18,0,15,0,454,0
FB1,MC3,2023-05-31T21:30:00Z,0.11,0.947,86.19,17.8,0.966,0.07,17.8,86.1,5.94,184,3.16,0.8,-0.9,17.9,0,15,0,455,0
FB1,MC3,2023-05-31T21:45:00Z,0.1,0.951,86.19,17.9,0.971,0.06,17.9,86.11,6.39,182,3.12,0.7,-0.9,18,0,15,3,486,0
FB1,MC3,2023-05-31T22:00:00Z,0.11,0.945,86.19,17.9,0.963,0.08,18,86.11,6.11,183,2.76,0.7,-0.9,18,0,15,14,629,0
FB1,MC3,2023-05-31T22:15:00Z,0.06,0.969,86.19,17.6,0.983,0.03,17.7,86.11,4.6,188,2.9,0.6,-0.8,17.7,0,15,15,551,0
FB1,MC3,2023-05-31T22:30:00Z,0.08,0.963,86.19,17.9,0.986,0.03,17.9,86.11,7.65,193,3.66,0.8,-0.8,18,0,15,15,516,0
FB1,MC3,2023-05-31T22:45:00Z,0.05,0.973,86.19,17.7,0.989,0.02,17.8,86.11,5.81,182,2.65,0.7,-0.7,17.5,0,15,15,752,0
FB1,MC3,2023-05-31T23:00:00Z,0.02,0.99,86.18,17.5,1,0,17.6,86.09,5.79,181,2.87,0.6,-0.8,17.5,0,15,15,747,0
FB1,MC3,2023-05-31T23:15:00Z,0.02,0.99,86.18,17.8,1,0,17.8,86.09,6.97,186,3.08,0.7,-0.8,17.8,0,15,15,736,0
FB1,MC3,2023-05-31T23:30:00Z,0.01,0.993,86.17,17.8,1,0,17.9,86.08,8.75,185,3.54,0.6,-0.8,17.7,0,15,15,633,0
FB1,MC3,2023-05-31T23:45:00Z,0.01,0.995,86.16,17.8,1,0,17.9,86.07,7.99,190,3.76,0.8,-0.8,17.7,0,15,15,601,0
FB1,MC3,2023-06-01T00:00:00Z,0,0.998,86.15,17.7,1,0,17.7,86.07,8.99,189,4.45,0.7,-0.8,17.6,0,15,15,602,0
FB1,MC3,2023-06-01T00:15:00Z,0,1,86.13,17.5,1.001,0,17.6,86.05,9.77,191,4.75,0.8,-0.9,17.6,0,15,15,629,0
FB1,MC3,2023-06-01T00:30:00Z,0,1.001,86.11,17.5,1,0,17.6,86.02,10.19,192,5.26,0.9,-1.1,17.6,0,15,15,583,0
FB1,MC3,2023-06-01T00:45:00Z,0,1,86.08,17.4,1.001,0,17.5,86,9.83,193,4.85,0.8,-0.8,17.5,0,15,15,597,0
FB1,MC3,2023-06-01T01:00:00Z,0,1,86.08,17.6,1.001,0,17.6,85.99,8.52,192,4.51,0.8,-0.7,17.6,0,15,15,596,0
FB1,MC3,2023-06-01T01:15:00Z,0,1,86.04,17.5,1,0,17.6,85.96,8.21,187,4.25,0.8,-0.8,17.5,0,15,15,568,0
FB1,MC3,2023-06-01T01:30:00Z,0,1,86.01,17.4,1.001,0,17.4,85.93,9.06,191,4.64,0.9,-0.8,17.4,0,15,15,546,0
FB1,MC3,2023-06-01T01:45:00Z,0,1,85.98,17.3,1,0,17.4,85.9,8.67,189,4.62,0.7,-0.8,17.3,0,15,15,539,0
FB1,MC3,2023-06-01T02:00:00Z,0,1,85.97,17.3,1,0,17.3,85.88,8.13,194,4.5,0.6,-0.8,17.2,0,15,15,522,0
FB1,MC3,2023-06-01T02:15:00Z,0,1.001,85.96,17.3,1,0,17.3,85.87,7.99,189,4.33,0.8,-0.8,17.2,0,15,15,517,0
FB1,MC3,2023-06-01T02:30:00Z,0,1,85.95,17.3,1,0,17.3,85.86,7.41,188,4.34,0.9,-0.7,17.3,0,15,15,563,0
FB1,MC3,2023-06-01T02:45:00Z,0,0.999,85.94,17.2,1,0,17.3,85.86,7.21,186,4.1,0.8,-0.9,17.3,0,15,15,581,0
FB1,MC3,2023-06-01T03:00:00Z,0,1.001,85.93,17.1,0.999,0,17.2,85.84,7.12,190,3.95,0.6,-0.8,17.2,0,15,15,549,0
FB1,MC3,2023-06-01T03:15:00Z,0,0.999,85.92,17.1,0.999,0,17.2,85.83,6.24,193,3.87,0.7,-0.8,17.3,0,15,15,524,0
FB1,MC3,2023-06-01T03:30:00Z,0.01,0.994,85.92,17.2,1,0,17.3,85.83,7.35,190,3.89,0.6,-0.7,17.4,0,15,15,522,0
