Tree,MC,Timestamp,Port3_VPD,Port3_RH,Port3_Atmos_pressure,Port3_Temp,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes,Port4_LW_minutes_H,Port5_EpiMoisture,Port6_EpiTemp
FB2,MC1,2023-05-31T18:45:00Z,0.02,0.992,86.05,17.4,0,454,15,0,0.067,17.2
FB2,MC1,2023-05-31T19:00:00Z,0.02,0.991,86.08,17.5,0,454,15,0,0.067,17.1
FB2,MC1,2023-05-31T19:15:00Z,0.03,0.986,86.11,17.5,0,454,15,0,0.067,17.1
FB2,MC1,2023-05-31T19:30:00Z,0.02,0.988,86.12,17.5,0,454,15,0,0.066,17
FB2,MC1,2023-05-31T19:45:00Z,0.05,0.973,86.14,17.7,0,453,15,0,0.066,17
FB2,MC1,2023-05-31T20:00:00Z,0.12,0.942,86.16,18,0,453,15,0,0.066,17
FB2,MC1,2023-05-31T20:15:00Z,0.21,0.9,86.17,18.2,0,453,15,0,0.066,16.9
FB2,MC1,2023-05-31T20:30:00Z,0.19,0.911,86.18,18.3,0,453,15,0,0.066,16.8
FB2,MC1,2023-05-31T20:45:00Z,0.15,0.929,86.2,18.2,0,454,15,0,0.065,16.8
FB2,MC1,2023-05-31T21:00:00Z,0.09,0.955,86.19,17.9,0,454,15,0,0.065,16.8
FB2,MC1,2023-05-31T21:15:00Z,0.07,0.966,86.19,17.9,0,454,15,0,0.065,16.8
FB2,MC1,2023-05-31T21:30:00Z,0.05,0.977,86.2,17.8,0,454,15,0,0.065,16.9
FB2,MC1,2023-05-31T21:45:00Z,0.03,0.987,86.22,17.8,0,465,15,1,0.064,17
FB2,MC1,2023-05-31T22:00:00Z,0.04,0.979,86.21,18,0,463,15,9,0.064,17
FB2,MC1,2023-05-31T22:15:00Z,0.01,0.995,86.21,17.7,0,639,15,15,0.065,17
FB2,MC1,2023-05-31T22:30:00Z,0,1,86.22,17.7,0,607,15,15,0.065,17.1
FB2,MC1,2023-05-31T22:45:00Z,0,1,86.22,17.7,0,827,15,15,0.075,17.1
FB2,MC1,2023-05-31T23:00:00Z,0,1,86.2,17.5,0,638,15,15,0.103,17.1
FB2,MC1,2023-05-31T23:15:00Z,0,0.999,86.2,17.7,0,651,15,15,0.124,17.2
FB2,MC1,2023-05-31T23:30:00Z,0,1,86.19,17.8,0,630,15,15,0.143,17.2
FB2,MC1,2023-05-31T23:45:00Z,0,1,86.18,17.7,0,655,15,15,0.144,17.3
FB2,MC1,2023-06-01T00:00:00Z,0,1.001,86.18,17.6,0,638,15,15,0.143,17.3
FB2,MC1,2023-06-01T00:15:00Z,0,1,86.16,17.5,0,590,15,15,0.139,17.4
FB2,MC1,2023-06-01T00:30:00Z,0,1,86.14,17.6,0,576,15,15,0.136,17.4
FB2,MC1,2023-06-01T00:45:00Z,0,0.999,86.11,17.4,0,585,15,15,0.134,17.4
FB2,MC1,2023-06-01T01:00:00Z,0,1,86.11,17.6,0,596,15,15,0.133,17.4
FB2,MC1,2023-06-01T01:15:00Z,0,1,86.08,17.5,0,578,15,15,0.132,17.4
FB2,MC1,2023-06-01T01:30:00Z,0,1,86.04,17.4,0,574,15,15,0.13,17.4
FB2,MC1,2023-06-01T01:45:00Z,0,1.002,86.01,17.3,0,556,15,15,0.129,17.4
FB2,MC1,2023-06-01T02:00:00Z,0,1,86,17.3,0,578,15,15,0.127,17.4
FB2,MC1,2023-06-01T02:15:00Z,0,0.999,85.99,17.2,0,557,15,15,0.126,17.3
FB2,MC1,2023-06-01T02:30:00Z,0,1,85.98,17.2,0,615,15,15,0.125,17.3
FB2,MC1,2023-06-01T02:45:00Z,0,1,85.97,17.2,0,587,15,15,0.125,17.2
FB2,MC1,2023-06-01T03:00:00Z,0,1,85.96,17.1,0,579,15,15,0.126,17.1
FB2,MC1,2023-06-01T03:15:00Z,0,1,85.95,17,0,601,15,15,0.125,17.1
FB2,MC1,2023-06-01T03:30:00Z,0,1,85.94,17.1,0,565,15,15,0.125,17
FB2,MC1,2023-06-01T03:45:00Z,0,0.999,85.95,17.2,0,583,15,15,0.124,17
FB2,MC1,2023-06-01T04:00:00Z,0,0.999,85.95,17.3,0,558,15,15,0.124,17
FB2,MC1,2023-06-01T04:15:00Z,0,1,85.96,17.4,0,555,15,15,0.123,17
FB2,MC1,2023-06-01T04:30:00Z,0,1.001,85.96,17.7,0,514,15,15,0.122,17
FB2,MC1,2023-06-01T04:45:00Z,0.02,0.989,85.97,18,0,483,15,15,0.122,17
FB2,MC1,2023-06-01T05:00:00Z,0.13,0.939,85.98,18.5,0,476,15,15,0.12,17.1
FB2,MC1,2023-06-01T05:15:00Z,0.18,0.916,86,18.6,0,469,15,15,0.119,17
FB2,MC1,2023-06-01T05:30:00Z,0.25,0.886,86.02,18.8,0,464,15,15,0.119,17
FB2,MC1,2023-06-01T05:45:00Z,0.29,0.867,86.03,19,1.5,460,15,14,0.118,17
FB2,MC1,2023-06-01T06:00:00Z,0.31,0.858,86.05,19.1,7.9,455,15,0,0.117,16.9
FB2,MC1,2023-06-01T06:15:00Z,0.3,0.865,86.07,19,12.1,454,15,0,0.116,16.9
FB2,MC1,2023-06-01T06:30:00Z,0.25,0.886,86.09,18.8,13.2,453,15,0,0.115,16.8
FB2,MC1,2023-06-01T06:45:00Z,0.23,0.894,86.1,18.7,17.4,453,15,0,0.114,16.8
FB2,MC1,2023-06-01T07:00:00Z,0.22,0.899,86.12,18.8,22.5,453,15,0,0.114,16.8
FB2,MC1,2023-06-01T07:15:00Z,0.22,0.9,86.13,18.9,34.2,453,15,0,0.113,16.9
FB2,MC1,2023-06-01T07:30:00Z,0.17,0.919,86.15,18.8,53.5,453,15,0,0.113,16.9
FB2,MC1,2023-06-01T07:45:00Z,0.16,0.926,86.17,19,66.5,453,15,0,0.112,17
FB2,MC1,2023-06-01T08:00:00Z,0.16,0.928,86.18,19,78.6,454,15,0,0.111,17.1
FB2,MC1,2023-06-01T08:15:00Z,0.17,0.922,86.19,19.1,69.4,453,15,0,0.111,17.2
FB2,MC1,2023-06-01T08:30:00Z,0.17,0.923,86.21,19,76.4,453,15,0,0.11,17.3
FB2,MC1,2023-06-01T08:45:00Z,0.17,0.924,86.22,19.3,76.7,453,15,0,0.11,17.4
FB2,MC1,2023-06-01T09:00:00Z,0.18,0.919,86.23,19.5,95.8,452,15,0,0.109,17.5
FB2,MC1,2023-06-01T09:15:00Z,0.21,0.91,86.23,19.9,115.9,452,15,0,0.109,17.7
FB2,MC1,2023-06-01T09:30:00Z,0.21,0.91,86.22,20.2,132.4,452,15,0,0.108,17.9
FB2,MC1,2023-06-01T09:45:00Z,0.26,0.894,86.2,20.6,134.2,452,15,0,0.108,18.1
FB2,MC1,2023-06-01T10:00:00Z,0.27,0.892,86.19,20.9,174.3,451,15,0,0.107,18.4
FB2,MC1,2023-06-01T10:15:00Z,0.3,0.879,86.19,21,146.5,451,15,0,0.107,18.6
FB2,MC1,2023-06-01T10:30:00Z,0.28,0.888,86.19,20.8,124,452,15,0,0.106,18.8
FB2,MC1,2023-06-01T10:45:00Z,0.27,0.893,86.17,21.1,149,451,15,0,0.106,19
FB2,MC1,2023-06-01T11:00:00Z,0.31,0.88,86.16,21.6,281.6,451,15,0,0.105,19.2
FB2,MC1,2023-06-01T11:15:00Z,0.42,0.848,86.14,22.5,208.9,451,15,0,0.105,19.5
FB2,MC1,2023-06-01T11:30:00Z,0.48,0.83,86.13,23.1,145.8,451,15,0,0.104,19.7
FB2,MC1,2023-06-01T11:45:00Z,0.46,0.832,86.13,22.4,80,451,15,0,0.103,19.9
FB2,MC1,2023-06-01T12:00:00Z,0.34,0.872,86.11,22,141.4,451,15,0,0.102,20
