Tree,MC,Timestamp,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port3_VPD,Port5_Temp,Port5_VPD,Port5_RH,Port5_Atmos_pressure,Port1_Solar,Port2_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H
FB2,MC2,2023-05-31T18:45:00Z,0.947,17.5,86,0.11,17.4,0.09,0.954,86.11,0,0,15,452,0,15,454,0
FB2,MC2,2023-05-31T19:00:00Z,0.947,17.5,86.03,0.11,17.4,0.09,0.953,86.14,0,0,15,452,0,15,454,0
FB2,MC2,2023-05-31T19:15:00Z,0.943,17.6,86.04,0.11,17.5,0.1,0.95,86.16,0,0,15,452,0,15,454,0
FB2,MC2,2023-05-31T19:30:00Z,0.944,17.6,86.06,0.11,17.5,0.1,0.949,86.18,0,0,15,452,0,15,454,0
FB2,MC2,2023-05-31T19:45:00Z,0.927,17.8,86.08,0.15,17.7,0.13,0.937,86.2,0,0,15,452,0,15,454,0
FB2,MC2,2023-05-31T20:00:00Z,0.896,18,86.1,0.21,17.8,0.18,0.912,86.22,0,0,15,451,0,15,454,0
FB2,MC2,2023-05-31T20:15:00Z,0.869,18.2,86.11,0.27,18.1,0.24,0.887,86.23,0,0,15,451,0,15,454,0
FB2,MC2,2023-05-31T20:30:00Z,0.882,18.3,86.12,0.25,18.2,0.22,0.897,86.24,0,0,15,451,0,15,454,0
FB2,MC2,2023-05-31T20:45:00Z,0.896,18.2,86.13,0.22,18.1,0.19,0.908,86.25,0,0,15,456,0,15,454,0
FB2,MC2,2023-05-31T21:00:00Z,0.92,17.9,86.13,0.16,17.8,0.14,0.929,86.25,0,0,15,457,0,15,454,0
FB2,MC2,2023-05-31T21:15:00Z,0.926,17.9,86.13,0.15,17.9,0.13,0.935,86.25,0,0,15,452,0,15,454,0
FB2,MC2,2023-05-31T21:30:00Z,0.938,17.9,86.14,0.13,17.8,0.11,0.945,86.26,0,0,15,453,0,15,454,0
FB2,MC2,2023-05-31T21:45:00Z,0.945,17.9,86.15,0.11,17.8,0.1,0.951,86.27,0,0,15,496,4,15,457,0
FB2,MC2,2023-05-31T22:00:00Z,0.939,18,86.15,0.13,17.9,0.11,0.946,86.27,0,0,15,777,15,15,634,5
FB2,MC2,2023-05-31T22:15:00Z,0.96,17.6,86.15,0.08,17.6,0.07,0.966,86.27,0,0,15,709,15,15,558,15
FB2,MC2,2023-05-31T22:30:00Z,0.967,17.8,86.15,0.07,17.8,0.07,0.967,86.27,0,0,15,650,15,15,556,15
FB2,MC2,2023-05-31T22:45:00Z,0.972,17.6,86.15,0.06,17.7,0.06,0.971,86.27,0,0,15,717,15,15,730,15
FB2,MC2,2023-05-31T23:00:00Z,0.985,17.4,86.14,0.03,17.4,0.03,0.984,86.25,0,0,15,836,15,15,645,15
FB2,MC2,2023-05-31T23:15:00Z,0.989,17.6,86.14,0.02,17.6,0.02,0.991,86.25,0,0,15,767,15,15,709,15
FB2,MC2,2023-05-31T23:30:00Z,0.99,17.8,86.12,0.02,17.7,0.02,0.991,86.24,0,0,15,710,15,15,631,15
FB2,MC2,2023-05-31T23:45:00Z,0.991,17.7,86.11,0.02,17.7,0.02,0.992,86.23,0,0,15,604,15,15,588,15
FB2,MC2,2023-06-01T00:00:00Z,0.992,17.6,86.11,0.02,17.6,0.01,0.995,86.23,0,0,15,625,15,15,580,15
FB2,MC2,2023-06-01T00:15:00Z,0.996,17.5,86.09,0.01,17.5,0,1,86.21,0,0,15,645,15,15,569,15
FB2,MC2,2023-06-01T00:30:00Z,1,17.6,86.07,0,17.5,0,0.999,86.19,0,0,15,598,15,15,589,15
FB2,MC2,2023-06-01T00:45:00Z,1,17.5,86.04,0,17.4,0,1,86.16,0,0,15,602,15,15,631,15
FB2,MC2,2023-06-01T01:00:00Z,0.999,17.6,86.04,0,17.5,0,1,86.16,0,0,15,667,15,15,588,15
FB2,MC2,2023-06-01T01:15:00Z,1.001,17.5,86,0,17.4,0,1,86.12,0,0,15,607,15,15,585,15
FB2,MC2,2023-06-01T01:30:00Z,0.999,17.4,85.97,0,17.4,0,0.999,86.09,0,0,15,553,15,15,581,15
FB2,MC2,2023-06-01T01:45:00Z,1.001,17.3,85.94,0,17.2,0,1.001,86.06,0,0,15,561,15,15,579,15
FB2,MC2,2023-06-01T02:00:00Z,1,17.3,85.93,0,17.2,0,1,86.05,0,0,15,560,15,15,575,15
FB2,MC2,2023-06-01T02:15:00Z,1,17.2,85.92,0,17.2,0,1,86.03,0,0,15,547,15,15,573,15
FB2,MC2,2023-06-01T02:30:00Z,1,17.2,85.91,0,17.2,0,0.999,86.03,0,0,15,598,15,15,586,15
FB2,MC2,2023-06-01T02:45:00Z,0.999,17.2,85.9,0,17.1,0,1,86.02,0,0,15,584,15,15,602,15
FB2,MC2,2023-06-01T03:00:00Z,0.999,17.1,85.88,0,17,0,0.999,86,0,0,15,567,15,15,584,15
FB2,MC2,2023-06-01T03:15:00Z,0.998,17.1,85.87,0,17,0,1.001,85.99,0,0,15,539,15,15,564,15
FB2,MC2,2023-06-01T03:30:00Z,0.997,17.1,85.87,0.01,17.1,0,0.998,86,0,0,15,519,15,15,555,15
FB2,MC2,2023-06-01T03:45:00Z,0.995,17.2,85.88,0.01,17.2,0.01,0.995,86,0,0,15,515,15,15,548,15
FB2,MC2,2023-06-01T04:00:00Z,0.994,17.3,85.88,0.01,17.3,0.01,0.995,86,0,0,15,501,15,15,543,15
FB2,MC2,2023-06-01T04:15:00Z,0.992,17.4,85.89,0.02,17.4,0.01,0.993,86.01,0,0,15,484,15,15,538,15
