Tree,MC,Timestamp,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port6_Wind_speed,Port6_Wind_direction,Port6_ATM22_temp,Port6_ATM22_Yaxis,Port6_Gust_speed,Port6_ATM22_Xaxis,Port2_ATM22_Xaxis,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_temp,Port2_Gust_speed,Port2_ATM22_Yaxis,Port1_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count
FB2,MC3,2023-05-31T18:45:00Z,85.99,0.948,0.1,17.4,2.14,137,17.6,1.5,5.72,4.9,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T19:00:00Z,86.01,0.947,0.11,17.5,1.89,129,17.6,1.6,3.95,4.9,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T19:15:00Z,86.04,0.942,0.12,17.5,1.74,129,17.7,1.5,4.28,4.8,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T19:30:00Z,86.06,0.945,0.11,17.6,2.16,136,17.8,1.6,5.02,4.8,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T19:45:00Z,86.07,0.929,0.14,17.8,1.77,126,18,1.5,4.56,4.9,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T20:00:00Z,86.09,0.903,0.2,18,1.31,122,18.2,1.4,3.45,4.8,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T20:15:00Z,86.1,0.868,0.28,18.3,1.52,133,18.4,1.4,4.69,4.8,NA,NA,NA,NA,NA,NA,0,15,0,454
FB2,MC3,2023-05-31T20:30:00Z,86.11,0.88,0.25,18.3,1.34,123,18.4,1.5,4.46,4.8,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T20:45:00Z,86.13,0.894,0.22,18.2,1.26,129,18.3,1.4,3.39,4.8,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T21:00:00Z,86.13,0.918,0.17,17.9,1.25,143,18.1,1.5,3.55,4.9,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T21:15:00Z,86.13,0.926,0.15,17.9,1.65,134,18.1,1.4,4.55,4.8,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T21:30:00Z,86.14,0.936,0.13,17.8,1.04,136,18,1.4,3.2,4.8,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T21:45:00Z,86.15,0.945,0.11,17.9,1.15,127,18,1.4,3.31,4.8,NA,NA,NA,NA,NA,NA,0,15,0,455
FB2,MC3,2023-05-31T22:00:00Z,86.14,0.936,0.13,18,1.05,126,18.1,1.4,2.58,4.8,NA,NA,NA,NA,NA,NA,0,15,3,478
FB2,MC3,2023-05-31T22:15:00Z,86.14,0.952,0.1,17.7,0.81,149,17.8,1.4,2.58,4.8,NA,NA,NA,NA,NA,NA,0,15,15,522
FB2,MC3,2023-05-31T22:30:00Z,86.15,0.961,0.08,17.8,0.88,183,17.9,1.4,3.13,4.8,NA,NA,NA,NA,NA,NA,0,15,15,510
FB2,MC3,2023-05-31T22:45:00Z,86.15,0.962,0.08,17.8,0.84,121,17.6,1.5,2.19,4.6,NA,NA,NA,NA,NA,NA,0,15,15,756
FB2,MC3,2023-05-31T23:00:00Z,86.13,0.975,0.05,17.6,0.73,120,17.4,1.5,2.22,4.6,NA,NA,NA,NA,NA,NA,0,15,15,864
FB2,MC3,2023-05-31T23:15:00Z,86.13,0.976,0.05,17.8,0.88,123,17.7,1.6,1.78,4.6,NA,NA,NA,NA,NA,NA,0,15,15,892
FB2,MC3,2023-05-31T23:30:00Z,86.12,0.978,0.04,17.8,1.16,120,17.8,1.6,3.16,4.6,NA,NA,NA,NA,NA,NA,0,15,15,944
FB2,MC3,2023-05-31T23:45:00Z,86.11,0.982,0.04,17.8,0.86,132,17.8,1.6,3.76,4.7,NA,NA,NA,NA,NA,NA,0,15,15,974
FB2,MC3,2023-06-01T00:00:00Z,86.11,0.986,0.03,17.7,1.01,158,17.7,1.7,6.68,4.7,NA,NA,NA,NA,NA,NA,0,15,15,1023
FB2,MC3,2023-06-01T00:15:00Z,86.09,0.99,0.02,17.6,1.12,171,17.6,1.5,3.16,4.8,NA,NA,NA,NA,NA,NA,0,15,15,1018
FB2,MC3,2023-06-01T00:30:00Z,86.07,0.996,0.01,17.6,1.25,187,17.6,1.6,3.43,4.9,NA,NA,NA,NA,NA,NA,0,15,15,1021
FB2,MC3,2023-06-01T00:45:00Z,86.04,0.999,0,17.4,1.4,173,17.5,1.5,4.55,4.8,NA,NA,NA,NA,NA,NA,0,15,15,1000
FB2,MC3,2023-06-01T01:00:00Z,86.04,1.001,0,17.6,1.43,162,17.7,1.5,4.48,4.8,NA,NA,NA,NA,NA,NA,0,15,15,994
FB2,MC3,2023-06-01T01:15:00Z,86,1.001,0,17.5,1.46,144,17.6,1.7,3.7,4.7,NA,NA,NA,NA,NA,NA,0,15,15,1001
FB2,MC3,2023-06-01T01:30:00Z,85.97,1,0,17.4,1.15,151,17.5,1.5,3.69,4.7,NA,NA,NA,NA,NA,NA,0,15,15,996
FB2,MC3,2023-06-01T01:45:00Z,85.94,1,0,17.3,0.84,154,17.4,1.6,2.23,4.8,NA,NA,NA,NA,NA,NA,0,15,15,988
FB2,MC3,2023-06-01T02:00:00Z,85.92,1,0,17.3,0.83,166,17.3,1.6,2.39,4.7,NA,NA,NA,NA,NA,NA,0,15,15,986
FB2,MC3,2023-06-01T02:15:00Z,85.91,0.999,0,17.2,0.88,159,17.3,1.6,2.81,4.6,NA,NA,NA,NA,NA,NA,0,15,15,979
FB2,MC3,2023-06-01T02:30:00Z,85.9,1,0,17.3,0.94,167,17.2,1.6,2.62,4.6,NA,NA,NA,NA,NA,NA,0,15,15,980
FB2,MC3,2023-06-01T02:45:00Z,85.9,0.998,0,17.2,1.23,155,17.1,1.7,2.68,4.7,NA,NA,NA,NA,NA,NA,0,15,15,978
FB2,MC3,2023-06-01T03:00:00Z,85.89,0.997,0.01,17.1,1.04,163,17.1,1.6,2.29,4.7,NA,NA,NA,NA,NA,NA,0,15,15,973
