Tree,MC,Timestamp,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes_H,Port4_LWS_Count,Port4_LW_minutes
FB3,MC2,2023-05-31T18:45:00Z,85.83,0.947,0.11,17.3,0,9,460,15
FB3,MC2,2023-05-31T19:00:00Z,85.87,0.946,0.11,17.3,0,8,460,15
FB3,MC2,2023-05-31T19:15:00Z,85.89,0.942,0.12,17.3,0,3,460,15
FB3,MC2,2023-05-31T19:30:00Z,85.9,0.942,0.11,17.4,0,5,459,15
FB3,MC2,2023-05-31T19:45:00Z,85.92,0.931,0.14,17.5,0,0,458,15
FB3,MC2,2023-05-31T20:00:00Z,85.94,0.899,0.2,17.8,0,0,456,15
FB3,MC2,2023-05-31T20:15:00Z,85.95,0.866,0.28,18.1,0,0,456,15
FB3,MC2,2023-05-31T20:30:00Z,85.96,0.881,0.25,18.1,0,0,456,15
FB3,MC2,2023-05-31T20:45:00Z,85.98,0.894,0.22,18,0,0,458,15
FB3,MC2,2023-05-31T21:00:00Z,85.97,0.917,0.17,17.7,0,0,458,15
FB3,MC2,2023-05-31T21:15:00Z,85.97,0.924,0.15,17.8,0,4,459,15
FB3,MC2,2023-05-31T21:30:00Z,85.98,0.935,0.13,17.6,0,5,460,15
FB3,MC2,2023-05-31T21:45:00Z,86,0.943,0.12,17.7,0,15,466,15
FB3,MC2,2023-05-31T22:00:00Z,85.99,0.937,0.13,17.8,0,15,589,15
FB3,MC2,2023-05-31T22:15:00Z,85.99,0.953,0.09,17.5,0,15,718,15
FB3,MC2,2023-05-31T22:30:00Z,86,0.962,0.08,17.6,0,15,652,15
FB3,MC2,2023-05-31T22:45:00Z,86,0.961,0.08,17.6,0,15,1016,15
FB3,MC2,2023-05-31T23:00:00Z,85.98,0.97,0.06,17.4,0,15,701,15
FB3,MC2,2023-05-31T23:15:00Z,85.98,0.977,0.05,17.5,0,15,710,15
FB3,MC2,2023-05-31T23:30:00Z,85.97,0.98,0.04,17.6,0,15,646,15
FB3,MC2,2023-05-31T23:45:00Z,85.95,0.98,0.04,17.6,0,15,642,15
FB3,MC2,2023-06-01T00:00:00Z,85.95,0.982,0.04,17.5,0,15,596,15
FB3,MC2,2023-06-01T00:15:00Z,85.93,0.985,0.03,17.4,0,15,576,15
FB3,MC2,2023-06-01T00:30:00Z,85.9,0.987,0.03,17.4,0,15,580,15
FB3,MC2,2023-06-01T00:45:00Z,85.88,0.99,0.02,17.3,0,15,573,15
FB3,MC2,2023-06-01T01:00:00Z,85.88,0.991,0.02,17.5,0,15,598,15
FB3,MC2,2023-06-01T01:15:00Z,85.84,0.993,0.01,17.4,0,15,584,15
FB3,MC2,2023-06-01T01:30:00Z,85.81,0.994,0.01,17.3,0,15,559,15
FB3,MC2,2023-06-01T01:45:00Z,85.77,0.994,0.01,17.2,0,15,578,15
FB3,MC2,2023-06-01T02:00:00Z,85.77,0.995,0.01,17.1,0,15,560,15
FB3,MC2,2023-06-01T02:15:00Z,85.76,0.996,0.01,17.1,0,15,547,15
FB3,MC2,2023-06-01T02:30:00Z,85.75,0.997,0.01,17,0,15,604,15
FB3,MC2,2023-06-01T02:45:00Z,85.74,0.997,0.01,16.9,0,15,601,15
FB3,MC2,2023-06-01T03:00:00Z,85.73,0.998,0,16.9,0,15,578,15
FB3,MC2,2023-06-01T03:15:00Z,85.72,0.997,0.01,16.9,0,15,554,15
FB3,MC2,2023-06-01T03:30:00Z,85.71,0.997,0.01,17,0,15,549,15
FB3,MC2,2023-06-01T03:45:00Z,85.72,0.996,0.01,17.1,0,15,535,15
FB3,MC2,2023-06-01T04:00:00Z,85.72,0.995,0.01,17.2,0,15,526,15
FB3,MC2,2023-06-01T04:15:00Z,85.73,0.993,0.01,17.3,0,15,513,15
