Tree,MC,Timestamp,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port3_VPD,Port2_ATM22_Yaxis,Port2_Wind_speed,Port2_ATM22_temp,Port2_Gust_speed,Port2_ATM22_Xaxis,Port2_Wind_direction,Port1_Solar,Port4_LW_minutes_H,Port4_LW_minutes,Port4_LWS_Count,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H,Port5_ECRN-100_Precipitation,Port5_ECRN-100_Precip_max
FB3,MC3,2023-05-31T18:45:00Z,0.971,17.3,85.81,0.06,-2.2,1.47,17.4,5.1,-4,216,0,0,15,452,15,452,0,NA,NA
FB3,MC3,2023-05-31T19:00:00Z,0.969,17.4,85.84,0.06,-2.2,1.21,17.5,4.68,-4.1,216,0,0,15,452,15,452,0,NA,NA
FB3,MC3,2023-05-31T19:15:00Z,0.963,17.4,85.87,0.07,-2.2,1,17.5,3.36,-4.1,222,0,0,15,452,15,452,0,NA,NA
FB3,MC3,2023-05-31T19:30:00Z,0.965,17.5,85.88,0.07,-2.2,0.85,17.6,2.6,-4.1,214,0,0,15,452,15,452,0,NA,NA
FB3,MC3,2023-05-31T19:45:00Z,0.952,17.6,85.9,0.1,-2.2,0.94,17.7,4.47,-4,208,0,0,15,452,15,452,0,NA,NA
FB3,MC3,2023-05-31T20:00:00Z,0.919,17.9,85.92,0.17,-2.2,0.71,17.9,2.78,-4,227,0,0,15,452,15,451,0,NA,NA
FB3,MC3,2023-05-31T20:15:00Z,0.878,18.2,85.93,0.25,-2.3,1.03,18.2,3.59,-4,219,0,0,15,453,15,451,0,NA,NA
FB3,MC3,2023-05-31T20:30:00Z,0.895,18.1,85.94,0.22,-2.2,1.22,18.2,3.95,-4.1,213,0,0,15,452,15,451,0,NA,NA
FB3,MC3,2023-05-31T20:45:00Z,0.912,18,85.95,0.18,-2.2,1.17,18.1,3.22,-4.1,213,0,0,15,455,15,452,0,NA,NA
FB3,MC3,2023-05-31T21:00:00Z,0.936,17.8,85.95,0.13,-2.2,1.29,17.9,4.07,-4,215,0,0,15,455,15,452,0,NA,NA
FB3,MC3,2023-05-31T21:15:00Z,0.944,17.8,85.95,0.11,-2.2,1.16,17.9,3.18,-4.1,218,0,6,15,457,15,452,0,NA,NA
FB3,MC3,2023-05-31T21:30:00Z,0.955,17.7,85.96,0.09,-2.3,1.15,17.8,3.11,-4,219,0,0,15,453,15,452,0,NA,NA
FB3,MC3,2023-05-31T21:45:00Z,0.966,17.8,85.97,0.07,-2.2,0.73,17.9,2.11,-4,223,0,2,15,490,15,458,0,NA,NA
FB3,MC3,2023-05-31T22:00:00Z,0.959,17.8,85.97,0.08,-2.2,0.83,17.9,2.65,-4,225,0,15,15,698,15,482,3,NA,NA
FB3,MC3,2023-05-31T22:15:00Z,0.974,17.5,85.97,0.05,-2.2,0.97,17.7,2.14,-4.1,223,0,15,15,626,15,560,15,NA,NA
FB3,MC3,2023-05-31T22:30:00Z,0.986,17.7,85.97,0.03,-2.3,1.69,17.7,4.75,-4.1,226,0,15,15,619,15,528,15,NA,NA
FB3,MC3,2023-05-31T22:45:00Z,0.984,17.6,85.97,0.03,-2.2,0.62,17.7,1.86,-4,205,0,15,15,816,15,659,15,NA,NA
FB3,MC3,2023-05-31T23:00:00Z,0.996,17.4,85.96,0.01,-2.2,0.73,17.4,2.2,-4.1,209,0,15,15,652,15,546,15,NA,NA
FB3,MC3,2023-05-31T23:15:00Z,1,17.6,85.96,0,-2.2,0.86,17.5,2.59,-4.1,218,0,15,15,768,15,818,15,NA,NA
FB3,MC3,2023-05-31T23:30:00Z,0.999,17.7,85.95,0,-2.3,1.51,17.6,4.19,-4,228,0,15,15,634,15,563,15,NA,NA
FB3,MC3,2023-05-31T23:45:00Z,1,17.7,85.93,0,-2.3,1.87,17.6,3.89,-4,229,0,15,15,662,15,581,15,NA,NA
FB3,MC3,2023-06-01T00:00:00Z,1.001,17.6,85.93,0,-2.3,2.09,17.5,3.47,-4,231,0,15,15,644,15,525,15,NA,NA
FB3,MC3,2023-06-01T00:15:00Z,1,17.5,85.91,0,-2.3,2.94,17.5,4.93,-4,232,0,15,15,594,15,590,15,NA,NA
FB3,MC3,2023-06-01T00:30:00Z,1.001,17.5,85.88,0,-2.2,2.94,17.5,5.44,-4.1,231,0,15,15,625,15,525,15,NA,NA
FB3,MC3,2023-06-01T00:45:00Z,1,17.4,85.86,0,-2.3,3.02,17.4,5.68,-4,230,0,15,15,628,15,534,15,NA,NA
FB3,MC3,2023-06-01T01:00:00Z,1,17.6,85.86,0,-2.3,2.34,17.6,5.64,-4,231,0,15,15,639,15,525,15,NA,NA
FB3,MC3,2023-06-01T01:15:00Z,1,17.4,85.82,0,-2.3,2.31,17.5,4.59,-4,228,0,15,15,630,15,536,15,NA,NA
