Tree,MC,Timestamp,Port5_Temp,Port5_Atmos_pressure,Port5_RH,Port5_VPD,Port3_RH,Port3_Atmos_pressure,Port3_Temp,Port3_VPD,Port1_Solar,Port2_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port6_LW_minutes_H,Port6_LWS_Count,Port6_LW_minutes
FB5,MC3,2023-05-31T18:45:00Z,17.5,86.13,0.963,0.07,0.979,86.12,17.5,0.04,0,0,15,0,452,0,452,15
FB5,MC3,2023-05-31T19:00:00Z,17.5,86.17,0.963,0.07,0.98,86.15,17.6,0.04,0,0,15,0,453,0,452,15
FB5,MC3,2023-05-31T19:15:00Z,17.6,86.19,0.958,0.08,0.974,86.18,17.7,0.05,0,0,15,0,453,0,452,15
FB5,MC3,2023-05-31T19:30:00Z,17.6,86.21,0.958,0.08,0.975,86.19,17.7,0.05,0,0,15,0,452,0,452,15
FB5,MC3,2023-05-31T19:45:00Z,17.8,86.23,0.945,0.11,0.962,86.21,17.8,0.08,0,0,15,0,452,0,452,15
FB5,MC3,2023-05-31T20:00:00Z,18,86.25,0.919,0.17,0.936,86.23,18.1,0.13,0,0,15,0,452,0,451,15
FB5,MC3,2023-05-31T20:15:00Z,18.3,86.26,0.882,0.25,0.897,86.24,18.4,0.22,0,0,15,0,451,0,451,15
FB5,MC3,2023-05-31T20:30:00Z,18.3,86.27,0.894,0.22,0.91,86.25,18.3,0.19,0,0,15,0,451,0,451,15
FB5,MC3,2023-05-31T20:45:00Z,18.2,86.28,0.912,0.18,0.927,86.26,18.2,0.15,0,0,15,0,452,0,453,15
FB5,MC3,2023-05-31T21:00:00Z,17.9,86.28,0.935,0.13,0.949,86.26,18,0.11,0,0,15,0,452,0,452,15
FB5,MC3,2023-05-31T21:15:00Z,17.9,86.28,0.942,0.12,0.958,86.26,18,0.09,0,0,15,0,452,1,453,15
FB5,MC3,2023-05-31T21:30:00Z,17.8,86.29,0.955,0.09,0.969,86.27,17.9,0.06,0,0,15,0,452,0,452,15
FB5,MC3,2023-05-31T21:45:00Z,17.9,86.3,0.96,0.08,0.977,86.29,18,0.05,0,0,15,0,452,5,467,15
FB5,MC3,2023-05-31T22:00:00Z,17.9,86.3,0.956,0.09,0.971,86.28,18,0.06,0,0,15,0,457,13,616,15
FB5,MC3,2023-05-31T22:15:00Z,17.7,86.3,0.97,0.06,0.987,86.28,17.8,0.03,0,0,15,15,608,15,594,15
FB5,MC3,2023-05-31T22:30:00Z,18,86.3,0.969,0.06,0.988,86.28,18,0.02,0,0,15,15,599,15,542,15
FB5,MC3,2023-05-31T22:45:00Z,17.8,86.3,0.973,0.06,0.989,86.29,17.9,0.02,0,0,15,15,756,15,734,15
FB5,MC3,2023-05-31T23:00:00Z,17.5,86.29,0.988,0.02,1,86.27,17.6,0,0,0,15,15,674,15,646,15
