Tree,MC,Timestamp,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port3_VPD,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_Xaxis,Port2_ATM22_temp,Port2_Gust_speed,Port2_ATM22_Yaxis,Port1_Solar,Port4_LW_minutes,Port4_LW_minutes_H,Port4_LWS_Count,Port5_EpiMoisture,Port6_EpiTemp
FB6,MC1,2023-05-31T18:45:00Z,0.978,17.3,85.86,0.04,1.22,223,4.7,17.5,2.49,-3.5,0,15,0,456,0.117,17.2
FB6,MC1,2023-05-31T19:00:00Z,0.978,17.3,85.89,0.04,0.99,221,5,17.5,2.01,-3.6,0,15,0,456,0.117,17.2
FB6,MC1,2023-05-31T19:15:00Z,0.975,17.3,85.92,0.05,0.93,224,4.9,17.5,1.85,-3.5,0,15,0,456,0.116,17.1
FB6,MC1,2023-05-31T19:30:00Z,0.977,17.4,85.93,0.05,0.96,216,4.8,17.6,1.93,-3.4,0,15,0,456,0.116,17.1
FB6,MC1,2023-05-31T19:45:00Z,0.971,17.4,85.95,0.06,0.77,208,4.9,17.6,2.2,-3.5,0,15,0,455,0.116,17
FB6,MC1,2023-05-31T20:00:00Z,0.952,17.4,85.97,0.1,0.54,200,4.8,17.8,1.02,-3.5,0,15,0,454,0.116,17
FB6,MC1,2023-05-31T20:15:00Z,0.914,17.6,85.98,0.17,0.78,210,4.8,18.1,2.34,-3.4,0,15,0,453,0.115,16.8
FB6,MC1,2023-05-31T20:30:00Z,0.913,17.9,85.99,0.18,0.77,217,4.9,18.2,1.3,-3.5,0,15,0,454,0.115,16.8
FB6,MC1,2023-05-31T20:45:00Z,0.925,17.9,86.01,0.15,0.84,220,4.9,18.1,1.64,-3.4,0,15,0,454,0.114,16.8
FB6,MC1,2023-05-31T21:00:00Z,0.942,17.8,86.01,0.12,0.86,220,4.8,17.9,1.57,-3.5,0,15,0,455,0.114,16.8
FB6,MC1,2023-05-31T21:15:00Z,0.956,17.7,86,0.09,0.94,222,4.8,17.9,1.67,-3.5,0,15,0,456,0.114,16.8
FB6,MC1,2023-05-31T21:30:00Z,0.964,17.7,86.01,0.07,0.84,217,4.8,17.9,1.56,-3.4,0,15,0,456,0.114,16.9
FB6,MC1,2023-05-31T21:45:00Z,0.974,17.8,86.03,0.05,0.75,213,4.9,17.9,1.74,-3.5,0,15,1,464,0.114,17
FB6,MC1,2023-05-31T22:00:00Z,0.973,17.7,86.03,0.05,0.68,215,4.8,17.9,1.46,-3.5,0,15,15,495,0.113,17
FB6,MC1,2023-05-31T22:15:00Z,0.983,17.6,86.02,0.03,0.86,222,4.9,17.6,1.64,-3.5,0,15,15,635,0.113,17
FB6,MC1,2023-05-31T22:30:00Z,0.996,17.5,86.02,0.01,0.7,227,4.9,17.6,1.53,-3.5,0,15,15,567,0.113,17
FB6,MC1,2023-05-31T22:45:00Z,0.999,17.6,86.03,0,0.62,220,5,17.6,1.48,-3.5,0,15,15,821,0.105,17.1
FB6,MC1,2023-05-31T23:00:00Z,1,17.4,86.01,0,0.63,209,5.1,17.4,1.46,-3.6,0,15,15,686,0.113,17.1
FB6,MC1,2023-05-31T23:15:00Z,1,17.5,86.01,0,0.65,217,5.1,17.5,1.45,-3.6,0,15,15,828,0.129,17.2
FB6,MC1,2023-05-31T23:30:00Z,1,17.6,86,0,0.86,221,5.2,17.6,1.79,-3.6,0,15,15,738,0.142,17.2
FB6,MC1,2023-05-31T23:45:00Z,1,17.6,85.99,0,0.95,226,5.2,17.6,1.85,-3.6,0,15,15,773,0.147,17.3
FB6,MC1,2023-06-01T00:00:00Z,1.001,17.6,85.98,0,0.77,224,5.1,17.6,1.75,-3.6,0,15,15,676,0.148,17.3
FB6,MC1,2023-06-01T00:15:00Z,1,17.5,85.96,0,0.91,229,5.2,17.6,2.16,-3.7,0,15,15,599,0.147,17.3
