Tree,MC,Timestamp,Port3_VPD,Port3_Temp,Port3_Atmos_pressure,Port3_RH,Port6_RH,Port6_VPD,Port6_Temp,Port6_Atmos_pressure,Port2_Gust_speed,Port2_ATM22_Xaxis,Port2_ATM22_Yaxis,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_temp,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes,Port4_LW_minutes_H,Port5_LW_minutes,Port5_LW_minutes_H,Port5_LWS_Count
FB6,MC2,2023-05-31T18:45:00Z,0.07,17.3,85.95,0.965,0.948,0.1,17.3,85.86,2.31,0.7,-2.9,1.3,239,17.3,0,456,15,0,15,0,457
FB6,MC2,2023-05-31T19:00:00Z,0.07,17.4,85.98,0.965,0.947,0.11,17.3,85.89,2.2,0.7,-3.1,1.09,237,17.4,0,456,15,0,15,0,457
FB6,MC2,2023-05-31T19:15:00Z,0.08,17.4,86,0.961,0.944,0.11,17.3,85.91,1.79,0.7,-3,0.94,235,17.4,0,456,15,0,15,0,457
FB6,MC2,2023-05-31T19:30:00Z,0.07,17.4,86.02,0.963,0.945,0.11,17.4,85.93,1.93,0.7,-2.9,1.08,232,17.4,0,456,15,0,15,0,456
FB6,MC2,2023-05-31T19:45:00Z,0.1,17.5,86.04,0.952,0.935,0.13,17.5,85.95,1.52,0.7,-3,0.84,220,17.6,0,455,15,0,15,0,456
FB6,MC2,2023-05-31T20:00:00Z,0.15,17.7,86.06,0.925,0.903,0.2,17.7,85.97,1.38,0.7,-3,0.71,209,17.7,0,455,15,0,15,0,455
FB6,MC2,2023-05-31T20:15:00Z,0.24,18,86.07,0.885,0.861,0.29,18,85.98,1.6,0.7,-3,0.87,218,18,0,454,15,0,15,0,454
FB6,MC2,2023-05-31T20:30:00Z,0.22,18.1,86.08,0.894,0.872,0.27,18.1,85.99,1.94,0.8,-3,0.9,222,18,0,454,15,0,15,0,455
FB6,MC2,2023-05-31T20:45:00Z,0.18,18,86.09,0.911,0.89,0.23,18,86,1.79,0.7,-3,0.86,234,17.9,0,455,15,0,15,0,455
FB6,MC2,2023-05-31T21:00:00Z,0.14,17.8,86.09,0.932,0.913,0.18,17.8,86,1.58,0.7,-3,0.89,236,17.8,0,455,15,0,15,0,456
FB6,MC2,2023-05-31T21:15:00Z,0.12,17.8,86.09,0.943,0.926,0.15,17.7,86,1.6,0.7,-2.9,1.01,231,17.8,0,455,15,0,15,0,456
FB6,MC2,2023-05-31T21:30:00Z,0.1,17.7,86.1,0.953,0.934,0.13,17.7,86.01,1.61,0.8,-3,0.82,241,17.7,0,456,15,0,15,0,456
FB6,MC2,2023-05-31T21:45:00Z,0.08,17.8,86.11,0.962,0.945,0.11,17.7,86.02,1.55,0.7,-2.9,0.77,232,17.7,0,457,15,0,15,0,457
FB6,MC2,2023-05-31T22:00:00Z,0.09,17.8,86.11,0.957,0.943,0.12,17.7,86.02,1.25,0.7,-3,0.71,233,17.8,0,474,15,2,15,1,478
FB6,MC2,2023-05-31T22:15:00Z,0.06,17.6,86.11,0.972,0.954,0.09,17.5,86.02,1.51,0.6,-3,0.81,242,17.4,0,631,15,15,15,15,509
FB6,MC2,2023-05-31T22:30:00Z,0.02,17.4,86.11,0.988,0.97,0.06,17.5,86.02,1.76,0.6,-3,0.77,249,17.4,0,617,15,15,15,15,506
FB6,MC2,2023-05-31T22:45:00Z,0.02,17.5,86.12,0.991,0.974,0.05,17.5,86.03,1.2,0.5,-3.2,0.63,238,17.4,0,1053,15,15,15,15,572
FB6,MC2,2023-05-31T23:00:00Z,0.01,17.4,86.1,0.996,0.979,0.04,17.4,86.01,0.98,0.1,-3.4,0.56,234,17.3,0,1024,15,15,15,15,572
FB6,MC2,2023-05-31T23:15:00Z,0,17.5,86.1,0.998,0.983,0.03,17.5,86.01,1.41,0.1,-3.4,0.65,239,17.4,0,1095,15,15,15,15,570
FB6,MC2,2023-05-31T23:30:00Z,0,17.6,86.09,0.998,0.984,0.03,17.6,86,2.95,0,-3.5,0.84,250,17.5,0,1049,15,15,15,15,576
FB6,MC2,2023-05-31T23:45:00Z,0,17.6,86.08,0.999,0.986,0.03,17.6,85.99,1.82,0.1,-3.5,0.97,251,17.5,0,1022,15,15,15,15,570
FB6,MC2,2023-06-01T00:00:00Z,0,17.5,86.07,0.999,0.986,0.03,17.6,85.98,1.9,0,-3.4,0.95,251,17.5,0,1016,15,15,15,15,555
FB6,MC2,2023-06-01T00:15:00Z,0,17.5,86.05,0.998,0.989,0.02,17.5,85.96,2.99,0.1,-3.4,1.04,252,17.4,0,971,15,15,15,15,549
FB6,MC2,2023-06-01T00:30:00Z,0,17.5,86.02,0.998,0.99,0.02,17.5,85.93,2.58,0.1,-3.4,1.04,255,17.4,0,920,15,15,15,15,540
FB6,MC2,2023-06-01T00:45:00Z,0,17.4,86,0.998,0.991,0.02,17.4,85.91,2.68,0.1,-3.5,1.03,253,17.3,0,926,15,15,15,15,565
FB6,MC2,2023-06-01T01:00:00Z,0,17.5,86,0.998,0.992,0.02,17.6,85.9,2.52,0.1,-3.4,0.9,254,17.5,0,886,15,15,15,15,549
FB6,MC2,2023-06-01T01:15:00Z,0,17.5,85.96,0.998,0.993,0.01,17.5,85.87,2.11,0.1,-3.4,1.14,248,17.4,0,932,15,15,15,15,548
FB6,MC2,2023-06-01T01:30:00Z,0,17.4,85.93,0.998,0.993,0.01,17.4,85.84,2.36,0.2,-3.4,1.14,253,17.4,0,880,15,15,15,15,523
FB6,MC2,2023-06-01T01:45:00Z,0,17.3,85.9,0.998,0.993,0.01,17.3,85.8,2.45,0.2,-3.4,1.21,253,17.2,0,838,15,15,15,15,518
