Tree,MC,Timestamp,Port5_Temp,Port5_VPD,Port5_Atmos_pressure,Port5_RH,Port3_Temp,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H,Port6_LW_minutes
FB6,MC3,2023-05-31T18:45:00Z,17.3,0.04,85.91,0.982,17.3,85.94,0.963,0.07,0,0,451,0,15,455,0,15
FB6,MC3,2023-05-31T19:00:00Z,17.4,0.04,85.94,0.979,17.4,85.97,0.964,0.07,0,0,451,0,15,455,0,15
FB6,MC3,2023-05-31T19:15:00Z,17.4,0.05,85.97,0.977,17.4,86,0.961,0.08,0,0,451,0,15,455,0,15
FB6,MC3,2023-05-31T19:30:00Z,17.4,0.04,85.98,0.978,17.4,86.01,0.962,0.08,0,0,451,0,15,455,0,15
FB6,MC3,2023-05-31T19:45:00Z,17.6,0.07,86,0.967,17.5,86.03,0.958,0.08,0,0,451,0,15,455,0,15
FB6,MC3,2023-05-31T20:00:00Z,17.7,0.13,86.02,0.937,17.6,86.05,0.937,0.13,0,0,450,0,15,454,0,15
FB6,MC3,2023-05-31T20:15:00Z,18,0.22,86.03,0.894,17.8,86.06,0.903,0.2,0,0,450,0,14,454,0,15
FB6,MC3,2023-05-31T20:30:00Z,18.1,0.2,86.04,0.903,18,86.07,0.906,0.19,0,0,450,0,15,454,0,15
FB6,MC3,2023-05-31T20:45:00Z,18,0.16,86.05,0.92,17.9,86.08,0.917,0.17,0,0,451,0,15,458,0,15
FB6,MC3,2023-05-31T21:00:00Z,17.8,0.12,86.05,0.943,17.9,86.08,0.931,0.14,0,0,451,0,15,454,0,15
FB6,MC3,2023-05-31T21:15:00Z,17.8,0.09,86.05,0.957,17.8,86.08,0.944,0.11,0,0,451,0,15,460,13,15
FB6,MC3,2023-05-31T21:30:00Z,17.8,0.07,86.06,0.966,17.8,86.09,0.951,0.1,0,0,451,0,15,455,0,15
FB6,MC3,2023-05-31T21:45:00Z,17.8,0.05,86.07,0.977,17.8,86.11,0.959,0.08,0,0,452,0,15,470,1,15
FB6,MC3,2023-05-31T22:00:00Z,17.8,0.05,86.07,0.974,17.8,86.1,0.959,0.08,0,0,470,1,15,593,15,15
FB6,MC3,2023-05-31T22:15:00Z,17.6,0.03,86.07,0.987,17.7,86.1,0.965,0.07,0,0,606,15,15,791,15,15
FB6,MC3,2023-05-31T22:30:00Z,17.4,0,86.07,1,17.6,86.1,0.977,0.05,0,0,591,15,15,703,15,15
FB6,MC3,2023-05-31T22:45:00Z,17.5,0,86.08,0.999,17.6,86.11,0.984,0.03,0,0,643,15,15,872,15,15
FB6,MC3,2023-05-31T23:00:00Z,17.4,0,86.06,0.999,17.5,86.09,0.988,0.02,0,0,619,15,15,718,15,15
FB6,MC3,2023-05-31T23:15:00Z,17.4,0,86.06,1,17.5,86.09,0.991,0.02,0,0,660,15,15,807,15,15
FB6,MC3,2023-05-31T23:30:00Z,17.6,0,86.05,1,17.7,86.08,0.995,0.01,0,0,631,15,15,819,15,15
FB6,MC3,2023-05-31T23:45:00Z,17.6,0,86.04,1,17.7,86.07,0.997,0.01,0,0,615,15,15,848,15,15
FB6,MC3,2023-06-01T00:00:00Z,17.6,0,86.03,0.999,17.6,86.06,0.999,0,0,0,582,15,15,796,15,15
FB6,MC3,2023-06-01T00:15:00Z,17.5,0,86.01,1,17.5,86.04,1,0,0,0,564,15,15,744,15,15
FB6,MC3,2023-06-01T00:30:00Z,17.5,0,85.99,0.999,17.6,86.02,0.999,0,0,0,563,15,15,716,15,15
FB6,MC3,2023-06-01T00:45:00Z,17.3,0,85.96,1.001,17.4,85.99,1,0,0,0,573,15,15,786,15,15
FB6,MC3,2023-06-01T01:00:00Z,17.6,0,85.96,1,17.6,85.99,0.998,0,0,0,586,15,15,790,15,15
FB6,MC3,2023-06-01T01:15:00Z,17.5,0,85.93,0.999,17.6,85.96,1,0,0,0,588,15,15,643,15,15
FB6,MC3,2023-06-01T01:30:00Z,17.4,0,85.89,1,17.6,85.92,0.999,0,0,0,566,15,15,640,15,15
FB6,MC3,2023-06-01T01:45:00Z,17.3,0,85.86,1,17.3,85.89,1,0,0,0,546,15,15,605,15,15
FB6,MC3,2023-06-01T02:00:00Z,17.2,0,85.85,1,17.3,85.88,1,0,0,0,545,15,15,616,15,15
FB6,MC3,2023-06-01T02:15:00Z,17.2,0,85.84,1,17.2,85.87,1,0,0,0,532,15,15,627,15,15
FB6,MC3,2023-06-01T02:30:00Z,17.1,0,85.83,1,17.2,85.86,1,0,0,0,556,15,15,811,15,15
FB6,MC3,2023-06-01T02:45:00Z,17,0,85.82,1.001,17,85.85,0.999,0,0,0,570,15,15,803,15,15
