Tree,MC,Timestamp,Port3_Atmos_pressure,Port3_VPD,Port3_RH,Port3_Temp,Port5_Atmos_pressure,Port5_VPD,Port5_RH,Port5_Temp,Port2_Wind_direction,Port2_Wind_speed,Port2_ATM22_temp,Port2_ATM22_Xaxis,Port2_ATM22_Yaxis,Port2_Gust_speed,Port1_Solar,Port4_LW_minutes_H,Port4_LWS_Count,Port4_LW_minutes,Port6_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count
FB7,MC1,2023-05-31T18:45:00Z,86.3,0.06,0.97,17.7,NA,NA,NA,NA,142,0.76,17.8,1.2,-0.8,1.53,0,0,448,0,0,15,453
FB7,MC1,2023-05-31T19:00:00Z,86.33,0.05,0.974,17.7,NA,NA,NA,NA,144,0.6,17.8,1.2,-0.8,1.27,0,0,448,0,0,15,453
FB7,MC1,2023-05-31T19:15:00Z,86.36,0.05,0.974,17.8,NA,NA,NA,NA,141,0.64,17.8,1.2,-0.9,1.41,0,0,448,0,0,15,453
FB7,MC1,2023-05-31T19:30:00Z,86.37,0.05,0.974,17.8,NA,NA,NA,NA,148,0.64,17.8,1.2,-0.8,1.47,0,0,448,0,0,15,453
FB7,MC1,2023-05-31T19:45:00Z,86.39,0.06,0.972,17.8,NA,NA,NA,NA,154,0.57,17.8,1.1,-0.8,1.3,0,0,448,0,0,15,453
FB7,MC1,2023-05-31T20:00:00Z,86.41,0.09,0.955,17.8,NA,NA,NA,NA,129,0.54,17.9,1.2,-0.9,1.64,0,0,448,0,0,15,452
FB7,MC1,2023-05-31T20:15:00Z,86.42,0.15,0.926,17.9,NA,NA,NA,NA,143,0.57,18,1.2,-0.8,1.08,0,0,448,0,0,15,452
FB7,MC1,2023-05-31T20:30:00Z,86.43,0.16,0.922,18,NA,NA,NA,NA,139,0.55,18.1,1.2,-0.8,1.25,0,0,448,0,0,15,452
FB7,MC1,2023-05-31T20:45:00Z,86.44,0.15,0.929,18.1,NA,NA,NA,NA,141,0.57,18.1,1.2,-0.8,1.18,0,0,448,0,0,15,453
FB7,MC1,2023-05-31T21:00:00Z,86.44,0.12,0.943,18,NA,NA,NA,NA,142,0.58,18,1.2,-0.8,1.1,0,0,448,0,0,15,453
