Tree,MC,Timestamp,Port6_Temp,Port6_Atmos_pressure,Port6_RH,Port6_VPD,Port3_Temp,Port3_VPD,Port3_Atmos_pressure,Port3_RH,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port5_LWS_Count,Port5_LW_minutes,Port5_LW_minutes_H
FB7,MC2,2023-05-31T18:45:00Z,17.6,86.31,0.935,0.13,17.6,0.07,86.35,0.964,0,0,455,0,15,454,15,0
FB7,MC2,2023-05-31T19:00:00Z,17.6,86.35,0.938,0.12,17.7,0.07,86.38,0.965,0,0,455,0,15,455,15,0
FB7,MC2,2023-05-31T19:15:00Z,17.5,86.37,0.939,0.12,17.7,0.07,86.41,0.965,0,0,455,0,15,455,15,0
FB7,MC2,2023-05-31T19:30:00Z,17.6,86.38,0.94,0.12,17.7,0.07,86.42,0.966,0,0,455,0,15,455,15,0
FB7,MC2,2023-05-31T19:45:00Z,17.6,86.4,0.935,0.13,17.8,0.08,86.44,0.962,0,0,455,0,15,454,15,0
FB7,MC2,2023-05-31T20:00:00Z,17.7,86.42,0.92,0.16,17.8,0.12,86.46,0.943,0,0,454,0,15,454,15,0
FB7,MC2,2023-05-31T20:15:00Z,17.9,86.43,0.895,0.22,17.9,0.17,86.47,0.916,0,0,459,0,15,454,15,0
FB7,MC2,2023-05-31T20:30:00Z,17.9,86.44,0.896,0.21,18,0.18,86.48,0.912,0,0,456,2,15,454,15,0
FB7,MC2,2023-05-31T20:45:00Z,17.9,86.45,0.903,0.2,18.1,0.16,86.49,0.921,0,0,464,6,15,455,15,0
FB7,MC2,2023-05-31T21:00:00Z,17.8,86.45,0.916,0.17,18,0.13,86.49,0.936,0,0,458,11,15,455,15,0
FB7,MC2,2023-05-31T21:15:00Z,17.8,86.45,0.927,0.15,17.9,0.1,86.49,0.95,0,0,476,15,15,456,15,0
FB7,MC2,2023-05-31T21:30:00Z,17.8,86.47,0.933,0.14,17.9,0.09,86.5,0.958,0,0,464,15,15,455,15,0
FB7,MC2,2023-05-31T21:45:00Z,17.7,86.48,0.941,0.12,17.9,0.06,86.51,0.969,0,0,492,15,15,465,15,1
FB7,MC2,2023-05-31T22:00:00Z,17.8,86.48,0.944,0.11,17.9,0.06,86.51,0.971,0,0,906,15,15,537,15,15
FB7,MC2,2023-05-31T22:15:00Z,17.6,86.47,0.95,0.1,17.8,0.04,86.51,0.979,0,0,670,15,15,544,15,15
FB7,MC2,2023-05-31T22:30:00Z,17.6,86.48,0.96,0.08,17.7,0.02,86.51,0.991,0,0,608,15,15,517,15,15
FB7,MC2,2023-05-31T22:45:00Z,17.6,86.48,0.966,0.07,17.7,0,86.51,0.998,0,0,988,15,15,621,15,15
FB7,MC2,2023-05-31T23:00:00Z,17.6,86.46,0.971,0.06,17.6,0,86.5,1,0,0,747,15,15,569,15,15
FB7,MC2,2023-05-31T23:15:00Z,17.5,86.46,0.974,0.05,17.6,0,86.5,1,0,0,1023,15,15,597,15,15
FB7,MC2,2023-05-31T23:30:00Z,17.7,86.45,0.978,0.04,17.7,0,86.49,0.999,0,0,1080,15,15,582,15,15
FB7,MC2,2023-05-31T23:45:00Z,17.7,86.44,0.978,0.04,17.8,0,86.47,1.001,0,0,666,15,15,542,15,15
FB7,MC2,2023-06-01T00:00:00Z,17.7,86.43,0.98,0.04,17.7,0,86.47,1,0,0,581,15,15,515,15,15
FB7,MC2,2023-06-01T00:15:00Z,17.6,86.41,0.982,0.04,17.6,0,86.44,1,0,0,557,15,15,517,15,15
FB7,MC2,2023-06-01T00:30:00Z,17.6,86.39,0.984,0.03,17.7,0,86.42,1.001,0,0,533,15,15,509,15,15
FB7,MC2,2023-06-01T00:45:00Z,17.5,86.36,0.985,0.03,17.6,0,86.4,1,0,0,620,15,15,531,15,15
FB7,MC2,2023-06-01T01:00:00Z,17.7,86.36,0.987,0.03,17.7,0,86.39,1,0,0,616,15,15,536,15,15
FB7,MC2,2023-06-01T01:15:00Z,17.7,86.33,0.987,0.03,17.7,0,86.36,1.001,0,0,566,15,15,519,15,15
FB7,MC2,2023-06-01T01:30:00Z,17.6,86.29,0.988,0.02,17.7,0,86.33,0.999,0,0,531,15,15,505,15,15
FB7,MC2,2023-06-01T01:45:00Z,17.4,86.26,0.988,0.02,17.4,0,86.29,1,0,0,521,15,15,508,15,15
FB7,MC2,2023-06-01T02:00:00Z,17.3,86.25,0.988,0.02,17.4,0,86.28,1,0,0,515,15,15,508,15,15
FB7,MC2,2023-06-01T02:15:00Z,17.3,86.24,0.99,0.02,17.4,0,86.27,1,0,0,512,15,15,508,15,15
FB7,MC2,2023-06-01T02:30:00Z,17.2,86.23,0.991,0.02,17.3,0,86.26,1.001,0,0,832,15,15,557,15,15
FB7,MC2,2023-06-01T02:45:00Z,17.1,86.22,0.99,0.02,17.2,0,86.26,0.999,0,0,738,15,15,536,15,15
FB7,MC2,2023-06-01T03:00:00Z,17,86.2,0.991,0.02,17.1,0,86.24,1,0,0,599,15,15,520,15,15
FB7,MC2,2023-06-01T03:15:00Z,17,86.19,0.991,0.02,17.1,0,86.23,1,0,0,540,15,15,511,15,15
FB7,MC2,2023-06-01T03:30:00Z,17,86.19,0.992,0.02,17,0,86.22,1,0,0,577,15,15,520,15,15
FB7,MC2,2023-06-01T03:45:00Z,17,86.19,0.993,0.01,17.1,0,86.23,1,0,0,535,15,15,509,15,15
FB7,MC2,2023-06-01T04:00:00Z,17.2,86.19,0.992,0.02,17.2,0,86.23,1,0,0,520,15,15,508,15,15
FB7,MC2,2023-06-01T04:15:00Z,17.2,86.21,0.992,0.02,17.2,0,86.24,1.001,0,0,514,15,15,510,15,15
FB7,MC2,2023-06-01T04:30:00Z,17.2,86.22,0.992,0.02,17.3,0,86.25,1,0,0,510,15,15,509,15,15
FB7,MC2,2023-06-01T04:45:00Z,17.2,86.22,0.992,0.02,17.3,0,86.25,0.999,0,0,486,15,15,487,15,15
FB7,MC2,2023-06-01T05:00:00Z,17.5,86.23,0.988,0.02,17.4,0,86.27,1.001,0,0,471,15,15,459,15,12
FB7,MC2,2023-06-01T05:15:00Z,17.8,86.25,0.955,0.09,17.7,0.04,86.28,0.98,0,0,468,15,15,456,15,0
FB7,MC2,2023-06-01T05:30:00Z,18.4,86.26,0.889,0.23,18,0.14,86.3,0.93,0,0,465,15,15,454,15,0
FB7,MC2,2023-06-01T05:45:00Z,18.8,86.28,0.863,0.3,18.3,0.2,86.32,0.904,5.3,4.8,465,15,15,454,15,0
FB7,MC2,2023-06-01T06:00:00Z,18.8,86.3,0.862,0.3,18.4,0.21,86.34,0.898,13.2,12.1,464,15,15,453,15,0
FB7,MC2,2023-06-01T06:15:00Z,18.9,86.32,0.859,0.31,18.5,0.22,86.36,0.896,20,18.9,464,15,15,453,15,0
FB7,MC2,2023-06-01T06:30:00Z,18.8,86.35,0.872,0.28,18.4,0.2,86.39,0.907,22.5,21.1,464,15,15,453,15,0
FB7,MC2,2023-06-01T06:45:00Z,18.8,86.36,0.875,0.27,18.6,0.22,86.39,0.899,28.2,26.9,464,15,15,453,15,0
FB7,MC2,2023-06-01T07:00:00Z,18.9,86.38,0.876,0.27,18.7,0.22,86.41,0.897,36.4,34.1,464,15,15,453,15,0
FB7,MC2,2023-06-01T07:15:00Z,19.2,86.39,0.876,0.28,18.9,0.22,86.43,0.897,56.9,52.6,463,15,15,452,15,0
FB7,MC2,2023-06-01T07:30:00Z,19.5,86.4,0.876,0.28,19.1,0.22,86.44,0.902,95,91,462,15,15,452,15,0
FB7,MC2,2023-06-01T07:45:00Z,20.2,86.42,0.864,0.32,19.4,0.23,86.46,0.899,116.1,139.2,465,15,15,450,15,0
FB7,MC2,2023-06-01T08:00:00Z,20.8,86.43,0.85,0.37,19.6,0.23,86.48,0.899,263.9,289.1,455,11,15,450,11,0
FB7,MC2,2023-06-01T08:15:00Z,21,86.44,0.839,0.4,19.8,0.24,86.49,0.894,188,187,452,0,15,450,6,0
FB7,MC2,2023-06-01T08:30:00Z,20.9,86.46,0.853,0.36,19.8,0.23,86.51,0.899,175.8,172.1,452,0,15,450,14,0
FB7,MC2,2023-06-01T08:45:00Z,21.3,86.48,0.842,0.4,20.3,0.27,86.52,0.887,159.1,165.3,452,0,15,449,2,0
FB7,MC2,2023-06-01T09:00:00Z,21.3,86.49,0.844,0.39,20.6,0.29,86.52,0.88,197.8,208.2,452,0,15,450,2,0
FB7,MC2,2023-06-01T09:15:00Z,21.7,86.48,0.832,0.44,21,0.35,86.52,0.861,199.4,234.2,451,0,15,449,0,0
FB7,MC2,2023-06-01T09:30:00Z,22.4,86.47,0.822,0.48,21.5,0.36,86.51,0.861,232.5,310.2,450,0,15,447,0,0
FB7,MC2,2023-06-01T09:45:00Z,22.5,86.46,0.799,0.55,21.7,0.44,86.5,0.832,223,264.8,451,0,15,448,0,0
FB7,MC2,2023-06-01T10:00:00Z,23.1,86.45,0.796,0.58,22,0.43,86.49,0.837,216.1,373.2,450,0,15,447,0,0
FB7,MC2,2023-06-01T10:15:00Z,23.2,86.45,0.786,0.61,22.5,0.48,86.49,0.822,219.7,279.6,450,0,15,447,0,0
