Tree,MC,Timestamp,Port3_Temp,Port3_VPD,Port3_Atmos_pressure,Port3_RH,Port5_Atmos_pressure,Port5_Temp,Port5_VPD,Port5_RH,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count
FB8,MC1,2023-05-31T18:45:00Z,17.6,0.05,86.2,0.973,86.22,17.6,0.11,0.947,0,0,455,0,15,0,15,453
FB8,MC1,2023-05-31T19:00:00Z,17.6,0.05,86.23,0.974,86.25,17.6,0.1,0.95,0,0,455,0,15,0,15,453
FB8,MC1,2023-05-31T19:15:00Z,17.6,0.06,86.26,0.972,86.27,17.6,0.1,0.948,0,0,455,0,15,0,15,453
FB8,MC1,2023-05-31T19:30:00Z,17.6,0.05,86.27,0.975,86.29,17.6,0.1,0.95,0,0,455,0,15,0,15,453
FB8,MC1,2023-05-31T19:45:00Z,17.7,0.07,86.29,0.967,86.31,17.6,0.11,0.945,0,0,454,0,15,0,15,453
FB8,MC1,2023-05-31T20:00:00Z,17.7,0.11,86.31,0.947,86.33,17.7,0.14,0.931,0,0,454,0,15,0,15,453
FB8,MC1,2023-05-31T20:15:00Z,17.9,0.17,86.32,0.916,86.34,17.7,0.19,0.907,0,0,454,0,15,0,15,452
FB8,MC1,2023-05-31T20:30:00Z,18,0.17,86.33,0.917,86.35,17.9,0.2,0.904,0,0,453,0,15,0,15,453
FB8,MC1,2023-05-31T20:45:00Z,18,0.15,86.34,0.928,86.36,18,0.18,0.912,0,0,455,0,15,0,15,453
FB8,MC1,2023-05-31T21:00:00Z,18,0.12,86.34,0.943,86.36,17.9,0.16,0.923,0,0,454,0,15,0,15,453
FB8,MC1,2023-05-31T21:15:00Z,17.9,0.09,86.34,0.957,86.36,17.9,0.13,0.934,0,0,456,0,15,0,15,453
FB8,MC1,2023-05-31T21:30:00Z,17.8,0.07,86.35,0.966,86.37,17.9,0.12,0.941,0,0,455,0,15,0,15,453
FB8,MC1,2023-05-31T21:45:00Z,17.9,0.05,86.37,0.974,86.38,17.8,0.11,0.948,0,0,458,0,15,0,15,453
FB8,MC1,2023-05-31T22:00:00Z,17.9,0.05,86.36,0.975,86.38,17.8,0.1,0.951,0,0,513,15,15,0,15,453
FB8,MC1,2023-05-31T22:15:00Z,17.7,0.03,86.36,0.984,86.38,17.8,0.09,0.955,0,0,614,15,15,0,15,456
FB8,MC1,2023-05-31T22:30:00Z,17.7,0.01,86.36,0.994,86.38,17.8,0.07,0.967,0,0,574,15,15,0,15,454
FB8,MC1,2023-05-31T22:45:00Z,17.7,0.01,86.36,0.997,86.38,17.8,0.06,0.972,0,0,791,15,15,11,15,544
FB8,MC1,2023-05-31T23:00:00Z,17.6,0,86.35,0.999,86.37,17.7,0.05,0.976,0,0,658,15,15,15,15,602
FB8,MC1,2023-05-31T23:15:00Z,17.6,0,86.35,1,86.37,17.6,0.04,0.982,0,0,767,15,15,15,15,658
FB8,MC1,2023-05-31T23:30:00Z,17.7,0,86.34,0.999,86.36,17.7,0.02,0.988,0,0,693,15,15,15,15,707
FB8,MC1,2023-05-31T23:45:00Z,17.8,0,86.32,1,86.34,17.8,0.02,0.992,0,0,677,15,15,15,15,683
FB8,MC1,2023-06-01T00:00:00Z,17.7,0,86.32,1,86.34,17.7,0.01,0.995,0,0,618,15,15,15,15,638
FB8,MC1,2023-06-01T00:15:00Z,17.6,0,86.3,0.999,86.32,17.7,0.01,0.995,0,0,615,15,15,15,15,632
FB8,MC1,2023-06-01T00:30:00Z,17.6,0,86.27,1,86.29,17.7,0,0.998,0,0,590,15,15,15,15,636
FB8,MC1,2023-06-01T00:45:00Z,17.5,0,86.25,0.999,86.27,17.5,0,0.999,0,0,608,15,15,15,15,614
FB8,MC1,2023-06-01T01:00:00Z,17.7,0,86.25,1,86.26,17.7,0,1,0,0,595,15,15,15,15,590
