Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_RH,Port5_Temp,Port5_VPD,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes_H,Port4_LW_minutes,Port4_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H,Port6_LWS_Count,Port2_EpiMoisture,Port2_Unknown
FB8,MC2,2023-05-31T18:45:00Z,86.19,0.885,17.4,0.23,86.2,0.927,0.15,17.6,0,0,15,453,15,0,457,NA,NA
FB8,MC2,2023-05-31T19:00:00Z,86.22,0.887,17.4,0.23,86.24,0.928,0.14,17.6,0,0,15,453,15,0,458,NA,NA
FB8,MC2,2023-05-31T19:15:00Z,86.25,0.888,17.4,0.22,86.26,0.927,0.15,17.6,0,0,15,453,15,0,457,NA,NA
FB8,MC2,2023-05-31T19:30:00Z,86.26,0.888,17.4,0.22,86.28,0.928,0.14,17.6,0,0,15,453,15,0,457,NA,NA
FB8,MC2,2023-05-31T19:45:00Z,86.28,0.884,17.6,0.23,86.3,0.924,0.15,17.7,0,0,15,453,15,0,457,NA,NA
FB8,MC2,2023-05-31T20:00:00Z,86.3,0.862,17.7,0.28,86.32,0.907,0.19,17.8,0,0,15,452,15,0,456,NA,NA
FB8,MC2,2023-05-31T20:15:00Z,86.31,0.822,18,0.37,86.33,0.876,0.26,17.9,0,0,15,452,15,0,457,NA,NA
FB8,MC2,2023-05-31T20:30:00Z,86.32,0.823,18,0.37,86.34,0.873,0.26,18.1,0,0,15,452,15,0,456,NA,NA
FB8,MC2,2023-05-31T20:45:00Z,86.33,0.835,18,0.34,86.35,0.884,0.24,18.1,0,0,15,453,15,3,459,NA,NA
FB8,MC2,2023-05-31T21:00:00Z,86.33,0.852,17.8,0.3,86.35,0.897,0.21,18,0,0,15,452,15,1,457,NA,NA
FB8,MC2,2023-05-31T21:15:00Z,86.33,0.868,17.8,0.27,86.35,0.91,0.19,18,0,0,15,453,15,14,462,NA,NA
