Tree,MC,Timestamp,Port1_LW_minutes,Port1_LW_minutes_H,Port1_LWS_Count,Port2_Solar,Port2_Precipitation,Port2_Lightning_count,Port2_Lightning_distance,Port2_Wind_direction,Port2_Wind_speed,Port2_Gust_speed,Port2_Temp,Port2_RH,Port2_Atmos_pressure,Port2_ATM22_Xaxis,Port2_ATM22_Yaxis,Port2_Precip_max,Port2_ATM41_SensorTemp,Port7_Drop1,Port7_Drop2,Port8_Drop3,Port8_Drop4
FBP1,ATM41,2023-04-18T08:15:00Z,0,0,450,521.9,0,0,0,294,1.5,4.61,19,0.766,86.05,1.4,0,0,22.5,100,8114,85.9,20.6
FBP1,ATM41,2023-04-18T08:30:00Z,0,0,449,584.5,0,0,0,252,1.31,3.73,19.9,0.741,86.05,1.4,0.1,0,23.2,100,8110,85.9,21.4
FBP1,ATM41,2023-04-18T08:45:00Z,0,0,448,654.5,0,0,0,268,1.62,5.66,20.2,0.733,86.05,1.4,0,0,23.8,100,8109,85.9,22.2
FBP1,ATM41,2023-04-18T09:00:00Z,0,0,448,681.1,0,0,0,258,1.85,5.23,20.5,0.699,86.06,1.4,0,0,24.1,100,8112,85.9,22.7
FBP1,ATM41,2023-04-18T09:15:00Z,0,0,448,728.9,0,0,0,267,1.73,5.53,20.8,0.672,86.05,1.4,0.1,0,24.1,100,8111,85.9,23
FBP1,ATM41,2023-04-18T09:30:00Z,0,0,447,788.1,0,0,0,292,1.38,3.92,21.4,0.676,86.06,1.5,0,0,24.6,100,8108,85.9,23.6
FBP1,ATM41,2023-04-18T09:45:00Z,0,0,446,819.5,0,0,0,230,1.64,8.33,21.7,0.645,86.05,1.4,0.1,0,24.9,100,8109,85.89,24
FBP1,ATM41,2023-04-18T10:00:00Z,0,0,447,855,0,0,0,272,1.63,3.89,21.8,0.623,86.06,1.4,0.1,0,24.9,100,8110,85.9,24
FBP1,ATM41,2023-04-18T10:15:00Z,0,0,447,886.4,0,0,0,255,1.53,5.15,22.3,0.62,86.05,1.4,0,0,25.1,100,8114,85.89,24.3
FBP1,ATM41,2023-04-18T10:30:00Z,0,0,446,909.4,0,0,0,261,1.56,4.86,22.1,0.642,86.05,1.4,0,0,25.1,100,8111,85.88,24.5
FBP1,ATM41,2023-04-18T10:45:00Z,0,0,446,925.9,0,0,0,295,1.56,7.93,22.3,0.652,86.05,1.4,0.1,0,25,100,8112,85.87,24.7
FBP1,ATM41,2023-04-18T11:00:00Z,0,0,447,947.7,0,0,0,264,1.48,5.7,22.5,0.658,86.05,1.4,0,0,25,100,8115,85.87,24.7
FBP1,ATM41,2023-04-18T11:15:00Z,0,0,447,953.2,0,0,0,286,1.54,4.19,22.7,0.669,86.05,1.4,0,0,25.1,100,8113,85.87,24.8
