Tree,MC,Timestamp,Port3_Temp,Port3_VPD,Port3_Atmos_pressure,Port3_RH,Port5_Atmos_pressure,Port5_Temp,Port5_VPD,Port5_RH,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count
FB4,MC1,2023-05-31T18:45:00Z,17.2,0.07,85.86,0.962,85.89,17.3,0.02,0.988,0,0,454,0,15,0,15,454
FB4,MC1,2023-05-31T19:00:00Z,17.3,0.08,85.89,0.961,85.92,17.4,0.03,0.985,0,0,454,0,15,0,15,454
FB4,MC1,2023-05-31T19:15:00Z,17.3,0.08,85.92,0.959,85.94,17.4,0.03,0.983,0,0,454,0,15,0,15,454
FB4,MC1,2023-05-31T19:30:00Z,17.3,0.08,85.93,0.962,85.96,17.4,0.03,0.983,0,0,454,0,15,0,15,454
FB4,MC1,2023-05-31T19:45:00Z,17.4,0.1,85.95,0.951,85.98,17.5,0.06,0.972,0,0,454,0,15,0,15,453
FB4,MC1,2023-05-31T20:00:00Z,17.6,0.16,85.97,0.922,86,17.8,0.13,0.934,0,0,453,0,15,0,15,452
FB4,MC1,2023-05-31T20:15:00Z,17.8,0.23,85.98,0.886,86.01,18.1,0.22,0.893,0,0,453,0,15,0,15,453
FB4,MC1,2023-05-31T20:30:00Z,17.9,0.21,85.99,0.896,86.02,18.1,0.19,0.909,0,0,453,0,15,0,15,452
FB4,MC1,2023-05-31T20:45:00Z,17.8,0.18,86.01,0.909,86.03,18,0.15,0.926,0,0,455,0,15,0,15,456
FB4,MC1,2023-05-31T21:00:00Z,17.7,0.14,86,0.929,86.03,17.8,0.1,0.95,0,0,457,0,15,0,15,453
FB4,MC1,2023-05-31T21:15:00Z,17.7,0.12,86,0.94,86.03,17.8,0.08,0.961,0,0,455,0,15,0,15,454
FB4,MC1,2023-05-31T21:30:00Z,17.6,0.1,86.01,0.95,86.04,17.8,0.06,0.972,0,0,455,0,15,0,15,454
FB4,MC1,2023-05-31T21:45:00Z,17.7,0.08,86.03,0.96,86.05,17.7,0.03,0.983,0,0,478,2,15,2,15,472
FB4,MC1,2023-05-31T22:00:00Z,17.7,0.09,86.02,0.957,86.05,17.8,0.04,0.979,0,0,651,15,15,15,15,686
FB4,MC1,2023-05-31T22:15:00Z,17.5,0.06,86.02,0.969,86.05,17.6,0.02,0.991,0,0,730,15,15,15,15,625
FB4,MC1,2023-05-31T22:30:00Z,17.6,0.04,86.02,0.979,86.05,17.7,0,1,0,0,694,15,15,15,15,594
FB4,MC1,2023-05-31T22:45:00Z,17.6,0.04,86.03,0.98,86.05,17.7,0,1,0,0,910,15,15,15,15,833
FB4,MC1,2023-05-31T23:00:00Z,17.4,0.03,86.01,0.987,86.04,17.5,0,1.001,0,0,742,15,15,15,15,622
FB4,MC1,2023-05-31T23:15:00Z,17.5,0.03,86.01,0.987,86.04,17.6,0,1.001,0,0,880,15,15,15,15,660
FB4,MC1,2023-05-31T23:30:00Z,17.6,0.02,86,0.989,86.02,17.7,0,1,0,0,770,15,15,15,15,628
FB4,MC1,2023-05-31T23:45:00Z,17.6,0.02,85.99,0.988,86.01,17.6,0,1.001,0,0,727,15,15,15,15,665
FB4,MC1,2023-06-01T00:00:00Z,17.5,0.02,85.98,0.989,86.01,17.6,0,1,0,0,691,15,15,15,15,576
FB4,MC1,2023-06-01T00:15:00Z,17.5,0.02,85.96,0.988,85.98,17.5,0,1,0,0,647,15,15,15,15,604
FB4,MC1,2023-06-01T00:30:00Z,17.4,0.02,85.93,0.988,85.96,17.5,0,1,0,0,631,15,15,15,15,558
FB4,MC1,2023-06-01T00:45:00Z,17.3,0.02,85.91,0.988,85.93,17.4,0,0.999,0,0,597,15,15,15,15,580
FB4,MC1,2023-06-01T01:00:00Z,17.5,0.02,85.91,0.988,85.93,17.6,0,1,0,0,716,15,15,15,15,576
FB4,MC1,2023-06-01T01:15:00Z,17.4,0.02,85.87,0.988,85.9,17.5,0,1,0,0,578,15,15,15,15,551
