Tree,MC,Timestamp,Port3_Temp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port2_ATM22_Xaxis,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_temp,Port2_ATM22_Yaxis,Port2_Gust_speed,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_ECRN-100_Precip_max,Port6_ECRN-100_Precipitation
FB4,MC3,2023-05-31T18:45:00Z,NA,NA,NA,NA,4.6,0.87,113,17.4,4.6,3.97,NA,452,0,15,NA,NA
FB4,MC3,2023-05-31T19:00:00Z,NA,NA,NA,NA,4.4,0.68,98,17.4,4.7,2.13,NA,452,0,15,NA,NA
FB4,MC3,2023-05-31T19:15:00Z,NA,NA,NA,NA,4.5,0.69,113,17.4,4.6,3.28,NA,452,0,15,NA,NA
FB4,MC3,2023-05-31T19:30:00Z,NA,NA,NA,NA,4.4,0.67,106,17.5,4.6,2.01,NA,452,0,15,NA,NA
FB4,MC3,2023-05-31T19:45:00Z,NA,NA,NA,NA,4.6,0.66,93,17.5,4.6,1.99,NA,452,0,15,NA,NA
FB4,MC3,2023-05-31T20:00:00Z,NA,NA,NA,NA,4.4,0.56,69,17.7,4.7,2.38,NA,451,0,15,NA,NA
FB4,MC3,2023-05-31T20:15:00Z,NA,NA,NA,NA,4.6,0.59,67,17.9,4.6,2.08,NA,451,0,15,NA,NA
FB4,MC3,2023-05-31T20:30:00Z,NA,NA,NA,NA,4.6,0.56,77,18,4.6,1.67,NA,451,0,15,NA,NA
FB4,MC3,2023-05-31T20:45:00Z,NA,NA,NA,NA,4.5,0.56,118,17.9,4.5,1.75,NA,452,0,15,NA,NA
FB4,MC3,2023-05-31T21:00:00Z,NA,NA,NA,NA,4.6,0.66,119,17.8,4.6,3.19,NA,452,0,15,NA,NA
FB4,MC3,2023-05-31T21:15:00Z,NA,NA,NA,NA,4.5,0.53,96,17.8,4.6,1.92,NA,454,0,15,NA,NA
FB4,MC3,2023-05-31T21:30:00Z,NA,NA,NA,NA,4.6,0.61,115,17.8,4.6,2.09,NA,452,0,15,NA,NA
FB4,MC3,2023-05-31T21:45:00Z,NA,NA,NA,NA,4.5,0.47,93,17.8,4.6,1.76,NA,465,1,15,NA,NA
FB4,MC3,2023-05-31T22:00:00Z,NA,NA,NA,NA,4.5,0.51,103,17.8,4.6,2.76,NA,553,15,15,NA,NA
FB4,MC3,2023-05-31T22:15:00Z,NA,NA,NA,NA,4.5,0.61,115,17.7,4.6,2.39,NA,592,15,15,NA,NA
FB4,MC3,2023-05-31T22:30:00Z,NA,NA,NA,NA,4.6,1.37,138,17.8,4.6,3.86,NA,528,15,15,NA,NA
FB4,MC3,2023-05-31T22:45:00Z,NA,NA,NA,NA,4.5,0.53,105,17.7,4.6,2.1,NA,676,15,15,NA,NA
FB4,MC3,2023-05-31T23:00:00Z,NA,NA,NA,NA,4.5,0.48,92,17.5,4.6,2.36,NA,714,15,15,NA,NA
FB4,MC3,2023-05-31T23:15:00Z,NA,NA,NA,NA,4.4,0.49,94,17.6,4.7,2.21,NA,832,15,15,NA,NA
FB4,MC3,2023-05-31T23:30:00Z,NA,NA,NA,NA,4.4,0.84,126,17.7,4.6,3.27,NA,634,15,15,NA,NA
FB4,MC3,2023-05-31T23:45:00Z,NA,NA,NA,NA,4.4,1,130,17.7,4.6,4.09,NA,805,15,15,NA,NA
FB4,MC3,2023-06-01T00:00:00Z,NA,NA,NA,NA,4.4,1.45,136,17.6,4.6,4.08,NA,594,15,15,NA,NA
FB4,MC3,2023-06-01T00:15:00Z,NA,NA,NA,NA,4.3,1.83,137,17.6,4.6,4.51,NA,575,15,15,NA,NA
FB4,MC3,2023-06-01T00:30:00Z,NA,NA,NA,NA,4.4,1.83,138,17.6,4.7,6.9,NA,568,15,15,NA,NA
FB4,MC3,2023-06-01T00:45:00Z,NA,NA,NA,NA,4.4,2.11,140,17.4,4.7,5.61,NA,594,15,15,NA,NA
FB4,MC3,2023-06-01T01:00:00Z,NA,NA,NA,NA,4.4,1.53,136,17.6,4.7,4.85,NA,573,15,15,NA,NA
FB4,MC3,2023-06-01T01:15:00Z,NA,NA,NA,NA,4.5,1.23,125,17.5,4.7,4.19,NA,576,15,15,NA,NA
FB4,MC3,2023-06-01T01:30:00Z,NA,NA,NA,NA,4.5,1.21,125,17.5,4.8,4.05,NA,567,15,15,NA,NA
FB4,MC3,2023-06-01T01:45:00Z,NA,NA,NA,NA,4.4,1.16,125,17.3,4.7,4.71,NA,563,15,15,NA,NA
FB4,MC3,2023-06-01T02:00:00Z,NA,NA,NA,NA,4.3,1.43,131,17.2,4.7,4.88,NA,539,15,15,NA,NA
FB4,MC3,2023-06-01T02:15:00Z,NA,NA,NA,NA,4.4,1,116,17.2,4.6,3.34,NA,546,15,15,NA,NA
FB4,MC3,2023-06-01T02:30:00Z,NA,NA,NA,NA,4.4,0.88,104,17.1,4.7,3.32,NA,602,15,15,NA,NA
FB4,MC3,2023-06-01T02:45:00Z,NA,NA,NA,NA,4.4,0.93,117,17,4.7,4.11,NA,588,15,15,NA,NA
FB4,MC3,2023-06-01T03:00:00Z,NA,NA,NA,NA,4.4,0.91,104,17,4.6,3.21,NA,567,15,15,NA,NA
FB4,MC3,2023-06-01T03:15:00Z,NA,NA,NA,NA,4.3,1.12,123,16.9,4.7,3.39,NA,564,15,15,NA,NA
FB4,MC3,2023-06-01T03:30:00Z,NA,NA,NA,NA,4.3,1,107,16.9,4.7,3.54,NA,552,15,15,NA,NA
FB4,MC3,2023-06-01T03:45:00Z,NA,NA,NA,NA,4.3,1.02,124,17,4.6,3.68,NA,548,15,15,NA,NA
FB4,MC3,2023-06-01T04:00:00Z,NA,NA,NA,NA,4.4,1.2,123,17.1,4.7,5.23,NA,542,15,15,NA,NA
FB4,MC3,2023-06-01T04:15:00Z,NA,NA,NA,NA,4.3,0.88,103,17.2,4.7,4.56,NA,538,15,15,NA,NA
FB4,MC3,2023-06-01T04:30:00Z,NA,NA,NA,NA,4.3,0.74,93,17.3,4.6,2.77,NA,526,15,15,NA,NA
FB4,MC3,2023-06-01T04:45:00Z,NA,NA,NA,NA,4.3,1.35,135,17.6,4.6,3.68,NA,512,15,15,NA,NA
FB4,MC3,2023-06-01T05:00:00Z,NA,NA,NA,NA,4.4,1.61,136,18.4,4.7,4.2,NA,493,15,15,NA,NA
FB4,MC3,2023-06-01T05:15:00Z,NA,NA,NA,NA,4.4,1.55,139,18.7,4.6,3.94,NA,467,15,15,NA,NA
FB4,MC3,2023-06-01T05:30:00Z,NA,NA,NA,NA,4.4,2.31,144,19.2,4.5,4.47,NA,456,3,15,NA,NA
FB4,MC3,2023-06-01T05:45:00Z,NA,NA,NA,NA,4.4,2.32,143,19.3,4.6,3.98,NA,452,0,15,NA,NA
FB4,MC3,2023-06-01T06:00:00Z,NA,NA,NA,NA,4.6,2.44,144,19.4,4.7,4.07,NA,452,0,15,NA,NA
FB4,MC3,2023-06-01T06:15:00Z,NA,NA,NA,NA,4.4,2.41,141,19.4,4.6,4.88,NA,452,0,15,NA,NA
FB4,MC3,2023-06-01T06:30:00Z,NA,NA,NA,NA,4.5,1.98,140,19.2,4.6,3.62,NA,452,0,15,NA,NA
FB4,MC3,2023-06-01T06:45:00Z,NA,NA,NA,NA,4.5,1.98,140,19.2,4.7,3.46,NA,452,0,15,NA,NA
FB4,MC3,2023-06-01T07:00:00Z,NA,NA,NA,NA,4.5,2.3,142,19.2,4.5,3.59,NA,452,0,15,NA,NA
FB4,MC3,2023-06-01T07:15:00Z,NA,NA,NA,NA,4.5,1.85,141,19.1,4.6,3.71,NA,451,0,15,NA,NA
FB4,MC3,2023-06-01T07:30:00Z,NA,NA,NA,NA,4.5,1.67,139,19.1,4.6,4.38,NA,451,0,15,NA,NA
FB4,MC3,2023-06-01T07:45:00Z,NA,NA,NA,NA,4.5,1.59,138,19.2,4.6,3.91,NA,452,0,15,NA,NA
FB4,MC3,2023-06-01T08:00:00Z,NA,NA,NA,NA,4.5,1.81,142,19.1,4.6,4.1,NA,450,1,15,NA,NA
FB4,MC3,2023-06-01T08:15:00Z,NA,NA,NA,NA,4.6,1.67,140,19.1,4.6,3.47,NA,450,0,15,NA,NA
FB4,MC3,2023-06-01T08:30:00Z,NA,NA,NA,NA,4.5,1.16,134,19.2,4.6,2.87,NA,450,0,15,NA,NA
FB4,MC3,2023-06-01T08:45:00Z,NA,NA,NA,NA,4.5,0.63,122,19.6,4.5,2.04,NA,450,0,12,NA,NA
FB4,MC3,2023-06-01T09:00:00Z,NA,NA,NA,NA,4.5,0.66,127,19.9,4.5,2.58,NA,450,0,1,NA,NA
