Tree,MC,Timestamp,Port3_Temp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port2_ATM22_Xaxis,Port2_Wind_speed,Port2_Wind_direction,Port2_ATM22_temp,Port2_ATM22_Yaxis,Port2_Gust_speed,Port1_Solar,Port4_LWS_Count,Port4_LW_minutes,Port4_LW_minutes_H
TV2,MC1,2023-05-31T18:45:00Z,17,0.974,85.5,0.05,6.7,0.53,33,17,-6.8,1.38,0,453,15,0
TV2,MC1,2023-05-31T19:00:00Z,17,0.975,85.52,0.05,6.7,0.43,17,17,-6.8,1.27,0,453,15,0
TV2,MC1,2023-05-31T19:15:00Z,17,0.975,85.55,0.05,6.8,0.44,20,16.9,-6.8,0.95,0,453,15,0
TV2,MC1,2023-05-31T19:30:00Z,17,0.976,85.56,0.05,6.7,0.45,34,16.9,-6.8,1.27,0,453,15,0
TV2,MC1,2023-05-31T19:45:00Z,17,0.975,85.57,0.05,6.8,0.38,42,17,-6.8,0.85,0,453,15,0
TV2,MC1,2023-05-31T20:00:00Z,17,0.964,85.59,0.07,6.7,0.48,45,17,-6.8,1.87,0,453,15,0
TV2,MC1,2023-05-31T20:15:00Z,17,0.944,85.61,0.11,6.7,0.44,45,17,-6.8,1.45,0,452,15,0
TV2,MC1,2023-05-31T20:30:00Z,17.2,0.936,85.62,0.13,6.7,0.4,44,17.1,-6.8,1.33,0,452,15,0
TV2,MC1,2023-05-31T20:45:00Z,17.3,0.935,85.63,0.13,6.7,0.31,47,17.2,-6.8,0.78,0,589,15,2
TV2,MC1,2023-05-31T21:00:00Z,17.3,0.949,85.63,0.1,6.7,0.45,58,17,-6.8,1.44,0,593,15,15
TV2,MC1,2023-05-31T21:15:00Z,17.1,0.963,85.64,0.07,6.7,0.38,28,17,-6.8,0.75,0,593,15,15
TV2,MC1,2023-05-31T21:30:00Z,17.1,0.971,85.64,0.06,6.7,0.39,29,17,-6.8,0.74,0,573,15,15
TV2,MC1,2023-05-31T21:45:00Z,17.2,0.976,85.65,0.05,6.7,0.41,54,17.1,-6.8,1.55,0,648,15,15
TV2,MC1,2023-05-31T22:00:00Z,17.2,0.98,85.65,0.04,6.7,0.37,73,17.1,-6.7,1.28,0,792,15,15
TV2,MC1,2023-05-31T22:15:00Z,17.2,0.981,85.65,0.04,6.6,0.39,60,17.1,-6.7,0.88,0,589,15,15
TV2,MC1,2023-05-31T22:30:00Z,17.3,0.982,85.65,0.04,6.6,0.42,79,17.2,-6.8,0.68,0,843,15,15
TV2,MC1,2023-05-31T22:45:00Z,17.3,0.983,85.65,0.03,6.5,0.35,74,17.1,-6.7,0.83,0,825,15,15
TV2,MC1,2023-05-31T23:00:00Z,17.3,0.985,85.64,0.03,6.5,0.39,78,17.1,-6.6,0.85,0,698,15,15
TV2,MC1,2023-05-31T23:15:00Z,17.4,0.99,85.64,0.02,6.4,0.42,53,17.2,-6.6,1.17,0,824,15,15
TV2,MC1,2023-05-31T23:30:00Z,17.5,0.992,85.63,0.02,6.4,0.5,46,17.3,-6.7,1.29,0,689,15,15
TV2,MC1,2023-05-31T23:45:00Z,17.5,0.994,85.62,0.01,6.4,0.51,42,17.3,-6.7,1.19,0,632,15,15
TV2,MC1,2023-06-01T00:00:00Z,17.5,0.996,85.61,0.01,6.4,0.5,38,17.3,-6.6,0.97,0,683,15,15
TV2,MC1,2023-06-01T00:15:00Z,17.4,0.997,85.6,0.01,6.5,0.55,44,17.3,-6.6,1.85,0,613,15,15
TV2,MC1,2023-06-01T00:30:00Z,17.5,0.999,85.58,0,6.5,0.6,40,17.3,-6.7,1.6,0,599,15,15
TV2,MC1,2023-06-01T00:45:00Z,17.4,1,85.55,0,6.5,0.59,45,17.3,-6.6,1.34,0,588,15,15
TV2,MC1,2023-06-01T01:00:00Z,17.4,1.001,85.55,0,6.5,0.55,19,17.3,-6.7,1.56,0,556,15,15
TV2,MC1,2023-06-01T01:15:00Z,17.4,1,85.52,0,6.5,0.39,349,17.2,-6.7,1.68,0,555,15,15
TV2,MC1,2023-06-01T01:30:00Z,17.3,1,85.49,0,6.6,0.44,24,17.2,-6.7,1.4,0,548,15,15
TV2,MC1,2023-06-01T01:45:00Z,17.2,1,85.46,0,6.5,0.4,5,17,-6.6,0.98,0,541,15,15
TV2,MC1,2023-06-01T02:00:00Z,17,1.001,85.45,0,6.5,0.39,32,17,-6.6,0.82,0,538,15,15
TV2,MC1,2023-06-01T02:15:00Z,17.1,0.999,85.43,0,6.5,0.4,44,16.9,-6.6,0.79,0,581,15,15
TV2,MC1,2023-06-01T02:30:00Z,16.9,1,85.42,0,6.5,0.4,48,16.8,-6.7,1.05,0,678,15,15
TV2,MC1,2023-06-01T02:45:00Z,16.8,0.999,85.42,0,6.5,0.39,34,16.7,-6.7,0.73,0,628,15,15
TV2,MC1,2023-06-01T03:00:00Z,16.8,0.999,85.41,0,6.5,0.38,45,16.7,-6.7,1.08,0,586,15,15
TV2,MC1,2023-06-01T03:15:00Z,16.7,1,85.39,0,6.5,0.34,66,16.6,-6.7,0.76,0,544,15,15
TV2,MC1,2023-06-01T03:30:00Z,16.7,1,85.4,0,6.6,0.38,55,16.6,-6.7,0.81,0,549,15,15
TV2,MC1,2023-06-01T03:45:00Z,16.8,1,85.4,0,6.5,0.39,66,16.6,-6.6,1.12,0,540,15,15
TV2,MC1,2023-06-01T04:00:00Z,16.8,0.999,85.4,0,6.6,0.39,85,16.7,-6.6,1.13,0,534,15,15
TV2,MC1,2023-06-01T04:15:00Z,16.9,1,85.41,0,6.6,0.45,98,16.8,-6.6,1.15,0,523,15,15
TV2,MC1,2023-06-01T04:30:00Z,17,0.999,85.41,0,6.5,0.58,97,16.8,-6.6,1.35,0,514,15,15
TV2,MC1,2023-06-01T04:45:00Z,16.8,0.999,85.41,0,6.5,0.51,102,16.7,-6.6,0.98,0,502,15,15
TV2,MC1,2023-06-01T05:00:00Z,16.8,0.999,85.43,0,6.5,0.65,107,17.2,-6.6,1.14,0,489,15,15
TV2,MC1,2023-06-01T05:15:00Z,17,0.988,85.44,0.02,6.6,0.61,112,16.9,-6.7,1.13,0,484,15,15
TV2,MC1,2023-06-01T05:30:00Z,17,0.967,85.46,0.06,6.6,0.53,117,16.6,-6.6,1.04,0,481,15,15
TV2,MC1,2023-06-01T05:45:00Z,16.9,0.957,85.48,0.08,6.6,0.5,121,16.6,-6.7,1.05,1.1,476,15,15
TV2,MC1,2023-06-01T06:00:00Z,17,0.946,85.5,0.1,6.6,0.5,115,16.5,-6.7,0.94,7.5,471,15,15
TV2,MC1,2023-06-01T06:15:00Z,17,0.948,85.51,0.1,6.6,0.49,110,16.6,-6.7,1.22,11.7,467,15,15
TV2,MC1,2023-06-01T06:30:00Z,17.1,0.95,85.54,0.1,6.6,0.47,116,16.7,-6.7,0.73,12.1,463,15,15
TV2,MC1,2023-06-01T06:45:00Z,17.3,0.943,85.55,0.11,6.6,0.44,110,16.8,-6.7,0.71,15.6,459,15,13
TV2,MC1,2023-06-01T07:00:00Z,17.5,0.943,85.56,0.11,6.5,0.32,106,16.9,-6.7,0.78,21.2,459,15,4
TV2,MC1,2023-06-01T07:15:00Z,17.7,0.947,85.58,0.11,6.6,0.34,99,17.2,-6.7,0.94,30.9,459,15,0
TV2,MC1,2023-06-01T07:30:00Z,17.9,0.95,85.6,0.1,6.6,0.42,81,17.5,-6.7,0.87,42.3,458,15,0
TV2,MC1,2023-06-01T07:45:00Z,18.2,0.946,85.61,0.11,6.6,0.41,70,17.8,-6.8,0.95,38.6,453,15,0
TV2,MC1,2023-06-01T08:00:00Z,18.3,0.943,85.62,0.12,6.6,0.47,70,18,-6.7,0.84,45.4,460,15,8
TV2,MC1,2023-06-01T08:15:00Z,18.6,0.936,85.63,0.14,6.7,0.51,128,18.3,-6.7,1.28,65.2,454,15,0
TV2,MC1,2023-06-01T08:30:00Z,18.6,0.921,85.65,0.17,6.7,0.57,151,18.4,-6.7,1.11,56,452,15,0
TV2,MC1,2023-06-01T08:45:00Z,18.6,0.903,85.66,0.21,6.7,0.54,147,18.4,-6.7,1.05,60.4,452,15,0
TV2,MC1,2023-06-01T09:00:00Z,18.8,0.902,85.67,0.21,6.7,0.58,153,18.6,-6.7,1.58,69.9,452,15,0
TV2,MC1,2023-06-01T09:15:00Z,19.2,0.9,85.67,0.22,6.7,0.76,159,18.9,-6.7,1.78,84,451,15,0
TV2,MC1,2023-06-01T09:30:00Z,19.4,0.891,85.66,0.25,6.6,0.73,167,19.1,-6.7,1.4,93.2,451,15,0
TV2,MC1,2023-06-01T09:45:00Z,19.6,0.891,85.65,0.25,6.7,0.43,130,19.4,-6.7,0.96,94.5,451,15,0
TV2,MC1,2023-06-01T10:00:00Z,19.9,0.877,85.63,0.29,6.8,0.5,148,19.7,-6.8,1.24,103.5,451,15,0
TV2,MC1,2023-06-01T10:15:00Z,20.2,0.884,85.64,0.27,6.7,0.49,102,20.1,-6.7,1.14,107.7,451,15,0
TV2,MC1,2023-06-01T10:30:00Z,20.3,0.88,85.63,0.29,6.7,0.57,144,20,-6.7,1.24,93.8,451,15,0
TV2,MC1,2023-06-01T10:45:00Z,20.2,0.889,85.61,0.26,6.6,0.53,125,20.2,-6.7,1.46,149.2,451,15,0
TV2,MC1,2023-06-01T11:00:00Z,21.2,0.87,85.61,0.33,6.7,0.48,116,21,-6.7,1.41,295.3,450,14,0
TV2,MC1,2023-06-01T11:15:00Z,21,0.86,85.59,0.35,6.8,0.49,157,21,-6.8,1.35,159.5,450,14,0
TV2,MC1,2023-06-01T11:30:00Z,21,0.868,85.58,0.33,6.8,0.89,153,21,-6.7,2.3,196.8,450,15,0
TV2,MC1,2023-06-01T11:45:00Z,21.1,0.87,85.58,0.32,6.7,0.79,151,21.3,-6.7,1.69,177.6,450,14,0
TV2,MC1,2023-06-01T12:00:00Z,21.7,0.862,85.55,0.36,6.7,0.58,126,21.8,-6.7,1.84,112.4,450,13,0
TV2,MC1,2023-06-01T12:15:00Z,22,0.833,85.54,0.44,6.7,0.68,165,21.8,-6.7,1.58,94.1,450,10,0
TV2,MC1,2023-06-01T12:30:00Z,21.7,0.836,85.52,0.43,6.7,0.73,175,21.7,-6.7,1.78,113.3,450,13,0
TV2,MC1,2023-06-01T12:45:00Z,21.7,0.838,85.51,0.42,6.8,0.57,142,21.6,-6.7,2.29,90.8,450,14,0
TV2,MC1,2023-06-01T13:00:00Z,21.5,0.863,85.49,0.35,6.8,0.45,136,21.5,-6.7,1.26,74.7,451,15,0
TV2,MC1,2023-06-01T13:15:00Z,21.1,0.897,85.48,0.26,6.7,0.48,69,21.3,-6.7,1.48,84.6,451,15,0
TV2,MC1,2023-06-01T13:30:00Z,21.3,0.898,85.48,0.26,6.8,0.47,86,21.3,-6.8,1.2,68.7,451,15,0
TV2,MC1,2023-06-01T13:45:00Z,20.9,0.913,85.46,0.21,6.7,0.46,95,21,-6.8,1.35,44.9,507,15,2
TV2,MC1,2023-06-01T14:00:00Z,20.4,0.937,85.45,0.15,6.7,0.47,72,20.5,-6.8,1.43,29.1,622,15,15
TV2,MC1,2023-06-01T14:15:00Z,19.8,0.952,85.45,0.11,6.7,0.54,54,19.9,-6.8,1.61,13.2,825,15,15
TV2,MC1,2023-06-01T14:30:00Z,19.5,0.967,85.44,0.08,6.6,0.46,40,19.5,-6.7,1.09,25.1,678,15,15
TV2,MC1,2023-06-01T14:45:00Z,19,0.973,85.43,0.06,6.5,0.44,83,19.1,-6.7,1.01,41.7,575,15,15
TV2,MC1,2023-06-01T15:00:00Z,19.5,0.979,85.4,0.05,6.6,0.44,141,19.6,-6.8,1.47,100.2,509,15,15
TV2,MC1,2023-06-01T15:15:00Z,19.9,0.976,85.4,0.06,6.6,0.41,75,19.9,-6.8,0.95,63.4,490,15,15
TV2,MC1,2023-06-01T15:30:00Z,19.7,0.972,85.4,0.06,6.6,0.36,26,19.6,-6.8,1.03,34.1,481,15,15
TV2,MC1,2023-06-01T15:45:00Z,19.4,0.974,85.4,0.06,6.6,0.46,78,19.4,-6.8,1.25,22.7,476,15,15
TV2,MC1,2023-06-01T16:00:00Z,19.2,0.979,85.4,0.05,6.7,0.34,54,19.3,-6.9,0.96,10.1,923,15,15
TV2,MC1,2023-06-01T16:15:00Z,19,0.98,85.4,0.04,6.3,0.44,56,18.8,-6.7,1.06,8.2,712,15,15
TV2,MC1,2023-06-01T16:30:00Z,18.6,0.982,85.41,0.04,6.5,0.32,83,18.6,-6.6,0.72,16.8,611,15,15
TV2,MC1,2023-06-01T16:45:00Z,18.4,0.984,85.41,0.03,6.5,0.29,72,18.5,-6.6,0.89,16.1,574,15,15
TV2,MC1,2023-06-01T17:00:00Z,18.5,0.987,85.4,0.03,6.5,0.35,87,18.5,-6.7,1.08,11.2,593,15,15
TV2,MC1,2023-06-01T17:15:00Z,18.5,0.988,85.4,0.03,6.5,0.36,58,18.4,-6.6,1.12,11,548,15,15
TV2,MC1,2023-06-01T17:30:00Z,18.5,0.989,85.4,0.02,6.5,0.35,82,18.4,-6.6,0.78,4.2,534,15,15
TV2,MC1,2023-06-01T17:45:00Z,18.5,0.992,85.43,0.02,6.5,0.31,57,18.4,-6.7,0.91,0,527,15,15
TV2,MC1,2023-06-01T18:00:00Z,18.5,0.993,85.46,0.02,6.5,0.39,56,18.4,-6.6,1.32,0,520,15,15
TV2,MC1,2023-06-01T18:15:00Z,18.3,0.994,85.46,0.01,6.5,0.41,65,18.2,-6.6,1.34,0,516,15,15
