Tree,MC,Timestamp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H
TV3,MC3,2023-05-31T18:45:00Z,0.982,85.08,0.03,16.8,0,15,456,0
TV3,MC3,2023-05-31T19:00:00Z,0.985,85.1,0.03,16.7,0,15,456,0
TV3,MC3,2023-05-31T19:15:00Z,0.985,85.13,0.03,16.7,0,15,456,0
TV3,MC3,2023-05-31T19:30:00Z,0.985,85.14,0.03,16.7,0,15,456,0
TV3,MC3,2023-05-31T19:45:00Z,0.984,85.16,0.03,16.7,0,15,456,0
TV3,MC3,2023-05-31T20:00:00Z,0.979,85.17,0.04,16.7,0,15,455,0
TV3,MC3,2023-05-31T20:15:00Z,0.962,85.19,0.07,16.8,0,15,455,0
TV3,MC3,2023-05-31T20:30:00Z,0.952,85.2,0.09,16.8,0,15,455,0
TV3,MC3,2023-05-31T20:45:00Z,0.949,85.21,0.1,17,0,15,603,5
TV3,MC3,2023-05-31T21:00:00Z,0.961,85.21,0.08,17,0,15,592,15
TV3,MC3,2023-05-31T21:15:00Z,0.974,85.22,0.05,16.8,0,15,582,15
TV3,MC3,2023-05-31T21:30:00Z,0.981,85.22,0.04,16.8,0,15,588,15
TV3,MC3,2023-05-31T21:45:00Z,0.985,85.23,0.03,16.9,0,15,760,15
TV3,MC3,2023-05-31T22:00:00Z,0.988,85.23,0.02,17,0,15,819,15
TV3,MC3,2023-05-31T22:15:00Z,0.99,85.23,0.02,17,0,15,738,15
TV3,MC3,2023-05-31T22:30:00Z,0.991,85.24,0.02,17,0,15,844,15
TV3,MC3,2023-05-31T22:45:00Z,0.992,85.24,0.02,17.1,0,15,857,15
TV3,MC3,2023-05-31T23:00:00Z,0.994,85.22,0.01,17,0,15,835,15
TV3,MC3,2023-05-31T23:15:00Z,0.996,85.22,0.01,17.2,0,15,861,15
TV3,MC3,2023-05-31T23:30:00Z,0.997,85.21,0.01,17.3,0,15,780,15
