z6-15848,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 27360,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/3/2024 12:45,102.9,354,1.35,4.19,18.9,6.0,-0.2,18.6,0.966,86.12,15,15,464,12,0,454,100,7975,85.98,20.8
1/3/2024 13:00,108.9,346,1.22,4.67,19.0,5.9,-0.3,18.7,0.973,86.09,15,15,464,15,0,454,100,7981,85.95,20.5
1/3/2024 13:15,79.3,34,1.03,2.34,19.0,6.0,-0.2,18.7,0.969,86.07,15,15,465,15,0,455,100,7980,85.94,20.3
1/3/2024 13:30,75.3,336,0.94,3.18,18.8,5.9,-0.2,18.6,0.975,86.06,15,15,464,15,0,454,100,7982,85.93,20.1
1/3/2024 13:45,52.4,6,1.07,3.41,18.7,5.9,-0.2,18.4,0.975,86.05,15,15,466,15,0,454,100,7978,85.92,19.9
1/3/2024 14:00,44.7,356,1.11,4.83,18.5,5.9,-0.3,18.3,0.980,86.03,15,15,477,15,7,463,100,7978,85.90,19.6
1/3/2024 14:15,61.0,0,1.24,3.39,18.4,5.9,-0.2,18.1,0.988,86.02,15,15,466,15,6,455,100,7979,85.89,19.3
1/3/2024 14:30,67.2,330,1.10,3.75,18.7,5.9,-0.2,18.6,0.980,86.01,15,15,468,15,0,455,100,7977,85.87,19.4
1/3/2024 14:45,54.0,353,0.83,2.23,18.6,5.9,-0.3,18.4,0.980,85.99,15,15,529,15,11,463,100,7978,85.87,19.3
1/3/2024 15:00,47.6,332,1.11,3.01,18.5,5.8,-0.2,18.4,0.987,85.99,15,15,487,15,3,455,100,7979,85.86,19.2
1/3/2024 15:15,30.9,348,0.97,2.83,18.4,5.9,-0.3,18.2,0.993,86.00,15,15,476,15,0,456,100,7976,85.86,19.1
1/3/2024 15:30,35.7,352,0.91,2.59,18.4,6.0,-0.2,18.2,0.996,86.02,15,15,469,15,0,455,100,7977,85.89,19.0
1/3/2024 15:45,33.7,338,0.82,3.44,18.5,5.9,-0.3,18.3,0.989,86.03,15,15,469,15,0,455,100,7977,85.90,19.0
1/3/2024 16:00,32.4,343,0.81,2.03,18.6,5.9,-0.3,18.4,0.983,86.04,15,15,469,15,0,455,100,7975,85.91,19.0
1/3/2024 16:15,43.6,18,0.85,2.16,18.6,5.9,-0.3,18.4,0.982,86.04,15,15,470,15,0,456,100,7976,85.92,19.0
1/3/2024 16:30,43.8,333,0.74,2.77,18.7,5.9,-0.3,18.5,0.983,86.04,15,15,468,15,0,455,100,7976,85.91,19.1
1/3/2024 16:45,33.0,347,1.10,3.10,18.6,6.0,-0.2,18.4,0.987,86.04,15,15,474,15,0,457,100,7974,85.91,19.1
1/3/2024 17:00,12.6,330,1.05,3.20,18.4,6.0,-0.2,18.2,0.995,86.07,15,15,480,15,0,458,100,7972,85.94,19.0
1/3/2024 17:15,9.7,358,1.06,3.66,18.2,5.9,-0.4,18.1,1.000,86.08,15,15,494,15,4,462,100,7974,85.95,18.8
1/3/2024 17:30,2.6,342,0.97,2.58,18.1,5.9,-0.3,18.0,1.001,86.10,15,15,545,15,15,487,100,7974,85.97,18.7
1/3/2024 17:45,0.0,324,0.81,2.42,18.0,6.0,-0.3,17.9,1.000,86.12,15,15,577,15,15,498,100,7970,85.99,18.5
1/3/2024 18:00,0.0,353,0.72,2.59,18.0,5.9,-0.3,17.8,1.001,86.12,15,15,606,15,15,511,100,7971,86.00,18.4
1/3/2024 18:15,0.0,358,0.95,4.15,17.9,6.0,-0.3,17.8,1.000,86.14,15,15,670,15,15,562,100,7971,86.01,18.3
1/3/2024 18:30,0.0,350,0.96,4.12,17.8,6.0,-0.3,17.6,1.000,86.15,15,15,757,15,15,668,100,7968,86.02,18.2
1/3/2024 18:45,0.0,354,0.78,2.25,17.7,6.1,-0.3,17.6,1.000,86.17,15,15,796,15,15,742,100,7973,86.04,18.1
1/3/2024 19:00,0.0,333,0.72,2.10,17.6,6.0,-0.3,17.5,1.000,86.19,15,15,842,15,15,789,100,7968,86.06,18.0
