z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 4032,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/21/2024 8:30,54.9,38,3.34,8.35,20.3,0.4,-3.4,20.3,0.994,87.99,15,15,470,32,4.02,8.59,20.4,4.0,4.1,100,7925,87.77,21.5
5/21/2024 8:45,100.5,76,2.95,6.45,20.6,0.5,-3.4,20.5,0.990,88.00,15,15,464,73,3.34,8.10,20.7,4.2,4.1,100,7889,87.79,21.5
5/21/2024 9:00,98.9,348,1.37,5.44,21.0,0.3,-3.3,20.8,0.977,88.02,15,15,462,0,1.82,7.19,21.2,4.1,4.1,100,7896,87.80,21.7
5/21/2024 9:15,127.1,95,2.56,4.83,21.3,0.6,-3.2,21.2,0.961,88.01,15,15,461,98,2.35,5.26,21.5,4.1,4.2,100,7907,87.80,22.0
5/21/2024 9:30,158.6,80,2.24,7.02,21.7,0.4,-3.4,21.7,0.944,88.01,15,15,461,79,2.14,7.45,22.0,4.2,4.2,100,7895,87.79,22.6
5/21/2024 9:45,109.9,28,1.66,4.87,21.9,0.4,-3.6,21.7,0.940,87.99,15,15,461,20,2.06,6.40,22.2,4.2,4.1,100,7898,87.77,22.9
5/21/2024 10:00,130.4,84,2.48,4.67,21.9,0.4,-3.4,21.8,0.938,87.98,15,15,460,82,2.44,5.18,22.2,4.1,4.1,100,7874,87.76,23.1
5/21/2024 10:15,167.0,351,2.40,6.77,22.1,0.5,-3.7,21.9,0.934,87.98,15,6,460,359,3.11,8.04,22.4,4.1,4.2,100,7884,87.75,23.5
5/21/2024 10:30,151.1,355,2.53,7.91,22.2,0.3,-3.6,22.0,0.929,87.95,15,11,460,1,3.70,9.21,22.4,4.0,4.2,100,7885,87.73,23.3
5/21/2024 10:45,136.2,53,2.50,6.12,22.4,0.3,-3.3,22.3,0.914,87.95,15,0,459,47,2.75,6.82,22.7,4.1,4.2,100,7888,87.73,23.3
5/21/2024 11:00,147.6,62,2.29,7.55,22.7,0.4,-3.5,22.5,0.907,87.94,15,0,459,55,2.62,7.96,23.0,4.1,4.1,100,7892,87.72,23.4
5/21/2024 11:15,168.8,5,2.96,6.97,22.9,0.0,-3.5,22.7,0.894,87.93,15,0,458,8,3.81,9.71,23.1,4.1,4.2,100,7894,87.71,23.5
