z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 1629,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
8/13/2024 9:00,88.3,2,1.90,4.73,20.1,0.6,-3.4,19.9,0.981,88.16,15,0,454,6,2.59,5.81,20.3,4.7,4.3,58,7454,87.96,21.6
8/13/2024 9:15,211.7,62,2.75,5.74,20.4,0.4,-3.2,20.3,0.969,88.16,15,0,454,59,3.06,6.50,20.8,4.7,4.4,59,7460,87.96,21.6
8/13/2024 9:30,163.9,91,2.57,6.51,20.7,0.8,-3.3,20.7,0.949,88.16,15,0,453,94,2.73,6.75,21.1,4.7,4.4,57,7447,87.96,21.8
8/13/2024 9:45,214.8,99,2.82,6.99,21.1,1.0,-3.1,21.0,0.934,88.16,15,0,453,102,3.14,7.37,21.4,4.7,4.5,59,7460,87.95,22.3
8/13/2024 10:00,234.2,82,2.78,7.37,21.5,0.7,-3.3,21.3,0.917,88.16,15,0,453,84,2.87,5.92,21.9,4.8,4.4,61,7473,87.96,22.7
8/13/2024 10:15,156.6,30,2.15,4.63,21.3,0.7,-3.3,21.3,0.928,88.18,15,0,453,26,3.08,5.72,21.7,4.7,4.4,61,7477,87.97,23.1
8/13/2024 10:30,165.0,56,2.44,4.85,21.4,0.6,-3.3,21.4,0.939,88.19,15,0,453,51,2.70,5.09,21.8,4.7,4.4,61,7479,87.99,23.1
8/13/2024 10:45,193.5,77,1.50,3.93,22.2,0.7,-3.4,22.0,0.915,88.20,15,0,452,65,1.69,5.11,22.6,4.8,4.4,62,7482,88.00,23.4
8/13/2024 11:00,186.2,1,2.07,5.39,21.7,0.5,-3.4,21.5,0.930,88.20,15,0,453,3,3.37,7.92,21.9,4.7,4.4,62,7488,88.00,23.5
8/13/2024 11:15,162.6,11,1.96,5.11,21.7,0.4,-3.5,21.4,0.944,88.19,15,0,453,6,2.92,6.67,21.9,4.7,4.4,62,7489,87.98,23.3
8/13/2024 11:30,165.9,1,2.47,5.71,21.3,0.6,-3.4,21.1,0.950,88.17,15,0,453,1,3.76,7.49,21.5,4.7,4.3,63,7493,87.97,23.0
8/13/2024 11:45,193.9,356,2.06,5.41,21.4,0.6,-3.4,21.2,0.951,88.15,15,0,453,3,3.27,7.37,21.5,4.7,4.4,63,7494,87.95,22.9
8/13/2024 12:00,113.0,37,2.19,4.96,21.3,0.6,-3.4,21.1,0.943,88.12,15,0,453,22,2.52,6.46,21.5,4.7,4.4,63,7496,87.92,22.8
8/13/2024 12:15,130.9,17,2.41,4.86,21.0,0.4,-3.4,20.9,0.946,88.12,15,0,453,14,3.05,6.79,21.2,4.8,4.4,64,7498,87.91,22.5
8/13/2024 12:30,248.1,84,3.83,7.76,21.4,0.4,-2.9,21.3,0.943,88.08,15,0,453,92,3.75,7.96,21.6,4.9,4.5,64,7501,87.87,22.5
8/13/2024 12:45,154.0,95,5.38,7.96,21.6,0.3,-2.7,21.6,0.930,88.06,15,0,453,104,5.52,9.11,21.8,4.9,4.6,64,7503,87.85,22.7
8/13/2024 13:00,114.6,21,2.10,6.35,21.3,0.6,-3.4,21.2,0.958,88.07,15,0,454,12,2.69,8.86,21.5,4.7,4.4,64,7504,87.87,22.6
8/13/2024 13:15,97.6,35,1.91,5.62,21.5,0.5,-3.5,21.3,0.962,88.09,15,0,454,16,2.44,8.23,21.7,4.7,4.3,64,7504,87.88,22.6
8/13/2024 13:30,116.8,73,1.37,3.95,21.6,0.7,-3.3,21.3,0.961,88.08,15,0,453,31,1.54,4.61,21.8,4.7,4.4,64,7505,87.88,22.6
8/13/2024 13:45,112.8,108,2.58,6.35,21.7,0.9,-3.3,21.6,0.927,88.06,15,0,453,109,2.53,6.74,21.8,4.8,4.4,65,7508,87.86,22.8
8/13/2024 14:00,86.8,3,1.82,3.94,21.3,0.6,-3.4,21.2,0.954,88.04,15,0,454,5,3.06,6.07,21.4,4.7,4.3,65,7506,87.84,22.6
8/13/2024 14:15,69.2,96,1.51,4.17,21.4,0.7,-3.4,21.1,0.959,88.05,15,0,454,44,1.56,5.46,21.5,4.8,4.4,64,7505,87.84,22.4
8/13/2024 14:30,68.7,84,1.18,2.73,21.4,0.8,-3.4,21.3,0.954,88.03,15,0,454,55,1.36,3.68,21.6,4.7,4.3,65,7506,87.83,22.5
8/13/2024 14:45,65.9,61,1.16,2.74,21.3,0.7,-3.3,21.2,0.950,88.02,15,0,453,40,1.29,3.00,21.5,4.7,4.3,64,7505,87.82,22.4
8/13/2024 15:00,86.1,90,1.80,3.52,21.4,0.7,-3.3,21.3,0.944,87.99,15,0,453,86,1.72,3.42,21.6,4.8,4.4,64,7503,87.79,22.3
8/13/2024 15:15,80.4,76,1.02,3.13,21.7,0.8,-3.3,21.6,0.937,87.99,15,0,453,50,1.08,3.38,22.0,4.8,4.4,64,7503,87.79,22.5
8/13/2024 15:30,85.1,46,1.43,3.02,21.7,0.7,-3.3,21.9,0.930,87.97,15,0,453,25,1.30,2.81,22.0,4.8,4.3,64,7505,87.77,22.6
8/13/2024 15:45,68.8,65,1.51,2.74,21.9,0.8,-3.2,21.9,0.931,87.98,15,0,453,56,1.18,2.87,22.2,4.8,4.4,64,7503,87.77,22.6
8/13/2024 16:00,46.9,0,1.15,2.71,21.3,0.7,-3.4,21.3,0.963,87.97,15,0,454,359,1.82,4.34,21.4,4.8,4.4,64,7501,87.77,22.3
8/13/2024 16:15,37.5,247,0.60,1.05,21.4,0.8,-3.4,21.1,0.983,87.96,15,0,455,307,0.72,1.71,21.5,4.8,4.4,64,7501,87.76,22.1
8/13/2024 16:30,34.1,248,0.52,1.11,21.3,0.8,-3.3,21.1,0.987,87.94,15,0,455,317,0.74,1.99,21.4,4.8,4.3,64,7498,87.74,21.9
8/13/2024 16:45,26.2,16,0.52,1.07,21.0,0.8,-3.4,21.0,0.996,87.94,15,0,456,2,0.94,1.90,21.2,4.8,4.4,64,7498,87.74,21.8
8/13/2024 17:00,14.1,359,0.70,1.32,20.7,0.7,-3.3,20.8,1.000,87.94,15,0,457,0,1.38,2.06,20.8,4.8,4.4,63,7496,87.74,21.6
8/13/2024 17:15,6.4,358,0.70,1.53,20.7,0.8,-3.3,20.6,1.001,87.95,15,0,457,1,1.39,2.68,20.8,4.8,4.3,63,7495,87.75,21.4
8/13/2024 17:30,0.4,0,1.16,2.24,20.5,0.7,-3.3,20.4,1.000,87.97,15,0,457,0,1.99,3.57,20.6,4.7,4.4,63,7495,87.77,21.1
8/13/2024 17:45,0.0,358,1.32,3.79,20.3,0.5,-3.4,20.2,1.000,88.00,15,9,461,2,2.08,5.18,20.4,4.7,4.3,63,7492,87.80,20.8
8/13/2024 18:00,0.0,351,2.37,4.24,20.2,0.4,-3.2,20.1,1.000,88.01,15,5,460,359,3.88,6.66,20.3,4.7,4.3,63,7492,87.81,20.6
8/13/2024 18:15,0.0,348,1.26,4.13,20.0,0.6,-3.4,20.1,0.999,88.01,15,15,463,358,2.01,5.63,20.2,4.8,4.2,63,7492,87.82,20.4
8/13/2024 18:30,0.0,8,1.32,4.52,20.0,0.6,-3.1,20.0,0.999,88.02,15,15,482,7,1.93,4.45,20.1,4.8,4.3,63,7491,87.83,20.3
8/13/2024 18:45,0.0,12,1.76,4.17,20.0,0.6,-3.2,20.0,0.999,88.02,15,15,503,8,2.32,5.91,20.1,4.7,4.3,62,7488,87.82,20.2
8/13/2024 19:00,0.0,352,1.52,3.69,19.8,0.6,-3.3,19.8,1.001,88.02,15,15,570,1,2.50,5.26,19.9,4.7,4.4,62,7489,87.82,20.1
8/13/2024 19:15,0.0,358,1.98,5.55,19.7,0.4,-3.1,19.6,1.000,88.02,15,15,576,0,2.93,7.68,19.8,4.6,4.4,62,7486,87.82,19.9
8/13/2024 19:30,0.0,91,3.58,9.04,19.6,0.8,-2.8,19.6,1.000,88.04,15,15,582,99,3.47,7.72,19.7,4.8,4.3,62,7482,87.84,19.9
8/13/2024 19:45,0.0,90,3.79,6.71,19.5,0.7,-2.6,19.5,1.001,88.05,15,15,567,99,3.53,7.09,19.6,4.8,4.4,62,7483,87.85,19.9
8/13/2024 20:00,0.0,81,3.22,6.75,19.5,0.5,-2.7,19.5,1.000,88.06,15,15,543,87,2.81,6.73,19.6,4.8,4.3,61,7480,87.86,19.7
8/13/2024 20:15,0.0,90,3.79,6.69,19.5,0.6,-2.8,19.5,1.000,88.06,15,15,542,98,3.62,7.23,19.6,4.8,4.4,61,7480,87.86,19.7
8/13/2024 20:30,0.0,99,3.35,8.58,19.4,0.4,-2.8,19.4,1.000,88.07,15,15,527,105,3.11,7.40,19.5,4.8,4.4,61,7478,87.87,19.7
8/13/2024 20:45,0.0,107,2.25,5.82,19.3,0.8,-2.9,19.3,1.000,88.08,15,15,506,106,2.20,6.29,19.4,4.7,4.4,61,7476,87.88,19.6
8/13/2024 21:00,0.0,100,2.62,7.82,19.3,0.8,-2.8,19.3,1.000,88.09,15,15,503,97,2.52,8.14,19.4,4.8,4.4,61,7476,87.89,19.6
8/13/2024 21:15,0.0,97,3.64,7.32,19.3,0.5,-2.5,19.3,1.000,88.09,15,15,524,101,3.42,8.75,19.4,4.9,4.5,61,7475,87.89,19.6
8/13/2024 21:30,0.0,90,4.02,8.08,19.2,0.8,-2.9,19.3,1.000,88.08,15,15,518,97,3.73,7.82,19.3,4.8,4.6,61,7476,87.89,19.5
8/13/2024 21:45,0.0,85,3.26,6.83,19.2,0.5,-2.5,19.3,1.000,88.09,15,15,480,84,3.35,7.39,19.3,4.7,4.5,61,7476,87.89,19.5
8/13/2024 22:00,0.0,104,2.48,5.70,19.1,0.8,-2.8,19.1,1.000,88.09,15,15,466,98,2.45,6.40,19.2,4.7,4.4,61,7476,87.89,19.4
8/13/2024 22:15,0.0,97,3.02,6.58,19.0,0.7,-2.9,19.0,1.001,88.10,15,15,463,97,3.09,7.73,19.0,4.8,4.5,60,7471,87.89,19.4
8/13/2024 22:30,0.0,102,3.56,8.76,19.6,0.6,-2.8,19.2,1.000,88.09,15,15,461,104,3.50,7.69,19.2,4.8,4.5,60,7470,87.89,19.5
8/13/2024 22:45,0.0,78,3.36,7.06,19.7,0.4,-2.9,19.4,1.000,88.08,15,5,459,76,3.09,8.10,19.7,4.8,4.4,61,7473,87.88,19.6
8/13/2024 23:00,0.0,86,2.05,4.84,19.5,0.5,-3.0,19.3,1.000,88.07,15,0,458,61,2.00,4.75,19.6,4.8,4.4,60,7470,87.87,19.6
8/13/2024 23:15,0.0,120,2.74,6.92,19.4,0.8,-3.1,19.3,1.000,88.07,15,0,457,114,2.23,7.02,19.5,4.9,4.3,60,7468,87.87,19.5
8/13/2024 23:30,0.0,104,3.31,7.36,19.5,0.6,-2.9,19.4,1.000,88.06,15,0,457,101,3.04,6.96,19.6,4.9,4.3,60,7467,87.86,19.6
8/13/2024 23:45,0.0,109,3.56,8.19,19.5,0.5,-2.8,19.5,1.000,88.05,15,0,457,109,3.38,7.48,19.6,5.0,4.5,60,7466,87.85,19.5
8/14/2024 0:00,0.0,100,2.58,7.06,19.3,0.6,-3.0,19.3,1.000,88.06,15,0,457,94,2.60,6.88,19.4,4.8,4.4,60,7469,87.86,19.4
8/14/2024 0:15,0.0,106,2.61,6.89,19.3,0.6,-3.1,19.3,1.001,88.06,15,0,459,98,2.44,7.81,19.4,4.8,4.4,56,7438,87.86,19.6
8/14/2024 0:30,0.0,120,2.13,5.50,19.3,0.9,-3.1,19.3,1.000,88.05,15,0,458,108,1.88,5.48,19.4,4.8,4.4,58,7451,87.85,19.5
8/14/2024 0:45,0.0,113,2.91,6.19,19.4,0.8,-3.1,19.4,1.000,88.04,15,0,457,112,2.70,5.62,19.5,4.8,4.4,58,7451,87.84,19.4
8/14/2024 1:00,0.0,139,1.86,4.72,19.3,0.9,-3.1,19.3,0.999,88.02,15,4,470,121,1.56,4.80,19.3,4.8,4.4,57,7447,87.82,19.4
8/14/2024 1:15,0.0,134,1.65,4.63,19.2,0.9,-3.2,19.2,1.001,88.01,15,15,479,102,1.14,4.33,19.3,4.8,4.3,58,7448,87.81,19.4
8/14/2024 1:30,0.0,118,1.51,4.16,19.2,0.8,-3.1,19.2,0.999,87.99,15,15,470,74,1.33,4.67,19.3,4.7,4.3,58,7450,87.79,19.4
8/14/2024 1:45,0.0,34,2.17,5.09,19.1,0.7,-3.2,19.1,1.001,87.98,15,15,464,19,2.45,5.35,19.2,4.7,4.3,58,7450,87.78,19.3
8/14/2024 2:00,0.0,89,2.19,4.74,19.1,0.7,-3.2,19.1,1.000,87.97,15,15,461,65,1.88,5.66,19.2,4.7,4.3,58,7450,87.77,19.3
