z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 1835,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
4/18/2024 9:15,185.5,69,3.95,8.85,23.0,-0.1,-2.9,23.1,0.576,88.24,0,0,450,77,3.77,7.89,23.5,4.1,4.4,96,7770,88.00,23.3
4/18/2024 9:30,239.1,63,5.47,9.97,23.0,-0.1,-2.8,23.1,0.559,88.25,0,0,449,69,5.09,9.79,23.5,4.1,4.2,99,7793,88.00,23.4
4/18/2024 9:45,380.9,78,5.10,10.18,23.2,-0.1,-3.1,23.2,0.549,88.24,0,0,449,90,5.04,9.96,23.6,3.9,4.1,99,7794,87.99,23.5
4/18/2024 10:00,219.0,87,5.30,11.10,23.3,0.1,-3.0,23.4,0.591,88.23,0,0,450,98,4.94,10.53,23.7,4.1,4.1,99,7798,87.98,23.7
4/18/2024 10:15,169.4,78,5.60,11.19,23.3,-0.4,-2.9,23.2,0.608,88.23,0,0,449,90,5.17,11.70,23.7,4.4,4.2,99,7795,87.98,23.6
4/18/2024 10:30,271.0,83,6.11,11.06,23.3,-0.2,-2.9,23.3,0.607,88.22,1,0,450,96,5.75,11.46,23.7,3.9,4.5,100,7802,87.98,23.7
4/18/2024 10:45,166.6,82,5.77,11.86,23.7,0.2,-3.2,23.6,0.604,88.22,0,0,450,96,5.33,10.71,24.0,4.1,4.2,100,7801,87.97,24.0
4/18/2024 11:00,137.3,85,5.31,10.20,23.7,0.2,-2.7,23.7,0.600,88.21,0,0,450,95,4.87,9.87,24.1,4.0,4.2,99,7799,87.96,24.0
4/18/2024 11:15,150.1,73,4.03,8.78,24.0,0.0,-3.1,24.0,0.616,88.20,2,0,450,77,3.99,8.86,24.3,4.2,4.3,99,7797,87.95,24.1
4/18/2024 11:30,176.0,85,3.58,9.29,24.2,0.3,-3.0,24.1,0.638,88.17,10,0,450,93,3.68,8.91,24.3,4.0,4.2,99,7797,87.93,24.2
4/18/2024 11:45,419.3,357,3.55,6.83,23.9,-0.1,-3.5,23.8,0.659,88.16,6,0,449,3,4.98,9.80,24.0,3.7,4.1,99,7796,87.92,24.2
4/18/2024 12:00,565.8,8,4.00,7.04,23.3,-0.3,-3.5,23.2,0.689,88.16,6,0,450,10,5.14,9.60,23.5,3.7,3.9,99,7796,87.92,23.8
4/18/2024 12:15,305.8,13,4.71,9.17,23.0,-0.1,-3.2,23.0,0.732,88.14,15,0,451,13,5.60,10.64,23.1,3.8,4.2,99,7795,87.90,23.5
4/18/2024 12:30,306.9,359,3.88,7.57,23.0,-0.2,-3.3,22.9,0.725,88.12,15,0,451,4,5.06,11.02,23.2,4.0,3.9,99,7796,87.88,23.3
4/18/2024 12:45,182.4,359,4.16,9.57,23.0,-0.5,-3.1,22.9,0.713,88.10,15,0,451,3,5.64,12.30,23.1,3.9,4.1,99,7794,87.87,23.2
4/18/2024 13:00,99.4,8,4.66,8.69,23.1,-0.4,-2.9,23.0,0.719,88.09,15,0,452,7,5.98,11.66,23.2,4.1,4.0,99,7794,87.85,23.2
4/18/2024 13:15,112.6,2,4.00,8.41,23.1,0.0,-3.4,22.9,0.723,88.07,15,0,451,6,5.53,13.02,23.2,3.8,3.9,99,7795,87.84,23.2
4/18/2024 13:30,106.0,357,3.83,7.60,23.2,-0.3,-3.4,23.1,0.728,88.05,15,0,452,2,5.08,10.41,23.3,3.9,4.0,99,7795,87.82,23.3
4/18/2024 13:45,108.2,1,3.65,7.24,23.2,-0.1,-3.4,23.0,0.732,88.05,15,0,452,5,4.77,9.65,23.3,3.7,4.0,99,7795,87.81,23.3
4/18/2024 14:00,98.7,357,3.37,6.26,23.3,0.1,-3.7,23.2,0.730,88.03,15,0,452,4,4.64,9.31,23.4,3.9,4.1,99,7798,87.80,23.5
4/18/2024 14:15,103.5,3,4.09,7.92,23.3,0.1,-3.3,23.1,0.743,88.02,15,0,452,6,5.41,10.02,23.4,3.8,4.1,99,7798,87.78,23.6
4/18/2024 14:30,130.0,357,3.55,6.99,23.3,0.0,-3.4,23.1,0.747,88.00,15,0,452,1,4.56,11.10,23.4,3.9,4.0,99,7797,87.76,23.8
4/18/2024 14:45,102.9,5,3.89,7.15,23.3,-0.3,-3.5,23.1,0.721,87.98,15,0,451,6,5.20,10.31,23.4,3.9,4.0,100,7803,87.75,23.8
4/18/2024 15:00,163.0,358,3.93,6.93,23.2,-0.2,-3.4,23.1,0.737,87.97,15,0,451,3,5.37,10.81,23.4,4.0,4.0,100,7802,87.74,23.8
4/18/2024 15:15,280.5,354,3.76,7.72,23.3,-0.1,-3.4,23.1,0.735,87.95,15,0,451,1,4.98,9.11,23.5,3.9,3.9,100,7802,87.72,23.8
4/18/2024 15:30,149.8,356,3.25,7.25,23.3,-0.1,-3.3,23.1,0.735,87.94,15,0,451,3,4.43,8.96,23.5,3.9,3.9,100,7805,87.71,24.1
4/18/2024 15:45,197.4,1,4.64,8.61,23.2,-0.3,-3.4,23.0,0.751,87.94,15,0,452,4,6.05,10.88,23.3,3.9,3.8,100,7811,87.71,24.1
4/18/2024 16:00,159.3,357,3.24,8.72,23.2,0.0,-3.4,23.0,0.762,87.94,15,0,452,2,4.29,11.66,23.4,4.0,3.9,100,7814,87.71,24.4
4/18/2024 16:15,164.4,358,3.46,7.47,23.0,0.0,-3.6,22.9,0.763,87.95,15,0,452,3,4.52,9.80,23.2,3.8,4.0,100,7817,87.71,24.4
4/18/2024 16:30,183.5,356,3.48,7.51,22.8,-0.3,-3.3,22.8,0.775,87.96,15,0,452,1,4.62,9.39,23.1,3.8,3.9,100,7817,87.73,24.3
4/18/2024 16:45,65.0,12,3.58,7.16,22.4,-0.2,-3.5,22.4,0.791,87.98,15,0,454,10,4.40,10.33,22.7,3.8,4.1,100,7814,87.74,23.7
