z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 1434,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/25/2024 12:00,61.9,345,2.72,6.86,19.6,0.4,-3.4,19.5,0.991,88.11,15,15,462,12,3.57,9.14,19.7,3.2,-4.1,71,7557,87.91,19.7
1/25/2024 12:15,172.9,3,1.85,6.16,20.1,0.4,-3.2,20.0,0.970,88.08,15,4,458,31,2.37,7.97,20.3,3.5,-4.0,71,7558,87.88,19.8
1/25/2024 12:30,176.9,98,4.39,8.64,20.8,0.4,-3.0,20.8,0.934,88.05,15,0,457,131,4.45,10.42,21.0,3.6,-3.8,71,7562,87.85,20.6
1/25/2024 12:45,122.3,99,5.34,11.29,21.0,0.5,-2.6,21.0,0.910,88.03,15,0,457,132,5.11,10.88,21.2,3.8,-3.8,71,7563,87.83,21.0
1/25/2024 13:00,115.0,89,3.97,8.22,21.5,0.5,-3.0,21.4,0.896,88.01,15,0,456,117,3.85,13.35,21.7,3.7,-3.9,71,7564,87.81,21.4
1/25/2024 13:15,111.3,99,3.69,8.02,21.7,0.3,-3.1,21.7,0.882,87.99,15,0,456,126,3.63,8.63,21.9,3.6,-3.8,72,7570,87.78,21.9
1/25/2024 13:30,119.9,103,4.62,8.68,21.4,0.4,-2.9,21.3,0.898,87.96,15,0,456,132,4.91,9.38,21.5,3.7,-4.0,72,7573,87.75,22.3
1/25/2024 13:45,117.6,103,5.12,12.44,21.4,0.9,-2.5,21.3,0.893,87.94,15,0,456,131,5.27,12.74,21.6,3.6,-3.8,73,7578,87.73,22.7
1/25/2024 14:00,140.6,100,4.30,10.34,21.6,0.1,-2.9,21.5,0.897,87.92,15,0,456,130,4.45,11.05,21.8,3.8,-3.9,75,7591,87.71,23.2
1/25/2024 14:15,261.7,95,4.62,8.92,21.5,0.6,-2.8,21.5,0.901,87.92,15,0,455,122,4.81,10.21,21.8,3.6,-4.0,76,7599,87.70,23.3
1/25/2024 14:30,163.9,87,3.85,7.97,21.7,0.6,-3.0,21.6,0.903,87.89,15,0,458,114,4.02,8.61,22.0,3.6,-3.9,76,7603,87.68,23.5
1/25/2024 14:45,32.4,13,3.34,9.20,20.6,0.1,-2.8,20.7,0.959,87.90,15,12,467,34,4.35,12.95,20.8,3.2,-3.9,76,7601,87.69,22.4
1/25/2024 15:00,13.7,21,3.83,8.65,19.9,0.2,-3.2,19.9,0.995,87.91,15,15,508,39,4.94,10.35,20.0,3.3,-4.0,76,7600,87.70,21.1
1/25/2024 15:15,21.1,16,2.85,7.82,19.4,0.3,-3.3,19.5,1.000,87.93,15,15,516,41,3.27,9.83,19.6,3.4,-3.9,75,7597,87.72,20.3
1/25/2024 15:30,54.0,98,3.31,7.73,19.6,0.6,-2.7,19.5,1.000,87.92,15,15,469,124,3.36,9.16,19.8,3.6,-4.1,75,7595,87.72,20.0
