z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 2978,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
3/18/2024 8:30,199.8,87,4.80,7.24,20.6,0.4,-2.8,20.6,0.951,88.09,15,15,461,98,4.47,6.93,20.8,4.1,3.9,100,8056,87.85,21.1
3/18/2024 8:45,119.4,80,4.02,6.67,20.3,0.2,-3.1,20.5,0.964,88.10,15,15,470,91,3.48,6.01,20.5,4.1,4.0,100,8023,87.86,21.6
3/18/2024 9:00,123.6,87,3.98,6.32,20.1,0.3,-3.0,20.1,0.995,88.11,15,15,464,98,3.74,7.64,20.2,4.0,3.9,100,8029,87.86,21.3
3/18/2024 9:15,193.0,93,4.70,8.22,20.2,0.3,-3.0,20.2,0.998,88.09,15,15,464,101,4.65,9.10,20.3,4.0,3.9,100,7988,87.85,21.1
3/18/2024 9:30,114.3,98,4.18,7.57,20.1,0.4,-3.0,20.2,0.998,88.10,15,15,466,106,4.15,6.86,20.2,4.1,3.9,100,8025,87.85,21.3
3/18/2024 9:45,285.5,89,5.24,8.70,20.6,0.6,-3.0,20.6,0.980,88.10,15,15,460,99,4.86,8.08,20.9,4.3,4.0,100,8033,87.86,21.4
3/18/2024 10:00,274.1,83,4.51,9.14,20.9,0.2,-3.1,21.0,0.954,88.09,15,15,461,92,4.26,10.03,21.2,4.1,3.9,100,8035,87.85,22.0
3/18/2024 10:15,215.7,84,4.75,8.72,21.0,0.4,-3.1,21.0,0.947,88.08,15,15,460,92,4.54,9.07,21.3,4.2,3.9,100,8036,87.83,22.0
3/18/2024 10:30,305.8,78,3.98,8.21,21.1,0.3,-3.1,21.1,0.948,88.06,15,5,459,89,3.54,8.53,21.5,3.9,4.0,100,8042,87.81,22.2
3/18/2024 10:45,279.6,73,4.13,7.44,21.4,0.1,-3.1,21.4,0.941,88.03,15,0,459,77,3.90,8.52,21.8,4.1,3.9,100,8046,87.79,22.5
3/18/2024 11:00,302.7,76,4.00,9.52,21.5,0.4,-3.0,21.5,0.940,88.01,15,0,459,83,3.54,8.97,21.9,4.2,3.9,100,8052,87.76,22.7
3/18/2024 11:15,274.1,83,4.85,10.56,21.4,0.2,-2.9,21.4,0.941,88.00,15,0,459,90,4.49,7.79,21.8,4.1,3.9,100,8056,87.75,22.8
3/18/2024 11:30,244.8,80,4.74,8.33,21.4,0.1,-2.7,21.4,0.945,87.99,15,0,459,89,4.38,8.88,21.7,4.3,3.9,100,8059,87.74,22.8
3/18/2024 11:45,170.8,87,4.67,7.57,21.3,0.2,-2.9,21.3,0.947,87.98,15,4,462,95,4.45,8.17,21.5,4.1,3.9,100,8062,87.72,22.8
3/18/2024 12:00,101.4,96,3.35,7.99,21.0,0.3,-3.0,21.0,0.972,87.97,15,15,463,101,3.18,7.28,21.2,4.0,3.9,100,8063,87.72,22.5
3/18/2024 12:15,115.5,97,2.99,6.75,21.1,0.4,-3.1,21.0,0.979,87.96,15,15,463,103,3.10,8.08,21.2,4.1,3.8,100,8064,87.71,22.3
3/18/2024 12:30,89.2,99,3.54,7.33,20.9,0.3,-2.9,20.9,0.982,87.94,15,15,464,104,3.46,7.64,21.0,4.1,3.8,100,8064,87.70,22.1
3/18/2024 12:45,134.9,96,3.80,7.45,21.0,0.3,-3.0,20.9,0.980,87.93,15,15,460,104,3.67,7.88,21.1,4.0,3.7,100,8067,87.68,22.0
3/18/2024 13:00,112.6,90,3.96,7.16,21.4,0.3,-3.0,21.3,0.952,87.91,15,14,461,97,3.91,8.19,21.6,4.1,3.9,100,8067,87.66,22.2
3/18/2024 13:15,93.0,90,3.18,7.65,21.5,0.3,-3.1,21.4,0.952,87.90,15,15,462,98,3.01,8.31,21.6,4.1,3.9,100,8067,87.65,22.3
3/18/2024 13:30,133.1,103,3.97,8.27,21.7,0.5,-3.1,21.6,0.947,87.88,15,10,460,108,3.99,7.12,21.8,4.1,3.8,100,8070,87.63,22.3
3/18/2024 13:45,126.0,99,4.78,8.25,21.7,0.6,-3.2,21.7,0.939,87.86,15,12,460,107,5.01,9.84,21.8,4.3,3.9,100,8072,87.61,22.5
3/18/2024 14:00,84.0,99,3.14,6.84,21.6,0.4,-3.1,21.5,0.949,87.84,15,15,462,104,3.19,7.12,21.7,4.2,3.9,100,8071,87.59,22.5
3/18/2024 14:15,113.7,95,3.69,7.15,21.4,0.4,-3.1,21.3,0.956,87.84,15,15,460,100,3.67,7.84,21.5,4.1,3.8,100,8074,87.60,22.4
3/18/2024 14:30,135.7,92,3.50,6.58,21.6,0.3,-3.0,21.5,0.945,87.82,15,4,460,99,3.64,6.77,21.8,4.1,3.8,100,8080,87.58,22.6
3/18/2024 14:45,103.8,87,3.58,6.87,21.6,0.4,-3.2,21.5,0.949,87.81,15,15,460,91,3.50,6.76,21.7,4.1,3.9,100,8080,87.56,22.8
3/18/2024 15:00,126.3,86,3.76,7.27,21.8,0.2,-3.0,21.6,0.940,87.79,15,3,459,94,3.45,7.78,22.0,4.0,3.8,100,8086,87.54,22.8
3/18/2024 15:15,115.9,86,4.67,8.47,22.1,0.3,-3.1,22.0,0.923,87.77,15,0,458,96,4.32,8.82,22.3,4.1,3.8,100,8090,87.52,23.2
3/18/2024 15:30,106.4,70,4.26,8.18,22.6,0.4,-3.1,22.5,0.901,87.74,15,0,458,73,4.16,8.22,22.9,4.0,3.6,100,8094,87.49,23.7
3/18/2024 15:45,99.1,77,2.37,6.88,22.5,0.5,-3.2,22.4,0.922,87.75,15,0,459,80,2.25,5.95,22.8,4.1,3.7,100,8097,87.50,24.1
3/18/2024 16:00,75.3,92,3.27,6.36,22.1,0.3,-3.2,22.0,0.939,87.77,15,8,462,97,3.33,6.05,22.2,4.0,3.8,100,8097,87.51,23.9
3/18/2024 16:15,119.8,71,3.32,5.91,21.8,0.3,-3.1,21.8,0.950,87.77,15,7,459,76,2.93,7.07,22.1,4.0,3.8,100,8097,87.52,23.3
3/18/2024 16:30,142.1,59,2.78,6.60,22.1,0.4,-3.2,22.2,0.939,87.75,15,1,459,58,2.35,4.73,22.4,4.0,3.8,100,8098,87.50,23.5
3/18/2024 16:45,121.0,60,3.51,6.35,21.9,0.0,-2.9,22.0,0.940,87.77,15,3,460,67,2.71,6.01,22.2,4.1,3.9,100,8099,87.52,23.3
3/18/2024 17:00,32.8,88,3.24,7.31,21.5,0.3,-3.0,21.4,0.964,87.78,15,15,464,98,3.00,7.10,21.7,4.0,3.9,100,8095,87.53,22.7
3/18/2024 17:15,23.4,77,3.69,6.61,21.5,0.2,-3.1,21.5,0.961,87.78,15,15,465,87,3.21,7.45,21.7,3.9,3.9,100,8094,87.54,22.2
3/18/2024 17:30,11.4,83,1.97,4.45,21.2,0.3,-3.2,21.2,0.973,87.80,15,15,466,87,1.79,5.39,21.4,4.0,3.8,100,8093,87.56,21.9
3/18/2024 17:45,3.7,38,1.46,3.97,20.8,0.5,-3.3,20.8,0.989,87.82,15,15,478,29,1.87,4.45,20.9,4.0,3.8,100,8092,87.58,21.6
3/18/2024 18:00,0.0,108,1.35,2.99,20.6,0.5,-3.1,20.5,1.001,87.84,15,15,476,93,1.34,3.03,20.7,4.0,3.7,100,8091,87.60,21.2
