z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 1248,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
11/8/2023 10:15,167.9,106,2.69,6.04,21.3,0.6,-3.1,21.3,0.946,88.07,15,0,456,128,2.40,7.45,21.6,3.3,-4.2,54,7419,87.86,22.2
11/8/2023 10:30,158.2,108,3.95,10.31,21.2,0.3,-2.7,21.2,0.944,88.05,15,0,457,137,3.57,9.27,21.5,3.5,-4.1,54,7419,87.83,22.0
11/8/2023 10:45,141.4,105,2.72,6.06,21.4,0.6,-3.0,21.3,0.949,88.02,15,0,456,130,2.54,5.95,21.6,3.3,-4.1,55,7423,87.81,22.0
11/8/2023 11:00,163.1,113,2.77,7.30,21.8,0.8,-3.1,21.6,0.944,88.00,15,0,455,132,2.59,7.57,22.0,3.3,-4.1,55,7425,87.78,22.2
11/8/2023 11:15,180.0,69,1.34,4.85,22.2,0.8,-3.2,22.2,0.934,88.00,15,0,454,79,1.53,6.18,22.5,3.3,-4.1,56,7431,87.78,22.6
11/8/2023 11:30,174.3,73,1.23,4.78,22.3,0.7,-3.4,22.3,0.937,87.98,15,0,455,65,1.38,5.52,22.7,3.3,-4.1,56,7436,87.77,23.0
11/8/2023 11:45,128.0,65,2.01,5.66,21.7,0.4,-3.0,21.7,0.957,87.97,15,0,456,72,1.95,5.20,22.0,3.3,-4.0,56,7436,87.75,22.9
11/8/2023 12:00,176.9,109,1.98,8.26,22.3,0.6,-3.0,22.1,0.936,87.93,15,0,455,128,1.86,6.87,22.7,3.3,-4.0,57,7441,87.72,22.9
11/8/2023 12:15,147.8,78,1.76,6.55,22.5,0.6,-3.3,22.4,0.927,87.91,15,0,456,72,2.05,6.58,22.8,3.4,-4.0,57,7444,87.70,23.2
11/8/2023 12:30,91.2,68,1.45,3.65,22.2,0.7,-3.3,22.0,0.944,87.90,15,0,457,77,1.61,5.17,22.5,3.3,-4.0,57,7444,87.68,23.2
11/8/2023 12:45,78.4,103,1.36,5.11,22.1,0.9,-3.3,22.0,0.935,87.89,15,0,457,81,1.67,5.76,22.3,3.3,-4.1,57,7443,87.68,22.9
11/8/2023 13:00,76.5,76,0.98,2.86,21.9,0.8,-3.3,21.7,0.952,87.88,15,0,456,45,1.11,4.15,22.1,3.3,-4.1,57,7447,87.67,22.7
11/8/2023 13:15,55.3,118,0.61,1.84,21.9,0.8,-3.3,21.8,0.952,87.86,15,0,457,48,0.76,2.49,22.1,3.2,-4.1,57,7444,87.65,22.6
11/8/2023 13:30,57.5,43,0.93,2.34,21.7,0.8,-3.2,21.6,0.958,87.85,15,0,458,43,1.28,3.93,22.0,3.2,-4.1,57,7442,87.63,22.5
11/8/2023 13:45,52.2,224,0.58,1.80,21.9,0.9,-3.3,21.7,0.962,87.83,15,0,458,2,0.63,2.96,22.1,3.2,-4.1,57,7442,87.62,22.4
11/8/2023 14:00,40.5,184,0.59,1.33,21.8,0.8,-3.3,21.7,0.964,87.82,15,10,470,35,0.72,2.02,22.0,3.3,-4.1,57,7441,87.60,22.3
11/8/2023 14:15,40.8,168,0.98,2.92,21.7,0.9,-3.3,21.6,0.971,87.80,15,12,459,163,0.68,2.59,21.9,3.3,-4.1,57,7442,87.59,22.2
11/8/2023 14:30,57.1,102,0.74,1.89,21.6,0.9,-3.2,21.6,0.978,87.79,15,9,463,90,0.76,2.15,21.8,3.3,-4.1,57,7444,87.58,22.2
11/8/2023 14:45,36.8,121,1.37,4.04,21.7,0.8,-3.2,21.6,0.974,87.78,15,15,464,103,1.32,5.53,21.8,3.2,-4.1,57,7442,87.57,22.2
11/8/2023 15:00,20.3,64,0.79,2.77,21.4,0.8,-3.2,21.4,0.990,87.79,15,15,644,42,1.03,3.23,21.5,3.3,-4.1,57,7443,87.57,22.0
11/8/2023 15:15,73.6,100,1.29,3.45,21.5,0.8,-3.2,21.4,0.992,87.77,15,15,583,75,1.58,4.13,21.6,3.3,-4.1,57,7446,87.56,21.8
11/8/2023 15:30,14.5,345,0.96,2.92,21.4,0.6,-3.1,21.5,0.986,87.78,15,15,1070,23,1.20,4.79,21.4,3.3,-4.1,57,7442,87.56,22.0
11/8/2023 15:45,11.5,104,1.19,4.43,21.2,0.9,-2.7,21.2,0.999,87.78,15,15,834,88,1.17,3.58,20.8,3.2,-4.1,57,7442,87.57,21.5
11/8/2023 16:00,7.7,3,1.88,5.40,20.9,0.8,-2.7,21.2,1.000,87.77,15,15,656,19,2.40,6.89,20.8,3.0,-4.2,57,7443,87.56,21.1
11/8/2023 16:15,0.0,112,2.37,6.06,20.8,0.8,-2.8,21.0,1.000,87.77,15,15,948,138,1.93,6.21,20.7,3.4,-4.1,57,7442,87.56,20.9
11/8/2023 16:30,1.8,111,2.99,8.32,20.6,0.9,-2.4,21.1,0.999,87.78,15,15,927,136,2.78,5.62,20.7,3.3,-4.1,56,7438,87.57,20.8
11/8/2023 16:45,0.0,10,2.22,6.64,20.5,0.4,-2.7,20.9,1.000,87.79,15,15,861,33,5.22,8.64,20.6,3.1,-4.1,57,7441,87.58,20.6
11/8/2023 17:00,0.0,351,2.57,5.98,20.4,0.5,-3.0,20.5,0.999,87.79,15,15,995,22,5.73,6.79,20.5,2.9,-4.2,57,7440,87.58,20.5
11/8/2023 17:15,0.0,348,3.06,7.39,20.1,0.4,-2.8,20.3,1.000,87.83,15,15,784,28,7.88,10.13,20.2,2.9,-4.1,57,7439,87.62,20.3
11/8/2023 17:30,0.0,1,3.13,8.91,19.8,0.2,-2.8,20.1,1.000,87.84,15,15,615,#N/A,#N/A,#N/A,19.9,3.1,-4.0,56,7438,87.63,20.0
11/8/2023 17:45,0.0,344,2.27,9.12,19.7,0.5,-3.0,19.9,0.999,87.85,15,15,648,#N/A,#N/A,#N/A,19.8,3.0,-4.0,56,7438,87.64,19.8
11/8/2023 18:00,0.0,168,1.15,3.28,19.6,0.8,-3.0,19.8,1.000,87.86,15,15,658,221,1.20,1.98,19.7,3.2,-4.2,56,7437,87.65,19.7
11/8/2023 18:15,0.0,6,2.08,5.56,19.6,0.4,-2.9,19.8,1.000,87.87,15,15,692,124,1.81,3.92,19.7,3.0,-3.9,57,7439,87.66,19.7
11/8/2023 18:30,0.0,83,2.19,7.95,19.7,0.7,-2.6,19.9,1.000,87.89,15,15,782,#N/A,#N/A,#N/A,19.8,3.2,-4.1,56,7437,87.67,19.6
11/8/2023 18:45,0.0,87,2.52,5.57,19.7,0.6,-2.9,19.9,0.999,87.90,15,15,630,#N/A,#N/A,#N/A,19.8,3.3,-4.1,56,7438,87.69,19.7
11/8/2023 19:00,0.0,111,1.92,6.83,19.9,0.9,-2.9,19.9,1.000,87.92,15,15,1013,#N/A,#N/A,#N/A,19.8,3.1,-4.2,56,7432,87.71,19.7
11/8/2023 19:15,0.0,95,2.37,6.20,19.9,0.9,-2.8,20.1,0.999,87.94,15,15,800,#N/A,#N/A,#N/A,19.7,3.3,-4.1,56,7433,87.73,19.7
11/8/2023 19:30,0.0,44,2.59,7.45,19.8,0.5,-2.7,20.1,1.000,87.96,15,15,962,#N/A,#N/A,#N/A,19.8,3.1,-4.0,56,7435,87.75,19.7
11/8/2023 19:45,0.0,94,2.65,5.99,20.0,0.8,-2.6,20.1,0.999,87.97,15,15,672,#N/A,#N/A,#N/A,19.8,3.2,-4.0,56,7435,87.76,19.7
11/8/2023 20:00,0.0,103,3.04,6.14,19.9,0.8,-2.5,20.0,1.000,87.98,15,15,706,#N/A,#N/A,#N/A,19.6,3.3,-4.2,56,7435,87.77,19.6
11/8/2023 20:15,0.0,110,3.46,6.92,19.6,1.1,-2.4,20.1,1.000,87.99,15,15,635,#N/A,#N/A,#N/A,19.6,3.3,-4.0,56,7435,87.78,19.6
11/8/2023 20:30,0.0,102,2.44,6.00,19.7,0.6,-2.7,20.0,0.998,87.99,15,15,654,#N/A,#N/A,#N/A,19.7,3.2,-4.2,56,7435,87.78,19.6
