z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 1354,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/11/2024 9:15,107.3,89,2.93,5.58,19.0,0.4,-3.2,18.9,0.988,88.29,15,13,459,120,2.76,5.88,19.2,3.4,-4.0,78,7621,88.09,19.9
1/11/2024 9:30,150.0,91,1.79,4.40,19.7,0.5,-3.2,19.5,0.966,88.28,15,0,458,115,1.67,3.75,20.0,3.5,-4.0,77,7615,88.08,20.1
1/11/2024 9:45,91.4,113,1.52,3.78,19.9,0.7,-3.3,19.8,0.954,88.27,15,0,459,125,1.60,3.69,20.1,3.5,-4.0,77,7615,88.07,20.5
1/11/2024 10:00,93.8,110,2.29,4.83,19.8,0.6,-3.1,19.7,0.946,88.27,15,0,458,135,2.30,4.37,19.9,3.4,-4.1,77,7615,88.07,20.6
1/11/2024 10:15,100.3,77,2.22,4.88,19.8,0.5,-3.2,19.8,0.947,88.27,15,0,458,110,2.08,4.19,20.1,3.4,-4.0,78,7616,88.07,20.6
1/11/2024 10:30,110.8,57,1.91,4.28,20.0,0.6,-3.3,20.1,0.938,88.27,15,0,458,84,1.72,4.58,20.4,3.5,-4.0,78,7619,88.07,20.7
1/11/2024 10:45,104.6,78,2.60,5.14,20.1,0.5,-3.1,20.1,0.930,88.26,15,0,458,106,2.36,4.87,20.4,3.4,-4.0,78,7621,88.07,20.8
1/11/2024 11:00,97.8,86,2.03,5.84,20.0,0.5,-3.3,20.0,0.937,88.26,15,0,457,114,1.99,5.71,20.3,3.5,-4.0,79,7625,88.06,20.8
1/11/2024 11:15,157.3,79,1.96,5.57,20.3,0.6,-3.3,20.3,0.937,88.24,15,0,456,102,1.90,4.49,20.5,3.5,-4.0,79,7625,88.04,20.9
1/11/2024 11:30,143.9,87,2.66,4.57,20.2,0.6,-3.1,20.2,0.935,88.23,15,0,456,118,2.35,4.66,20.4,3.5,-4.0,79,7625,88.03,21.1
1/11/2024 11:45,143.4,97,3.24,5.46,20.4,0.6,-3.1,20.3,0.926,88.21,15,0,456,129,2.99,5.70,20.6,3.5,-4.0,79,7631,88.01,21.3
1/11/2024 12:00,158.0,57,3.10,5.75,20.5,0.4,-3.2,20.7,0.909,88.20,15,0,456,87,2.15,5.08,21.0,3.5,-4.0,79,7631,88.00,21.4
1/11/2024 12:15,160.0,80,3.67,7.06,20.6,0.4,-3.1,20.7,0.912,88.18,15,0,457,112,3.06,6.16,20.9,3.5,-4.0,80,7635,87.98,21.5
1/11/2024 12:30,164.4,66,3.32,5.02,20.7,0.4,-3.1,20.7,0.918,88.16,15,0,456,95,2.59,4.85,21.1,3.5,-4.0,80,7639,87.96,21.6
1/11/2024 12:45,140.8,83,3.74,6.19,21.1,0.4,-3.1,21.1,0.894,88.13,15,0,455,116,3.09,6.07,21.4,3.7,-4.0,80,7640,87.92,21.9
1/11/2024 13:00,151.6,75,2.76,5.28,21.1,0.6,-3.2,21.3,0.888,88.11,15,0,456,106,2.32,4.91,21.6,3.6,-4.0,81,7643,87.90,22.2
1/11/2024 13:15,123.6,76,2.87,5.29,21.0,0.5,-3.1,21.0,0.901,88.08,15,0,456,109,2.23,5.17,21.5,3.5,-4.0,81,7644,87.88,22.2
1/11/2024 13:30,126.2,84,3.49,6.61,21.5,0.5,-3.1,21.4,0.882,88.07,15,0,455,119,3.11,6.59,21.9,3.6,-4.0,81,7648,87.86,22.9
1/11/2024 13:45,134.4,39,3.00,5.72,21.4,0.3,-3.3,21.5,0.907,88.05,15,0,456,54,3.02,6.69,21.9,3.6,-4.0,82,7654,87.84,23.3
