z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 1835,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/7/2023 9:45,526.8,83,6.50,11.04,19.5,0.3,-2.2,19.5,0.880,88.16,12,0,455,118,5.44,9.92,19.8,3.7,-3.8,100,8031,87.94,20.5
12/7/2023 10:00,492.2,80,6.62,11.50,19.6,-0.3,-1.9,19.7,0.878,88.14,15,0,454,116,5.51,10.05,19.9,3.4,-4.1,100,8035,87.93,20.5
12/7/2023 10:15,360.9,85,6.87,11.31,19.8,0.3,-2.5,19.9,0.865,88.14,15,0,454,120,6.18,12.03,20.0,3.5,-3.6,100,8038,87.93,20.3
12/7/2023 10:30,345.2,88,6.89,12.89,20.1,0.5,-2.7,20.2,0.847,88.12,15,0,454,121,6.67,12.88,20.3,3.7,-3.8,100,8040,87.91,20.3
12/7/2023 10:45,406.7,90,7.99,14.70,20.2,0.2,-2.0,20.3,0.832,88.13,15,0,454,126,7.64,15.65,20.3,4.0,-3.4,100,8038,87.92,20.4
12/7/2023 11:00,323.0,78,5.69,10.35,20.4,0.5,-2.7,20.4,0.829,88.12,15,0,454,115,5.12,11.51,20.5,3.5,-3.8,100,8039,87.90,20.4
12/7/2023 11:15,208.0,76,6.58,11.96,20.6,-0.2,-2.6,20.7,0.800,88.09,15,0,453,110,5.99,12.93,20.8,3.3,-4.0,100,8039,87.87,20.5
12/7/2023 11:30,295.3,88,5.64,11.24,20.9,0.1,-2.2,21.0,0.777,88.07,15,0,452,118,5.53,11.76,21.1,3.5,-4.0,100,8039,87.85,20.7
12/7/2023 11:45,297.9,76,5.78,10.94,21.0,-0.1,-2.4,21.1,0.763,88.05,15,0,452,110,4.99,11.51,21.2,3.5,-3.9,100,8039,87.83,20.9
12/7/2023 12:00,95.2,88,5.13,10.06,21.2,0.0,-2.5,21.3,0.774,88.03,15,0,452,121,5.11,11.78,21.3,3.6,-4.1,100,8041,87.81,21.1
12/7/2023 12:15,84.4,88,6.46,14.82,21.0,0.1,-2.9,21.1,0.772,88.01,15,0,452,122,6.08,13.68,21.2,3.6,-3.9,100,8039,87.78,21.2
12/7/2023 12:30,83.1,83,5.71,12.91,21.1,0.2,-2.7,21.2,0.779,87.95,15,0,452,115,5.34,13.17,21.4,3.1,-3.8,100,8042,87.73,21.3
12/7/2023 12:45,97.8,75,5.65,12.75,21.1,0.2,-2.5,21.2,0.765,87.94,15,0,452,110,5.09,12.23,21.5,3.4,-4.1,100,8042,87.71,21.4
12/7/2023 13:00,138.1,83,6.17,12.85,21.2,0.2,-2.4,21.2,0.788,87.91,15,0,452,113,6.43,12.61,21.5,3.3,-3.9,100,8045,87.69,21.8
12/7/2023 13:15,138.6,81,5.03,11.99,21.2,0.3,-2.6,21.2,0.808,87.92,15,0,453,111,4.77,11.58,21.5,2.9,-4.1,100,8048,87.69,22.1
12/7/2023 13:30,125.1,50,3.34,7.95,20.6,0.1,-3.0,20.7,0.875,87.90,15,0,455,67,3.59,10.77,20.9,3.4,-4.0,100,8051,87.68,22.0
12/7/2023 13:45,144.7,62,3.49,10.85,20.5,0.3,-3.3,20.3,0.906,87.88,15,0,454,79,3.64,12.37,20.8,3.2,-4.0,100,8056,87.66,22.0
12/7/2023 14:00,137.3,79,3.38,9.68,20.4,0.2,-2.7,20.3,0.901,87.86,15,0,455,109,3.18,9.14,20.7,3.3,-4.1,100,8059,87.64,21.8
12/7/2023 14:15,143.0,97,4.69,10.62,20.2,0.2,-2.5,20.2,0.902,87.84,15,0,454,126,4.55,10.78,20.5,3.6,-4.1,100,8061,87.62,21.7
12/7/2023 14:30,234.6,91,5.79,13.56,20.2,0.3,-2.5,20.1,0.897,87.84,15,0,454,124,5.51,11.22,20.4,3.4,-4.2,100,8061,87.62,21.5
12/7/2023 14:45,128.0,92,4.52,10.00,20.2,0.4,-2.7,20.2,0.887,87.83,15,0,455,120,4.62,10.56,20.4,3.4,-4.1,100,8065,87.61,21.6
12/7/2023 15:00,106.2,95,3.70,12.05,20.0,0.7,-2.9,20.0,0.908,87.83,15,0,455,124,3.84,12.61,20.2,3.5,-4.0,100,8069,87.61,21.2
12/7/2023 15:15,152.2,86,6.01,12.35,20.0,0.3,-2.3,20.1,0.895,87.82,15,0,455,119,5.58,10.52,20.3,3.4,-3.6,100,8069,87.60,21.3
12/7/2023 15:30,162.0,91,5.35,12.43,20.0,0.6,-2.5,20.0,0.890,87.84,15,0,454,120,5.35,13.04,20.2,3.3,-4.1,100,8075,87.62,21.1
12/7/2023 15:45,178.0,86,5.38,11.76,19.9,0.6,-2.9,19.9,0.890,87.84,15,0,454,119,5.07,13.44,20.2,3.4,-4.1,100,8076,87.61,21.1
12/7/2023 16:00,138.4,90,6.02,11.17,19.9,0.1,-2.5,19.8,0.892,87.83,15,0,454,121,5.89,10.98,20.0,3.5,-3.6,100,8074,87.61,20.9
12/7/2023 16:15,80.2,90,5.52,12.06,19.8,0.6,-2.4,19.8,0.890,87.84,15,0,455,122,5.20,12.01,20.0,3.3,-3.9,100,8074,87.62,20.6
12/7/2023 16:30,30.0,98,5.66,15.29,19.7,0.4,-2.8,19.7,0.903,87.84,15,0,456,128,5.62,18.06,19.8,3.3,-4.0,100,8070,87.62,20.2
12/7/2023 16:45,20.7,91,5.82,11.95,19.6,0.3,-2.5,19.5,0.910,87.86,15,0,456,126,5.57,11.68,19.7,3.0,-3.7,100,8070,87.64,20.0
12/7/2023 17:00,11.7,95,4.03,9.56,19.4,0.5,-2.8,19.4,0.923,87.87,15,0,457,126,4.01,10.63,19.5,3.3,-3.9,100,8067,87.65,19.8
12/7/2023 17:15,2.2,99,4.30,11.91,19.2,0.3,-2.6,19.2,0.937,87.88,15,0,457,130,4.19,11.41,19.3,3.4,-3.9,100,8067,87.67,19.6
