z6-15954,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1248,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/26/2023 10:00,248.3,209.7,21.4,0.944,88.06,15,0,453,20.7,0.958,87.96,15,0,452,100,8267,87.91,22.6
10/26/2023 10:15,184.9,156.0,21.9,0.939,88.05,15,0,453,21.4,0.945,87.95,15,0,452,100,8263,87.90,22.8
10/26/2023 10:30,146.7,120.3,21.9,0.928,88.03,15,0,454,21.3,0.934,87.93,15,0,453,100,8264,87.88,22.8
10/26/2023 10:45,201.4,166.3,21.5,0.942,88.02,15,0,454,20.9,0.948,87.92,15,12,493,100,8263,87.87,22.3
10/26/2023 11:00,276.7,228.3,21.9,0.938,88.00,15,0,454,21.1,0.949,87.90,15,4,453,100,8270,87.85,22.4
10/26/2023 11:15,201.2,165.5,21.9,0.940,87.99,15,0,454,21.2,0.952,87.89,15,0,454,100,8271,87.84,22.5
10/26/2023 11:30,136.4,110.8,21.4,0.949,87.97,15,0,455,20.8,0.958,87.86,15,0,459,100,8272,87.81,22.3
10/26/2023 11:45,253.8,207.8,21.7,0.948,87.93,15,3,453,21.1,0.952,87.83,15,5,453,100,8275,87.78,22.3
10/26/2023 12:00,270.6,223.9,22.4,0.927,87.91,15,0,453,21.4,0.946,87.80,15,0,452,100,8280,87.76,22.7
10/26/2023 12:15,272.8,216.8,22.5,0.906,87.88,15,0,452,21.7,0.922,87.78,15,0,452,100,8283,87.73,22.9
10/26/2023 12:30,145.4,117.2,22.4,0.917,87.87,15,0,454,21.6,0.932,87.77,15,0,454,100,8282,87.72,23.0
10/26/2023 12:45,69.8,63.4,21.5,0.947,87.85,15,7,686,21.0,0.954,87.75,15,9,1138,100,8279,87.70,22.5
10/26/2023 13:00,96.5,82.6,21.2,0.971,87.82,15,15,622,20.7,0.976,87.72,15,15,1051,100,8279,87.67,21.8
10/26/2023 13:15,74.3,60.4,21.2,0.986,87.81,15,15,550,20.8,0.987,87.70,15,15,795,100,8279,87.65,21.5
10/26/2023 13:30,71.8,59.1,21.0,0.991,87.80,15,15,535,20.8,0.988,87.69,15,15,683,100,8276,87.64,21.5
