z6-15954,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1521,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/26/2023 12:45,232.5,156.9,22.2,0.838,88.06,15,0,451,22.3,0.828,87.98,15,0,451,100,8321,87.92,22.9
12/26/2023 13:00,249.4,163.5,22.4,0.857,88.05,15,0,451,22.1,0.858,87.97,15,0,451,100,8323,87.90,23.0
12/26/2023 13:15,200.0,154.5,22.4,0.850,88.03,15,0,452,22.4,0.841,87.95,15,0,451,100,8321,87.89,23.2
12/26/2023 13:30,162.0,120.5,22.0,0.877,88.02,15,0,452,21.6,0.877,87.94,15,0,452,100,8321,87.88,23.0
12/26/2023 13:45,102.2,83.9,21.8,0.883,88.00,15,0,453,21.3,0.889,87.92,15,0,453,100,8319,87.87,22.7
12/26/2023 14:00,228.5,102.7,21.5,0.910,87.99,15,0,452,21.0,0.916,87.91,15,0,452,100,8318,87.85,22.3
12/26/2023 14:15,369.3,166.6,22.3,0.880,87.98,15,0,452,22.1,0.875,87.90,15,0,452,100,8317,87.84,22.6
12/26/2023 14:30,99.8,82.0,21.9,0.883,87.97,15,0,453,21.2,0.895,87.89,15,0,453,100,8317,87.83,22.5
12/26/2023 14:45,182.2,121.9,22.0,0.888,87.96,11,0,450,21.4,0.894,87.88,15,0,451,100,8317,87.82,22.3
12/26/2023 15:00,298.5,127.1,22.4,0.861,87.95,11,0,451,21.5,0.882,87.87,15,0,452,100,8316,87.81,22.4
12/26/2023 15:15,92.5,72.5,21.8,0.881,87.94,15,0,453,21.0,0.902,87.87,15,0,453,100,8314,87.81,22.2
12/26/2023 15:30,139.5,72.9,21.3,0.909,87.95,15,0,452,21.1,0.910,87.87,15,0,452,100,8312,87.81,21.9
12/26/2023 15:45,136.4,86.1,21.7,0.903,87.96,15,0,453,21.2,0.907,87.88,15,0,453,100,8311,87.82,22.0
12/26/2023 16:00,89.7,68.8,21.5,0.913,87.95,15,0,453,21.1,0.919,87.88,15,0,453,100,8315,87.82,21.9
12/26/2023 16:15,65.4,53.8,21.3,0.911,87.95,15,0,454,21.1,0.911,87.87,15,0,454,100,8307,87.81,21.8
12/26/2023 16:30,30.6,25.5,21.0,0.938,87.96,15,2,456,20.8,0.936,87.88,15,6,460,100,8308,87.82,21.6
12/26/2023 16:45,17.4,14.5,20.6,0.956,87.98,15,0,457,20.5,0.952,87.90,15,0,456,100,8305,87.84,21.3
12/26/2023 17:00,13.7,11.7,20.5,0.962,88.01,15,0,456,20.5,0.952,87.93,15,0,455,100,8301,87.87,21.1
12/26/2023 17:15,20.3,17.4,20.5,0.961,88.01,15,0,456,20.5,0.950,87.93,15,0,455,100,8299,87.87,20.9
12/26/2023 17:30,2.2,1.5,20.3,0.963,88.04,15,13,603,20.3,0.953,87.97,15,13,1098,100,8298,87.91,20.7
12/26/2023 17:45,0.0,0.0,20.0,0.977,88.06,15,15,552,19.9,0.973,87.98,15,15,904,100,8296,87.92,20.2
12/26/2023 18:00,0.0,0.0,19.9,0.983,88.07,15,15,531,19.9,0.974,87.99,15,15,834,100,8294,87.94,20.1
12/26/2023 18:15,0.0,0.0,19.8,0.991,88.07,15,15,516,19.7,0.987,87.99,15,15,716,100,8293,87.93,19.9
12/26/2023 18:30,0.0,0.0,19.7,0.997,88.08,15,15,513,19.6,0.992,88.00,15,15,676,100,8288,87.94,19.9
12/26/2023 18:45,0.0,0.0,19.6,0.999,88.09,15,15,497,19.6,0.995,88.01,15,15,623,100,8289,87.95,19.8
12/26/2023 19:00,0.0,0.0,19.6,0.996,88.11,15,15,481,19.6,0.987,88.03,15,15,591,100,8289,87.97,19.7
12/26/2023 19:15,0.0,0.0,19.5,0.995,88.14,15,15,467,19.5,0.984,88.05,15,15,559,100,8286,88.00,19.7
12/26/2023 19:30,0.0,0.0,19.5,0.997,88.15,15,15,463,19.5,0.985,88.07,15,15,533,100,8285,88.02,19.7
12/26/2023 19:45,0.0,0.0,19.4,0.996,88.16,15,14,460,19.5,0.985,88.08,15,15,503,100,8284,88.03,19.6
12/26/2023 20:00,0.0,0.0,19.5,0.986,88.18,15,1,459,19.6,0.966,88.10,15,15,494,100,8281,88.05,19.6
12/26/2023 20:15,0.0,0.0,19.6,0.975,88.20,15,10,461,19.6,0.964,88.12,15,15,501,100,8282,88.07,19.6
12/26/2023 20:30,0.0,0.0,19.5,0.974,88.21,15,8,460,19.5,0.966,88.13,15,15,499,100,8280,88.07,19.5
12/26/2023 20:45,0.0,0.0,19.5,0.960,88.23,15,0,459,19.6,0.946,88.15,15,15,472,100,8281,88.09,19.4
12/26/2023 21:00,0.0,0.0,19.4,0.957,88.23,15,1,457,19.4,0.945,88.15,15,8,456,100,8278,88.10,19.3
12/26/2023 21:15,0.0,0.0,19.7,0.932,88.23,15,0,456,19.7,0.918,88.15,15,0,455,100,8279,88.09,19.4
12/26/2023 21:30,0.0,0.0,19.8,0.921,88.23,15,0,456,19.8,0.909,88.16,15,0,456,100,8276,88.10,19.4
12/26/2023 21:45,0.0,0.0,19.7,0.921,88.24,15,0,456,19.7,0.910,88.16,15,0,456,100,8276,88.10,19.4
12/26/2023 22:00,0.0,0.0,19.6,0.918,88.22,15,0,456,19.7,0.906,88.14,15,0,456,100,8271,88.08,19.4
12/26/2023 22:15,0.0,0.0,19.5,0.923,88.22,15,0,456,19.5,0.912,88.14,15,0,456,100,8273,88.08,19.3
12/26/2023 22:30,0.0,0.0,19.5,0.921,88.22,15,0,456,19.6,0.910,88.15,15,0,455,100,8273,88.09,19.2
12/26/2023 22:45,0.0,0.0,19.6,0.916,88.23,15,0,456,19.6,0.904,88.15,15,0,455,100,8273,88.09,19.2
12/26/2023 23:00,0.0,0.0,19.5,0.913,88.23,15,0,456,19.6,0.898,88.15,15,0,455,100,8268,88.09,19.2
12/26/2023 23:15,0.0,0.0,19.5,0.901,88.22,15,0,454,19.6,0.885,88.14,15,0,454,100,8270,88.08,19.2
12/26/2023 23:30,0.0,0.0,19.5,0.889,88.22,15,0,454,19.6,0.876,88.14,15,0,454,100,8268,88.08,19.3
12/26/2023 23:45,0.0,0.0,19.6,0.883,88.21,15,0,454,19.6,0.871,88.13,15,0,454,100,8267,88.07,19.3
12/27/2023 0:00,0.0,0.0,19.6,0.875,88.20,15,0,454,19.7,0.862,88.12,15,0,454,100,8267,88.06,19.3
12/27/2023 0:15,0.0,0.0,19.7,0.869,88.19,15,0,454,19.8,0.856,88.12,15,0,453,100,8226,88.05,19.5
12/27/2023 0:30,0.0,0.0,19.5,0.874,88.20,15,0,454,19.5,0.868,88.12,15,0,454,100,8250,88.06,19.5
12/27/2023 0:45,0.0,0.0,19.3,0.887,88.19,15,0,455,19.3,0.875,88.11,15,0,454,100,8248,88.05,19.3
12/27/2023 1:00,0.0,0.0,19.0,0.897,88.17,15,0,455,19.1,0.884,88.09,15,0,454,100,8247,88.03,19.1
12/27/2023 1:15,0.0,0.0,18.6,0.916,88.16,15,0,455,18.6,0.904,88.08,15,0,455,100,8248,88.01,18.9
12/27/2023 1:30,0.0,0.0,18.5,0.921,88.14,15,0,455,18.6,0.907,88.06,15,0,454,100,8247,88.00,18.7
