z6-15954,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1448,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
7/2/2024 9:00,145.4,133.5,20.2,0.987,88.05,15,5,455,20.1,1.001,87.98,15,2,454,100,8200,87.93,20.9
7/2/2024 9:15,353.2,332.2,20.3,0.979,88.05,15,0,452,20.5,0.989,87.97,15,0,451,100,8210,87.92,21.0
7/2/2024 9:30,278.9,257.4,20.8,0.958,88.03,15,5,792,20.9,0.965,87.96,15,5,1000,100,8214,87.91,21.4
7/2/2024 9:45,375.7,351.0,20.8,0.968,88.04,15,15,684,20.8,0.981,87.97,15,15,523,100,8208,87.92,21.4
7/2/2024 10:00,358.3,325.6,21.0,0.972,88.04,15,15,604,20.9,0.984,87.97,15,15,523,100,8216,87.92,21.5
7/2/2024 10:15,342.6,306.3,20.9,0.960,88.04,15,15,588,20.9,0.965,87.97,15,15,520,100,8230,87.92,21.8
7/2/2024 10:30,601.1,555.4,21.5,0.957,88.04,15,15,653,21.4,0.971,87.96,15,15,499,100,8251,87.91,22.1
7/2/2024 10:45,667.6,632.1,21.1,0.947,88.04,15,15,600,21.6,0.954,87.97,15,15,466,100,8273,87.91,22.6
7/2/2024 11:00,765.0,735.7,21.8,0.927,88.04,15,15,570,22.4,0.917,87.96,15,4,455,100,8287,87.91,23.5
7/2/2024 11:15,579.5,541.3,22.6,0.920,88.02,15,15,547,22.6,0.923,87.95,15,0,451,100,8300,87.90,24.4
7/2/2024 11:30,967.5,920.7,23.3,0.895,87.99,15,15,503,22.6,0.915,87.92,0,0,446,100,8326,87.87,25.0
7/2/2024 11:45,700.0,638.9,23.9,0.873,87.97,15,15,464,22.7,0.915,87.90,0,0,448,100,8336,87.85,25.9
7/2/2024 12:00,549.1,354.7,23.9,0.870,87.96,7,2,446,22.9,0.908,87.89,0,0,448,100,8340,87.84,25.8
7/2/2024 12:15,383.8,235.1,24.0,0.866,87.95,0,0,447,23.1,0.905,87.87,0,0,449,100,8342,87.82,25.7
7/2/2024 12:30,312.6,199.6,23.4,0.891,87.95,6,0,449,22.7,0.930,87.88,11,2,450,100,8342,87.83,25.2
7/2/2024 12:45,447.0,278.3,22.8,0.911,87.95,11,3,448,22.1,0.944,87.87,15,8,450,100,8340,87.82,24.4
7/2/2024 13:00,244.8,198.1,22.6,0.902,87.93,9,9,821,21.9,0.937,87.85,14,10,882,100,8340,87.81,23.8
7/2/2024 13:15,242.6,197.9,21.6,0.912,87.92,15,15,643,21.2,0.935,87.85,15,15,714,100,8342,87.79,22.9
7/2/2024 13:30,293.3,276.7,22.1,0.910,87.90,15,15,630,21.7,0.928,87.83,15,15,693,100,8347,87.78,22.8
7/2/2024 13:45,242.2,210.6,23.0,0.900,87.87,15,15,677,22.3,0.930,87.79,15,15,774,100,8345,87.75,23.2
7/2/2024 14:00,64.6,57.1,21.6,0.942,87.87,15,15,998,21.1,0.976,87.80,15,15,918,100,8340,87.75,22.3
7/2/2024 14:15,71.6,61.5,20.3,0.972,87.89,15,15,881,20.1,0.998,87.82,15,15,659,100,8337,87.77,21.2
7/2/2024 14:30,118.3,102.5,20.1,0.984,87.86,15,15,1033,20.0,1.000,87.79,15,15,970,100,8336,87.74,20.7
7/2/2024 14:45,28.9,25.5,20.1,0.988,87.88,15,15,945,20.0,1.000,87.81,15,15,892,100,8332,87.76,20.4
7/2/2024 15:00,29.7,25.5,19.3,0.988,87.89,15,15,1000,19.4,1.000,87.81,15,15,846,100,8330,87.76,19.9
7/2/2024 15:15,13.2,11.2,19.0,0.989,87.90,15,15,944,19.1,0.998,87.82,15,15,914,100,8327,87.77,19.4
7/2/2024 15:30,7.1,5.9,18.9,0.991,87.86,15,15,990,18.9,1.000,87.78,15,15,737,100,8327,87.73,19.2
7/2/2024 15:45,2.7,2.4,18.9,0.995,87.84,15,15,858,18.9,1.001,87.77,15,15,780,100,8321,87.72,19.1
7/2/2024 16:00,3.8,1.1,19.0,0.998,87.83,15,15,1063,19.0,1.001,87.76,15,15,826,100,8323,87.71,19.1
7/2/2024 16:15,7.1,5.3,19.1,0.999,87.85,15,15,941,19.1,1.001,87.78,15,15,705,100,8318,87.73,19.1
7/2/2024 16:30,10.4,9.2,19.1,1.001,87.87,15,15,952,19.1,1.000,87.80,15,15,672,100,8317,87.75,19.1
7/2/2024 16:45,12.1,10.4,19.2,1.000,87.89,15,15,735,19.2,1.000,87.82,15,15,631,100,8317,87.77,19.1
7/2/2024 17:00,19.6,16.7,19.2,1.000,87.90,15,15,661,19.2,1.000,87.82,15,15,531,100,8313,87.76,19.1
7/2/2024 17:15,18.3,15.6,19.2,1.000,87.90,15,15,601,19.2,1.000,87.83,15,15,474,100,8313,87.77,19.1
7/2/2024 17:30,8.1,5.9,19.2,1.001,87.92,15,15,581,19.4,1.001,87.84,15,11,460,100,8312,87.79,19.2
7/2/2024 17:45,0.7,0.0,19.4,0.993,87.94,15,15,587,19.6,0.999,87.86,15,4,468,100,8311,87.81,19.3
7/2/2024 18:00,0.0,0.0,19.5,0.980,87.97,15,15,737,19.6,0.991,87.90,15,15,547,100,8309,87.85,19.3
7/2/2024 18:15,0.0,0.0,19.6,0.974,87.99,15,15,934,19.7,0.984,87.91,15,15,673,100,8306,87.86,19.3
7/2/2024 18:30,0.0,0.0,19.6,0.974,88.00,15,15,912,19.5,0.995,87.92,15,15,704,100,8306,87.87,19.3
7/2/2024 18:45,0.0,0.0,19.5,0.979,88.02,15,15,1151,19.5,1.000,87.95,15,15,859,100,8303,87.90,19.3
7/2/2024 19:00,0.0,0.0,19.5,0.985,88.03,15,15,933,19.5,0.999,87.96,15,15,989,100,8303,87.91,19.3
7/2/2024 19:15,0.0,0.0,19.4,0.990,88.05,15,15,677,19.3,1.001,87.98,15,15,592,100,8301,87.92,19.3
