z6-15954,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1334,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/7/2024 12:15,655.5,404.3,24.3,0.737,87.94,0,0,447,23.5,0.781,87.89,0,0,448,100,8570,87.82,25.6
5/7/2024 12:30,633.4,245.9,24.3,0.757,87.92,0,0,446,23.7,0.794,87.86,0,0,448,100,8560,87.79,25.5
5/7/2024 12:45,472.8,282.0,24.4,0.764,87.90,0,0,446,24.1,0.790,87.85,0,0,447,100,8551,87.76,25.6
5/7/2024 13:00,605.9,336.2,24.3,0.770,87.88,0,0,447,24.6,0.775,87.82,0,0,448,100,8544,87.73,25.7
5/7/2024 13:15,261.7,234.9,24.9,0.767,87.85,0,0,447,25.1,0.773,87.79,0,0,447,100,8536,87.71,26.0
5/7/2024 13:30,258.5,219.9,24.8,0.770,87.84,0,0,448,24.5,0.792,87.79,0,0,448,100,8532,87.71,26.1
5/7/2024 13:45,247.4,196.1,24.9,0.782,87.83,0,0,448,24.3,0.811,87.77,0,0,448,100,8523,87.69,26.0
5/7/2024 14:00,276.9,230.5,24.8,0.782,87.81,0,0,448,24.2,0.815,87.76,0,0,448,100,8520,87.68,26.0
5/7/2024 14:15,250.3,305.6,24.9,0.777,87.80,0,0,447,24.3,0.814,87.75,0,0,447,100,8514,87.67,26.1
5/7/2024 14:30,197.9,187.7,25.2,0.780,87.78,0,0,448,24.7,0.808,87.72,0,0,448,100,8510,87.64,26.5
5/7/2024 14:45,191.3,161.3,24.6,0.803,87.77,4,0,451,23.8,0.846,87.71,4,0,451,100,8504,87.64,26.1
5/7/2024 15:00,258.0,236.6,23.4,0.881,87.77,12,0,455,22.5,0.926,87.72,9,0,453,100,8497,87.64,25.4
5/7/2024 15:15,67.0,55.8,22.3,0.918,87.79,15,0,457,21.9,0.951,87.74,15,0,456,100,8486,87.65,24.2
5/7/2024 15:30,65.0,54.9,22.0,0.936,87.75,15,0,457,22.1,0.949,87.70,15,1,455,100,8483,87.61,23.6
5/7/2024 15:45,26.0,22.2,22.0,0.942,87.77,15,0,458,21.6,0.966,87.72,15,0,455,100,8476,87.63,23.1
5/7/2024 16:00,33.9,28.6,21.8,0.950,87.75,15,4,468,21.5,0.976,87.70,15,3,461,100,8469,87.62,22.7
5/7/2024 16:15,60.1,50.4,21.7,0.955,87.74,15,4,458,21.7,0.972,87.69,15,1,455,100,8463,87.60,22.6
5/7/2024 16:30,68.1,56.0,21.7,0.953,87.74,15,0,457,21.8,0.960,87.68,15,0,455,100,8460,87.60,22.5
5/7/2024 16:45,56.2,46.9,21.8,0.946,87.74,15,0,457,21.8,0.955,87.69,15,0,455,100,8454,87.61,22.5
5/7/2024 17:00,19.2,16.1,21.9,0.929,87.78,15,0,457,22.0,0.938,87.72,15,0,456,100,8447,87.64,22.4
5/7/2024 17:15,15.0,13.0,21.7,0.945,87.80,15,11,460,21.5,0.963,87.75,15,0,456,100,8444,87.67,22.2
5/7/2024 17:30,10.4,9.0,21.5,0.953,87.82,15,14,461,21.3,0.975,87.77,15,0,457,100,8443,87.69,22.0
5/7/2024 17:45,0.7,0.4,21.4,0.954,87.83,15,14,459,21.2,0.977,87.77,15,0,455,100,8438,87.70,21.8
5/7/2024 18:00,2.2,0.9,21.4,0.926,87.83,15,0,455,21.5,0.935,87.78,15,0,453,100,8434,87.70,21.8
5/7/2024 18:15,0.0,0.0,21.6,0.889,87.84,15,0,455,21.7,0.896,87.79,15,0,453,100,8430,87.71,21.8
5/7/2024 18:30,0.0,0.0,21.7,0.875,87.86,15,0,453,21.8,0.883,87.81,15,0,452,100,8427,87.73,21.8
5/7/2024 18:45,0.0,0.0,21.9,0.861,87.87,15,0,453,22.0,0.870,87.81,15,0,452,100,8425,87.74,21.8
5/7/2024 19:00,0.0,0.0,21.9,0.859,87.89,15,0,455,21.9,0.871,87.84,15,0,453,100,8422,87.76,21.8
5/7/2024 19:15,0.0,0.0,21.5,0.872,87.91,15,0,454,21.5,0.887,87.86,15,0,453,100,8416,87.78,21.7
5/7/2024 19:30,0.0,0.0,21.5,0.869,87.91,15,0,454,21.5,0.880,87.86,15,0,453,100,8418,87.78,21.6
5/7/2024 19:45,0.0,0.0,21.4,0.873,87.93,15,0,454,21.3,0.889,87.88,15,0,453,100,8414,87.80,21.5
5/7/2024 20:00,0.0,0.0,21.2,0.880,87.94,15,0,455,21.2,0.895,87.89,15,0,454,100,8410,87.81,21.3
5/7/2024 20:15,0.0,0.0,21.0,0.888,87.95,15,0,456,21.0,0.897,87.90,15,0,454,100,8406,87.82,21.2
5/7/2024 20:30,0.0,0.0,20.9,0.891,87.96,15,0,456,20.9,0.903,87.90,15,0,454,100,8403,87.82,21.1
5/7/2024 20:45,0.0,0.0,21.1,0.901,87.97,15,0,455,21.1,0.911,87.92,15,0,454,100,8402,87.84,21.0
5/7/2024 21:00,0.0,0.0,21.3,0.902,87.98,15,0,455,21.4,0.911,87.92,15,0,454,100,8402,87.84,21.1
5/7/2024 21:15,0.0,0.0,21.1,0.902,87.98,15,0,455,21.2,0.911,87.92,15,0,454,100,8396,87.84,21.1
5/7/2024 21:30,0.0,0.0,21.0,0.905,87.97,15,0,457,21.0,0.917,87.92,15,0,454,100,8392,87.84,21.0
5/7/2024 21:45,0.0,0.0,20.9,0.915,87.98,15,0,456,20.9,0.927,87.93,15,0,454,100,8390,87.85,21.0
5/7/2024 22:00,0.0,0.0,21.1,0.919,87.98,15,0,457,21.1,0.930,87.92,15,0,454,100,8390,87.85,21.0
5/7/2024 22:15,0.0,0.0,21.3,0.918,88.00,15,0,456,21.4,0.929,87.94,15,0,454,100,8389,87.86,21.1
5/7/2024 22:30,0.0,0.0,21.5,0.916,88.01,15,0,457,21.6,0.925,87.96,15,0,455,100,8384,87.88,21.2
5/7/2024 22:45,0.0,0.0,21.5,0.921,88.02,15,0,457,21.5,0.930,87.96,15,0,455,100,8384,87.88,21.2
5/7/2024 23:00,0.0,0.0,21.4,0.924,88.00,15,0,457,21.5,0.934,87.94,15,0,455,100,8380,87.87,21.3
5/7/2024 23:15,0.0,0.0,21.4,0.925,87.97,15,0,457,21.5,0.933,87.92,15,0,455,100,8378,87.84,21.3
5/7/2024 23:30,0.0,0.0,21.4,0.925,87.97,15,0,457,21.5,0.932,87.91,15,0,455,100,8376,87.84,21.3
