z6-15954,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1835,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/7/2023 9:45,453.7,625.7,19.8,0.865,88.16,15,0,452,19.7,0.859,88.06,15,0,451,100,8327,88.00,21.1
12/7/2023 10:00,807.5,634.5,20.0,0.861,88.13,15,0,452,19.8,0.858,88.04,15,0,451,100,8330,87.98,21.0
12/7/2023 10:15,621.6,424.3,20.1,0.852,88.14,15,0,452,20.0,0.848,88.04,15,0,451,100,8330,87.98,21.0
12/7/2023 10:30,769.4,413.3,20.4,0.835,88.12,15,0,451,20.3,0.830,88.02,15,0,451,100,8331,87.96,20.9
12/7/2023 10:45,846.5,236.8,20.5,0.820,88.13,15,0,451,20.4,0.816,88.03,15,0,451,100,8326,87.97,20.9
12/7/2023 11:00,607.7,197.2,20.8,0.814,88.11,15,0,451,20.5,0.813,88.02,15,0,451,100,8326,87.96,20.8
12/7/2023 11:15,599.7,205.4,21.0,0.786,88.08,10,0,450,20.8,0.789,87.99,15,0,450,100,8324,87.93,20.9
12/7/2023 11:30,681.2,320.8,21.2,0.766,88.06,2,0,450,21.1,0.767,87.97,15,0,450,100,8323,87.91,21.0
12/7/2023 11:45,421.9,303.8,21.3,0.752,88.04,3,0,450,21.2,0.755,87.95,15,0,450,100,8322,87.89,21.1
12/7/2023 12:00,472.2,375.5,21.5,0.760,88.02,0,0,450,21.4,0.763,87.92,15,0,450,100,8319,87.86,21.3
12/7/2023 12:15,295.5,479.7,21.3,0.759,88.00,2,0,450,21.3,0.757,87.90,15,0,450,100,8319,87.84,21.3
12/7/2023 12:30,161.1,169.6,21.4,0.765,87.95,15,0,450,21.4,0.764,87.85,15,0,450,100,8317,87.79,21.4
12/7/2023 12:45,296.8,69.2,21.4,0.750,87.92,4,0,449,21.4,0.751,87.83,15,0,450,100,8316,87.77,21.4
12/7/2023 13:00,291.3,90.3,21.5,0.771,87.90,0,0,449,21.5,0.768,87.81,15,0,450,100,8316,87.75,21.5
12/7/2023 13:15,363.6,185.3,21.5,0.791,87.90,3,0,450,21.6,0.785,87.82,15,0,451,100,8318,87.75,21.7
12/7/2023 13:30,312.4,182.0,21.1,0.850,87.88,15,0,451,20.9,0.849,87.80,15,0,452,100,8318,87.74,21.7
12/7/2023 13:45,448.2,181.5,21.0,0.874,87.86,14,0,451,20.5,0.883,87.78,15,0,451,100,8323,87.72,21.5
12/7/2023 14:00,259.3,163.0,20.6,0.883,87.85,15,0,452,20.6,0.873,87.76,15,0,452,100,8323,87.70,21.5
12/7/2023 14:15,190.8,147.2,20.4,0.889,87.84,15,0,451,20.6,0.873,87.75,15,0,452,100,8326,87.68,21.4
12/7/2023 14:30,188.0,140.8,20.3,0.887,87.84,15,0,451,20.5,0.866,87.74,15,0,452,100,8326,87.68,21.2
12/7/2023 14:45,167.2,115.9,20.4,0.875,87.82,15,0,452,20.6,0.856,87.74,15,0,452,100,8325,87.67,21.2
12/7/2023 15:00,272.5,126.0,20.1,0.898,87.82,15,0,452,20.2,0.881,87.73,15,0,452,100,8327,87.66,21.0
