z6-15954,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1441,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/11/2023 9:30,249.2,768.1,24.5,0.822,88.03,15,0,451,24.0,0.825,87.94,0,0,448,100,8455,87.88,25.9
10/11/2023 9:45,404.8,458.5,24.8,0.803,88.04,15,0,451,23.5,0.832,87.94,0,0,449,100,8452,87.89,25.6
10/11/2023 10:00,273.6,270.8,24.3,0.843,88.04,15,0,451,23.3,0.864,87.95,5,0,450,100,8447,87.89,25.3
10/11/2023 10:15,289.7,270.6,23.9,0.862,88.04,15,0,452,23.2,0.874,87.94,10,0,451,100,8448,87.88,25.1
10/11/2023 10:30,327.9,311.1,23.9,0.873,88.01,15,0,452,23.1,0.887,87.92,12,0,450,100,8445,87.86,25.0
10/11/2023 10:45,176.9,144.1,23.2,0.893,88.00,15,0,452,22.4,0.909,87.91,15,0,452,100,8443,87.85,24.5
10/11/2023 11:00,236.4,190.8,23.3,0.897,87.98,15,0,452,22.6,0.908,87.88,15,0,452,100,8438,87.83,24.3
10/11/2023 11:15,175.6,141.9,23.0,0.916,87.96,15,0,453,22.1,0.935,87.86,15,0,452,100,8434,87.80,24.0
10/11/2023 11:30,177.2,143.0,22.7,0.930,87.94,15,0,453,22.1,0.938,87.84,15,0,452,100,8432,87.78,23.7
10/11/2023 11:45,196.1,162.0,22.6,0.932,87.91,15,0,452,22.2,0.933,87.81,15,0,452,100,8433,87.76,23.5
10/11/2023 12:00,240.8,183.1,22.9,0.915,87.89,15,0,451,22.4,0.915,87.79,15,0,451,100,8434,87.73,23.7
10/11/2023 12:15,337.8,216.2,23.5,0.874,87.86,15,0,450,23.0,0.875,87.76,15,0,450,100,8430,87.70,24.0
