z6-15982,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 2978,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
3/4/2024 5:45,0.0,0.0,17.1,0.958,87.67,15,15,466,17.1,0.944,87.65,15,0,458,42,7321,87.58,17.1
3/4/2024 6:00,0.4,0.0,17.1,0.962,87.68,15,15,460,17.0,0.945,87.66,15,0,457,43,7322,87.59,17.0
3/4/2024 6:15,7.1,2.9,17.4,0.950,87.70,15,12,461,17.3,0.935,87.68,15,0,457,43,7323,87.61,17.0
3/4/2024 6:30,12.5,8.2,17.4,0.954,87.73,15,8,460,17.4,0.938,87.70,15,0,456,43,7324,87.64,17.1
3/4/2024 6:45,54.6,36.8,17.7,0.947,87.74,15,0,456,17.7,0.930,87.72,15,0,455,43,7323,87.65,17.2
3/4/2024 7:00,103.5,48.5,18.2,0.926,87.75,15,0,455,18.7,0.898,87.72,15,0,454,43,7323,87.66,17.9
3/4/2024 7:15,257.6,52.7,18.8,0.908,87.75,15,0,454,19.2,0.883,87.73,15,0,454,43,7324,87.67,18.9
3/4/2024 7:30,322.4,53.8,19.0,0.899,87.76,15,0,453,19.0,0.887,87.74,15,0,454,43,7324,87.67,19.2
3/4/2024 7:45,401.2,53.6,19.5,0.888,87.76,15,0,452,19.3,0.886,87.75,15,0,453,43,7325,87.68,19.3
3/4/2024 8:00,470.4,57.5,19.7,0.875,87.77,15,0,451,19.6,0.869,87.75,15,0,453,43,7325,87.68,19.8
3/4/2024 8:15,530.6,67.4,20.0,0.866,87.77,13,0,450,19.9,0.863,87.75,15,0,452,39,7290,87.68,21.0
3/4/2024 8:30,427.4,139.5,20.6,0.851,87.77,11,0,451,20.3,0.856,87.75,15,0,452,39,7294,87.68,21.1
3/4/2024 8:45,231.8,267.3,20.7,0.863,87.78,15,0,451,20.5,0.861,87.76,15,0,452,40,7298,87.69,20.9
3/4/2024 9:00,405.8,636.3,20.7,0.873,87.78,14,0,451,20.7,0.867,87.76,15,0,453,40,7300,87.69,20.8
3/4/2024 9:15,507.2,431.6,20.8,0.883,87.79,5,0,449,20.5,0.884,87.77,15,0,453,40,7304,87.70,21.1
