z6-15982,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1928,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
8/23/2024 9:45,102.7,66.1,20.3,0.919,87.77,15,0,452,20.2,0.913,87.75,#N/A,#N/A,#N/A,75,7597,87.68,20.3
8/23/2024 10:00,105.7,71.2,20.1,0.912,87.77,15,0,452,20.2,0.903,87.75,8,2,451,73,7579,87.67,20.5
8/23/2024 10:15,82.2,54.0,20.0,0.915,87.76,15,0,452,20.0,0.906,87.74,15,0,451,74,7584,87.67,20.2
8/23/2024 10:30,82.8,52.0,20.0,0.903,87.77,15,0,452,20.0,0.896,87.75,14,1,451,72,7566,87.68,20.2
8/23/2024 10:45,80.9,52.6,20.0,0.906,87.77,15,0,452,20.0,0.900,87.74,15,0,451,72,7571,87.68,20.3
8/23/2024 11:00,78.6,49.3,20.1,0.907,87.77,15,0,452,20.1,0.901,87.75,15,0,451,73,7574,87.68,20.3
8/23/2024 11:15,106.4,63.0,20.1,0.908,87.75,15,0,452,20.1,0.904,87.73,15,0,451,72,7573,87.66,20.3
8/23/2024 11:30,151.8,91.4,20.4,0.905,87.72,15,0,452,20.4,0.899,87.70,15,0,451,73,7574,87.63,20.4
8/23/2024 11:45,153.3,93.8,20.5,0.894,87.71,15,0,451,20.5,0.889,87.69,15,0,451,73,7574,87.62,20.6
8/23/2024 12:00,164.4,104.4,20.9,0.867,87.70,15,0,451,20.9,0.865,87.68,15,0,450,73,7576,87.61,20.9
8/23/2024 12:15,146.9,90.3,21.2,0.861,87.68,15,0,450,21.1,0.861,87.66,15,0,450,73,7576,87.59,21.2
8/23/2024 12:30,157.7,99.2,21.3,0.862,87.65,15,0,451,21.3,0.859,87.63,15,0,450,73,7577,87.56,21.5
8/23/2024 12:45,165.0,104.7,21.3,0.880,87.64,15,0,451,21.4,0.872,87.61,15,0,450,73,7579,87.54,21.7
8/23/2024 13:00,197.9,122.5,21.7,0.884,87.60,15,0,450,21.4,0.885,87.59,15,0,450,73,7580,87.51,22.0
8/23/2024 13:15,175.8,111.5,22.0,0.853,87.60,15,0,450,21.9,0.855,87.58,7,0,450,73,7580,87.51,22.4
8/23/2024 13:30,142.8,88.1,21.7,0.861,87.58,15,0,451,21.4,0.865,87.56,12,0,450,73,7580,87.49,22.4
8/23/2024 13:45,139.2,87.9,21.4,0.843,87.56,15,0,450,21.5,0.844,87.54,10,0,450,73,7581,87.47,22.3
8/23/2024 14:00,152.5,92.8,21.4,0.822,87.56,14,0,450,21.4,0.824,87.54,1,0,450,73,7581,87.46,22.0
8/23/2024 14:15,158.4,90.3,21.7,0.820,87.55,5,0,450,21.7,0.821,87.53,0,0,450,73,7580,87.46,22.0
8/23/2024 14:30,139.0,78.7,21.7,0.825,87.55,13,0,450,21.7,0.826,87.53,0,0,450,73,7580,87.46,22.2
8/23/2024 14:45,125.4,67.6,22.1,0.828,87.55,11,0,450,21.9,0.831,87.53,0,0,450,74,7582,87.45,22.4
8/23/2024 15:00,151.1,69.6,22.3,0.817,87.54,1,0,450,22.2,0.821,87.52,0,0,449,73,7580,87.44,22.7
8/23/2024 15:15,91.9,54.9,22.4,0.817,87.54,11,0,450,22.1,0.823,87.52,1,0,450,73,7578,87.44,22.9
8/23/2024 15:30,90.5,52.7,22.2,0.846,87.54,15,0,451,21.8,0.857,87.52,14,0,450,73,7580,87.44,22.8
8/23/2024 15:45,78.0,43.6,21.5,0.873,87.55,15,0,452,21.2,0.877,87.53,15,0,451,74,7583,87.45,22.6
8/23/2024 16:00,66.3,39.0,21.0,0.894,87.56,15,0,452,20.8,0.897,87.54,15,0,451,73,7581,87.46,22.3
8/23/2024 16:15,57.7,33.1,21.0,0.910,87.56,15,0,453,20.7,0.911,87.54,15,0,451,74,7582,87.46,22.0
8/23/2024 16:30,45.0,24.5,20.8,0.925,87.56,15,0,453,20.6,0.923,87.54,15,0,451,74,7582,87.46,21.7
8/23/2024 16:45,25.8,13.9,20.6,0.932,87.56,15,0,454,20.6,0.922,87.54,15,0,452,73,7580,87.46,21.4
8/23/2024 17:00,15.4,8.2,20.5,0.942,87.56,15,0,455,20.5,0.930,87.53,15,0,452,74,7582,87.46,21.3
8/23/2024 17:15,14.6,8.4,20.2,0.953,87.55,15,0,455,20.2,0.940,87.53,15,0,452,73,7581,87.46,20.9
8/23/2024 17:30,8.4,3.7,20.1,0.955,87.58,15,0,456,20.1,0.943,87.55,15,0,452,73,7580,87.48,20.7
8/23/2024 17:45,1.6,0.0,20.0,0.960,87.61,15,0,456,20.0,0.947,87.59,15,0,453,73,7581,87.52,20.5
