z6-15982,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 4045,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/18/2024 11:30,152.7,131.8,20.5,0.924,87.69,15,0,453,20.5,0.913,87.68,15,0,453,70,7549,87.61,20.9
1/18/2024 11:45,158.9,128.5,20.6,0.915,87.66,15,0,453,20.7,0.900,87.65,15,0,453,69,7546,87.57,20.9
1/18/2024 12:00,139.5,169.0,20.4,0.926,87.64,15,0,453,20.4,0.909,87.63,15,0,453,70,7549,87.56,20.9
1/18/2024 12:15,136.4,243.0,20.6,0.930,87.62,15,0,454,20.7,0.912,87.62,15,0,453,70,7549,87.54,21.0
1/18/2024 12:30,162.0,215.5,20.6,0.931,87.59,15,0,453,20.7,0.913,87.59,15,0,452,70,7551,87.51,21.0
1/18/2024 12:45,124.1,146.7,20.7,0.930,87.57,15,0,453,20.7,0.913,87.56,15,0,453,70,7550,87.48,21.1
1/18/2024 13:00,188.4,159.7,20.8,0.934,87.55,15,0,453,20.8,0.917,87.54,15,0,453,70,7550,87.46,21.3
1/18/2024 13:15,625.9,195.6,21.0,0.923,87.52,15,0,452,21.0,0.908,87.51,15,0,452,71,7557,87.44,21.8
1/18/2024 13:30,121.4,115.0,21.4,0.904,87.49,15,0,453,21.4,0.891,87.48,15,0,452,70,7555,87.41,22.1
1/18/2024 13:45,135.9,176.3,21.2,0.918,87.48,15,0,453,21.2,0.901,87.47,15,0,453,70,7555,87.39,22.2
1/18/2024 14:00,182.9,121.4,21.0,0.923,87.45,15,0,453,21.1,0.906,87.44,15,0,452,70,7553,87.37,22.0
1/18/2024 14:15,100.7,118.3,21.0,0.928,87.43,15,0,453,21.0,0.910,87.42,15,0,452,70,7553,87.34,21.7
1/18/2024 14:30,74.2,101.4,20.8,0.938,87.42,15,0,456,20.8,0.922,87.41,15,0,455,70,7556,87.33,21.5
1/18/2024 14:45,89.2,76.5,20.1,0.981,87.40,15,0,455,20.1,0.960,87.39,15,0,454,70,7555,87.31,21.2
1/18/2024 15:00,74.7,57.1,20.4,0.962,87.39,15,0,455,20.4,0.940,87.38,15,0,454,70,7552,87.30,20.9
1/18/2024 15:15,83.3,109.1,20.7,0.941,87.37,15,0,454,20.6,0.924,87.36,15,0,453,70,7553,87.29,20.8
1/18/2024 15:30,37.9,24.4,20.2,0.968,87.39,15,12,516,20.1,0.951,87.38,15,8,517,70,7553,87.30,20.8
1/18/2024 15:45,66.1,52.9,19.9,0.995,87.38,15,11,460,19.9,0.971,87.37,15,15,461,70,7554,87.30,20.5
1/18/2024 16:00,36.3,24.0,20.1,0.973,87.38,15,8,642,20.1,0.952,87.37,15,6,478,70,7554,87.30,20.4
