z6-15957,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 7,Port 7,Port 8,Port 8
Records: 17572,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
4/18/2023 12:00,100.5,353,1.46,3.80,21.8,-0.9,1.0,20.9,0.751,87.56,2,0,450,0,6376,87.49,21.6
4/18/2023 12:15,110.4,8,1.52,3.81,22.0,-0.9,1.0,21.1,0.761,87.53,8,0,450,0,6318,87.45,21.7
4/19/2023 9:45,97.8,24,1.34,3.63,21.3,-0.9,1.2,20.2,0.809,87.69,5,0,451,100,7907,87.63,21.6
4/19/2023 10:00,209.5,25,1.59,4.31,21.0,-0.9,1.1,19.9,0.802,87.69,15,0,451,100,7914,87.63,22.0
4/19/2023 10:15,246.3,18,1.46,5.36,21.3,-0.8,1.1,20.2,0.807,87.70,15,0,451,100,7916,87.64,22.0
4/19/2023 10:30,123.0,32,1.66,5.11,21.0,-0.7,0.8,20.3,0.817,87.69,15,0,451,100,7917,87.64,21.6
4/19/2023 10:45,224.7,32,2.15,6.29,20.8,-0.6,0.7,20.5,0.808,87.68,15,0,451,100,7917,87.62,21.5
4/19/2023 11:00,298.6,34,1.93,6.59,21.0,-0.6,0.7,20.7,0.818,87.66,15,0,451,100,7919,87.60,21.4
4/19/2023 11:15,324.8,358,1.66,5.27,21.3,-0.5,0.7,21.0,0.821,87.63,10,0,451,100,7917,87.58,21.5
4/19/2023 11:30,417.3,18,1.92,4.68,21.5,-0.7,0.8,21.0,0.825,87.62,12,0,451,100,7918,87.56,21.6
4/19/2023 11:45,111.9,332,1.76,5.58,21.3,-0.5,1.2,20.7,0.831,87.61,15,0,452,100,7919,87.55,21.5
4/19/2023 12:00,100.5,18,1.55,6.09,22.1,-0.7,1.1,21.3,0.814,87.59,15,0,451,100,7919,87.53,21.5
4/19/2023 12:15,103.5,354,1.63,5.08,21.6,-0.7,1.1,21.1,0.817,87.58,15,0,452,100,7918,87.52,21.6
4/19/2023 12:30,105.1,354,1.61,4.77,21.5,-0.7,1.1,21.0,0.828,87.56,15,0,452,100,7917,87.51,21.6
4/19/2023 12:45,91.6,358,1.43,4.13,21.0,-0.7,1.1,20.5,0.845,87.55,15,0,452,100,7920,87.49,21.4
4/19/2023 13:00,114.4,336,1.52,3.41,20.9,-0.6,1.2,20.7,0.841,87.54,15,0,452,100,7918,87.48,21.4
4/19/2023 13:15,117.0,356,1.88,5.20,21.1,-0.6,1.1,20.7,0.838,87.52,15,0,452,100,7920,87.46,21.3
4/19/2023 13:30,147.6,339,1.81,4.68,21.1,-0.6,1.0,20.8,0.842,87.51,15,0,452,100,7920,87.45,21.4
4/19/2023 13:45,285.5,343,1.38,4.20,21.2,-0.6,1.1,21.0,0.831,87.49,15,0,451,100,7919,87.43,21.4
4/19/2023 14:00,449.9,356,1.65,4.69,21.3,-0.6,1.1,21.2,0.817,87.48,12,0,450,100,7921,87.42,21.6
4/19/2023 14:15,428.5,333,1.19,2.97,21.4,-0.7,1.1,21.2,0.820,87.46,4,0,450,100,7919,87.40,21.9
4/19/2023 14:30,141.4,325,1.55,4.34,21.3,-0.6,1.1,21.0,0.826,87.45,15,0,451,100,7919,87.39,21.7
4/19/2023 14:45,199.0,340,1.49,5.56,21.4,-0.6,1.0,21.1,0.826,87.44,15,0,451,100,7920,87.38,21.6
4/19/2023 15:00,65.4,352,1.08,3.02,21.7,-0.6,1.1,21.4,0.814,87.42,15,0,452,100,7918,87.36,21.7
4/19/2023 15:15,102.7,344,0.99,3.07,21.9,-0.6,1.1,21.5,0.810,87.41,15,0,451,100,7915,87.36,21.7
4/19/2023 15:30,88.6,343,1.49,3.43,21.9,-0.6,1.1,21.2,0.820,87.42,15,0,452,100,7916,87.36,21.7
4/19/2023 15:45,45.2,346,1.30,4.57,21.6,-0.6,1.1,21.0,0.826,87.40,15,0,452,100,7916,87.34,21.5
4/19/2023 16:00,23.6,348,1.27,5.77,21.3,-0.6,1.0,21.0,0.828,87.39,15,0,452,100,7917,87.33,21.3
4/19/2023 16:15,18.3,355,1.24,3.90,20.9,-0.6,1.1,20.7,0.848,87.41,15,0,453,100,7917,87.35,21.1
4/19/2023 16:30,14.8,334,1.63,4.24,20.7,-0.5,1.1,20.5,0.857,87.41,15,0,453,100,7915,87.35,20.9
4/19/2023 16:45,12.5,332,1.51,4.52,20.7,-0.6,1.1,20.5,0.853,87.42,15,0,453,100,7915,87.36,20.8
4/19/2023 17:00,14.8,332,1.74,3.74,20.6,-0.6,1.0,20.4,0.867,87.43,15,0,454,100,7915,87.37,20.6
4/19/2023 17:15,10.3,10,1.82,4.79,20.3,-0.6,1.1,20.1,0.877,87.44,15,0,454,100,7913,87.38,20.5
4/19/2023 17:30,8.8,334,1.27,3.89,20.1,-0.6,1.1,19.9,0.884,87.45,15,0,454,100,7914,87.39,20.3
4/19/2023 17:45,3.7,11,0.92,3.40,19.8,-0.5,1.2,19.7,0.889,87.47,15,0,454,100,7912,87.41,20.1
4/19/2023 18:00,0.0,17,1.17,2.91,19.6,-0.5,1.2,19.5,0.891,87.50,15,0,455,100,7912,87.44,19.9
4/19/2023 18:15,0.0,26,1.20,4.76,19.5,-0.5,1.1,19.4,0.895,87.52,15,0,455,100,7911,87.46,19.7
4/19/2023 18:30,0.0,38,1.60,4.82,19.3,-0.5,1.2,19.2,0.896,87.54,15,0,455,100,7911,87.47,19.5
4/19/2023 18:45,0.0,35,1.49,4.45,19.1,-0.5,1.2,19.0,0.893,87.54,15,0,455,100,7909,87.48,19.4
4/19/2023 19:00,0.0,47,1.44,5.34,18.9,-0.5,1.2,18.8,0.895,87.56,15,0,455,100,7910,87.50,19.2
4/19/2023 19:15,0.0,39,1.24,3.64,18.7,-0.5,1.2,18.6,0.904,87.58,15,0,455,100,7907,87.51,19.0
4/19/2023 19:30,0.0,31,1.43,3.43,18.6,-0.4,1.2,18.5,0.912,87.59,15,0,456,100,7907,87.53,18.8
4/19/2023 19:45,0.0,48,1.38,5.15,18.4,-0.4,1.2,18.3,0.929,87.60,15,0,456,100,7910,87.54,18.6
4/19/2023 20:00,0.0,37,1.40,4.93,18.4,-0.5,1.2,18.3,0.931,87.61,15,0,456,100,7909,87.56,18.6
4/19/2023 20:15,0.0,26,1.46,4.12,18.4,-0.4,1.2,18.3,0.933,87.62,15,0,456,100,7907,87.56,18.5
4/19/2023 20:30,0.0,26,1.29,3.41,18.4,-0.4,1.2,18.3,0.923,87.63,15,0,456,100,7908,87.57,18.4
4/19/2023 20:45,0.0,26,1.28,4.80,18.3,-0.4,1.1,18.1,0.928,87.65,15,0,456,100,7908,87.59,18.3
4/19/2023 21:00,0.0,44,1.37,4.24,18.4,-0.5,1.2,18.2,0.913,87.66,15,0,455,100,7906,87.61,18.2
4/19/2023 21:15,0.0,52,1.21,3.65,18.5,-0.4,1.2,18.5,0.889,87.67,15,0,455,100,7903,87.62,18.3
4/19/2023 21:30,0.0,33,0.88,2.86,18.1,-0.4,1.1,18.1,0.914,87.69,15,0,456,100,7905,87.63,18.2
4/19/2023 21:45,0.0,30,0.98,2.74,18.0,-0.4,1.2,17.9,0.933,87.70,15,0,456,100,7903,87.64,18.1
4/19/2023 22:00,0.0,30,0.85,3.06,17.8,-0.4,1.1,17.8,0.937,87.70,15,0,457,100,7903,87.65,18.0
4/19/2023 22:15,0.0,36,0.77,3.28,17.7,-0.4,1.2,17.6,0.947,87.71,15,0,458,100,7903,87.65,17.9
4/19/2023 22:30,0.0,52,0.99,3.95,17.5,-0.4,1.2,17.4,0.959,87.72,15,0,458,100,7901,87.66,17.7
4/19/2023 22:45,0.0,45,1.23,4.37,17.5,-0.4,1.1,17.4,0.964,87.70,15,0,458,100,7900,87.65,17.7
4/19/2023 23:00,0.0,47,0.90,3.26,17.4,-0.4,1.1,17.3,0.964,87.70,15,0,458,100,7900,87.65,17.6
4/19/2023 23:15,0.0,22,0.97,3.06,17.2,-0.5,1.2,17.1,0.974,87.71,15,0,459,100,7901,87.65,17.5
4/19/2023 23:30,0.0,43,1.05,3.88,17.2,-0.4,1.2,17.1,0.980,87.70,15,0,458,100,7902,87.65,17.4
4/19/2023 23:45,0.0,51,0.84,3.34,17.1,-0.4,1.2,17.0,0.983,87.70,15,0,458,100,7900,87.64,17.3
4/20/2023 0:00,0.0,40,1.23,3.39,17.1,-0.4,1.2,17.0,0.974,87.68,15,0,457,100,7900,87.63,17.2
4/20/2023 0:15,0.0,42,0.77,2.63,17.2,-0.4,1.1,17.0,0.947,87.67,15,0,456,100,7878,87.62,17.3
4/20/2023 0:30,0.0,35,0.89,4.21,17.2,-0.3,1.1,17.1,0.921,87.66,15,0,455,100,7889,87.60,17.2
