z6-15949,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 7,Port 7,Port 8,Port 8
Records: 1347,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/19/2023 10:30,65.0,351,1.83,6.44,19.4,0.5,-3.5,19.5,1.000,87.62,15,15,463,100,7911,87.57,20.6
10/19/2023 10:45,71.6,63,1.49,5.20,19.6,0.5,-3.5,19.5,1.000,87.61,15,15,466,100,7911,87.56,20.3
10/19/2023 11:00,96.5,151,1.38,3.21,20.0,0.8,-3.4,19.7,1.000,87.59,15,11,466,100,7913,87.55,20.2
10/19/2023 11:15,99.4,152,1.52,3.73,20.1,0.8,-3.4,19.9,1.001,87.58,15,5,458,100,7911,87.54,20.2
10/19/2023 11:30,61.5,207,1.06,2.67,20.0,0.8,-3.5,19.9,0.999,87.57,15,11,460,100,7912,87.53,20.2
10/19/2023 11:45,98.9,163,1.61,4.36,20.1,0.8,-3.4,19.9,1.001,87.56,15,8,457,100,7913,87.51,20.2
10/19/2023 12:00,111.5,169,1.38,3.28,20.3,0.9,-3.4,20.1,1.001,87.53,15,0,457,100,7913,87.49,20.2
10/19/2023 12:15,128.4,183,1.09,3.10,20.7,0.8,-3.4,20.5,0.998,87.50,15,0,456,100,7915,87.46,20.4
10/19/2023 12:30,91.0,222,1.26,3.41,20.6,0.9,-3.5,20.6,0.989,87.49,15,0,457,100,7913,87.45,20.6
10/19/2023 12:45,113.3,299,1.04,5.83,20.2,0.8,-3.5,20.2,0.997,87.49,15,0,458,100,7912,87.45,20.7
10/19/2023 13:00,106.8,230,0.98,5.06,20.2,0.8,-3.5,20.1,1.000,87.47,15,8,462,100,7912,87.43,20.6
