z6-15949,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 7,Port 7,Port 8,Port 8
Records: 1348,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/4/2024 10:00,136.4,5,1.32,4.63,19.5,1.3,-3.6,19.1,0.964,87.88,15,0,456,54,7414,87.85,20.3
1/4/2024 10:15,130.4,5,1.87,6.03,19.4,1.3,-3.4,19.1,0.960,87.88,15,0,456,53,7413,87.84,20.2
1/4/2024 10:30,142.5,30,1.35,5.02,19.5,1.4,-3.7,19.1,0.960,87.86,15,0,456,53,7411,87.83,20.1
1/4/2024 10:45,157.8,357,1.73,6.42,19.6,1.3,-3.6,19.2,0.960,87.84,15,0,456,53,7413,87.81,20.1
1/4/2024 11:00,121.8,352,2.12,5.93,19.1,1.3,-3.7,18.8,0.969,87.83,15,0,457,53,7413,87.80,20.0
1/4/2024 11:15,76.0,13,1.75,7.20,18.6,1.4,-3.7,18.3,0.993,87.83,15,0,458,53,7413,87.79,19.8
1/4/2024 11:30,74.9,10,1.65,5.05,18.3,1.2,-3.8,18.1,0.999,87.81,15,0,458,53,7413,87.78,19.5
1/4/2024 11:45,110.8,357,2.07,5.02,18.4,1.2,-3.7,18.2,1.000,87.79,15,0,457,53,7411,87.76,19.3
1/4/2024 12:00,69.4,33,1.47,4.74,18.3,1.3,-3.7,18.2,1.000,87.78,15,0,458,53,7411,87.75,19.2
1/4/2024 12:15,60.1,21,1.24,5.76,18.3,1.3,-3.7,18.1,1.000,87.76,15,0,458,53,7409,87.73,19.1
1/4/2024 12:30,72.7,5,1.82,5.38,18.3,1.1,-3.7,18.2,1.000,87.74,15,0,459,53,7408,87.71,19.0
1/4/2024 12:45,55.1,349,2.06,6.02,18.0,1.1,-3.8,18.0,0.999,87.73,15,11,462,53,7409,87.70,18.9
1/4/2024 13:00,52.9,11,2.06,6.44,17.8,1.2,-3.8,17.8,0.999,87.71,15,15,463,53,7406,87.68,18.6
1/4/2024 13:15,53.5,359,2.30,7.14,17.8,1.2,-3.7,17.8,1.000,87.68,15,15,465,53,7406,87.65,18.4
1/4/2024 13:30,61.2,120,1.59,5.48,18.0,1.4,-3.5,18.0,1.000,87.66,15,15,462,53,7407,87.63,18.4
1/4/2024 13:45,42.1,31,1.46,7.69,18.1,1.2,-3.7,18.1,0.999,87.64,15,15,469,52,7405,87.61,18.4
1/4/2024 14:00,34.8,53,1.39,3.99,18.1,1.3,-3.7,18.1,0.999,87.63,15,15,485,53,7406,87.60,18.4
1/4/2024 14:15,25.8,98,1.15,3.26,18.1,1.2,-3.6,18.1,1.001,87.62,15,15,518,52,7405,87.59,18.4
1/4/2024 14:30,24.9,6,1.36,4.11,18.2,1.1,-3.6,18.1,0.999,87.61,15,15,538,53,7407,87.59,18.4
1/4/2024 14:45,24.9,344,1.32,4.33,18.3,1.1,-3.7,18.2,0.999,87.61,15,15,574,52,7405,87.59,18.4
1/4/2024 15:00,25.3,11,1.27,3.60,18.3,1.1,-3.6,18.3,1.000,87.61,15,15,602,53,7407,87.59,18.5
1/4/2024 15:15,15.6,353,1.40,4.15,18.0,1.1,-3.6,18.0,1.000,87.63,15,15,581,52,7403,87.60,18.4
1/4/2024 15:30,13.4,353,1.43,5.00,17.9,1.0,-3.7,17.9,1.000,87.63,15,15,585,52,7403,87.60,18.3
1/4/2024 15:45,10.8,342,1.28,6.62,17.9,1.0,-3.7,17.9,1.000,87.64,15,15,584,52,7403,87.61,18.2
1/4/2024 16:00,13.2,347,2.12,6.03,17.7,0.8,-3.5,17.6,1.000,87.65,15,15,588,52,7402,87.63,18.2
1/4/2024 16:15,11.2,6,1.31,4.72,17.6,0.9,-3.6,17.5,1.000,87.67,15,15,593,52,7401,87.64,18.1
1/4/2024 16:30,10.8,38,1.05,4.09,17.6,0.9,-3.5,17.5,1.000,87.68,15,15,562,52,7400,87.65,18.0
1/4/2024 16:45,8.2,6,0.93,3.88,17.4,0.9,-3.5,17.4,1.001,87.70,15,15,557,52,7400,87.67,17.9
1/4/2024 17:00,25.1,140,1.28,3.66,17.7,1.0,-3.6,17.6,1.001,87.70,15,15,542,52,7403,87.67,17.9
1/4/2024 17:15,13.0,122,1.05,2.87,17.7,1.0,-3.5,17.7,1.000,87.72,15,15,521,52,7401,87.69,18.0
1/4/2024 17:30,0.0,112,1.26,3.71,17.7,1.0,-3.5,17.7,1.001,87.73,15,15,505,52,7398,87.70,18.0
